State,permitless_year_current,bill_or_statute,enactment_date,effective_date,permitless_concealed,permitless_open,constitutional_carry_label,minimum_age,training_requirement_removed,background_check_permit_requirement_removed,violent_misdemeanor_permit_screen_removed,source_url,coding_notes,audit_status
Alabama,2023,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Alaska,2003,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Arizona,2010,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Arkansas,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
California,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Colorado,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Connecticut,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Delaware,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Florida,2023,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Georgia,2022,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Hawaii,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Idaho,2016,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Illinois,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Indiana,2022,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Iowa,2021,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Kansas,2015,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Kentucky,2019,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Louisiana,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Maine,2015,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Maryland,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Massachusetts,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Michigan,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Minnesota,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Mississippi,2015,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Missouri,2017,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Montana,2021,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Nebraska,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Nevada,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
New Hampshire,2017,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
New Jersey,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
New Mexico,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
New York,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
North Carolina,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
North Dakota,2017,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Ohio,2022,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Oklahoma,2019,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Oregon,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Pennsylvania,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Rhode Island,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
South Carolina,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
South Dakota,2019,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Tennessee,2021,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Texas,2021,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Utah,2021,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Vermont,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Virginia,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Washington,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
West Virginia,2016,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
Wisconsin,,,,,,,,,,,,,No permitless adoption year in current panel; legal source audit pending.,needs_source
Wyoming,2011,,,,,,,,,,,,Scaffold generated from current panel permitless_year; legal source audit pending.,needs_source
