State,State Code,Year,falls_deaths,falls_population,falls_rate_per_100k,non_transport_injury_excluding_falls_poisoning_deaths,non_transport_injury_excluding_falls_poisoning_population,non_transport_injury_excluding_falls_poisoning_rate_per_100k,accidental_poisoning_deaths,accidental_poisoning_population,accidental_poisoning_rate_per_100k
Alabama,1,1999,120,4430141,2.7087173974823826,834,4430141,18.825585912502557,145.0,4430141.0,3.2730335219578786
Alabama,1,2000,117,4447100,2.6309280205077465,697,4447100,15.67313530165726,160.0,4447100.0,3.597850284455038
Alabama,1,2001,131,4467634,2.932200802482925,758,4467634,16.966474872382115,201.0,4467634.0,4.499025658771511
Alabama,1,2002,159,4480089,3.5490366374418008,693,4480089,15.468442702812379,209.0,4480089.0,4.66508589449897
Alabama,1,2003,176,4503491,3.9080793100285978,721,4503491,16.009802173469428,166.0,4503491.0,3.6860293492315184
Alabama,1,2004,170,4530729,3.7521555581894215,689,4530729,15.207265762308891,241.0,4530729.0,5.319232291315592
Alabama,1,2005,153,4569805,3.348064085885503,777,4569805,17.00291369106559,238.0,4569805.0,5.208099689155227
Alabama,1,2006,181,4628981,3.9101478273512034,720,4628981,15.554179202723018,328.0,4628981.0,7.085792747907154
Alabama,1,2007,170,4672840,3.638044529665043,653,4672840,13.974371046301606,471.0,4672840.0,10.07952337336609
Alabama,1,2008,202,4718206,4.2812882693125305,645,4718206,13.670450166864269,536.0,4718206.0,11.360250061146122
Alabama,1,2009,198,4757938,4.161466584894549,609,4757938,12.799662374751415,573.0,4757938.0,12.04303208658877
Alabama,1,2010,214,4779736,4.477234725934654,692,4779736,14.477787057695236,512.0,4779736.0,10.71188869008665
Alabama,1,2011,203,4802740,4.226753894651803,928,4802740,19.32230351840824,531.0,4802740.0,11.056188758916786
Alabama,1,2012,202,4822023,4.189113158522885,668,4822023,13.853106880659839,509.0,4822023.0,10.555735632119548
Alabama,1,2013,242,4833722,5.00649396055462,585,4833722,12.102475069935757,561.0,4833722.0,11.605963272194801
Alabama,1,2014,222,4849377,4.5779076363829825,629,4849377,12.970738303085119,678.0,4849377.0,13.981177375980462
Alabama,1,2015,259,4858979,5.3303379166693245,591,4858979,12.163049068538884,701.0,4858979.0,14.426899148977594
Alabama,1,2016,244,4863300,5.017169411716324,594,4863300,12.21392881376843,726.0,4863300.0,14.92813521682808
Alabama,1,2017,240,4874747,4.923332431406184,601,4874747,12.32884496364632,787.0,4874747.0,16.14442759798611
Alabama,1,2018,264,4887871,5.401124538679519,584,4887871,11.947942161321361,741.0,4887871.0,15.159974557430015
Alabama,1,2019,295,4903185,6.016497439929352,669,4903185,13.644192499365209,739.0,4903185.0,15.071835959687427
Alabama,1,2020,301,4921532,6.115981771529678,661,4921532,13.430777245784443,1027.0,4921532.0,20.867485977943453
Alabama,1,2021,312,5039877,6.190627271260786,689,5039877,13.670968557367571,1396.0,5039877.0,27.699088688077108
Alabama,1,2022,323,5074296,6.365415025059635,658,5074296,12.967316057242227,1465.0,5074296.0,28.871000036261186
Alabama,1,2023,329,5108468,6.440286990150472,600,5108468,11.745204237356484,1560.0,5108468.0,30.53753101712686
Alabama,1,2024,298,5157699,5.777770280894639,617,5157699,11.96269887017447,1192.0,5157699.0,23.111081123578558
Alaska,2,1999,13,624779,2.0807357481605493,103,624779,16.485829389272048,49.0,624779.0,7.842773204605149
Alaska,2,2000,11,626932,1.7545762538839937,102,626932,16.26970708146976,51.0,626932.0,8.13485354073488
Alaska,2,2001,21,633714,3.313797706851987,104,633714,16.411188643457457,79.0,633714.0,12.466191373395569
Alaska,2,2002,20,642337,3.1136303840507393,97,642337,15.101107362646088,77.0,642337.0,11.987476978595348
Alaska,2,2003,10,648414,1.5422245664035632,76,648414,11.72090670466708,82.0,648414.0,12.646241444509219
Alaska,2,2004,14,659286,2.1235093722602936,93,659286,14.106169401443381,70.0,659286.0,10.617546861301468
Alaska,2,2005,20,666946,2.9987435264624125,102,666946,15.2935919849583,65.0,666946.0,9.74591646100284
Alaska,2,2006,21,675302,3.109719799437881,103,675302,15.25243520676675,77.0,675302.0,11.402305931272231
Alaska,2,2007,27,680300,3.9688372776716156,110,680300,16.169337057180655,87.0,680300.0,12.788475672497428
Alaska,2,2008,24,687455,3.4911376017339313,94,687455,13.6736222734579,126.0,687455.0,18.328472409103142
Alaska,2,2009,22,698895,3.1478262113765303,89,698895,12.734387855114145,135.0,698895.0,19.31620629708325
Alaska,2,2010,32,710231,4.5055763547352905,111,710231,15.62871798048804,112.0,710231.0,15.769517241573515
Alaska,2,2011,25,722718,3.459163878580581,99,722718,13.698288959179097,140.0,722718.0,19.371317720051252
Alaska,2,2012,32,731449,4.374877811029887,112,731449,15.312072338604604,133.0,731449.0,18.18308590209297
Alaska,2,2013,30,735132,4.080899756778374,93,735132,12.65078924601296,128.0,735132.0,17.4118389622544
Alaska,2,2014,34,736732,4.614975323455476,98,736732,13.301987697018726,136.0,736732.0,18.459901293821904
Alaska,2,2015,52,738432,7.041948344600451,110,738432,14.896429190500955,135.0,738432.0,18.28198127925117
