State,State Code,Year,Deaths,Population,crude_rate_wonder,ageadj_rate_per_100k,source,permitless_year
Alabama,01,1999,293,4430141,6.6,6.6,WONDER_1999_2020,2023.0
Alabama,01,2000,294,4447100,6.6,6.6,WONDER_1999_2020,2023.0
Alabama,01,2001,302,4467634,6.8,6.8,WONDER_1999_2020,2023.0
Alabama,01,2002,292,4480089,6.5,6.5,WONDER_1999_2020,2023.0
Alabama,01,2003,322,4503491,7.2,7.2,WONDER_1999_2020,2023.0
Alabama,01,2004,262,4530729,5.8,5.9,WONDER_1999_2020,2023.0
Alabama,01,2005,319,4569805,7.0,7.1,WONDER_1999_2020,2023.0
Alabama,01,2006,333,4628981,7.2,7.3,WONDER_1999_2020,2023.0
Alabama,01,2007,378,4672840,8.1,8.3,WONDER_1999_2020,2023.0
Alabama,01,2008,349,4718206,7.4,7.6,WONDER_1999_2020,2023.0
Alabama,01,2009,317,4757938,6.7,6.9,WONDER_1999_2020,2023.0
Alabama,01,2010,283,4779736,5.9,6.0,WONDER_1999_2020,2023.0
Alabama,01,2011,292,4802740,6.1,6.2,WONDER_1999_2020,2023.0
Alabama,01,2012,306,4822023,6.3,6.6,WONDER_1999_2020,2023.0
Alabama,01,2013,317,4833722,6.6,6.9,WONDER_1999_2020,2023.0
Alabama,01,2014,292,4849377,6.0,6.4,WONDER_1999_2020,2023.0
Alabama,01,2015,391,4858979,8.0,8.5,WONDER_1999_2020,2023.0
Alabama,01,2016,454,4863300,9.3,9.8,WONDER_1999_2020,2023.0
Alabama,01,2017,506,4874747,10.4,11.0,WONDER_1999_2020,2023.0
Alabama,01,2018,468,4887871,9.6,10.2,WONDER_1999_2020,2023.0
Alabama,01,2019,486,4903185,9.9,10.7,WONDER_1999_2020,2023.0
Alabama,01,2020,564,4921532,11.5,12.4,WONDER_1999_2020,2023.0
Alabama,01,2021,650,5039877,12.9,13.9,WONDER_2018_2024_age_adjusted,2023.0
Alabama,01,2022,624,5074296,12.3,13.1,WONDER_2018_2024_age_adjusted,2023.0
Alabama,01,2023,633,5108468,12.4,13.2,WONDER_2018_2024_age_adjusted,2023.0
Alabama,01,2024,562,5157699,10.9,11.6,WONDER_2018_2024_age_adjusted,2023.0
Alaska,02,1999,27,624779,4.3,4.5,WONDER_1999_2020,2003.0
Alaska,02,2000,16,626932,,,WONDER_1999_2020,2003.0
Alaska,02,2001,25,633714,3.9,3.8,WONDER_1999_2020,2003.0
Alaska,02,2002,26,642337,4.0,3.8,WONDER_1999_2020,2003.0
Alaska,02,2003,32,648414,4.9,4.7,WONDER_1999_2020,2003.0
Alaska,02,2004,20,659286,3.0,2.9,WONDER_1999_2020,2003.0
Alaska,02,2005,24,666946,3.6,3.3,WONDER_1999_2020,2003.0
Alaska,02,2006,28,675302,4.1,4.1,WONDER_1999_2020,2003.0
Alaska,02,2007,25,680300,3.7,3.5,WONDER_1999_2020,2003.0
Alaska,02,2008,15,687455,,,WONDER_1999_2020,2003.0
Alaska,02,2009,17,698895,,,WONDER_1999_2020,2003.0
Alaska,02,2010,30,710231,4.2,4.2,WONDER_1999_2020,2003.0
Alaska,02,2011,19,722718,,,WONDER_1999_2020,2003.0
Alaska,02,2012,17,731449,,,WONDER_1999_2020,2003.0
Alaska,02,2013,19,735132,,,WONDER_1999_2020,2003.0
Alaska,02,2014,21,736732,2.9,2.6,WONDER_1999_2020,2003.0
Alaska,02,2015,42,738432,5.7,5.3,WONDER_1999_2020,2003.0
Alaska,02,2016,45,741894,6.1,6.1,WONDER_1999_2020,2003.0
Alaska,02,2017,46,739795,6.2,6.4,WONDER_1999_2020,2003.0
Alaska,02,2018,37,737438,5.0,5.1,WONDER_1999_2020,2003.0
Alaska,02,2019,51,731545,7.0,7.2,WONDER_1999_2020,2003.0
Alaska,02,2020,27,731158,3.7,3.8,WONDER_1999_2020,2003.0
Alaska,02,2021,31,732673,4.2,4.1,WONDER_2018_2024_age_adjusted,2003.0
Alaska,02,2022,41,733583,5.6,5.4,WONDER_2018_2024_age_adjusted,2003.0
Alaska,02,2023,47,733406,6.4,6.4,WONDER_2018_2024_age_adjusted,2003.0
Alaska,02,2024,33,740133,4.5,4.5,WONDER_2018_2024_age_adjusted,2003.0
Arizona,04,1999,303,5023823,6.0,5.9,WONDER_1999_2020,2010.0
Arizona,04,2000,274,5130632,5.3,5.3,WONDER_1999_2020,2010.0
Arizona,04,2001,332,5273477,6.3,6.2,WONDER_1999_2020,2010.0
Arizona,04,2002,355,5396255,6.6,6.5,WONDER_1999_2020,2010.0
