State,State Code,Year,Deaths,Population,crude_rate_wonder,ageadj_rate_per_100k,source,permitless_year
Alabama,01,1999,435,4430141,9.8,9.7,WONDER_1999_2020,2023.0
Alabama,01,2000,427,4447100,9.6,9.6,WONDER_1999_2020,2023.0
Alabama,01,2001,387,4467634,8.7,8.6,WONDER_1999_2020,2023.0
Alabama,01,2002,381,4480089,8.5,8.5,WONDER_1999_2020,2023.0
Alabama,01,2003,399,4503491,8.9,8.7,WONDER_1999_2020,2023.0
Alabama,01,2004,375,4530729,8.3,8.0,WONDER_1999_2020,2023.0
Alabama,01,2005,369,4569805,8.1,7.8,WONDER_1999_2020,2023.0
Alabama,01,2006,400,4628981,8.6,8.4,WONDER_1999_2020,2023.0
Alabama,01,2007,396,4672840,8.5,8.2,WONDER_1999_2020,2023.0
Alabama,01,2008,424,4718206,9.0,8.7,WONDER_1999_2020,2023.0
Alabama,01,2009,479,4757938,10.1,9.7,WONDER_1999_2020,2023.0
Alabama,01,2010,454,4779736,9.5,9.2,WONDER_1999_2020,2023.0
Alabama,01,2011,452,4802740,9.4,9.0,WONDER_1999_2020,2023.0
Alabama,01,2012,500,4822023,10.4,10.0,WONDER_1999_2020,2023.0
Alabama,01,2013,504,4833722,10.4,9.9,WONDER_1999_2020,2023.0
Alabama,01,2014,479,4849377,9.9,9.5,WONDER_1999_2020,2023.0
Alabama,01,2015,528,4858979,10.9,10.4,WONDER_1999_2020,2023.0
Alabama,01,2016,550,4863300,11.3,10.7,WONDER_1999_2020,2023.0
Alabama,01,2017,573,4874747,11.8,11.0,WONDER_1999_2020,2023.0
Alabama,01,2018,552,4887871,11.3,10.7,WONDER_1999_2020,2023.0
Alabama,01,2019,543,4903185,11.1,10.6,WONDER_1999_2020,2023.0
Alabama,01,2020,542,4921532,11.0,10.5,WONDER_1999_2020,2023.0
Alabama,01,2021,623,5039877,12.4,11.7,WONDER_2018_2024_age_adjusted,2023.0
Alabama,01,2022,614,5074296,12.1,11.5,WONDER_2018_2024_age_adjusted,2023.0
Alabama,01,2023,618,5108468,12.1,11.6,WONDER_2018_2024_age_adjusted,2023.0
Alabama,01,2024,622,5157699,12.1,11.5,WONDER_2018_2024_age_adjusted,2023.0
Alaska,02,1999,55,624779,8.8,10.4,WONDER_1999_2020,2003.0
Alaska,02,2000,96,626932,15.3,14.9,WONDER_1999_2020,2003.0
Alaska,02,2001,65,633714,10.3,10.3,WONDER_1999_2020,2003.0
Alaska,02,2002,92,642337,14.3,14.7,WONDER_1999_2020,2003.0
Alaska,02,2003,79,648414,12.2,13.3,WONDER_1999_2020,2003.0
Alaska,02,2004,94,659286,14.3,14.2,WONDER_1999_2020,2003.0
Alaska,02,2005,87,666946,13.0,13.4,WONDER_1999_2020,2003.0
Alaska,02,2006,79,675302,11.7,12.2,WONDER_1999_2020,2003.0
Alaska,02,2007,94,680300,13.8,14.5,WONDER_1999_2020,2003.0
Alaska,02,2008,116,687455,16.9,17.2,WONDER_1999_2020,2003.0
Alaska,02,2009,79,698895,11.3,11.2,WONDER_1999_2020,2003.0
Alaska,02,2010,107,710231,15.1,15.3,WONDER_1999_2020,2003.0
Alaska,02,2011,99,722718,13.7,14.0,WONDER_1999_2020,2003.0
Alaska,02,2012,98,731449,13.4,13.3,WONDER_1999_2020,2003.0
Alaska,02,2013,120,735132,16.3,16.7,WONDER_1999_2020,2003.0
Alaska,02,2014,115,736732,15.6,15.3,WONDER_1999_2020,2003.0
Alaska,02,2015,123,738432,16.7,16.5,WONDER_1999_2020,2003.0
