State,State Code,Year,Sex,broad_age_group,Deaths,Population,component_age_groups_observed,rate_per_100k,expected_component_age_groups,complete_broad_age_group
Alabama,1,1999,Female,15-24,11,316324.0,1,3.4774471744161053,1,True
Alabama,1,1999,Female,25-44,19,351301.0,1,5.40846738267184,2,False
Alabama,1,1999,Female,45-64,10,301328.0,1,3.3186428078373065,2,False
Alabama,1,1999,Male,15-24,61,317647.0,1,19.203707259945787,1,True
Alabama,1,1999,Male,25-44,116,635704.0,2,18.247486251462945,2,True
Alabama,1,1999,Male,45-64,107,478379.0,2,22.36720257369157,2,True
Alabama,1,1999,Male,65+,79,211969.0,2,37.269600743504945,3,False
Alabama,1,2000,Female,25-44,32,655656.0,2,4.880608123772221,2,True
Alabama,1,2000,Female,45-64,10,218838.0,1,4.56959029053455,2,False
Alabama,1,2000,Male,15-24,41,316220.0,1,12.96565682120043,1,True
Alabama,1,2000,Male,25-44,128,632871.0,2,20.225290778057456,2,True
Alabama,1,2000,Male,45-64,107,488458.0,2,21.905670497770537,2,True
Alabama,1,2000,Male,65+,81,231486.0,3,34.99131696949276,3,True
Alabama,1,2001,Female,25-44,11,346986.0,1,3.170156721020444,2,False
Alabama,1,2001,Female,45-64,14,320071.0,1,4.3740295122019806,2,False
Alabama,1,2001,Male,15-24,42,321522.0,1,13.062869725866348,1,True
Alabama,1,2001,Male,25-44,116,621767.0,2,18.656506376182715,2,True
Alabama,1,2001,Male,45-64,99,504869.0,2,19.609047099346565,2,True
Alabama,1,2001,Male,65+,70,234804.0,3,29.812098601386687,3,True
Alabama,1,2002,Female,25-44,24,636210.0,2,3.772339321922007,2,True
Alabama,1,2002,Female,45-64,10,323870.0,1,3.0876586284620373,2,False
Alabama,1,2002,Female,65+,0,48380.0,1,0.0,3,False
Alabama,1,2002,Male,15-24,38,323720.0,1,11.738539478561721,1,True
Alabama,1,2002,Male,25-44,107,613598.0,2,17.438127242918004,2,True
Alabama,1,2002,Male,45-64,92,519029.0,2,17.72540648017741,2,True
Alabama,1,2002,Male,65+,76,218844.0,2,34.72793405348102,3,False
Alabama,1,2003,Female,25-44,11,335121.0,1,3.282396507530116,2,False
Alabama,1,2003,Female,45-64,16,328769.0,1,4.866638886269691,2,False
Alabama,1,2003,Female,65+,11,125846.0,1,8.740841981469414,3,False
Alabama,1,2003,Male,15-24,49,327242.0,1,14.973628079525245,1,True
Alabama,1,2003,Male,25-44,100,608292.0,2,16.43947314776456,2,True
Alabama,1,2003,Male,45-64,114,532843.0,2,21.394669724477943,2,True
Alabama,1,2003,Male,65+,61,222159.0,2,27.457811747442147,3,False
Alabama,1,2004,Female,25-44,16,330674.0,1,4.8386023697055105,2,False
Alabama,1,2004,Female,45-64,12,334010.0,1,3.5927068051854736,2,False
Alabama,1,2004,Female,65+,0,47191.0,1,0.0,3,False
Alabama,1,2004,Male,15-24,52,328849.0,1,15.812728638372018,1,True
Alabama,1,2004,Male,25-44,72,604846.0,2,11.903856518849427,2,True
Alabama,1,2004,Male,45-64,112,546430.0,2,20.496678440056364,2,True
Alabama,1,2004,Male,65+,75,224590.0,2,33.39418495925909,3,False
Alabama,1,2005,Female,25-44,26,625616.0,2,4.1559039410756755,2,True
Alabama,1,2005,Female,45-64,24,602345.0,2,3.9844275290738698,2,True
Alabama,1,2005,Male,15-24,37,332107.0,1,11.140987693725215,1,True
Alabama,1,2005,Male,25-44,76,602970.0,2,12.604275502927178,2,True
Alabama,1,2005,Male,45-64,113,561373.0,2,20.129218897239447,2,True
Alabama,1,2005,Male,65+,80,248065.0,3,32.24961199685566,3,True
Alabama,1,2006,Female,45-64,30,619252.0,2,4.8445543978864825,2,True
Alabama,1,2006,Female,65+,0,175766.0,2,0.0,3,False
Alabama,1,2006,Male,15-24,50,335663.0,1,14.895892606572664,1,True
Alabama,1,2006,Male,25-44,108,605288.0,2,17.84274593251477,2,True
Alabama,1,2006,Male,45-64,105,576970.0,2,18.198519853718565,2,True
Alabama,1,2006,Male,65+,82,254373.0,3,32.236125689440314,3,True
Alabama,1,2007,Female,25-44,20,325948.0,1,6.135948065335574,2,False
Alabama,1,2007,Female,45-64,30,632846.0,2,4.740489787404835,2,True
Alabama,1,2007,Female,65+,0,50174.0,1,0.0,3,False
Alabama,1,2007,Male,15-24,44,338136.0,1,13.012515674166606,1,True
Alabama,1,2007,Male,25-44,92,604572.0,2,15.217376921193836,2,True
Alabama,1,2007,Male,45-64,124,590024.0,2,21.01609426057245,2,True
Alabama,1,2007,Male,65+,65,259541.0,3,25.044212667748067,3,True
Alabama,1,2008,Female,25-44,13,322821.0,1,4.026999482685451,2,False
Alabama,1,2008,Female,45-64,30,643865.0,2,4.659361822742345,2,True
Alabama,1,2008,Male,15-24,45,340693.0,1,13.208372346951654,1,True
Alabama,1,2008,Male,25-44,111,604368.0,2,18.366293384163292,2,True
Alabama,1,2008,Male,45-64,134,600629.0,2,22.309945074247164,2,True
Alabama,1,2008,Male,65+,59,245572.0,2,24.025540371052074,3,False
Alabama,1,2009,Female,25-44,28,625906.0,2,4.47351519237713,2,True
Alabama,1,2009,Female,45-64,32,654374.0,2,4.890169841711315,2,True
Alabama,1,2009,Female,65+,0,52158.0,1,0.0,3,False
Alabama,1,2009,Male,15-24,44,342574.0,1,12.843940287353973,1,True
Alabama,1,2009,Male,25-44,103,606294.0,2,16.98845774492243,2,True
Alabama,1,2009,Male,45-64,157,611247.0,2,25.685197636961817,2,True
Alabama,1,2009,Male,65+,99,273891.0,3,36.14576601640798,3,True
Alabama,1,2010,Female,25-44,30,624498.0,2,4.803858459114361,2,True
Alabama,1,2010,Female,45-64,30,662823.0,2,4.526095201886477,2,True
Alabama,1,2010,Male,15-24,46,342671.0,1,13.423954755435972,1,True
Alabama,1,2010,Male,25-44,111,603925.0,2,18.3797656993832,2,True
Alabama,1,2010,Male,45-64,139,619064.0,2,22.453252006254605,2,True
Alabama,1,2010,Male,65+,80,278506.0,3,28.724695338700066,3,True
Alabama,1,2011,Female,25-44,25,622848.0,2,4.013820386354295,2,True
Alabama,1,2011,Female,45-64,39,670762.0,2,5.814282860388633,2,True
Alabama,1,2011,Male,15-24,50,343899.0,1,14.53915248372342,1,True
Alabama,1,2011,Male,25-44,95,599911.0,2,15.835682292873441,2,True
Alabama,1,2011,Male,45-64,140,624610.0,2,22.41398632746834,2,True
Alabama,1,2011,Male,65+,79,262448.0,2,30.101200999817106,3,False
Alabama,1,2012,Female,25-44,23,310431.0,1,7.40905386382159,2,False
Alabama,1,2012,Female,45-64,37,667689.0,2,5.541502106519652,2,True
Alabama,1,2012,Female,65+,0,55261.0,1,0.0,3,False
Alabama,1,2012,Male,15-24,42,341668.0,1,12.292634955570904,1,True
Alabama,1,2012,Male,25-44,114,600365.0,2,18.988448693711323,2,True
Alabama,1,2012,Male,45-64,152,621183.0,2,24.46943976251765,2,True
Alabama,1,2012,Male,65+,96,274781.0,2,34.93691339648666,3,False
Alabama,1,2013,Female,25-44,19,310796.0,1,6.113334791953564,2,False
Alabama,1,2013,Female,45-64,44,667209.0,2,6.594635264212563,2,True
Alabama,1,2013,Female,65+,0,56120.0,1,0.0,3,False
Alabama,1,2013,Male,15-24,46,342198.0,1,13.44250989193391,1,True
Alabama,1,2013,Male,25-44,113,602352.0,2,18.75979493717959,2,True
Alabama,1,2013,Male,45-64,147,620025.0,2,23.708721422523286,2,True
Alabama,1,2013,Male,65+,110,310932.0,3,35.37751019515521,3,True
Alabama,1,2014,Female,15-24,10,332363.0,1,3.008758495981803,1,True
Alabama,1,2014,Female,25-44,25,628746.0,2,3.976168436856855,2,True
Alabama,1,2014,Female,45-64,42,666879.0,2,6.2979940888826915,2,True
Alabama,1,2014,Female,65+,0,56867.0,1,0.0,3,False
Alabama,1,2014,Male,15-24,35,338835.0,1,10.329511414110113,1,True
Alabama,1,2014,Male,25-44,124,603231.0,2,20.555972753389664,2,True
Alabama,1,2014,Male,45-64,143,619182.0,2,23.094986611367904,2,True
Alabama,1,2014,Male,65+,87,321790.0,3,27.036265887690732,3,True
Alabama,1,2015,Female,25-44,32,630689.0,2,5.073816096364452,2,True
Alabama,1,2015,Female,45-64,39,668041.0,2,5.837965035080182,2,True
Alabama,1,2015,Male,15-24,47,334890.0,1,14.034459076114544,1,True
Alabama,1,2015,Male,25-44,130,604533.0,2,21.504202417403185,2,True
Alabama,1,2015,Male,45-64,147,619398.0,2,23.73272112599653,2,True
Alabama,1,2015,Male,65+,110,331423.0,3,33.190213111341095,3,True
Alabama,1,2016,Female,25-44,34,629491.0,2,5.401189214778289,2,True
Alabama,1,2016,Female,45-64,49,668799.0,2,7.326565978717074,2,True
Alabama,1,2016,Male,15-24,56,330571.0,1,16.94038497024845,1,True
Alabama,1,2016,Male,25-44,118,603709.0,2,19.54584079415745,2,True
Alabama,1,2016,Male,45-64,149,620311.0,2,24.02020921763438,2,True
