State,State Code,Year,Deaths,Population,rate_per_100k,source,permitless_year
Alabama,1,1999,435,4430141,9.819100565873637,WONDER_1999_2020,2023.0
Alabama,1,2000,427,4447100,9.601762946639383,WONDER_1999_2020,2023.0
Alabama,1,2001,387,4467634,8.66230313405261,WONDER_1999_2020,2023.0
Alabama,1,2002,381,4480089,8.504295338775636,WONDER_1999_2020,2023.0
Alabama,1,2003,399,4503491,8.85979343580347,WONDER_1999_2020,2023.0
Alabama,1,2004,375,4530729,8.276813731300194,WONDER_1999_2020,2023.0
Alabama,1,2005,369,4569805,8.07474279537092,WONDER_1999_2020,2023.0
Alabama,1,2006,400,4628981,8.641210668179454,WONDER_1999_2020,2023.0
Alabama,1,2007,396,4672840,8.474503727925631,WONDER_1999_2020,2023.0
Alabama,1,2008,424,4718206,8.986466466279769,WONDER_1999_2020,2023.0
Alabama,1,2009,479,4757938,10.067386334164086,WONDER_1999_2020,2023.0
Alabama,1,2010,454,4779736,9.49843254941277,WONDER_1999_2020,2023.0
Alabama,1,2011,452,4802740,9.411294386121256,WONDER_1999_2020,2023.0
Alabama,1,2012,500,4822023,10.369091976541796,WONDER_1999_2020,2023.0
Alabama,1,2013,504,4833722,10.426747752560036,WONDER_1999_2020,2023.0
Alabama,1,2014,479,4849377,9.877557467691211,WONDER_1999_2020,2023.0
Alabama,1,2015,528,4858979,10.866480386105806,WONDER_1999_2020,2023.0
Alabama,1,2016,550,4863300,11.30919334608188,WONDER_1999_2020,2023.0
Alabama,1,2017,573,4874747,11.754456179982263,WONDER_1999_2020,2023.0
Alabama,1,2018,552,4887871,11.293260399057177,WONDER_1999_2020,2023.0
Alabama,1,2019,543,4903185,11.074434270785213,WONDER_1999_2020,2023.0
Alabama,1,2020,542,4921532,11.012830964016896,WONDER_1999_2020,2023.0
Alabama,1,2021,623,5039877,12.361412788447018,WONDER_2018_2024_single_race,2023.0
Alabama,1,2022,614,5074296,12.10020069779138,WONDER_2018_2024_single_race,2023.0
Alabama,1,2023,618,5108468,12.097560364477179,WONDER_2018_2024_single_race,2023.0
Alabama,1,2024,622,5157699,12.059641324551897,WONDER_2018_2024_single_race,2023.0
Alaska,2,1999,55,624779,8.803112780679248,WONDER_1999_2020,2003.0
Alaska,2,2000,96,626932,15.312665488442128,WONDER_1999_2020,2003.0
Alaska,2,2001,65,633714,10.256992902160912,WONDER_1999_2020,2003.0
Alaska,2,2002,92,642337,14.322699766633402,WONDER_1999_2020,2003.0
Alaska,2,2003,79,648414,12.18357407458815,WONDER_1999_2020,2003.0
Alaska,2,2004,94,659286,14.257848642319114,WONDER_1999_2020,2003.0
Alaska,2,2005,87,666946,13.044534340111495,WONDER_1999_2020,2003.0
Alaska,2,2006,79,675302,11.698469721694886,WONDER_1999_2020,2003.0
Alaska,2,2007,94,680300,13.817433485227108,WONDER_1999_2020,2003.0
Alaska,2,2008,116,687455,16.873831741714003,WONDER_1999_2020,2003.0
Alaska,2,2009,79,698895,11.303557759033904,WONDER_1999_2020,2003.0
Alaska,2,2010,107,710231,15.065520936146127,WONDER_1999_2020,2003.0
Alaska,2,2011,99,722718,13.698288959179097,WONDER_1999_2020,2003.0
Alaska,2,2012,98,731449,13.39806329627903,WONDER_1999_2020,2003.0
Alaska,2,2013,120,735132,16.323599027113495,WONDER_1999_2020,2003.0
Alaska,2,2014,115,736732,15.609475358746463,WONDER_1999_2020,2003.0
Alaska,2,2015,123,738432,16.656916276651064,WONDER_1999_2020,2003.0
Alaska,2,2016,113,741894,15.231286410187977,WONDER_1999_2020,2003.0
Alaska,2,2017,119,739795,16.085537209632395,WONDER_1999_2020,2003.0
Alaska,2,2018,107,737438,14.509694374306722,WONDER_1999_2020,2003.0
Alaska,2,2019,117,731545,15.993547902042936,WONDER_1999_2020,2003.0
Alaska,2,2020,133,731158,18.190322748297906,WONDER_1999_2020,2003.0
Alaska,2,2021,142,732673,19.38108815255919,WONDER_2018_2024_single_race,2003.0
Alaska,2,2022,114,733583,15.54016382604286,WONDER_2018_2024_single_race,2003.0
Alaska,2,2023,120,733406,16.36201503669182,WONDER_2018_2024_single_race,2003.0
Alaska,2,2024,141,740133,19.050630089456895,WONDER_2018_2024_single_race,2003.0
Arizona,4,1999,476,5023823,9.474856100622972,WONDER_1999_2020,2010.0
Arizona,4,2000,489,5130632,9.530989554503227,WONDER_1999_2020,2010.0
Arizona,4,2001,468,5273477,8.874600192624335,WONDER_1999_2020,2010.0
Arizona,4,2002,559,5396255,10.359036035176247,WONDER_1999_2020,2010.0
Arizona,4,2003,486,5510364,8.819744031428776,WONDER_1999_2020,2010.0
Arizona,4,2004,509,5652404,9.005018041880941,WONDER_1999_2020,2010.0
Arizona,4,2005,514,5839077,8.802761121321058,WONDER_1999_2020,2010.0
Arizona,4,2006,563,6029141,9.337980319252775,WONDER_1999_2020,2010.0
Arizona,4,2007,552,6167681,8.949879217164442,WONDER_1999_2020,2010.0
Arizona,4,2008,540,6280362,8.598230484166358,WONDER_1999_2020,2010.0
Arizona,4,2009,605,6343154,9.537841900102062,WONDER_1999_2020,2010.0
Arizona,4,2010,620,6392017,9.699598733858185,WONDER_1999_2020,2010.0
Arizona,4,2011,674,6482505,10.397215274033726,WONDER_1999_2020,2010.0
Arizona,4,2012,663,6553255,10.117109741647472,WONDER_1999_2020,2010.0
Arizona,4,2013,655,6626624,9.884369476825606,WONDER_1999_2020,2010.0
Arizona,4,2014,683,6731484,10.146351086922289,WONDER_1999_2020,2010.0
Arizona,4,2015,707,6828065,10.354324394978665,WONDER_1999_2020,2010.0
Arizona,4,2016,755,6931071,10.892977434511925,WONDER_1999_2020,2010.0
Arizona,4,2017,792,7016270,11.28804906310618,WONDER_1999_2020,2010.0
Arizona,4,2018,802,7171646,11.18292788015471,WONDER_1999_2020,2010.0
Arizona,4,2019,809,7278717,11.114596157537104,WONDER_1999_2020,2010.0
Arizona,4,2020,830,7421401,11.18387215567519,WONDER_1999_2020,2010.0
Arizona,4,2021,879,7276316,12.080288981402127,WONDER_2018_2024_single_race,2010.0
Arizona,4,2022,982,7359197,13.343847161585701,WONDER_2018_2024_single_race,2010.0
Arizona,4,2023,951,7431344,12.797146787983438,WONDER_2018_2024_single_race,2010.0
Arizona,4,2024,933,7582384,12.304837106640868,WONDER_2018_2024_single_race,2010.0
Arkansas,5,1999,234,2651860,8.823995233534198,WONDER_1999_2020,
Arkansas,5,2000,244,2673400,9.126954440038903,WONDER_1999_2020,
Arkansas,5,2001,274,2691571,10.179928376401737,WONDER_1999_2020,
Arkansas,5,2002,257,2705927,9.497669375411828,WONDER_1999_2020,
Arkansas,5,2003,258,2724816,9.468529251149436,WONDER_1999_2020,
