State,State Code,Year,cancer_deaths,cancer_population,cancer_rate_per_100k,cardiovascular_deaths,cardiovascular_population,cardiovascular_rate_per_100k,motor_vehicle_deaths,motor_vehicle_population,motor_vehicle_rate_per_100k
Alabama,1,1999,9506,4430141,214.57556317056276,17548,4430141,396.10477409184045,1162,4430141,26.22941346562107
Alabama,1,2000,9807,4447100,220.525735872816,17607,4447100,395.9209372399991,1064,4447100,23.925704391626002
Alabama,1,2001,9801,4467634,219.37786309263473,17301,4467634,387.25195483784034,1037,4467634,23.211391085303767
Alabama,1,2002,9698,4480089,216.46891389880872,17436,4480089,389.1886969209763,1115,4480089,24.887898432374893
Alabama,1,2003,9812,4503491,217.87542153409433,17338,4503491,384.9902220299763,1069,4503491,23.73714080920779
Alabama,1,2004,9756,4530729,215.32958603350588,16865,4530729,372.2359028756741,1259,4530729,27.788022633885188
Alabama,1,2005,9913,4569805,216.92391688485614,16989,4569805,371.76641016410986,1188,4569805,25.996732902169786
Alabama,1,2006,9899,4628981,213.84836101077104,16378,4628981,353.81437080860775,1224,4628981,26.44210464462913
Alabama,1,2007,10025,4672840,214.53762594054152,15786,4672840,337.8245349723081,1212,4672840,25.937117470317833
Alabama,1,2008,10182,4718206,215.80236216901085,15987,4718206,338.8364136707893,1085,4718206,22.996028575267804
Alabama,1,2009,10289,4757938,216.2491398584849,15776,4757938,331.5722062792748,933,4757938,19.609334968215222
Alabama,1,2010,10196,4779736,213.31722086742866,15809,4779736,330.75048496402314,931,4779736,19.47806322357553
Alabama,1,2011,10233,4802740,213.0658748964133,15577,4802740,324.33569170931594,956,4802740,19.905304055601594
Alabama,1,2012,10276,4822023,213.105578301887,15722,4822023,326.0457281103802,863,4822023,17.89705275151114
Alabama,1,2013,10328,4833722,213.66557696119057,16252,4833722,336.221239036916,909,4833722,18.805384339438636
Alabama,1,2014,10286,4849377,212.1097204857449,16227,4849377,334.62030277291285,896,4849377,18.476600190086273
Alabama,1,2015,10354,4858979,213.0900339351127,16991,4858979,349.68251560667375,962,4858979,19.798397976200352
Alabama,1,2016,10419,4863300,214.2372463142311,16894,4863300,347.37729525219504,1158,4863300,23.810992535932392
Alabama,1,2017,10410,4874747,213.54954421224323,17125,4874747,351.30028286596206,1034,4874747,21.21135722530831
Alabama,1,2018,10632,4887871,217.51801551227518,17676,4887871,361.6298384306787,1064,4887871,21.768168595284124
Alabama,1,2019,10266,4903185,209.37411090954146,17699,4903185,360.9694514891851,1012,4903185,20.639645454944084
Alabama,1,2020,10456,4921532,212.45417077446618,19425,4921532,394.69417246499665,983,4921532,19.973455419978983
Alabama,1,2021,10429,5039877,206.9296532435216,19866,5039877,394.17628644508585,1058,5039877,20.992575810877923
Alabama,1,2022,10328,5074296,203.5356234638263,19648,5074296,387.20642232932414,1039,5074296,20.475746783396158
Alabama,1,2023,10568,5108468,206.87219730063885,19195,5108468,375.7486588934295,1087,5108468,21.27839501001083
Alabama,1,2024,10556,5157699,204.66490968162353,19350,5157699,375.16729844064184,1070,5157699,20.745685236769344
Alaska,2,1999,633,624779,101.31582527581755,777,624779,124.36397510159593,87,624779,13.924923853074448
Alaska,2,2000,704,626932,112.2928802485756,827,626932,131.91223290564207,132,626932,21.054915046607924
Alaska,2,2001,689,633714,108.72412476290566,864,633714,136.3391056533389,103,633714,16.253388752654985
Alaska,2,2002,715,642337,111.31228622981394,797,642337,124.07817080442199,112,642337,17.436330150684142
Alaska,2,2003,735,648414,113.35350563066189,922,648414,142.19310502240853,119,648414,18.3524723402024
Alaska,2,2004,728,659286,110.42248735753527,815,659286,123.61858131372423,119,659286,18.049829664212496
Alaska,2,2005,732,666946,109.75401306852429,853,666946,127.89641140362188,93,666946,13.944157398050217
Alaska,2,2006,790,675302,116.98469721694886,877,675302,129.86782210033437,85,675302,12.586961092962852
Alaska,2,2007,839,680300,123.32794355431427,818,680300,120.24107011612524,107,680300,15.728355137439365
Alaska,2,2008,867,687455,126.11734586263827,850,687455,123.64445672807675,73,687455,10.61887687194071
Alaska,2,2009,895,698895,128.05929359918156,928,698895,132.78103291624635,84,698895,12.018972807074023
Alaska,2,2010,884,710231,124.46654679956238,945,710231,133.05530172577656,71,710231,9.996747537068925
Alaska,2,2011,935,722718,129.3727290589137,980,722718,135.59922404035876,87,722718,12.03789029746042
Alaska,2,2012,925,731449,126.46131172508268,955,731449,130.5627596729232,74,731449,10.116904938006615
Alaska,2,2013,1016,735132,138.2064717628943,963,735132,130.99688219258582,66,735132,8.977979464912423
Alaska,2,2014,972,736732,131.93400042349185,1015,736732,137.77058686197967,87,736732,11.808907445312542
Alaska,2,2015,978,738432,132.4427977119085,1110,738432,150.31851274050962,74,738432,10.021234182700642
Alaska,2,2016,995,741894,134.11619449678795,1097,741894,147.86478930952399,97,741894,13.07464408662154
Alaska,2,2017,926,739795,125.1698105556269,1112,739795,150.31191073202712,101,739795,13.652430740948505
Alaska,2,2018,957,737438,129.77362164683677,1130,737438,153.23322096230464,95,737438,12.882438930459237
Alaska,2,2019,1021,731545,139.56762741868238,1143,731545,156.24466027380407,93,731545,12.712820127264898
Alaska,2,2020,1043,731158,142.65042576296779,1238,731158,169.3204478375399,81,731158,11.078316861745341
Alaska,2,2021,1093,732673,149.1797841601915,1374,732673,187.532500856453,97,732673,13.239194019705927
Alaska,2,2022,1076,733583,146.67733576159753,1337,733583,182.25613188964303,117,733583,15.949115505675568
Alaska,2,2023,1070,733406,145.89463407716872,1250,733406,170.43765663220643,89,733406,12.135161152213099
Alaska,2,2024,1149,740133,155.24236860131893,1184,740133,159.97124841075862,104,740133,14.051528576620688
Arizona,4,1999,9006,5023823,179.26586983657663,14417,5023823,286.97268992159957,945,5023823,18.810376082119134
Arizona,4,2000,9073,5130632,176.83981232721428,14240,5130632,277.5486528755132,999,5130632,19.471285408893095
Arizona,4,2001,9143,5273477,173.37707171188953,14094,5273477,267.26199810864824,1020,5273477,19.34207734289919
Arizona,4,2002,9359,5396255,173.43509526514222,14432,5396255,267.44473713714416,1105,5396255,20.477164255580952
Arizona,4,2003,9627,5510364,174.70715183243792,14352,5510364,260.45466324910655,1097,5510364,19.907940745838207
Arizona,4,2004,9618,5652404,170.15768865778173,14093,5652404,249.32754275879785,1125,5652404,19.90303594718283
Arizona,4,2005,9820,5839077,168.1772650026708,14475,5839077,247.8987689321446,1200,5839077,20.551193279348773
Arizona,4,2006,9919,6029141,164.51763194790104,13902,6029141,230.58011083170885,1323,6029141,21.943424444709454
Arizona,4,2007,10134,6167681,164.3081086716385,13586,6167681,220.27728087752914,1104,6167681,17.899758434328884
Arizona,4,2008,10081,6280362,160.5162250201501,13625,6280362,216.94609323475302,965,6280362,15.365356328186179
Arizona,4,2009,10271,6343154,161.92260191065833,13450,6343154,212.0396257130128,807,6343154,12.722377542780768
