State,State Code,Year,Deaths,Population,rate_per_100k,source,permitless_year
Alabama,1,1999,557,4430141,12.57296325331406,WONDER_1999_2020,2023.0
Alabama,1,2000,589,4447100,13.244586359650109,WONDER_1999_2020,2023.0
Alabama,1,2001,512,4467634,11.46020466313937,WONDER_1999_2020,2023.0
Alabama,1,2002,516,4480089,11.517628332829995,WONDER_1999_2020,2023.0
Alabama,1,2003,521,4503491,11.568802957527838,WONDER_1999_2020,2023.0
Alabama,1,2004,544,4530729,12.00689778620615,WONDER_1999_2020,2023.0
Alabama,1,2005,536,4569805,11.729165686500846,WONDER_1999_2020,2023.0
Alabama,1,2006,580,4628981,12.529755468860209,WONDER_1999_2020,2023.0
Alabama,1,2007,592,4672840,12.668955068010032,WONDER_1999_2020,2023.0
Alabama,1,2008,604,4718206,12.801475815172122,WONDER_1999_2020,2023.0
Alabama,1,2009,675,4757938,14.186817903049599,WONDER_1999_2020,2023.0
Alabama,1,2010,680,4779736,14.226727166521332,WONDER_1999_2020,2023.0
Alabama,1,2011,656,4802740,13.658869728529965,WONDER_1999_2020,2023.0
Alabama,1,2012,727,4822023,15.076659733891772,WONDER_1999_2020,2023.0
Alabama,1,2013,722,4833722,14.936729915373702,WONDER_1999_2020,2023.0
Alabama,1,2014,715,4849377,14.744161982044291,WONDER_1999_2020,2023.0
Alabama,1,2015,752,4858979,15.476502368090086,WONDER_1999_2020,2023.0
Alabama,1,2016,789,4863300,16.223551909197457,WONDER_1999_2020,2023.0
Alabama,1,2017,839,4874747,17.21114962479078,WONDER_1999_2020,2023.0
Alabama,1,2018,823,4887871,16.837596573231988,WONDER_1999_2020,2023.0
Alabama,1,2019,805,4903185,16.41789979370552,WONDER_1999_2020,2023.0
Alabama,1,2020,796,4921532,16.173825548629978,WONDER_1999_2020,2023.0
Alabama,1,2021,829,5039877,16.448814127805104,WONDER_2018_2024_single_race,2023.0
Alabama,1,2022,841,5074296,16.57372766586734,WONDER_2018_2024_single_race,2023.0
Alabama,1,2023,872,5108468,17.06969682495809,WONDER_2018_2024_single_race,2023.0
Alabama,1,2024,845,5157699,16.383274789785137,WONDER_2018_2024_single_race,2023.0
Alaska,2,1999,96,624779,15.365433217185597,WONDER_1999_2020,2003.0
Alaska,2,2000,137,626932,21.852449707464288,WONDER_1999_2020,2003.0
Alaska,2,2001,102,633714,16.09558886185251,WONDER_1999_2020,2003.0
Alaska,2,2002,132,642337,20.549960534734883,WONDER_1999_2020,2003.0
Alaska,2,2003,124,648414,19.12358462340418,WONDER_1999_2020,2003.0
Alaska,2,2004,156,659286,23.6619615766147,WONDER_1999_2020,2003.0
Alaska,2,2005,131,666946,19.6417700983288,WONDER_1999_2020,2003.0
Alaska,2,2006,136,675302,20.139137748740563,WONDER_1999_2020,2003.0
Alaska,2,2007,150,680300,22.049095987064533,WONDER_1999_2020,2003.0
Alaska,2,2008,169,687455,24.583427278876435,WONDER_1999_2020,2003.0
Alaska,2,2009,143,698895,20.460870373947447,WONDER_1999_2020,2003.0
Alaska,2,2010,166,710231,23.37267734018932,WONDER_1999_2020,2003.0
Alaska,2,2011,143,722718,19.78641738548092,WONDER_1999_2020,2003.0
Alaska,2,2012,168,731449,22.96810850790691,WONDER_1999_2020,2003.0
Alaska,2,2013,171,735132,23.261128613636735,WONDER_1999_2020,2003.0
Alaska,2,2014,167,736732,22.667672912266603,WONDER_1999_2020,2003.0
Alaska,2,2015,201,738432,27.21983879355174,WONDER_1999_2020,2003.0
Alaska,2,2016,193,741894,26.014498028020174,WONDER_1999_2020,2003.0
Alaska,2,2017,200,739795,27.034516318709912,WONDER_1999_2020,2003.0
Alaska,2,2018,185,737438,25.08685475931536,WONDER_1999_2020,2003.0
Alaska,2,2019,210,731545,28.706368029307832,WONDER_1999_2020,2003.0
Alaska,2,2020,205,731158,28.03771551429376,WONDER_1999_2020,2003.0
Alaska,2,2021,220,732673,30.027037982838184,WONDER_2018_2024_single_race,2003.0
Alaska,2,2022,200,733583,27.263445308847125,WONDER_2018_2024_single_race,2003.0
Alaska,2,2023,206,733406,28.088125812987624,WONDER_2018_2024_single_race,2003.0
Alaska,2,2024,224,740133,30.26483078041379,WONDER_2018_2024_single_race,2003.0
Arizona,4,1999,776,5023823,15.446404063200475,WONDER_1999_2020,2010.0
Arizona,4,2000,790,5130632,15.397713186211757,WONDER_1999_2020,2010.0
Arizona,4,2001,773,5273477,14.658260574569683,WONDER_1999_2020,2010.0
Arizona,4,2002,893,5396255,16.54851373776814,WONDER_1999_2020,2010.0
Arizona,4,2003,843,5510364,15.298444894021522,WONDER_1999_2020,2010.0
Arizona,4,2004,885,5652404,15.657054945117157,WONDER_1999_2020,2010.0
Arizona,4,2005,951,5839077,16.286820673883902,WONDER_1999_2020,2010.0
Arizona,4,2006,986,6029141,16.3539051417109,WONDER_1999_2020,2010.0
Arizona,4,2007,1024,6167681,16.602674489812298,WONDER_1999_2020,2010.0
Arizona,4,2008,978,6280362,15.57235076576796,WONDER_1999_2020,2010.0
Arizona,4,2009,1068,6343154,16.8370498335686,WONDER_1999_2020,2010.0
Arizona,4,2010,1099,6392017,17.193320981467977,WONDER_1999_2020,2010.0
Arizona,4,2011,1167,6482505,18.002300036791333,WONDER_1999_2020,2010.0
Arizona,4,2012,1170,6553255,17.853723073495537,WONDER_1999_2020,2010.0
Arizona,4,2013,1171,6626624,17.671139934905014,WONDER_1999_2020,2010.0
Arizona,4,2014,1252,6731484,18.5991677318107,WONDER_1999_2020,2010.0
Arizona,4,2015,1279,6828065,18.731514711708222,WONDER_1999_2020,2010.0
Arizona,4,2016,1281,6931071,18.48199217696659,WONDER_1999_2020,2010.0
Arizona,4,2017,1331,7016270,18.970193564386776,WONDER_1999_2020,2010.0
Arizona,4,2018,1450,7171646,20.218510506514125,WONDER_1999_2020,2010.0
Arizona,4,2019,1426,7278717,19.591364796845376,WONDER_1999_2020,2010.0
Arizona,4,2020,1368,7421401,18.433177239715253,WONDER_1999_2020,2010.0
Arizona,4,2021,1488,7276316,20.449908992407696,WONDER_2018_2024_single_race,2010.0
Arizona,4,2022,1615,7359197,21.945329089573224,WONDER_2018_2024_single_race,2010.0
Arizona,4,2023,1522,7431344,20.48081746720378,WONDER_2018_2024_single_race,2010.0
Arizona,4,2024,1539,7582384,20.29704641706355,WONDER_2018_2024_single_race,2010.0
Arkansas,5,1999,338,2651860,12.745770892882733,WONDER_1999_2020,
Arkansas,5,2000,352,2673400,13.166753946285628,WONDER_1999_2020,
Arkansas,5,2001,385,2691571,14.303913959542587,WONDER_1999_2020,
Arkansas,5,2002,378,2705927,13.969334723368368,WONDER_1999_2020,
Arkansas,5,2003,376,2724816,13.799096893148013,WONDER_1999_2020,
Arkansas,5,2004,364,2749686,13.237875161018387,WONDER_1999_2020,
Arkansas,5,2005,403,2781097,14.490684790929622,WONDER_1999_2020,
Arkansas,5,2006,378,2821761,13.395890013363996,WONDER_1999_2020,
Arkansas,5,2007,405,2848650,14.217260807751039,WONDER_1999_2020,
Arkansas,5,2008,449,2874554,15.61981441294893,WONDER_1999_2020,
Arkansas,5,2009,423,2896843,14.602103048042299,WONDER_1999_2020,
Arkansas,5,2010,451,2915918,15.466827256459203,WONDER_1999_2020,
Arkansas,5,2011,466,2937979,15.861243392141333,WONDER_1999_2020,
Arkansas,5,2012,489,2949131,16.58115560142971,WONDER_1999_2020,
Arkansas,5,2013,519,2959373,17.537498652586205,WONDER_1999_2020,
Arkansas,5,2014,519,2966369,17.49613753379974,WONDER_1999_2020,
Arkansas,5,2015,578,2978204,19.40766985740399,WONDER_1999_2020,
Arkansas,5,2016,558,2988248,18.673148948815495,WONDER_1999_2020,
Arkansas,5,2017,632,3004279,21.036661375324993,WONDER_1999_2020,
Arkansas,5,2018,555,3013825,18.415136910736358,WONDER_1999_2020,
Arkansas,5,2019,549,3017804,18.192036328403038,WONDER_1999_2020,
Arkansas,5,2020,585,3030522,19.303605121493923,WONDER_1999_2020,
Arkansas,5,2021,621,3025891,20.522880698610756,WONDER_2018_2024_single_race,
Arkansas,5,2022,551,3045637,18.091453446356216,WONDER_2018_2024_single_race,
Arkansas,5,2023,629,3067732,20.50374674189271,WONDER_2018_2024_single_race,
Arkansas,5,2024,594,3088354,19.23354641339691,WONDER_2018_2024_single_race,
California,6,1999,3107,33499204,9.274847247116679,WONDER_1999_2020,
California,6,2000,2996,33871648,8.84515568891127,WONDER_1999_2020,
California,6,2001,2864,34479458,8.306395071523456,WONDER_1999_2020,
California,6,2002,3280,34871843,9.405869371458229,WONDER_1999_2020,
California,6,2003,3447,35253159,9.77784714271989,WONDER_1999_2020,
California,6,2004,3414,35574576,9.596741223282605,WONDER_1999_2020,
California,6,2005,3248,35827943,9.065549758187345,WONDER_1999_2020,
California,6,2006,3407,36021202,9.458318464775273,WONDER_1999_2020,
California,6,2007,3658,36250311,10.090947909384832,WONDER_1999_2020,
California,6,2008,3850,36604337,10.517879343095327,WONDER_1999_2020,
California,6,2009,3877,36961229,10.489369820467822,WONDER_1999_2020,
California,6,2010,3973,37253956,10.664639213081156,WONDER_1999_2020,
California,6,2011,4039,37691912,10.715826780026442,WONDER_1999_2020,
California,6,2012,3947,38041430,10.375530047109166,WONDER_1999_2020,
California,6,2013,4079,38332521,10.641095063901485,WONDER_1999_2020,
California,6,2014,4263,38802500,10.986405515108562,WONDER_1999_2020,
California,6,2015,4199,39144818,10.72683490315372,WONDER_1999_2020,
California,6,2016,4338,39250017,11.052224512412312,WONDER_1999_2020,
California,6,2017,4358,39536653,11.022683179580223,WONDER_1999_2020,
California,6,2018,4529,39557045,11.449287983973525,WONDER_1999_2020,
California,6,2019,4487,39512223,11.355979642046462,WONDER_1999_2020,
California,6,2020,4195,39368078,10.655841517078889,WONDER_1999_2020,
California,6,2021,4197,39237836,10.696308532407341,WONDER_2018_2024_single_race,
California,6,2022,4380,39029342,11.222326013080108,WONDER_2018_2024_single_race,
California,6,2023,4250,38965193,10.907170407188795,WONDER_2018_2024_single_race,
California,6,2024,4068,39431263,10.316687040940078,WONDER_2018_2024_single_race,
Colorado,8,1999,578,4226018,13.677177901277277,WONDER_1999_2020,
Colorado,8,2000,615,4301261,14.298132570890257,WONDER_1999_2020,
Colorado,8,2001,722,4425687,16.313851386236756,WONDER_1999_2020,
Colorado,8,2002,727,4490406,16.190072790745425,WONDER_1999_2020,
Colorado,8,2003,730,4528732,16.119302268272886,WONDER_1999_2020,
Colorado,8,2004,800,4575013,17.486289109998157,WONDER_1999_2020,
Colorado,8,2005,806,4631888,17.401111598553335,WONDER_1999_2020,
Colorado,8,2006,735,4720423,15.570638478797346,WONDER_1999_2020,
Colorado,8,2007,817,4803868,17.007128422346327,WONDER_1999_2020,
Colorado,8,2008,807,4889730,16.503978747292795,WONDER_1999_2020,
Colorado,8,2009,946,4972195,19.025802487633733,WONDER_1999_2020,
Colorado,8,2010,870,5029196,17.29898775072596,WONDER_1999_2020,
Colorado,8,2011,917,5116796,17.921371108013687,WONDER_1999_2020,
Colorado,8,2012,1054,5187582,20.317751121813593,WONDER_1999_2020,
Colorado,8,2013,1009,5268367,19.15204464685167,WONDER_1999_2020,
Colorado,8,2014,1093,5355866,20.407530733591916,WONDER_1999_2020,
Colorado,8,2015,1099,5456574,20.140842953838803,WONDER_1999_2020,
Colorado,8,2016,1176,5540545,21.225348769841233,WONDER_1999_2020,
Colorado,8,2017,1190,5607154,21.22288776088547,WONDER_1999_2020,
Colorado,8,2018,1289,5695564,22.631648068567046,WONDER_1999_2020,
Colorado,8,2019,1318,5758736,22.88696686217253,WONDER_1999_2020,
Colorado,8,2020,1309,5807719,22.53896925798235,WONDER_1999_2020,
Colorado,8,2021,1392,5812069,23.950163014238132,WONDER_2018_2024_single_race,
Colorado,8,2022,1305,5839926,22.346173564528044,WONDER_2018_2024_single_race,
Colorado,8,2023,1306,5877610,22.219915918204848,WONDER_2018_2024_single_race,
Colorado,8,2024,1324,5957493,22.224113398035048,WONDER_2018_2024_single_race,
Connecticut,9,1999,274,3386401,8.091185893224104,WONDER_1999_2020,
Connecticut,9,2000,305,3405565,8.955929486003058,WONDER_1999_2020,
Connecticut,9,2001,285,3432835,8.30217589834641,WONDER_1999_2020,
Connecticut,9,2002,260,3458749,7.517168779810272,WONDER_1999_2020,
Connecticut,9,2003,276,3484336,7.921164893397192,WONDER_1999_2020,
Connecticut,9,2004,296,3496094,8.466591573338704,WONDER_1999_2020,
Connecticut,9,2005,297,3506956,8.46888298570042,WONDER_1999_2020,
Connecticut,9,2006,293,3517460,8.329874398003104,WONDER_1999_2020,
Connecticut,9,2007,272,3527270,7.711346168566625,WONDER_1999_2020,
Connecticut,9,2008,316,3545579,8.91250766094903,WONDER_1999_2020,
Connecticut,9,2009,319,3561807,8.95612816752845,WONDER_1999_2020,
Connecticut,9,2010,356,3574097,9.960557869582162,WONDER_1999_2020,
Connecticut,9,2011,371,3580709,10.36107653540123,WONDER_1999_2020,
Connecticut,9,2012,371,3590347,10.333263052289931,WONDER_1999_2020,
Connecticut,9,2013,331,3596080,9.20446708638295,WONDER_1999_2020,
Connecticut,9,2014,380,3596677,10.565307921728863,WONDER_1999_2020,
Connecticut,9,2015,388,3590886,10.80513277224618,WONDER_1999_2020,
Connecticut,9,2016,398,3576452,11.128347311805108,WONDER_1999_2020,
Connecticut,9,2017,408,3588184,11.37065434771461,WONDER_1999_2020,
Connecticut,9,2018,421,3572665,11.783920406755183,WONDER_1999_2020,
Connecticut,9,2019,435,3565287,12.20098129547495,WONDER_1999_2020,
Connecticut,9,2020,366,3557006,10.289552505674717,WONDER_1999_2020,
Connecticut,9,2021,404,3605597,11.204801867762814,WONDER_2018_2024_single_race,
Connecticut,9,2022,401,3626205,11.058393003153435,WONDER_2018_2024_single_race,
Connecticut,9,2023,359,3617176,9.924869566755945,WONDER_2018_2024_single_race,
Connecticut,9,2024,398,3675069,10.829728639108545,WONDER_2018_2024_single_race,
Delaware,10,1999,86,774990,11.096917379579091,WONDER_1999_2020,
Delaware,10,2000,82,783600,10.464522715671261,WONDER_1999_2020,
Delaware,10,2001,109,795699,13.698647352830656,WONDER_1999_2020,
Delaware,10,2002,74,806169,9.179216764723028,WONDER_1999_2020,
Delaware,10,2003,94,818003,11.491400398287048,WONDER_1999_2020,
Delaware,10,2004,93,830803,11.193989429503745,WONDER_1999_2020,
Delaware,10,2005,83,845150,9.820741880139622,WONDER_1999_2020,
Delaware,10,2006,92,859268,10.706787637849892,WONDER_1999_2020,
Delaware,10,2007,95,871749,10.897632231295935,WONDER_1999_2020,
Delaware,10,2008,109,883874,12.332074481204334,WONDER_1999_2020,
Delaware,10,2009,107,891730,11.999147724086887,WONDER_1999_2020,
Delaware,10,2010,106,897934,11.804876527673526,WONDER_1999_2020,
Delaware,10,2011,105,907135,11.574903404675158,WONDER_1999_2020,
Delaware,10,2012,125,917092,13.630039298129304,WONDER_1999_2020,
Delaware,10,2013,122,925749,13.178518151248342,WONDER_1999_2020,
Delaware,10,2014,126,935614,13.467092198278351,WONDER_1999_2020,
Delaware,10,2015,122,945934,12.897305731689526,WONDER_1999_2020,
Delaware,10,2016,120,952065,12.604181437191787,WONDER_1999_2020,
Delaware,10,2017,112,961939,11.643149929465382,WONDER_1999_2020,
Delaware,10,2018,114,967171,11.786953909908382,WONDER_1999_2020,
Delaware,10,2019,111,973764,11.399065892762518,WONDER_1999_2020,
Delaware,10,2020,125,986809,12.66709160536639,WONDER_1999_2020,
Delaware,10,2021,138,1003384,13.753458297122538,WONDER_2018_2024_single_race,
Delaware,10,2022,132,1018396,12.961559157734317,WONDER_2018_2024_single_race,
Delaware,10,2023,145,1031890,14.051885375379157,WONDER_2018_2024_single_race,
Delaware,10,2024,126,1051917,11.978131354469982,WONDER_2018_2024_single_race,
