State,Year,gun_ownership
Alabama,1999,0.537
Alabama,2000,0.538
Alabama,2001,0.522
Alabama,2002,0.553
Alabama,2003,0.504
Alabama,2004,0.516
Alabama,2005,0.485
Alabama,2006,0.468
Alabama,2007,0.481
Alabama,2008,0.503
Alabama,2009,0.482
Alabama,2010,0.456
Alabama,2011,0.513
Alabama,2012,0.543
Alabama,2013,0.516
Alabama,2014,0.51
Alabama,2015,0.495
Alabama,2016,0.528
Alaska,1999,0.571
Alaska,2000,0.601
Alaska,2001,0.61
Alaska,2002,0.614
Alaska,2003,0.587
Alaska,2004,0.58
Alaska,2005,0.609
Alaska,2006,0.551
Alaska,2007,0.577
Alaska,2008,0.613
Alaska,2009,0.543
Alaska,2010,0.611
Alaska,2011,0.627
Alaska,2012,0.607
Alaska,2013,0.576
Alaska,2014,0.618
Alaska,2015,0.551
Alaska,2016,0.572
Arizona,1999,0.409
Arizona,2000,0.427
Arizona,2001,0.35
Arizona,2002,0.381
Arizona,2003,0.393
Arizona,2004,0.368
Arizona,2005,0.373
Arizona,2006,0.385
Arizona,2007,0.38
Arizona,2008,0.382
Arizona,2009,0.396
Arizona,2010,0.346
Arizona,2011,0.329
Arizona,2012,0.415
Arizona,2013,0.366
Arizona,2014,0.385
Arizona,2015,0.36
Arizona,2016,0.36
Arkansas,1999,0.555
Arkansas,2000,0.542
Arkansas,2001,0.537
Arkansas,2002,0.56
Arkansas,2003,0.516
Arkansas,2004,0.544
Arkansas,2005,0.499
Arkansas,2006,0.481
Arkansas,2007,0.507
Arkansas,2008,0.508
Arkansas,2009,0.493
Arkansas,2010,0.493
Arkansas,2011,0.527
Arkansas,2012,0.544
Arkansas,2013,0.5
Arkansas,2014,0.493
Arkansas,2015,0.462
Arkansas,2016,0.518
California,1999,0.271
California,2000,0.274
California,2001,0.229
California,2002,0.228
California,2003,0.198
California,2004,0.203
California,2005,0.209
California,2006,0.202
California,2007,0.185
California,2008,0.175
California,2009,0.196
California,2010,0.174
California,2011,0.16
California,2012,0.214
California,2013,0.155
California,2014,0.183
California,2015,0.151
California,2016,0.163
Colorado,1999,0.43
Colorado,2000,0.467
Colorado,2001,0.371
Colorado,2002,0.363
Colorado,2003,0.373
Colorado,2004,0.411
Colorado,2005,0.378
Colorado,2006,0.399
Colorado,2007,0.404
Colorado,2008,0.402
Colorado,2009,0.411
Colorado,2010,0.384
Colorado,2011,0.36
Colorado,2012,0.414
Colorado,2013,0.394
Colorado,2014,0.385
Colorado,2015,0.369
Colorado,2016,0.379
Connecticut,1999,0.198
Connecticut,2000,0.202
Connecticut,2001,0.189
Connecticut,2002,0.193
Connecticut,2003,0.179
Connecticut,2004,0.166
Connecticut,2005,0.202
Connecticut,2006,0.174
Connecticut,2007,0.116
Connecticut,2008,0.192
Connecticut,2009,0.185
Connecticut,2010,0.172
Connecticut,2011,0.163
Connecticut,2012,0.183
Connecticut,2013,0.141
Connecticut,2014,0.2
Connecticut,2015,0.192
Connecticut,2016,0.188
Delaware,1999,0.319
Delaware,2000,0.352
Delaware,2001,0.3
Delaware,2002,0.317
Delaware,2003,0.304
Delaware,2004,0.331
Delaware,2005,0.3
Delaware,2006,0.303
Delaware,2007,0.262
Delaware,2008,0.263
Delaware,2009,0.265
Delaware,2010,0.269
Delaware,2011,0.309
Delaware,2012,0.308
Delaware,2013,0.289
Delaware,2014,0.301
Delaware,2015,0.32
Delaware,2016,0.387
Florida,1999,0.33
Florida,2000,0.32
Florida,2001,0.268
Florida,2002,0.277
Florida,2003,0.266
Florida,2004,0.234
Florida,2005,0.295
Florida,2006,0.282
Florida,2007,0.261
Florida,2008,0.303
Florida,2009,0.281
Florida,2010,0.27
Florida,2011,0.325
Florida,2012,0.309
Florida,2013,0.279
Florida,2014,0.284
Florida,2015,0.277
Florida,2016,0.288
Georgia,1999,0.488
Georgia,2000,0.467
Georgia,2001,0.427
Georgia,2002,0.442
Georgia,2003,0.396
Georgia,2004,0.43
Georgia,2005,0.416
Georgia,2006,0.395
Georgia,2007,0.388
Georgia,2008,0.395
Georgia,2009,0.453
Georgia,2010,0.364
Georgia,2011,0.421
Georgia,2012,0.401
Georgia,2013,0.379
Georgia,2014,0.382
Georgia,2015,0.361
Georgia,2016,0.377
Hawaii,1999,0.075
Hawaii,2000,0.124
Hawaii,2001,0.103
Hawaii,2002,0.098
Hawaii,2003,0.063
Hawaii,2004,0.2
Hawaii,2005,0.072
Hawaii,2006,0.116
Hawaii,2007,0.064
Hawaii,2008,0.099
Hawaii,2009,0.062
Hawaii,2010,0.084
Hawaii,2011,0.081
Hawaii,2012,0.12
Hawaii,2013,0.073
Hawaii,2014,0.034
Hawaii,2015,0.096
Hawaii,2016,0.091
Idaho,1999,0.583
Idaho,2000,0.609
Idaho,2001,0.573
Idaho,2002,0.576
Idaho,2003,0.51
Idaho,2004,0.557
Idaho,2005,0.589
Idaho,2006,0.554
Idaho,2007,0.561
Idaho,2008,0.543
Idaho,2009,0.541
Idaho,2010,0.523
Idaho,2011,0.466
Idaho,2012,0.552
Idaho,2013,0.542
Idaho,2014,0.53
Idaho,2015,0.509
Idaho,2016,0.578
Illinois,1999,0.279
Illinois,2000,0.286
Illinois,2001,0.218
Illinois,2002,0.232
Illinois,2003,0.218
Illinois,2004,0.226
Illinois,2005,0.23
Illinois,2006,0.245
Illinois,2007,0.225
Illinois,2008,0.205
Illinois,2009,0.243
Illinois,2010,0.243
Illinois,2011,0.243
Illinois,2012,0.266
Illinois,2013,0.244
Illinois,2014,0.238
Illinois,2015,0.238
Illinois,2016,0.226
Indiana,1999,0.405
Indiana,2000,0.444
Indiana,2001,0.387
Indiana,2002,0.408
Indiana,2003,0.364
Indiana,2004,0.391
Indiana,2005,0.37
Indiana,2006,0.386
Indiana,2007,0.358
Indiana,2008,0.374
Indiana,2009,0.4
Indiana,2010,0.391
Indiana,2011,0.351
Indiana,2012,0.432
Indiana,2013,0.406
Indiana,2014,0.424
Indiana,2015,0.394
Indiana,2016,0.424
Iowa,1999,0.397
Iowa,2000,0.477
Iowa,2001,0.398
Iowa,2002,0.417
Iowa,2003,0.389
Iowa,2004,0.423
Iowa,2005,0.359
Iowa,2006,0.375
Iowa,2007,0.388
Iowa,2008,0.396
Iowa,2009,0.387
Iowa,2010,0.411
Iowa,2011,0.376
Iowa,2012,0.409
Iowa,2013,0.401
Iowa,2014,0.331
Iowa,2015,0.36
Iowa,2016,0.385
Kansas,1999,0.433
Kansas,2000,0.469
Kansas,2001,0.417
Kansas,2002,0.418
Kansas,2003,0.437
Kansas,2004,0.428
Kansas,2005,0.392
Kansas,2006,0.426
Kansas,2007,0.447
Kansas,2008,0.421
Kansas,2009,0.43
Kansas,2010,0.439
Kansas,2011,0.444
Kansas,2012,0.455
Kansas,2013,0.452
Kansas,2014,0.419
Kansas,2015,0.377
Kansas,2016,0.423
Kentucky,1999,0.54
Kentucky,2000,0.553
Kentucky,2001,0.522
Kentucky,2002,0.52
Kentucky,2003,0.507
Kentucky,2004,0.52
Kentucky,2005,0.502
Kentucky,2006,0.476
Kentucky,2007,0.509
Kentucky,2008,0.499
Kentucky,2009,0.491
Kentucky,2010,0.464
Kentucky,2011,0.529
Kentucky,2012,0.514
Kentucky,2013,0.498
Kentucky,2014,0.467
Kentucky,2015,0.464
Kentucky,2016,0.525
Louisiana,1999,0.513
Louisiana,2000,0.505
Louisiana,2001,0.45
Louisiana,2002,0.485
Louisiana,2003,0.476
Louisiana,2004,0.491
Louisiana,2005,0.486
Louisiana,2006,0.483
Louisiana,2007,0.476
Louisiana,2008,0.492
Louisiana,2009,0.458
Louisiana,2010,0.454
Louisiana,2011,0.467
Louisiana,2012,0.551
Louisiana,2013,0.487
Louisiana,2014,0.481
Louisiana,2015,0.456
Louisiana,2016,0.523
Maine,1999,0.441
Maine,2000,0.466
Maine,2001,0.403
Maine,2002,0.41
Maine,2003,0.421
Maine,2004,0.411
Maine,2005,0.425
Maine,2006,0.431
Maine,2007,0.457
Maine,2008,0.462
Maine,2009,0.441
Maine,2010,0.46
Maine,2011,0.47
Maine,2012,0.46
Maine,2013,0.496
Maine,2014,0.423
Maine,2015,0.413
Maine,2016,0.477
Maryland,1999,0.298
Maryland,2000,0.265
Maryland,2001,0.249
Maryland,2002,0.252
Maryland,2003,0.24
Maryland,2004,0.236
Maryland,2005,0.266
Maryland,2006,0.237
Maryland,2007,0.206
Maryland,2008,0.235
Maryland,2009,0.218
Maryland,2010,0.196
Maryland,2011,0.266
Maryland,2012,0.213
Maryland,2013,0.18
Maryland,2014,0.219
Maryland,2015,0.201
Maryland,2016,0.167
Massachusetts,1999,0.136
Massachusetts,2000,0.126
Massachusetts,2001,0.121
Massachusetts,2002,0.115
