State,permit_checks,permit_recheck_checks,handgun_checks,long_gun_checks,other_checks,multiple_checks,admin_checks,total_checks,Year,handgun_or_permit_checks,permit_and_recheck_checks,population,handgun_checks_per_100k,permit_checks_per_100k,permit_recheck_checks_per_100k,permit_and_recheck_checks_per_100k,handgun_or_permit_checks_per_100k
Alabama,0,0,94544,149017,0,3195,0,246756,1999,94544,0,4430141,2134.108146896453,0.0,0.0,0.0,2134.108146896453
Alabama,12,0,81983,136767,0,3149,0,221911,2000,81995,12,4447100,1843.5159991904836,0.26983877133412787,0.0,0.26983877133412787,1843.7858379618178
Alabama,0,0,83885,134914,0,3490,0,230187,2001,83885,0,4467634,1877.6157581395432,0.0,0.0,0.0,1877.6157581395432
Alabama,0,0,65294,111339,0,3548,0,221008,2002,65294,0,4480089,1457.4264038058172,0.0,0.0,0.0,1457.4264038058172
Alabama,0,0,67985,114104,0,3620,0,225479,2003,67985,0,4503491,1509.6066584789444,0.0,0.0,0.0,1509.6066584789444
Alabama,0,0,69932,117692,0,3632,0,229997,2004,69932,0,4530729,1543.5043676194273,0.0,0.0,0.0,1543.5043676194273
Alabama,0,0,77044,119189,0,3976,0,235873,2005,77044,0,4569805,1685.9362708036779,0.0,0.0,0.0,1685.9362708036779
Alabama,0,0,83100,121077,0,3865,0,243176,2006,83100,0,4628981,1795.2115163142817,0.0,0.0,0.0,1795.2115163142817
Alabama,0,0,91446,114695,0,4253,0,245355,2007,91446,0,4672840,1956.9683532926445,0.0,0.0,0.0,1956.9683532926445
Alabama,117,0,112649,143499,0,5673,3,299432,2008,112766,117,4718206,2387.538823018749,2.4797560767800304,0.0,2.4797560767800304,2390.0185790955293
Alabama,2619,0,119867,146978,819,6787,2,317868,2009,122486,2619,4757938,2519.30563197755,55.044853463832446,0.0,55.044853463832446,2574.3504854413823
Alabama,4621,0,116963,136519,1771,5465,19,308607,2010,121584,4621,4779736,2447.0598376144626,96.67897975955157,0.0,96.67897975955157,2543.7388173740137
Alabama,5036,0,130490,146290,2121,6262,0,336102,2011,135526,5036,4802740,2716.99071779859,104.85681090377577,0.0,104.85681090377577,2821.8475287023657
Alabama,6135,0,177239,184072,4348,9227,1,431356,2012,183374,6135,4822023,3675.614985660583,127.22875855216785,0.0,127.22875855216785,3802.8437442127506
Alabama,100231,0,195052,203530,5955,9270,2,563880,2013,295283,100231,4833722,4035.234132207024,2073.5780833072317,0.0,2073.5780833072317,6108.812215514256
