State,Year,uninsured_under65_pct,drug_overdose_rate_per_100k
Alabama,2008,15.3,
Alabama,2009,15.8,
Alabama,2010,16.9,
Alabama,2011,16.6,
Alabama,2012,15.8,
Alabama,2013,15.9,
Alabama,2014,14.2,
Alabama,2015,11.9,
Alabama,2016,10.8,
Alabama,2017,11.0,
Alabama,2018,11.9,
Alabama,2019,11.6,14.7
Alabama,2020,11.8,19.5
Alabama,2021,11.7,27.0
Alabama,2022,10.5,28.4
Alabama,2023,10.2,30.4
Alabama,2024,,23.1
Alaska,2008,20.5,
Alaska,2009,22.7,
Alaska,2010,21.4,
Alaska,2011,21.7,
Alaska,2012,22.3,
Alaska,2013,20.8,
Alaska,2014,19.0,
Alaska,2015,16.3,
Alaska,2016,15.5,
Alaska,2017,14.8,
Alaska,2018,13.9,
Alaska,2019,12.7,16.1
Alaska,2020,13.0,20.3
Alaska,2021,13.2,34.4
Alaska,2022,13.3,33.4
Alaska,2023,12.6,47.2
Alaska,2024,,44.9
Arizona,2008,20.5,
Arizona,2009,19.9,
Arizona,2010,19.3,
Arizona,2011,19.6,
Arizona,2012,20.4,
Arizona,2013,20.0,
Arizona,2014,16.1,
Arizona,2015,12.8,
Arizona,2016,11.9,
Arizona,2017,12.1,
Arizona,2018,12.8,
Arizona,2019,13.6,24.1
Arizona,2020,13.5,33.8
Arizona,2021,13.1,35.8
Arizona,2022,12.7,33.8
Arizona,2023,12.4,33.4
Arizona,2024,,31.3
Arkansas,2008,19.8,
Arkansas,2009,19.6,
Arkansas,2010,20.6,
Arkansas,2011,20.1,
Arkansas,2012,19.4,
Arkansas,2013,18.8,
Arkansas,2014,13.8,
Arkansas,2015,11.1,
Arkansas,2016,9.4,
Arkansas,2017,9.3,
Arkansas,2018,9.6,
Arkansas,2019,10.8,11.7
Arkansas,2020,10.2,16.4
Arkansas,2021,11.1,19.5
Arkansas,2022,10.0,18.9
Arkansas,2023,10.7,15.4
Arkansas,2024,,12.5
California,2008,19.2,
California,2009,20.1,
California,2010,20.7,
California,2011,20.2,
California,2012,20.0,
California,2013,19.4,
California,2014,14.1,
California,2015,9.7,
California,2016,8.4,
California,2017,8.2,
California,2018,8.3,
California,2019,8.9,14.4
California,2020,8.2,21.5
California,2021,8.1,26.8
California,2022,7.5,26.7
California,2023,7.5,28.0
California,2024,,22.1
Colorado,2008,18.1,
Colorado,2009,17.2,
Colorado,2010,17.7,
Colorado,2011,17.0,
Colorado,2012,16.7,
Colorado,2013,16.0,
Colorado,2014,11.7,
Colorado,2015,9.2,
Colorado,2016,8.6,
Colorado,2017,8.7,
Colorado,2018,8.8,
Colorado,2019,9.4,15.9
Colorado,2020,9.9,22.9
Colorado,2021,9.3,29.5
Colorado,2022,8.4,28.1
Colorado,2023,7.9,29.0
Colorado,2024,,24.6
Connecticut,2008,10.1,
Connecticut,2009,10.2,
Connecticut,2010,10.4,
Connecticut,2011,10.1,
Connecticut,2012,10.5,
Connecticut,2013,10.9,
Connecticut,2014,8.0,
Connecticut,2015,6.9,
Connecticut,2016,5.8,
Connecticut,2017,6.3,
Connecticut,2018,6.2,
Connecticut,2019,7.0,31.8
Connecticut,2020,5.4,36.6
Connecticut,2021,6.0,40.9
Connecticut,2022,6.1,39.3
Connecticut,2023,6.6,34.7
Connecticut,2024,,25.6
Delaware,2008,11.7,
Delaware,2009,12.0,
Delaware,2010,11.6,
Delaware,2011,11.2,
Delaware,2012,10.3,
Delaware,2013,10.9,
Delaware,2014,9.3,
Delaware,2015,6.9,
Delaware,2016,6.7,
Delaware,2017,6.1,
Delaware,2018,6.8,
Delaware,2019,8.0,43.4
Delaware,2020,7.5,43.8
Delaware,2021,6.9,50.1
Delaware,2022,6.9,52.5
Delaware,2023,7.7,49.1
Delaware,2024,,31.4
Florida,2008,24.2,
Florida,2009,24.9,
Florida,2010,25.3,
Florida,2011,24.8,
Florida,2012,24.1,
Florida,2013,24.3,
Florida,2014,20.2,
Florida,2015,16.3,
Florida,2016,15.4,
Florida,2017,16.0,
Florida,2018,16.1,
Florida,2019,16.4,22.6
Florida,2020,15.5,31.9
Florida,2021,15.1,34.2
Florida,2022,13.9,32.2
Florida,2023,13.4,29.3
Florida,2024,,20.4
Georgia,2008,20.1,
Georgia,2009,21.2,
Georgia,2010,21.9,
Georgia,2011,21.7,
Georgia,2012,20.7,
Georgia,2013,21.2,
Georgia,2014,18.0,
Georgia,2015,15.8,
Georgia,2016,14.9,
Georgia,2017,15.5,
Georgia,2018,15.9,
Georgia,2019,15.7,12.1
Georgia,2020,15.3,17.0
Georgia,2021,14.8,22.1
Georgia,2022,13.6,23.5
Georgia,2023,13.3,22.4
Georgia,2024,,17.5
Hawaii,2008,7.7,
Hawaii,2009,8.2,
Hawaii,2010,8.9,
Hawaii,2011,8.1,
