GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "01000","Alabama",5,SAINC11,1,"...","All industry total ","Percent change",3.3,2.5,2.2,2.1,2.8,4.7,4.1,4.0,2.3,0.4,-1.2,1.8,1.7,1.4,1.9,1.9,2.2,1.3,2.5,2.9,2.6,2.0,5.0,4.7,3.7,3.5
 "01000","Alabama",5,SAINC11,2,"111-81"," Private industries 2/","Percentage points",2.64,1.89,1.48,1.32,1.88,3.95,3.36,3.35,1.37,-0.32,-1.80,1.37,1.50,1.65,1.92,1.50,1.84,1.00,2.26,2.57,2.21,1.43,4.56,4.22,2.70,2.59
 "01000","Alabama",5,SAINC11,3,"111-112","  Farm ","Percentage points",0.17,-0.28,0.40,-0.36,0.28,0.41,-0.10,-0.49,-0.13,0.02,0.03,-0.09,-0.24,0.18,0.75,-0.26,0.01,-0.37,0.22,-0.13,-0.13,-0.19,0.46,0.35,-0.34,0.20
 "01000","Alabama",5,SAINC11,4,"113-115","  Forestry, fishing, and related activities ","Percentage points",-0.01,0.02,(D),(D),-0.01,0.10,0.00,0.02,-0.05,-0.03,0.00,0.06,-0.01,0.02,-0.01,0.02,0.02,0.02,0.00,0.02,0.00,0.06,-0.06,-0.01,0.02,0.00
 "01000","Alabama",5,SAINC11,5,"21","  Mining, quarrying, and oil and gas extraction ","Percentage points",-0.04,-0.05,-0.03,0.00,0.00,-0.01,0.08,0.00,-0.02,0.02,-0.08,0.04,0.10,0.04,0.00,-0.03,-0.14,-0.15,0.18,0.19,-0.05,-0.11,-0.05,0.15,-0.04,0.02
 "01000","Alabama",5,SAINC11,6,"22","  Utilities ","Percentage points",0.04,0.06,0.23,-0.02,0.04,0.04,-0.04,0.07,0.05,0.02,-0.01,0.01,0.10,-0.04,0.04,0.01,0.07,0.07,-0.03,0.06,0.07,0.05,-0.01,-0.01,0.02,0.01
 "01000","Alabama",5,SAINC11,7,"23","  Construction ","Percentage points",0.48,0.28,0.07,0.03,0.10,0.13,0.43,0.59,0.23,-0.25,-0.42,0.09,0.05,0.27,-0.15,-0.02,0.01,0.13,0.15,0.27,0.48,0.17,0.27,0.31,0.36,0.41
 "01000","Alabama",5,SAINC11,8,"31-33","  Manufacturing ","Percentage points",0.24,0.08,0.03,-0.21,-0.13,0.69,0.54,0.60,0.16,-0.16,-1.13,0.09,0.19,0.36,0.35,0.55,0.34,0.21,0.27,0.41,0.31,0.03,0.72,0.99,0.58,0.51
 "01000","Alabama",5,SAINC11,9,"321,327-339","   Durable goods manufacturing ","Percentage points",0.24,0.04,0.10,0.15,-0.04,0.60,0.59,0.62,0.11,-0.03,-0.87,0.09,0.13,0.30,0.27,0.43,0.28,0.15,0.16,0.26,0.17,-0.03,0.62,0.62,0.55,0.41
 "01000","Alabama",5,SAINC11,10,"311-316,322-326","   Nondurable goods manufacturing ","Percentage points",0.00,0.04,-0.07,-0.36,-0.09,0.09,-0.05,-0.02,0.05,-0.13,-0.25,0.00,0.06,0.05,0.08,0.12,0.06,0.06,0.10,0.15,0.14,0.06,0.09,0.37,0.03,0.10
 "01000","Alabama",5,SAINC11,11,"42","  Wholesale trade ","Percentage points",0.09,0.23,0.13,0.05,0.02,0.16,0.22,0.19,0.09,0.11,-0.26,0.00,0.13,-0.01,0.11,0.05,0.14,0.00,0.10,0.16,0.12,0.16,0.29,0.21,0.19,0.13
 "01000","Alabama",5,SAINC11,12,"44-45","  Retail trade ","Percentage points",0.31,0.15,-0.13,0.24,0.21,0.24,0.37,0.28,-0.03,-0.24,-0.14,0.07,0.14,0.11,0.08,0.08,0.13,0.12,0.07,0.14,0.19,0.26,0.50,0.15,0.24,0.10
 "01000","Alabama",5,SAINC11,13,"48-49","  Transportation and warehousing ","Percentage points",0.03,0.10,-0.06,0.00,0.08,0.22,0.13,0.14,0.13,-0.08,-0.12,0.11,0.18,-0.03,0.03,0.07,0.11,0.08,0.20,0.27,-0.05,0.03,0.36,0.20,0.11,0.01
 "01000","Alabama",5,SAINC11,14,"51","  Information ","Percentage points",0.12,0.07,0.16,0.01,-0.07,0.07,0.04,0.04,-0.07,0.01,-0.09,-0.08,-0.01,-0.02,-0.01,0.03,-0.01,-0.03,0.03,0.05,0.05,0.00,0.12,0.07,0.09,0.03
 "01000","Alabama",5,SAINC11,15,"52","  Finance and insurance ","Percentage points",0.18,0.17,0.29,0.20,0.23,0.16,0.32,0.32,0.08,-0.06,0.27,-0.06,-0.05,0.04,0.12,0.18,0.18,0.04,0.21,0.14,0.07,0.24,0.23,0.12,0.19,0.14
 "01000","Alabama",5,SAINC11,16,"53","  Real estate and rental and leasing ","Percentage points",0.08,0.04,0.02,0.07,0.05,0.09,0.06,0.03,-0.10,-0.46,-0.10,0.16,0.09,0.11,0.23,0.12,0.09,0.11,-0.04,-0.04,0.08,0.23,-0.32,0.35,-0.27,0.03
 "01000","Alabama",5,SAINC11,17,"54","  Professional, scientific, and technical services ","Percentage points",0.33,0.27,0.19,0.22,0.39,0.30,0.24,0.48,0.37,0.57,-0.01,-0.06,0.20,0.07,0.09,0.14,0.26,0.17,0.36,0.35,0.30,0.35,0.42,0.51,0.57,0.35
 "01000","Alabama",5,SAINC11,18,"55","  Management of companies and enterprises ","Percentage points",0.03,-0.01,0.10,0.03,0.14,0.11,0.05,0.10,0.10,-0.02,0.04,0.06,0.06,0.06,-0.01,-0.04,0.01,0.14,0.09,-0.02,0.01,-0.08,0.04,0.11,0.09,0.06
 "01000","Alabama",5,SAINC11,19,"56","  Administrative and support and waste management and remediation services ","Percentage points",0.16,0.14,0.07,0.14,0.09,0.17,0.22,0.14,0.15,0.04,-0.10,0.26,0.15,0.09,0.03,0.10,0.05,0.04,0.18,0.11,0.17,0.03,0.32,0.20,0.10,-0.01
 "01000","Alabama",5,SAINC11,20,"61","  Educational services ","Percentage points",0.04,0.04,-0.01,0.05,0.03,0.06,0.01,0.04,0.07,-0.01,0.05,0.03,0.02,0.02,0.01,0.04,0.01,0.04,-0.02,-0.01,0.03,-0.01,0.04,0.01,0.02,0.01
 "01000","Alabama",5,SAINC11,21,"62","  Health care and social assistance ","Percentage points",0.10,0.37,0.31,0.58,0.20,0.55,0.39,0.43,0.28,0.33,0.20,0.35,0.22,0.16,0.20,0.25,0.42,0.26,0.20,0.37,0.46,0.31,0.41,0.22,0.52,0.33
