GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "15000","Hawaii",8,SAINC11,1,"...","All industry total ","Percent change",3.0,4.5,4.2,4.8,4.9,5.6,5.7,4.4,2.6,1.5,-0.9,1.4,2.7,3.0,2.2,2.8,3.6,2.5,2.8,2.2,2.5,-3.9,6.0,3.7,5.2,3.8
 "15000","Hawaii",8,SAINC11,2,"111-81"," Private industries 2/","Percentage points",1.91,3.88,3.08,2.68,3.21,4.05,4.13,3.03,1.37,0.18,-1.67,0.82,1.66,2.69,2.18,1.63,3.03,1.91,2.73,2.09,2.09,-4.73,5.38,3.70,4.00,2.41
 "15000","Hawaii",8,SAINC11,3,"111-112","  Farm ","Percentage points",0.08,-0.01,-0.01,0.04,0.00,0.00,0.02,0.00,-0.03,0.01,0.07,-0.03,0.05,0.07,-0.01,-0.06,0.05,-0.08,0.01,-0.08,-0.02,0.03,0.04,0.03,0.01,0.04
 "15000","Hawaii",8,SAINC11,4,"113-115","  Forestry, fishing, and related activities ","Percentage points",0.01,0.01,-0.01,0.00,-0.01,-0.02,-0.01,0.01,-0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.00,0.02,0.01,0.01,-0.01,0.00,0.00,(D),(D),0.01,(D)
 "15000","Hawaii",8,SAINC11,5,"21","  Mining, quarrying, and oil and gas extraction ","Percentage points",0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.01,-0.01,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00
 "15000","Hawaii",8,SAINC11,6,"22","  Utilities ","Percentage points",0.02,0.02,0.10,0.02,0.03,0.05,0.03,0.07,0.00,0.06,-0.01,0.04,0.10,0.01,0.10,0.04,0.04,0.00,0.01,0.04,0.00,0.05,-0.02,0.02,-0.01,0.00
 "15000","Hawaii",8,SAINC11,7,"23","  Construction ","Percentage points",0.15,0.66,0.21,0.47,0.64,0.57,1.20,0.72,0.49,-0.05,-0.61,-0.29,-0.12,0.18,0.04,0.36,0.80,0.56,0.04,-0.01,0.38,-0.03,0.01,0.05,0.38,0.47
 "15000","Hawaii",8,SAINC11,8,"31-33","  Manufacturing ","Percentage points",0.09,0.12,0.13,-0.06,0.06,0.15,0.00,0.05,0.03,0.04,-0.11,-0.06,0.06,0.06,0.06,0.08,0.01,0.06,0.04,0.04,0.00,-0.07,(D),(D),0.10,(D)
 "15000","Hawaii",8,SAINC11,9,"321,327-339","   Durable goods manufacturing ","Percentage points",0.03,0.07,(D),-0.03,0.04,(D),-0.02,0.03,0.01,0.05,-0.08,-0.03,0.03,-0.01,0.03,0.01,0.00,0.02,0.03,0.00,-0.01,0.02,(D),(D),0.04,(D)
 "15000","Hawaii",8,SAINC11,10,"311-316,322-326","   Nondurable goods manufacturing ","Percentage points",0.06,0.05,(D),-0.03,0.02,(D),0.02,0.03,0.02,-0.01,-0.03,-0.03,0.02,0.07,0.03,0.07,0.01,0.04,0.01,0.04,0.00,-0.10,0.04,0.08,0.06,0.06
 "15000","Hawaii",8,SAINC11,11,"42","  Wholesale trade ","Percentage points",0.06,0.14,0.27,0.08,0.08,0.01,0.13,0.08,0.12,0.05,-0.14,0.00,0.09,0.07,0.09,0.05,0.09,0.00,0.12,0.00,0.09,-0.07,0.07,0.13,0.10,0.05
