GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "25000","Massachusetts",1,SAINC11,1,"...","All industry total ","Percent change",7.1,9.8,2.7,-0.5,1.1,5.1,2.4,4.5,3.9,1.8,-0.5,4.4,2.6,2.3,1.9,2.8,4.5,2.6,3.9,3.9,4.3,1.0,6.3,3.3,2.8,3.9
 "25000","Massachusetts",1,SAINC11,2,"111-81"," Private industries 2/","Percentage points",6.49,9.31,2.21,-0.90,0.81,4.64,1.97,3.96,3.40,1.42,-0.78,4.13,2.41,1.93,1.48,2.34,4.08,2.56,3.65,3.53,4.02,0.85,6.29,3.23,2.53,3.43
 "25000","Massachusetts",1,SAINC11,3,"111-112","  Farm ","Percentage points",0.00,0.01,-0.01,0.01,0.00,0.01,-0.01,0.00,0.00,0.02,-0.01,0.00,0.00,0.02,0.00,-0.01,-0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.02,-0.02,0.00
 "25000","Massachusetts",1,SAINC11,4,"113-115","  Forestry, fishing, and related activities ","Percentage points",0.02,0.03,0.02,(D),(D),(D),0.04,0.02,-0.07,(D),0.03,0.14,-0.05,-0.01,(D),-0.04,0.02,0.00,0.00,0.00,0.00,0.01,0.00,-0.01,0.01,0.00
 "25000","Massachusetts",1,SAINC11,5,"21","  Mining, quarrying, and oil and gas extraction ","Percentage points",0.00,0.02,0.04,(D),(D),(D),-0.01,0.01,0.00,(D),-0.02,0.00,-0.02,0.03,(D),0.06,-0.04,-0.01,-0.03,0.00,0.00,0.01,0.03,0.04,0.01,0.00
 "25000","Massachusetts",1,SAINC11,6,"22","  Utilities ","Percentage points",0.03,0.03,0.07,-0.03,0.01,-0.03,0.03,0.13,0.02,0.24,-0.30,0.09,0.02,-0.05,0.07,0.05,-0.01,-0.04,0.17,0.13,0.11,0.26,0.29,-0.14,-0.18,0.01
 "25000","Massachusetts",1,SAINC11,7,"23","  Construction ","Percentage points",0.73,0.76,0.55,0.26,-0.08,0.20,0.13,0.20,-0.18,-0.25,-0.38,0.13,0.23,0.36,0.23,0.22,0.39,0.21,0.34,0.28,0.35,-0.15,0.31,0.24,0.16,0.20
 "25000","Massachusetts",1,SAINC11,8,"31-33","  Manufacturing ","Percentage points",0.70,0.91,-0.38,-0.88,-0.06,0.51,-0.02,0.19,0.45,-0.26,-0.50,0.26,0.26,0.16,-0.19,0.12,0.20,-0.08,0.17,0.19,0.00,0.04,0.13,0.48,0.04,0.11
 "25000","Massachusetts",1,SAINC11,9,"321,327-339","   Durable goods manufacturing ","Percentage points",0.64,0.72,-0.34,-0.68,-0.19,0.30,-0.05,0.09,0.33,-0.07,-0.50,0.37,0.06,0.06,-0.16,0.08,0.09,0.16,0.14,0.03,0.02,0.00,0.14,0.06,0.02,0.03
 "25000","Massachusetts",1,SAINC11,10,"311-316,322-326","   Nondurable goods manufacturing ","Percentage points",0.06,0.18,-0.04,-0.21,0.13,0.21,0.04,0.10,0.12,-0.18,0.00,-0.11,0.21,0.10,-0.03,0.04,0.11,-0.24,0.04,0.16,-0.02,0.05,-0.01,0.42,0.02,0.08
 "25000","Massachusetts",1,SAINC11,11,"42","  Wholesale trade ","Percentage points",0.26,0.55,0.03,-0.15,0.17,0.16,-0.06,0.37,0.18,0.10,-0.18,0.00,0.13,-0.07,0.12,0.07,0.16,0.08,0.11,-0.01,0.03,0.09,0.32,0.24,0.02,0.11
