GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "23000","Maine",1,SAINC11,1,"...","All industry total ","Percent change",5.1,4.9,4.1,2.9,2.9,3.7,1.3,3.6,1.5,1.0,-0.6,2.1,0.7,1.0,0.9,2.0,2.7,1.8,2.6,2.9,3.0,2.8,6.3,4.5,4.2,3.7
 "23000","Maine",1,SAINC11,2,"111-81"," Private industries 2/","Percentage points",4.34,4.20,3.33,2.04,2.00,3.02,0.83,2.93,1.04,0.65,-0.81,2.02,1.10,1.03,0.63,1.43,2.43,1.37,2.47,2.67,2.89,2.28,5.81,4.02,3.53,3.00
 "23000","Maine",1,SAINC11,3,"111-112","  Farm ","Percentage points",0.05,0.04,-0.04,-0.10,0.01,0.04,-0.01,0.00,0.03,0.02,-0.02,0.16,-0.09,0.09,0.01,-0.09,0.00,-0.11,0.05,-0.06,0.10,0.00,0.01,0.09,-0.10,0.04
 "23000","Maine",1,SAINC11,4,"113-115","  Forestry, fishing, and related activities ","Percentage points",0.12,0.29,0.02,-0.05,0.00,-0.09,-0.04,0.04,-0.28,(D),-0.02,(D),-0.02,(D),(D),0.09,0.28,0.02,-0.07,-0.06,-0.05,0.12,-0.03,-0.02,0.15,0.00
 "23000","Maine",1,SAINC11,5,"21","  Mining, quarrying, and oil and gas extraction ","Percentage points",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,(D),-0.01,(D),0.00,(D),(D),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,(D),(D),(D)
 "23000","Maine",1,SAINC11,6,"22","  Utilities ","Percentage points",-0.03,0.01,0.07,0.02,-0.04,0.00,0.06,0.08,-0.02,0.08,-0.09,-0.02,-0.02,0.02,0.02,-0.02,-0.02,0.02,0.03,0.00,0.00,0.05,0.02,(D),(D),0.03
 "23000","Maine",1,SAINC11,7,"23","  Construction ","Percentage points",0.87,0.50,0.41,0.11,0.48,0.42,0.05,0.29,-0.22,-0.27,0.08,0.39,-0.02,-0.03,-0.25,0.24,0.10,0.06,0.27,0.23,0.30,0.12,0.35,0.31,0.41,0.44
 "23000","Maine",1,SAINC11,8,"31-33","  Manufacturing ","Percentage points",0.30,0.24,0.05,-0.36,-0.02,0.16,-0.05,0.08,0.22,0.13,-0.56,0.02,0.15,-0.01,0.06,0.06,0.21,-0.02,0.24,0.24,0.31,0.36,0.36,0.47,0.03,0.07
 "23000","Maine",1,SAINC11,9,"321,327-339","   Durable goods manufacturing ","Percentage points",0.21,0.21,0.25,-0.16,-0.05,0.21,-0.20,0.06,0.23,0.13,-0.44,0.07,0.12,0.01,0.06,0.08,0.20,0.03,0.10,0.18,0.14,0.08,0.28,0.19,0.05,0.10
 "23000","Maine",1,SAINC11,10,"311-316,322-326","   Nondurable goods manufacturing ","Percentage points",0.09,0.03,-0.20,-0.20,0.03,-0.06,0.15,0.02,-0.01,0.00,-0.12,-0.05,0.04,-0.02,0.00,-0.03,0.01,-0.05,0.14,0.06,0.17,0.28,0.08,0.28,-0.02,-0.02
 "23000","Maine",1,SAINC11,11,"42","  Wholesale trade ","Percentage points",0.19,0.19,0.32,0.10,0.16,0.14,0.10,0.16,0.07,-0.06,-0.12,-0.01,0.09,0.12,0.04,0.09,0.16,0.00,0.06,0.13,0.07,0.14,0.16,0.18,0.09,0.05
 "23000","Maine",1,SAINC11,12,"44-45","  Retail trade ","Percentage points",0.47,0.51,0.28,0.34,0.32,0.23,-0.04,0.07,-0.12,-0.21,-0.06,0.06,0.00,-0.06,0.08,0.09,0.21,0.07,0.18,0.18,0.23,0.34,0.53,0.27,0.36,0.15
 "23000","Maine",1,SAINC11,13,"48-49","  Transportation and warehousing ","Percentage points",0.08,0.09,0.01,0.02,0.06,0.09,0.07,0.21,0.12,-0.09,-0.02,0.04,0.02,0.01,0.05,0.08,0.08,0.03,0.08,0.01,0.07,0.04,0.16,0.11,0.01,0.04
 "23000","Maine",1,SAINC11,14,"51","  Information ","Percentage points",0.16,0.02,0.16,0.01,0.07,0.03,0.04,0.04,-0.03,-0.08,-0.04,0.00,-0.13,-0.01,0.01,-0.01,0.03,0.01,-0.03,0.10,0.01,-0.02,0.15,0.08,0.15,(D)
