GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "29000","Missouri",4,SAINC11,1,"...","All industry total ","Percent change",4.4,5.1,2.2,2.3,2.5,4.3,2.5,3.8,2.4,3.1,-1.4,1.1,1.7,2.2,2.7,1.6,2.0,1.7,2.5,2.3,3.0,1.9,4.6,4.8,3.8,3.1
 "29000","Missouri",4,SAINC11,2,"111-81"," Private industries 2/","Percentage points",3.52,4.37,1.82,1.64,1.89,3.70,2.01,3.19,1.83,2.45,-1.99,0.95,1.76,2.24,2.32,1.52,1.74,1.65,2.29,2.05,2.77,1.56,4.43,4.64,3.20,2.45
 "29000","Missouri",4,SAINC11,3,"111-112","  Farm ","Percentage points",-0.22,0.37,0.03,-0.27,0.38,0.72,-0.47,-0.09,0.07,0.31,-0.19,-0.07,0.32,-0.34,0.62,0.16,-0.99,0.12,0.00,-0.17,0.21,0.20,0.16,0.31,-0.08,-0.24
 "29000","Missouri",4,SAINC11,4,"113-115","  Forestry, fishing, and related activities ","Percentage points",0.00,0.03,0.02,0.00,0.00,0.02,-0.03,0.01,-0.03,0.01,0.00,0.03,-0.02,0.02,0.00,0.01,0.02,0.00,0.00,0.01,0.00,0.01,-0.01,0.00,0.03,0.00
 "29000","Missouri",4,SAINC11,5,"21","  Mining, quarrying, and oil and gas extraction ","Percentage points",0.00,0.01,-0.01,-0.01,0.03,-0.01,0.08,-0.05,0.07,0.05,-0.07,0.00,0.07,-0.04,-0.02,-0.03,-0.01,-0.05,0.03,0.03,0.05,0.18,-0.04,-0.02,-0.05,0.01
 "29000","Missouri",4,SAINC11,6,"22","  Utilities ","Percentage points",0.02,0.03,0.18,0.07,-0.13,0.04,-0.01,0.07,0.04,0.04,0.02,0.02,0.02,-0.04,0.05,0.02,0.02,0.00,0.02,0.03,0.04,0.03,-0.03,0.02,-0.04,0.03
 "29000","Missouri",4,SAINC11,7,"23","  Construction ","Percentage points",0.71,0.43,0.20,0.08,0.16,0.26,0.26,0.33,0.03,-0.15,-0.41,-0.26,0.08,0.31,0.08,-0.02,0.17,0.25,0.32,0.10,0.32,0.20,0.31,0.26,0.38,0.31
 "29000","Missouri",4,SAINC11,8,"31-33","  Manufacturing ","Percentage points",0.15,0.45,-0.11,0.04,0.06,0.50,0.17,0.14,0.09,0.10,-0.90,-0.24,0.20,0.43,0.10,0.37,0.49,-0.01,0.24,0.38,0.12,-0.03,0.27,0.89,0.42,0.27
 "29000","Missouri",4,SAINC11,9,"321,327-339","   Durable goods manufacturing ","Percentage points",-0.04,0.33,-0.15,0.04,0.02,0.35,0.14,0.18,-0.10,-0.36,-0.60,-0.17,0.17,0.13,0.25,0.26,0.28,0.05,0.17,0.28,0.14,-0.12,0.20,0.49,0.40,0.20
 "29000","Missouri",4,SAINC11,10,"311-316,322-326","   Nondurable goods manufacturing ","Percentage points",0.19,0.12,0.04,0.00,0.04,0.15,0.04,-0.04,0.19,0.46,-0.30,-0.06,0.03,0.29,-0.16,0.11,0.21,-0.06,0.06,0.10,-0.02,0.09,0.08,0.40,0.02,0.07
 "29000","Missouri",4,SAINC11,11,"42","  Wholesale trade ","Percentage points",0.11,0.23,0.15,0.09,0.01,0.11,0.25,0.25,0.19,0.10,-0.28,0.06,0.08,0.24,0.15,0.25,0.13,-0.02,0.06,0.19,0.04,0.25,0.21,0.42,0.15,0.15
 "29000","Missouri",4,SAINC11,12,"44-45","  Retail trade ","Percentage points",0.41,0.23,-0.01,0.25,0.27,0.02,0.12,0.07,0.03,-0.02,0.03,0.07,-0.07,0.12,0.09,0.13,0.22,0.03,0.03,0.15,0.12,0.27,0.38,0.19,0.30,0.16
 "29000","Missouri",4,SAINC11,13,"48-49","  Transportation and warehousing ","Percentage points",0.21,0.11,0.05,0.15,-0.02,-0.02,0.11,0.12,0.06,-0.15,-0.06,-0.02,0.07,0.15,0.16,0.13,0.09,-0.03,0.06,0.14,0.16,0.02,0.35,0.22,0.11,0.05
 "29000","Missouri",4,SAINC11,14,"51","  Information ","Percentage points",0.20,0.18,0.07,-0.06,0.00,0.35,-0.12,0.30,-0.07,0.30,-0.29,-0.09,0.08,0.15,0.01,0.00,-0.24,-0.08,-0.10,0.12,0.05,-0.14,0.21,0.05,0.21,0.07
 "29000","Missouri",4,SAINC11,15,"52","  Finance and insurance ","Percentage points",0.33,0.15,0.36,0.10,0.25,0.12,0.20,0.35,0.05,-0.07,0.78,0.49,-0.05,0.26,-0.11,-0.30,0.12,0.81,0.53,-0.09,0.24,0.82,0.17,0.13,0.19,0.31
 "29000","Missouri",4,SAINC11,16,"53","  Real estate and rental and leasing ","Percentage points",0.14,0.08,0.10,0.03,-0.05,-0.04,-0.02,-0.02,-0.01,0.37,0.25,-0.12,0.00,-0.05,0.22,-0.10,0.27,-0.02,-0.12,-0.26,0.15,-0.21,0.16,0.34,-0.20,0.04
 "29000","Missouri",4,SAINC11,17,"54","  Professional, scientific, and technical services ","Percentage points",0.28,0.63,0.13,0.10,0.15,0.35,0.36,0.51,0.46,0.51,-0.27,-0.13,0.28,0.33,0.09,0.28,0.69,0.22,0.40,0.31,0.34,0.15,0.73,0.52,0.28,0.22
 "29000","Missouri",4,SAINC11,18,"55","  Management of companies and enterprises ","Percentage points",0.12,0.29,0.47,-0.09,0.00,0.20,0.31,0.24,0.03,0.50,-0.97,0.38,0.11,-0.03,0.24,0.22,-0.09,-0.05,0.16,0.25,0.00,-0.11,0.00,0.14,0.16,0.02
 "29000","Missouri",4,SAINC11,19,"56","  Administrative and support and waste management and remediation services ","Percentage points",0.25,0.21,0.10,0.07,0.11,0.25,0.19,0.12,0.29,0.05,-0.10,0.14,0.17,0.06,0.12,0.09,0.07,0.05,0.16,0.15,0.11,0.02,0.24,0.26,0.11,0.02
 "29000","Missouri",4,SAINC11,20,"61","  Educational services ","Percentage points",0.07,0.11,-0.16,0.07,0.00,0.06,0.01,0.09,0.07,0.06,0.09,0.04,0.04,0.11,0.03,0.05,0.00,0.03,0.02,0.05,0.07,0.01,0.09,0.06,-0.01,0.05
 "29000","Missouri",4,SAINC11,21,"62","  Health care and social assistance ","Percentage points",0.29,0.42,0.62,0.56,0.42,0.55,0.39,0.47,0.40,0.49,0.39,0.35,0.18,0.38,0.30,-0.01,0.49,0.25,0.39,0.43,0.45,0.37,0.33,0.45,0.85,0.63
 "29000","Missouri",4,SAINC11,22,"71","  Arts, entertainment, and recreation ","Percentage points",0.04,0.07,-0.04,0.12,0.07,-0.04,-0.01,0.00,0.07,0.00,0.00,0.04,0.11,-0.02,0.09,0.07,-0.01,-0.02,-0.08,0.03,0.04,-0.18,0.20,0.15,0.06,0.09
 "29000","Missouri",4,SAINC11,23,"72","  Accommodation and food services ","Percentage points",0.15,0.12,-0.12,0.08,0.12,0.10,0.08,0.08,0.11,0.04,-0.03,0.05,0.02,0.12,0.08,0.10,0.21,0.11,0.12,0.12,0.15,-0.31,0.55,0.10,0.20,0.10
 "29000","Missouri",4,SAINC11,24,"81","  Other services (except government and government enterprises) ","Percentage points",0.26,0.19,-0.20,0.24,0.04,0.17,0.13,0.18,-0.12,-0.09,0.03,0.20,0.07,0.09,0.00,0.10,0.09,0.06,0.07,0.12,0.08,0.03,0.13,0.15,0.11,0.17
 "29000","Missouri",4,SAINC11,25,"..."," Government and government enterprises ","Percentage points",0.83,0.74,0.42,0.65,0.64,0.56,0.47,0.58,0.61,0.62,0.54,0.19,-0.06,-0.05,0.34,0.04,0.25,0.05,0.18,0.28,0.21,0.30,0.22,0.16,0.62,0.60
