GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "37000","North Carolina",5,SAINC11,1,"...","All industry total ","Percent change",4.7,5.1,1.6,0.9,3.1,6.0,5.2,6.4,5.0,4.0,-4.2,0.3,0.9,5.2,-0.2,3.7,3.3,2.6,3.4,3.5,4.2,2.7,6.5,6.2,4.0,4.3
 "37000","North Carolina",5,SAINC11,2,"111-81"," Private industries 2/","Percentage points",3.89,4.08,0.76,0.34,2.09,4.97,4.12,5.63,3.92,3.14,-4.69,-0.12,0.78,5.11,-0.33,3.67,2.80,2.35,2.93,2.86,3.82,2.28,6.22,5.55,3.56,3.54
 "37000","North Carolina",5,SAINC11,3,"111-112","  Farm ","Percentage points",-0.09,0.35,0.07,-0.71,0.03,0.32,0.32,-0.21,-0.10,-0.02,0.01,0.04,-0.10,0.23,0.14,0.11,-0.14,-0.16,0.15,-0.39,0.10,-0.05,0.28,0.19,-0.18,0.09
 "37000","North Carolina",5,SAINC11,4,"113-115","  Forestry, fishing, and related activities ","Percentage points",-0.01,0.02,0.01,0.00,0.00,0.01,-0.01,0.01,-0.01,-0.01,0.02,0.04,-0.01,0.03,0.00,0.01,0.01,0.00,-0.01,0.00,0.01,0.01,0.00,0.00,0.02,0.00
 "37000","North Carolina",5,SAINC11,5,"21","  Mining, quarrying, and oil and gas extraction ","Percentage points",0.00,0.00,0.00,-0.02,-0.02,-0.05,-0.04,0.01,0.00,0.08,0.01,0.02,-0.01,-0.01,0.00,-0.01,0.00,0.00,0.02,-0.01,0.00,0.02,-0.02,0.02,0.00,0.02
 "37000","North Carolina",5,SAINC11,6,"22","  Utilities ","Percentage points",-0.05,-0.02,(D),(D),-0.04,0.02,-0.03,0.21,-0.01,0.28,-0.16,0.05,-0.02,-0.10,-0.07,0.07,0.06,0.01,0.06,0.09,0.06,0.19,0.10,-0.02,0.06,0.00
 "37000","North Carolina",5,SAINC11,7,"23","  Construction ","Percentage points",0.49,0.25,0.06,-0.07,0.04,0.30,0.48,0.64,0.15,-0.45,-0.71,-0.21,0.11,0.35,0.18,0.29,0.33,0.29,0.31,0.32,0.46,0.11,0.31,0.46,0.42,0.39
 "37000","North Carolina",5,SAINC11,8,"31-33","  Manufacturing ","Percentage points",0.65,0.70,-0.71,-0.57,-0.26,0.25,0.16,0.17,0.25,-0.30,-0.98,0.12,0.16,0.22,0.20,0.34,0.32,0.14,0.25,0.22,0.22,-0.05,0.46,0.26,0.21,0.30
 "37000","North Carolina",5,SAINC11,9,"321,327-339","   Durable goods manufacturing ","Percentage points",0.61,0.59,-0.40,-0.57,-0.16,0.37,0.21,0.26,0.16,-0.22,-0.68,0.01,0.18,0.24,0.17,0.11,0.27,0.08,0.19,0.22,0.14,-0.15,0.35,0.06,0.08,0.16
 "37000","North Carolina",5,SAINC11,10,"311-316,322-326","   Nondurable goods manufacturing ","Percentage points",0.04,0.11,-0.31,0.00,-0.10,-0.12,-0.04,-0.09,0.09,-0.08,-0.30,0.11,-0.02,-0.02,0.02,0.23,0.05,0.06,0.06,0.01,0.07,0.10,0.11,0.20,0.12,0.13
 "37000","North Carolina",5,SAINC11,11,"42","  Wholesale trade ","Percentage points",0.16,0.26,0.06,0.18,0.24,0.39,0.24,0.27,0.23,-0.03,-0.25,0.12,0.20,0.23,0.13,0.26,0.17,0.09,0.22,0.04,0.22,0.20,0.29,0.38,0.31,0.13
 "37000","North Carolina",5,SAINC11,12,"44-45","  Retail trade ","Percentage points",0.50,0.23,-0.13,0.11,0.15,0.18,0.17,0.25,0.11,-0.10,-0.25,0.11,0.02,0.19,0.17,0.22,0.16,0.16,0.09,0.19,0.26,0.30,0.52,0.27,0.24,0.11
 "37000","North Carolina",5,SAINC11,13,"48-49","  Transportation and warehousing ","Percentage points",0.08,0.14,-0.02,-0.13,0.03,0.15,0.07,0.06,0.11,-0.08,-0.10,0.05,0.13,0.08,0.06,0.14,0.17,0.05,0.14,0.17,0.13,0.11,0.33,0.24,0.13,0.13
 "37000","North Carolina",5,SAINC11,14,"51","  Information ","Percentage points",0.17,0.17,(D),(D),0.05,0.25,-0.01,0.04,0.14,-0.03,-0.10,-0.04,0.04,0.09,0.08,0.24,0.12,0.05,0.03,0.12,-0.04,0.09,0.32,0.17,0.25,0.20
 "37000","North Carolina",5,SAINC11,15,"52","  Finance and insurance ","Percentage points",0.37,0.57,0.20,0.17,0.82,1.27,1.19,1.52,1.55,2.59,-1.31,-1.40,-1.10,1.84,-1.85,-0.14,0.08,0.39,0.39,0.29,0.41,0.60,0.65,0.46,0.39,0.39
 "37000","North Carolina",5,SAINC11,16,"53","  Real estate and rental and leasing ","Percentage points",0.09,0.00,0.02,0.06,0.03,0.10,0.10,0.30,-0.17,0.28,-0.59,-0.15,0.03,0.34,0.25,0.21,0.18,0.18,-0.02,0.16,0.25,0.28,0.18,0.68,-0.15,0.07
 "37000","North Carolina",5,SAINC11,17,"54","  Professional, scientific, and technical services ","Percentage points",0.43,0.35,0.21,0.00,0.11,0.38,0.41,0.66,0.48,0.35,-0.25,0.24,0.40,0.37,0.07,0.47,0.45,0.28,0.48,0.69,0.37,0.36,0.98,0.68,0.47,0.46
 "37000","North Carolina",5,SAINC11,18,"55","  Management of companies and enterprises ","Percentage points",0.20,0.16,0.39,0.19,0.08,0.23,0.15,0.19,0.12,0.15,-0.19,0.10,0.21,0.25,-0.04,0.21,0.14,0.01,0.05,0.16,0.33,0.25,-0.41,0.35,0.10,0.06
 "37000","North Carolina",5,SAINC11,19,"56","  Administrative and support and waste management and remediation services ","Percentage points",0.15,0.17,0.14,0.15,0.10,0.19,0.22,0.29,0.25,0.03,-0.16,0.27,0.26,0.28,0.06,0.26,0.08,0.15,0.21,0.13,0.23,-0.01,0.45,0.52,0.25,0.09
 "37000","North Carolina",5,SAINC11,20,"61","  Educational services ","Percentage points",0.07,0.07,0.05,0.10,0.06,0.16,0.07,0.13,0.12,0.08,0.12,0.06,0.07,0.07,-0.12,0.29,0.03,0.06,-0.04,0.08,0.09,-0.01,0.10,0.09,0.11,0.12
 "37000","North Carolina",5,SAINC11,21,"62","  Health care and social assistance ","Percentage points",0.34,0.37,0.54,0.47,0.43,0.51,0.42,0.63,0.48,0.43,0.25,0.18,0.04,0.26,0.21,0.28,0.28,0.33,0.34,0.30,0.34,0.24,0.67,0.44,0.45,0.54
 "37000","North Carolina",5,SAINC11,22,"71","  Arts, entertainment, and recreation ","Percentage points",0.05,0.07,-0.01,0.02,0.09,0.07,-0.01,0.09,0.06,-0.02,0.01,0.02,0.13,0.02,0.06,0.02,0.01,0.04,0.08,-0.01,0.02,-0.14,0.17,0.14,0.12,0.06
 "37000","North Carolina",5,SAINC11,23,"72","  Accommodation and food services ","Percentage points",0.16,0.12,-0.13,0.07,0.08,0.09,0.09,0.17,0.15,0.01,-0.06,0.06,0.14,0.20,0.12,0.25,0.25,0.20,0.13,0.14,0.22,-0.35,0.61,-0.01,0.21,0.21
 "37000","North Carolina",5,SAINC11,24,"81","  Other services (except government and government enterprises) ","Percentage points",0.13,0.11,-0.22,0.26,0.07,0.14,0.13,0.21,0.03,-0.11,0.01,0.20,0.09,0.18,0.04,0.15,0.10,0.09,0.03,0.16,0.15,0.10,0.21,0.23,0.13,0.16
 "37000","North Carolina",5,SAINC11,25,"..."," Government and government enterprises ","Percentage points",0.81,0.97,0.89,0.59,1.00,1.07,1.06,0.79,1.11,0.90,0.48,0.46,0.08,0.12,0.16,0.01,0.55,0.22,0.43,0.62,0.40,0.39,0.25,0.60,0.44,0.79
 "37000","North Carolina",5,SAINC11,26,"...","  Federal civilian ","Percentage points",0.06,0.16,0.01,0.07,0.12,0.12,0.08,0.09,0.10,0.04,0.09,0.12,0.08,0.02,0.00,0.06,0.08,0.06,0.06,0.07,0.06,0.11,0.06,0.07,0.14,0.13
 "37000","North Carolina",5,SAINC11,27,"...","  Military ","Percentage points",0.07,0.07,0.14,0.20,0.43,0.23,0.33,0.15,0.27,0.34,0.25,0.20,0.04,-0.05,-0.14,-0.07,-0.01,-0.04,-0.07,0.08,0.09,0.08,0.13,0.04,0.06,0.10
 "37000","North Carolina",5,SAINC11,28,"...","  State and local ","Percentage points",0.69,0.75,0.74,0.33,0.45,0.72,0.65,0.56,0.74,0.51,0.15,0.14,-0.03,0.15,0.31,0.02,0.47,0.20,0.44,0.48,0.25,0.20,0.05,0.50,0.25,0.56
"Note: See the included footnote file."
"SAINC11: Contributions of earnings to percent change in personal income by industry 1."
"Last updated: September 26, 2025-- revised statistics for 2020-2024."
"U.S. Bureau of Economic Analysis"
