GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "33000","New Hampshire",1,SAINC11,1,"...","All industry total ","Percent change",5.7,8.8,4.5,1.9,2.1,4.1,3.3,4.6,1.0,0.2,-0.1,3.1,1.6,1.0,0.9,2.5,2.2,2.3,2.8,3.2,3.6,2.7,8.9,2.1,3.9,3.3
 "33000","New Hampshire",1,SAINC11,2,"111-81"," Private industries 2/","Percentage points",5.22,8.35,3.76,1.33,1.20,3.59,2.86,4.16,0.55,-0.21,-0.37,2.82,1.77,1.08,0.66,2.11,2.12,2.16,2.64,2.87,3.44,2.45,8.76,1.96,3.37,2.83
 "33000","New Hampshire",1,SAINC11,3,"111-112","  Farm ","Percentage points",0.01,0.00,-0.01,0.00,0.01,0.02,-0.02,-0.02,0.00,0.03,-0.04,0.03,-0.01,0.06,0.03,-0.04,0.00,-0.04,0.02,-0.02,0.01,-0.01,-0.02,0.07,-0.06,-0.01
 "33000","New Hampshire",1,SAINC11,4,"113-115","  Forestry, fishing, and related activities ","Percentage points",0.02,0.04,0.00,-0.02,0.02,0.00,-0.03,0.01,-0.03,-0.01,0.00,0.02,0.02,0.03,-0.01,0.02,0.02,0.01,0.01,-0.04,0.02,0.05,-0.01,-0.01,0.05,0.00
 "33000","New Hampshire",1,SAINC11,5,"21","  Mining, quarrying, and oil and gas extraction ","Percentage points",0.00,0.00,0.03,0.00,0.00,0.01,0.01,0.00,0.01,0.00,-0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,-0.01,0.01,0.00,0.02,-0.01,0.01
 "33000","New Hampshire",1,SAINC11,6,"22","  Utilities ","Percentage points",-0.02,0.02,0.06,0.02,0.03,0.11,-0.04,-0.09,-0.03,0.13,0.10,-0.01,-0.03,-0.05,0.03,0.00,-0.02,-0.01,0.02,0.04,0.01,0.07,-0.04,-0.02,0.01,0.01
 "33000","New Hampshire",1,SAINC11,7,"23","  Construction ","Percentage points",0.74,0.88,0.92,0.35,0.25,0.66,0.10,0.29,-0.65,-0.53,-0.14,0.39,0.32,0.26,-0.11,0.09,0.22,0.16,0.36,0.21,0.42,0.18,0.18,0.38,0.43,0.35
 "33000","New Hampshire",1,SAINC11,8,"31-33","  Manufacturing ","Percentage points",0.33,1.71,-0.31,-0.98,-0.14,0.31,0.17,0.34,0.51,-0.09,-0.96,0.06,0.23,-0.03,0.15,0.22,0.25,0.21,0.41,0.42,0.23,0.12,0.30,0.40,0.33,0.23
 "33000","New Hampshire",1,SAINC11,9,"321,327-339","   Durable goods manufacturing ","Percentage points",0.22,1.40,-0.36,-0.82,-0.11,0.50,0.23,0.35,0.45,-0.06,-0.69,0.11,0.19,-0.08,0.10,0.17,0.15,0.22,0.30,0.31,0.15,0.13,0.24,0.29,0.21,0.20
 "33000","New Hampshire",1,SAINC11,10,"311-316,322-326","   Nondurable goods manufacturing ","Percentage points",0.11,0.31,0.05,-0.16,-0.03,-0.19,-0.06,-0.01,0.06,-0.02,-0.27,-0.05,0.04,0.05,0.04,0.06,0.11,-0.01,0.11,0.11,0.08,-0.01,0.06,0.11,0.13,0.02
 "33000","New Hampshire",1,SAINC11,11,"42","  Wholesale trade ","Percentage points",0.35,0.62,0.35,0.06,0.02,0.16,0.21,0.20,0.18,0.03,-0.30,0.01,0.21,0.20,0.21,0.18,0.37,-0.03,0.19,0.17,0.17,0.34,0.49,0.53,0.15,-0.04
 "33000","New Hampshire",1,SAINC11,12,"44-45","  Retail trade ","Percentage points",0.94,0.97,0.85,0.38,-0.07,-0.42,0.37,0.76,-0.56,-0.55,0.55,0.87,-0.24,-0.36,-0.49,-0.41,-0.35,0.08,0.13,0.22,0.24,0.34,0.51,0.17,0.24,0.13
 "33000","New Hampshire",1,SAINC11,13,"48-49","  Transportation and warehousing ","Percentage points",0.18,0.17,-0.02,0.01,0.03,0.03,0.04,0.07,0.09,-0.04,0.00,0.02,0.07,-0.04,-0.02,-0.03,0.09,0.10,-0.05,0.05,0.08,0.16,0.33,0.05,0.04,0.09
 "33000","New Hampshire",1,SAINC11,14,"51","  Information ","Percentage points",0.31,0.34,0.07,-0.10,0.02,0.27,0.16,0.13,0.01,0.17,-0.09,-0.11,-0.06,0.16,0.17,0.26,-0.11,0.03,-0.06,0.09,0.20,-0.04,0.15,0.13,0.05,0.14
 "33000","New Hampshire",1,SAINC11,15,"52","  Finance and insurance ","Percentage points",0.41,0.42,0.23,0.35,0.26,0.26,0.40,0.24,0.16,0.10,0.03,0.20,0.24,0.14,0.14,0.30,0.11,0.48,-0.28,0.08,0.22,0.47,0.48,-0.15,-0.14,0.15
 "33000","New Hampshire",1,SAINC11,16,"53","  Real estate and rental and leasing ","Percentage points",0.17,0.12,0.12,0.10,0.08,0.14,0.01,-0.13,-0.21,0.30,0.28,0.06,0.06,-0.05,-0.07,0.00,0.02,0.14,0.03,0.15,0.32,0.31,0.60,0.03,0.20,0.04
 "33000","New Hampshire",1,SAINC11,17,"54","  Professional, scientific, and technical services ","Percentage points",0.53,0.83,0.40,-0.03,-0.16,0.31,0.63,0.63,0.09,0.48,-0.33,0.12,0.39,0.17,0.19,0.56,0.41,0.18,0.81,0.37,0.34,0.51,1.07,0.77,0.65,0.40
 "33000","New Hampshire",1,SAINC11,18,"55","  Management of companies and enterprises ","Percentage points",0.08,0.27,-0.09,-0.14,0.06,0.44,0.07,0.41,-0.12,-0.38,-0.02,0.04,0.04,0.18,-0.13,0.05,0.05,0.03,0.18,-0.08,0.08,0.02,2.75,-1.99,0.03,0.11
 "33000","New Hampshire",1,SAINC11,19,"56","  Administrative and support and waste management and remediation services ","Percentage points",0.17,0.36,0.36,0.03,0.06,0.19,-0.02,0.28,0.37,-0.01,0.02,0.20,0.15,0.17,0.04,0.30,0.29,0.00,0.22,0.11,0.08,0.12,0.31,0.56,0.39,0.18
