GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "36000","New York",2,SAINC11,1,"...","All industry total ","Percent change",6.0,6.8,3.4,-0.5,0.8,3.7,2.6,5.7,5.8,0.6,-2.4,4.0,3.2,3.0,2.1,2.7,2.8,2.5,4.6,3.8,2.9,-0.5,6.2,3.2,3.1,4.6
 "36000","New York",2,SAINC11,2,"111-81"," Private industries 2/","Percentage points",5.23,6.10,3.26,-0.96,0.19,2.97,2.14,5.21,5.15,-0.05,-2.86,3.53,3.26,2.98,1.42,2.56,2.45,2.42,4.15,2.53,2.47,-0.88,5.74,3.12,2.45,3.91
 "36000","New York",2,SAINC11,3,"111-112","  Farm ","Percentage points",0.01,0.00,0.02,-0.03,0.02,0.03,0.00,-0.02,0.05,0.02,-0.06,0.06,0.03,0.00,0.04,0.00,-0.08,-0.02,0.03,-0.04,0.05,0.01,0.01,0.05,-0.07,0.00
 "36000","New York",2,SAINC11,4,"113-115","  Forestry, fishing, and related activities ","Percentage points",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 "36000","New York",2,SAINC11,5,"21","  Mining, quarrying, and oil and gas extraction ","Percentage points",0.02,-0.01,-0.01,0.00,-0.03,0.00,-0.02,0.04,0.04,0.12,-0.09,-0.05,0.06,-0.01,0.02,-0.01,-0.09,0.03,0.11,0.02,-0.09,0.00,0.07,0.10,-0.06,0.00
 "36000","New York",2,SAINC11,6,"22","  Utilities ","Percentage points",-0.02,0.02,0.07,0.05,0.02,0.13,-0.06,0.03,-0.04,0.03,-0.04,0.01,0.03,-0.01,0.03,0.05,0.02,0.00,0.10,0.13,0.07,0.16,-0.02,-0.09,-0.08,0.04
 "36000","New York",2,SAINC11,7,"23","  Construction ","Percentage points",0.44,0.35,0.16,0.05,0.10,0.07,0.07,0.26,0.21,0.17,-0.09,0.00,0.01,0.16,0.13,0.21,0.27,0.18,0.19,0.13,0.17,-0.27,0.13,0.13,0.14,0.13
 "36000","New York",2,SAINC11,8,"31-33","  Manufacturing ","Percentage points",-0.14,0.28,0.10,-0.26,-0.06,0.06,-0.02,0.05,0.12,-0.05,-0.44,-0.01,0.04,0.10,0.02,-0.01,0.23,-0.06,0.05,0.03,0.00,-0.06,0.14,0.20,0.09,0.09
 "36000","New York",2,SAINC11,9,"321,327-339","   Durable goods manufacturing ","Percentage points",-0.08,0.22,0.13,-0.13,-0.11,0.00,0.04,0.09,0.08,-0.02,-0.28,-0.05,0.07,0.06,0.00,0.00,0.13,-0.04,0.03,0.05,0.01,-0.06,0.08,0.11,0.04,0.04
 "36000","New York",2,SAINC11,10,"311-316,322-326","   Nondurable goods manufacturing ","Percentage points",-0.07,0.06,-0.03,-0.13,0.05,0.06,-0.07,-0.03,0.04,-0.02,-0.16,0.05,-0.03,0.04,0.01,0.00,0.10,-0.02,0.03,-0.02,0.00,0.00,0.07,0.09,0.05,0.04
 "36000","New York",2,SAINC11,11,"42","  Wholesale trade ","Percentage points",0.14,0.26,-0.05,0.00,0.12,0.16,0.10,0.16,0.16,-0.13,-0.20,0.10,0.21,0.17,0.00,0.14,0.20,-0.06,0.10,0.01,0.05,-0.04,0.04,0.23,0.15,0.07
 "36000","New York",2,SAINC11,12,"44-45","  Retail trade ","Percentage points",0.29,0.28,-0.04,0.13,0.12,0.22,0.12,0.23,0.11,-0.10,-0.03,0.19,0.19,0.09,0.10,0.15,0.12,0.02,0.08,0.11,0.13,-0.13,0.34,0.14,0.18,0.07
 "36000","New York",2,SAINC11,13,"48-49","  Transportation and warehousing ","Percentage points",0.11,0.10,0.07,-0.04,0.08,0.09,0.06,0.11,0.26,-0.12,-0.03,0.16,0.09,0.09,0.06,0.07,0.18,-0.10,0.16,0.18,0.10,-0.19,0.23,0.22,0.24,0.12
 "36000","New York",2,SAINC11,14,"51","  Information ","Percentage points",0.37,0.53,0.51,-0.04,-0.15,-0.39,-0.24,-0.17,0.44,0.10,0.36,0.04,0.19,0.40,0.09,0.20,0.29,0.20,0.10,0.79,0.32,0.16,0.26,0.01,0.02,0.47
 "36000","New York",2,SAINC11,15,"52","  Finance and insurance ","Percentage points",1.53,2.00,1.52,-1.75,-0.81,0.87,0.84,2.39,1.67,-0.69,-1.34,1.36,0.55,-0.10,-0.31,0.27,-0.30,0.92,1.45,-0.49,0.47,1.25,1.15,0.22,0.10,0.85
 "36000","New York",2,SAINC11,16,"53","  Real estate and rental and leasing ","Percentage points",0.31,0.09,0.19,0.04,-0.13,-0.02,-0.05,0.02,-0.23,-0.73,-0.12,0.41,0.27,0.59,0.41,-0.01,0.13,0.18,0.09,-0.10,-0.63,-0.50,0.84,-0.09,0.06,0.20
 "36000","New York",2,SAINC11,17,"54","  Professional, scientific, and technical services ","Percentage points",0.88,0.79,0.26,-0.22,0.03,0.29,0.45,0.82,1.02,0.90,-0.79,0.06,0.66,0.39,0.21,0.62,0.58,0.29,0.48,0.32,0.51,0.18,0.86,0.47,0.38,0.59
 "36000","New York",2,SAINC11,18,"55","  Management of companies and enterprises ","Percentage points",0.08,0.24,0.18,0.15,-0.02,0.04,0.08,0.27,0.26,-0.16,-0.34,0.03,0.30,0.17,0.08,0.07,0.08,-0.09,0.12,0.03,0.06,-0.09,0.18,0.10,0.02,0.03
 "36000","New York",2,SAINC11,19,"56","  Administrative and support and waste management and remediation services ","Percentage points",0.26,0.31,0.04,0.01,0.16,0.26,0.17,0.01,0.15,-0.05,-0.12,0.20,0.07,0.16,0.07,0.08,0.19,0.03,0.28,0.26,0.38,-0.29,-0.02,0.37,0.17,0.12
