GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "40000","Oklahoma",6,SAINC11,1,"...","All industry total ","Percent change",1.9,5.5,4.6,1.9,3.6,6.5,6.9,7.5,0.7,7.9,-6.6,3.3,4.9,4.8,5.9,4.2,-2.7,-4.9,3.0,3.6,3.2,-0.4,5.5,7.5,4.0,3.4
 "40000","Oklahoma",6,SAINC11,2,"111-81"," Private industries 2/","Percentage points",1.16,4.43,3.71,1.03,2.93,5.77,6.07,6.58,-0.27,7.23,-7.08,2.68,4.92,4.85,5.51,3.83,-3.09,-5.12,2.78,3.13,2.56,-0.75,5.24,7.17,3.19,2.66
 "40000","Oklahoma",6,SAINC11,3,"111-112","  Farm ","Percentage points",0.43,-0.01,-0.02,0.18,-0.02,0.32,0.04,-0.55,-0.01,0.11,-0.52,0.57,0.38,0.27,0.00,0.25,-0.18,-0.51,0.06,-0.09,0.05,-0.08,0.30,0.06,0.25,-0.16
 "40000","Oklahoma",6,SAINC11,4,"113-115","  Forestry, fishing, and related activities ","Percentage points",0.00,0.02,0.00,0.00,0.01,0.04,0.01,0.02,-0.04,0.00,0.01,0.06,-0.01,-0.01,-0.01,0.00,0.02,0.01,0.00,0.01,0.00,0.02,-0.01,0.00,0.03,0.00
 "40000","Oklahoma",6,SAINC11,5,"21","  Mining, quarrying, and oil and gas extraction ","Percentage points",-0.22,0.27,0.10,-0.14,1.87,2.56,3.00,2.44,-1.68,5.19,-5.39,0.64,1.53,0.89,1.08,0.77,-3.87,-2.33,1.87,0.87,1.22,-1.90,2.01,3.41,-0.23,-0.09
 "40000","Oklahoma",6,SAINC11,6,"22","  Utilities ","Percentage points",0.01,0.06,0.30,0.02,-0.03,0.01,0.01,0.07,0.14,0.07,0.00,-0.01,0.10,0.14,-0.01,0.16,-0.11,-0.03,-0.07,0.01,0.13,-0.13,-0.01,-0.01,0.05,0.03
 "40000","Oklahoma",6,SAINC11,7,"23","  Construction ","Percentage points",0.26,0.41,0.52,-0.02,0.13,0.17,0.30,0.49,-0.01,0.22,0.09,0.53,0.27,0.36,0.16,0.02,0.02,-0.19,-0.02,0.15,0.28,0.02,0.13,0.16,0.24,0.30
 "40000","Oklahoma",6,SAINC11,8,"31-33","  Manufacturing ","Percentage points",-0.10,0.64,0.40,-0.50,0.10,0.51,1.06,1.02,0.14,0.51,-1.34,-0.25,0.06,0.32,0.38,0.09,0.07,-0.45,0.48,0.47,0.16,-0.37,-0.02,0.92,1.02,0.10
 "40000","Oklahoma",6,SAINC11,9,"321,327-339","   Durable goods manufacturing ","Percentage points",0.07,0.44,0.14,-0.31,-0.06,0.22,0.24,0.44,0.22,0.23,-0.64,-0.12,0.39,0.51,0.19,0.23,-0.05,-0.36,0.10,0.30,0.12,-0.25,-0.01,0.18,0.35,0.16
 "40000","Oklahoma",6,SAINC11,10,"311-316,322-326","   Nondurable goods manufacturing ","Percentage points",-0.17,0.19,0.26,-0.19,0.16,0.29,0.82,0.58,-0.09,0.28,-0.70,-0.12,-0.33,-0.20,0.19,-0.14,0.13,-0.08,0.38,0.17,0.05,-0.12,-0.01,0.74,0.67,-0.06
