GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "44000","Rhode Island",1,SAINC11,1,"...","All industry total ","Percent change",4.4,5.5,3.1,3.7,4.1,3.6,2.1,3.4,1.2,-0.2,-2.3,4.4,1.3,2.4,1.5,2.4,2.3,1.0,2.2,2.3,2.5,0.5,5.1,3.9,2.6,3.3
 "44000","Rhode Island",1,SAINC11,2,"111-81"," Private industries 2/","Percentage points",3.60,4.55,2.65,3.02,3.36,2.87,1.71,2.94,0.76,-0.51,-2.17,3.81,1.33,2.43,1.40,2.06,2.04,0.57,1.84,1.93,2.17,0.35,4.66,3.59,2.02,2.73
 "44000","Rhode Island",1,SAINC11,3,"111-112","  Farm ","Percentage points",0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,-0.01,0.01,0.00,-0.01,0.01,-0.01,0.02,-0.01,0.00,0.01,0.01,0.02,0.00,0.01
 "44000","Rhode Island",1,SAINC11,4,"113-115","  Forestry, fishing, and related activities ","Percentage points",0.03,0.07,(D),(D),(D),-0.02,-0.01,0.02,-0.06,-0.01,0.00,(D),-0.02,(D),(D),0.00,0.03,0.01,(D),(D),0.00,(D),(D),0.00,(D),0.00
 "44000","Rhode Island",1,SAINC11,5,"21","  Mining, quarrying, and oil and gas extraction ","Percentage points",0.00,0.00,(D),(D),(D),0.00,0.01,0.00,0.00,0.00,-0.01,(D),0.00,(D),(D),0.01,0.00,0.00,0.01,0.00,-0.01,(D),(D),0.01,(D),0.00
 "44000","Rhode Island",1,SAINC11,6,"22","  Utilities ","Percentage points",-0.02,0.09,(D),(D),(D),0.00,-0.01,0.05,0.01,0.03,0.01,0.03,-0.01,-0.03,0.03,0.00,0.01,0.02,0.04,0.06,0.01,0.04,0.07,0.02,-0.01,0.03
 "44000","Rhode Island",1,SAINC11,7,"23","  Construction ","Percentage points",0.64,0.45,0.33,(D),(D),0.19,0.23,0.33,-0.23,-0.34,-0.23,0.19,0.03,0.28,-0.12,0.05,0.09,0.15,(D),(D),0.34,-0.13,0.17,0.22,0.28,0.28
 "44000","Rhode Island",1,SAINC11,8,"31-33","  Manufacturing ","Percentage points",0.30,0.44,0.12,-0.27,-0.27,0.26,-0.22,0.01,0.29,-0.45,-0.93,0.08,0.12,0.06,0.21,0.23,0.18,-0.09,0.16,0.08,0.09,0.02,0.30,0.23,0.13,0.15
 "44000","Rhode Island",1,SAINC11,9,"321,327-339","   Durable goods manufacturing ","Percentage points",0.21,0.42,0.23,-0.31,-0.33,(D),(D),-0.03,0.20,-0.30,-0.65,0.03,0.10,0.05,0.13,0.11,0.10,-0.07,0.14,0.11,0.03,-0.09,0.26,0.11,0.17,0.11
 "44000","Rhode Island",1,SAINC11,10,"311-316,322-326","   Nondurable goods manufacturing ","Percentage points",0.09,0.03,-0.11,0.03,0.06,(D),(D),0.04,0.09,-0.15,-0.28,0.05,0.02,0.01,0.09,0.12,0.08,-0.01,0.02,-0.04,0.07,0.12,0.04,0.11,-0.04,0.04
 "44000","Rhode Island",1,SAINC11,11,"42","  Wholesale trade ","Percentage points",0.12,0.38,0.18,0.15,0.03,0.01,0.14,0.11,0.17,-0.03,-0.13,0.14,0.08,0.14,0.15,0.18,0.18,-0.04,0.10,0.02,0.03,-0.07,0.19,0.27,0.06,0.08
 "44000","Rhode Island",1,SAINC11,12,"44-45","  Retail trade ","Percentage points",0.55,0.32,-0.06,0.44,0.32,0.04,-0.02,0.10,-0.01,-0.37,-0.04,0.35,0.17,0.08,0.00,-0.03,0.08,-0.08,0.05,0.32,0.27,0.23,0.23,0.15,0.14,0.13
 "44000","Rhode Island",1,SAINC11,13,"48-49","  Transportation and warehousing ","Percentage points",0.11,0.08,(D),0.05,(D),0.01,0.01,0.07,0.07,0.00,-0.02,0.10,0.08,0.03,0.00,0.01,0.07,0.02,0.04,0.10,0.08,-0.04,0.16,0.13,0.04,0.05
 "44000","Rhode Island",1,SAINC11,14,"51","  Information ","Percentage points",0.09,0.11,0.34,0.01,0.20,0.22,-0.10,-0.11,-0.08,0.04,-0.02,0.00,0.09,-0.01,-0.09,-0.01,-0.02,-0.11,-0.36,0.02,0.03,-0.01,0.14,0.05,0.07,0.06
 "44000","Rhode Island",1,SAINC11,15,"52","  Finance and insurance ","Percentage points",0.40,0.56,0.67,0.40,0.56,0.37,0.06,0.25,0.10,0.03,-0.63,0.63,-0.12,0.81,0.24,0.52,0.12,0.18,0.67,-0.21,0.16,0.34,-0.07,0.21,-0.04,0.21
 "44000","Rhode Island",1,SAINC11,16,"53","  Real estate and rental and leasing ","Percentage points",0.13,0.11,0.08,0.05,0.12,0.24,0.32,-0.11,-0.28,-0.19,0.31,0.41,0.13,0.11,-0.18,-0.20,-0.07,0.06,-0.05,0.17,0.23,0.30,0.57,0.49,0.12,0.09
