GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "48000","Texas",6,SAINC11,1,"...","All industry total ","Percent change",5.4,7.2,5.5,0.7,2.4,3.9,5.4,7.6,3.8,5.2,-3.9,4.6,6.1,4.8,3.6,5.2,0.7,-0.3,5.0,5.1,3.4,-0.7,6.6,8.1,6.2,4.1
 "48000","Texas",6,SAINC11,2,"111-81"," Private industries 2/","Percentage points",4.66,6.29,4.64,-0.29,1.60,3.43,4.87,6.83,3.11,4.44,-4.56,3.96,6.04,4.67,3.25,4.79,0.23,-0.70,4.70,4.76,3.11,-1.10,6.27,7.79,5.58,3.39
 "48000","Texas",6,SAINC11,3,"111-112","  Farm ","Percentage points",0.28,-0.17,0.11,0.00,0.20,0.01,-0.05,-0.23,0.04,-0.27,-0.03,0.25,-0.05,-0.01,0.19,-0.01,0.14,-0.30,0.07,-0.05,0.03,0.06,0.08,0.15,0.11,-0.07
 "48000","Texas",6,SAINC11,4,"113-115","  Forestry, fishing, and related activities ","Percentage points",0.01,0.02,-0.03,0.00,0.00,0.01,0.01,0.02,-0.02,0.00,0.00,0.03,-0.01,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.02,-0.01,0.00,0.02,0.00
 "48000","Texas",6,SAINC11,5,"21","  Mining, quarrying, and oil and gas extraction ","Percentage points",-0.04,0.55,0.57,-0.09,0.72,0.90,1.31,0.89,-0.76,2.92,-2.62,0.87,2.34,0.67,0.71,1.00,-3.11,-1.19,1.55,1.84,-0.36,-1.97,0.59,1.58,-0.06,0.13
 "48000","Texas",6,SAINC11,6,"22","  Utilities ","Percentage points",0.09,0.15,0.20,-0.04,-0.04,0.00,-0.02,0.07,0.02,-0.07,-0.04,0.05,0.10,-0.03,0.05,0.00,0.03,0.03,0.12,0.10,-0.03,-0.08,0.04,0.06,0.02,0.06
 "48000","Texas",6,SAINC11,7,"23","  Construction ","Percentage points",0.79,0.71,0.41,0.11,-0.07,-0.41,0.35,0.80,0.36,0.20,-0.32,0.13,0.28,0.67,0.29,0.57,0.35,0.14,0.21,0.13,0.44,-0.03,0.19,0.52,0.41,0.44
 "48000","Texas",6,SAINC11,8,"31-33","  Manufacturing ","Percentage points",0.05,0.77,0.39,-0.55,-0.06,0.15,0.62,0.78,0.46,0.04,-0.87,0.11,0.80,0.27,0.07,0.50,0.50,-0.98,0.48,0.49,0.31,0.00,0.21,0.51,0.86,0.24
 "48000","Texas",6,SAINC11,9,"321,327-339","   Durable goods manufacturing ","Percentage points",0.09,0.60,0.07,-0.35,-0.10,0.07,0.41,0.54,0.25,0.04,-0.57,0.03,0.40,0.28,0.20,0.23,-0.06,-0.25,0.14,0.32,0.24,-0.03,0.13,0.31,0.30,0.22
 "48000","Texas",6,SAINC11,10,"311-316,322-326","   Nondurable goods manufacturing ","Percentage points",-0.03,0.17,0.32,-0.20,0.04,0.08,0.21,0.24,0.21,0.01,-0.30,0.08,0.40,-0.01,-0.13,0.26,0.56,-0.73,0.34,0.18,0.07,0.03,0.08,0.20,0.57,0.03
 "48000","Texas",6,SAINC11,11,"42","  Wholesale trade ","Percentage points",0.47,0.42,0.09,-0.15,0.03,0.75,0.49,0.53,0.31,0.10,-0.32,0.16,0.42,0.41,0.12,0.16,0.11,-0.03,0.06,0.27,0.16,0.13,0.15,0.73,0.44,0.08
 "48000","Texas",6,SAINC11,12,"44-45","  Retail trade ","Percentage points",0.43,0.39,0.02,0.13,0.09,0.11,0.24,0.34,0.14,-0.10,0.01,0.20,0.19,0.27,0.18,0.29,0.19,0.06,0.04,0.16,0.09,0.28,0.56,0.30,0.21,0.11
 "48000","Texas",6,SAINC11,13,"48-49","  Transportation and warehousing ","Percentage points",0.22,0.41,0.96,-0.73,-0.01,0.26,0.10,0.29,0.30,0.16,-0.03,0.35,0.15,0.32,-0.34,0.18,0.31,0.51,0.38,0.03,0.37,0.06,0.28,0.77,1.02,0.32
 "48000","Texas",6,SAINC11,14,"51","  Information ","Percentage points",0.26,0.36,0.12,-0.18,0.02,0.02,-0.15,0.18,0.23,0.08,-0.14,-0.16,0.04,0.05,0.11,0.03,0.05,-0.03,0.09,0.06,0.10,0.07,0.33,0.22,0.23,0.07
