GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "56000","Wyoming",7,SAINC11,1,"...","All industry total ","Percent change",4.9,4.6,5.2,3.0,3.5,3.1,5.2,10.2,5.6,7.7,-2.7,3.5,4.4,2.5,2.0,3.6,-0.4,-4.4,1.9,3.6,1.5,-0.5,3.5,4.2,2.6,2.6
 "56000","Wyoming",7,SAINC11,2,"111-81"," Private industries 2/","Percentage points",3.98,3.68,3.87,1.68,2.03,2.19,4.27,9.07,3.94,6.36,-3.44,2.94,4.16,1.99,0.96,3.05,-0.78,-4.47,1.80,3.29,1.61,-0.75,3.21,3.80,2.04,1.60
 "56000","Wyoming",7,SAINC11,3,"111-112","  Farm ","Percentage points",0.54,-0.32,0.46,-0.58,0.50,0.00,0.25,-0.64,-0.21,0.24,-0.06,0.13,0.94,-0.81,0.32,0.40,-0.22,-0.38,0.05,0.10,0.01,0.18,0.04,0.38,0.00,-0.26
 "56000","Wyoming",7,SAINC11,4,"113-115","  Forestry, fishing, and related activities ","Percentage points",0.01,0.05,0.06,-0.03,0.00,-0.03,-0.04,0.06,-0.13,-0.01,0.15,0.16,-0.11,-0.03,0.03,0.02,-0.01,0.02,(D),(D),-0.02,(D),(D),0.02,(D),0.01
 "56000","Wyoming",7,SAINC11,5,"21","  Mining, quarrying, and oil and gas extraction ","Percentage points",-0.11,1.19,0.90,-0.09,0.59,1.39,1.74,3.37,0.37,3.19,-3.15,1.42,2.57,-0.03,-0.74,0.35,-1.72,-2.06,0.82,1.11,-0.06,-1.77,-0.35,1.52,0.26,-0.18
 "56000","Wyoming",7,SAINC11,6,"22","  Utilities ","Percentage points",0.01,-0.02,(D),0.10,(D),0.06,0.05,0.14,0.07,0.08,-0.03,0.05,0.04,-0.05,0.05,0.03,0.05,0.04,-0.03,0.07,0.01,(D),(D),(D),(D),0.04
 "56000","Wyoming",7,SAINC11,7,"23","  Construction ","Percentage points",1.02,0.58,0.57,(D),(D),-0.08,0.70,1.67,1.18,0.75,-1.02,0.17,-0.41,0.56,0.10,0.56,-0.33,-0.66,-0.41,0.25,0.96,-0.24,0.10,0.21,0.49,0.48
 "56000","Wyoming",7,SAINC11,8,"31-33","  Manufacturing ","Percentage points",0.05,0.18,0.40,(D),(D),0.12,0.16,0.30,0.15,0.13,-0.20,-0.01,0.27,0.23,0.15,0.28,0.08,-0.12,(D),(D),0.16,-0.01,0.02,(D),(D),(D)
 "56000","Wyoming",7,SAINC11,9,"321,327-339","   Durable goods manufacturing ","Percentage points",0.06,0.02,0.05,(D),(D),0.06,(D),0.17,0.09,0.04,-0.18,-0.07,0.11,0.12,0.05,0.12,-0.03,-0.13,(D),(D),0.13,-0.04,0.06,(D),(D),(D)
 "56000","Wyoming",7,SAINC11,10,"311-316,322-326","   Nondurable goods manufacturing ","Percentage points",-0.02,0.16,0.35,(D),0.06,0.06,(D),0.13,0.06,0.09,-0.03,0.05,0.16,0.10,0.10,0.16,0.11,0.02,(D),(D),0.04,0.03,-0.04,(D),-0.04,0.01
 "56000","Wyoming",7,SAINC11,11,"42","  Wholesale trade ","Percentage points",0.07,0.19,0.26,0.14,0.00,0.12,0.16,0.51,0.19,0.26,-0.19,0.10,0.23,0.46,0.10,0.25,-0.22,-0.38,-0.16,0.03,0.02,-0.10,-0.04,0.23,0.10,0.07
 "56000","Wyoming",7,SAINC11,12,"44-45","  Retail trade ","Percentage points",0.31,0.31,0.14,0.24,-0.02,-0.44,0.42,0.55,0.33,0.08,-0.16,-0.02,0.02,0.20,0.04,0.07,0.14,-0.11,-0.06,0.00,0.23,0.25,0.33,0.09,0.19,0.08
 "56000","Wyoming",7,SAINC11,13,"48-49","  Transportation and warehousing ","Percentage points",0.08,0.18,(D),0.07,(D),0.26,0.37,0.71,0.48,0.08,-0.28,0.15,0.34,0.46,0.58,0.70,0.88,-0.36,1.20,0.83,-0.76,0.32,0.38,-0.16,0.80,0.16
 "56000","Wyoming",7,SAINC11,14,"51","  Information ","Percentage points",0.20,0.02,(D),0.05,(D),0.04,-0.02,0.09,0.06,0.04,0.08,-0.05,0.01,0.03,0.01,-0.01,0.03,-0.03,0.04,0.04,0.01,-0.06,0.18,0.00,0.03,(D)
 "56000","Wyoming",7,SAINC11,15,"52","  Finance and insurance ","Percentage points",0.13,0.19,0.24,0.12,0.16,0.00,-0.04,0.26,-0.01,0.06,0.90,0.15,-0.74,-0.05,-0.06,-0.07,0.06,0.02,0.07,0.01,0.08,0.36,0.34,0.18,-0.14,0.04
 "56000","Wyoming",7,SAINC11,16,"53","  Real estate and rental and leasing ","Percentage points",0.17,0.05,0.09,0.13,0.07,0.28,0.08,0.02,-0.08,0.28,0.19,0.20,0.30,0.23,0.07,0.07,0.22,-0.11,-0.34,-0.03,0.31,0.11,0.15,-0.15,-0.76,0.02
