GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "02000","Alaska",8,SAINC12,1,"...","Percent change in personal income ","Percent change",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37.3,14.5,5.6,-3.1,1.8,5.6,-1.1,0.4,4.2,15.1,-1.2,4.3,8.4,12.0,7.9,6.5,9.1,8.0,15.4,14.2,10.3,9.2,15.7,21.3,36.6,17.7,3.9,3.0,5.9,13.3,13.8,22.1,9.0,6.3,8.4,0.9,-4.2,4.4,9.4,6.1,4.4,6.4,5.1,3.3,2.8,2.8,5.6,5.0,3.0,7.4,5.9,4.9,4.7,4.5,6.5,6.4,7.5,10.4,0.4,7.2,7.1,3.0,-1.1,5.4,3.1,-1.5,1.5,3.8,2.2,2.1,6.5,5.1,5.0,5.8
 "02000","Alaska",8,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),37.52,13.05,3.94,-4.30,0.76,4.95,-2.24,-0.42,3.36,12.57,-1.97,3.68,6.77,10.04,6.80,5.27,7.58,6.67,12.09,9.87,7.61,7.01,7.12,20.44,32.84,16.21,1.65,0.81,4.48,10.38,10.28,12.07,9.01,4.18,4.58,-0.54,-4.29,2.92,6.32,4.05,3.18,4.15,2.44,1.67,1.12,1.14,3.31,3.20,1.81,4.60,5.39,4.53,4.29,4.05,4.83,4.07,3.87,3.65,2.89,4.36,4.57,2.32,-0.55,1.73,1.94,-1.64,0.11,2.05,1.09,-0.73,2.99,2.92,4.94,3.40
 "02000","Alaska",8,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.07,0.95,1.30,0.85,0.85,0.62,0.79,0.36,0.82,2.49,0.11,0.78,1.50,1.72,0.94,0.88,1.08,0.64,2.95,3.12,1.62,1.53,2.05,2.41,2.84,1.58,1.29,1.82,1.56,2.02,2.48,3.63,2.62,1.62,1.78,0.43,-0.32,0.75,2.00,0.97,0.45,1.01,1.40,1.38,1.12,0.67,1.29,0.62,-0.12,0.88,-0.15,-0.04,0.64,0.64,0.88,1.57,1.89,2.13,-0.31,1.07,1.92,1.01,-0.60,0.90,0.81,0.24,0.41,0.36,0.13,-0.30,1.14,0.90,2.20,0.51
 "02000","Alaska",8,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.28,0.48,0.34,0.32,0.21,0.06,0.34,0.49,0.00,0.08,0.64,-0.12,0.13,0.21,0.17,0.30,0.40,0.72,0.36,1.21,1.06,0.66,6.57,-1.52,0.94,-0.08,0.91,0.41,-0.11,0.92,1.00,6.39,-2.65,0.52,2.02,1.01,0.38,0.74,1.10,1.09,0.80,1.21,1.30,0.30,0.58,0.94,1.03,1.14,1.35,1.93,0.71,0.41,-0.28,-0.16,0.80,0.81,1.69,4.63,-2.17,1.78,0.57,-0.36,0.04,2.76,0.39,-0.11,1.01,1.42,0.94,3.09,2.38,1.28,-2.16,1.90
 "02000","Alaska",8,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),146039,77816,34367,-20326,11414,36142,-7521,2877,28106,106049,-9864,34508,69737,107852,79882,70223,104969,101461,210197,223647,185171,182634,340893,534994,1114163,736485,188584,154008,310527,738970,865137,1579611,783721,601036,847164,98441,-467590,467024,1041413,738902,569315,853906,734113,502287,437817,438921,920919,858417,550681,1385554,1194952,1044351,1040664,1057023,1590454,1676584,2065065,3099403,134753,2378902,2496250,1126518,-432013,2077038,1276524,-633141,633877,1603374,936921,916107,2951345,2466548,2528288,3101188
 "02000","Alaska",8,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),146859,70121,24268,-27950,4781,31731,-15180,-2783,22605,88048,-15895,29275,56222,90459,68610,57400,87862,84285,165041,155406,136939,139168,154173,512638,999181,674019,80756,40938,234760,575905,646151,863070,786450,397815,462826,-59356,-474171,309560,698985,489730,408889,556212,348336,250818,174093,182226,541351,553221,328537,859841,1083510,965119,958739,946049,1179738,1057764,1072737,1086805,949009,1437253,1615830,880056,-213734,668059,789390,-686008,46504,859620,473633,-322627,1354854,1412629,2509447,1815529
 "02000","Alaska",8,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),285,5099,7991,5517,5340,3998,5362,2398,5507,17448,867,6187,12469,15487,9519,9577,12487,8042,40236,49158,29197,30305,44366,60426,86467,65614,63230,92313,81688,112055,155856,259387,228476,153898,180123,47009,-35238,79032,221306,117596,57976,135472,200171,206770,173542,107223,211572,107618,-22591,163767,-30687,-8631,143460,148427,214672,407806,523976,635067,-100581,353353,677895,382660,-232983,345598,329397,98608,168900,148920,55326,-135519,516046,434422,1117114,271395
 "02000","Alaska",8,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1105,2596,2108,2107,1293,413,2297,3262,-6,553,5164,-954,1046,1906,1753,3246,4620,9134,4920,19083,19035,13161,142354,-38070,28515,-3148,44598,20757,-5921,51010,63130,457154,-231205,49323,204215,110788,41819,78432,121122,131576,102450,162222,185606,44699,90182,149472,167996,197578,244735,361946,142129,87863,-61535,-37453,196044,211014,468352,1377531,-713675,588296,202525,-136198,14704,1063381,157737,-45741,418473,594834,407962,1374253,1080445,619497,-1098273,1014264
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
"Last updated: September 26, 2025-- revised statistics for 2020-2024."
"U.S. Bureau of Economic Analysis"
