GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "01000","Alabama",5,SAINC12,1,"...","Percent change in personal income ","Percent change",-17.3,-16.3,-27.7,3.3,27.7,5.5,16.4,7.4,-8.2,4.7,13.4,37.6,42.5,24.4,8.0,5.1,0.2,7.4,9.8,-4.0,11.9,16.6,6.4,4.5,-3.5,13.2,7.3,6.3,4.3,5.2,4.2,3.3,5.1,6.2,8.6,8.5,7.3,5.7,9.3,11.4,9.1,10.1,11.1,12.6,10.9,11.4,12.3,10.2,13.2,11.1,10.3,11.0,5.6,7.1,9.9,7.6,5.8,5.6,7.8,8.7,6.4,5.8,7.4,4.6,5.8,5.7,4.5,5.2,6.3,3.4,4.6,3.6,2.8,4.6,7.0,5.8,6.3,5.0,3.8,-1.3,4.1,3.6,2.5,0.9,3.3,4.5,1.8,3.7,3.9,4.6,7.3,10.7,2.6,6.5,5.8
 "01000","Alabama",5,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-16.16,-16.37,-23.15,5.79,27.07,5.38,12.45,7.84,-7.62,4.03,11.99,35.70,40.99,23.62,7.10,2.36,-5.46,6.44,10.21,-5.62,8.74,17.38,6.27,3.78,-4.92,11.68,5.77,4.42,2.77,3.79,2.82,1.78,3.51,4.93,7.24,7.15,6.13,3.75,6.90,8.30,4.86,6.73,8.67,8.97,6.54,6.19,9.64,7.85,9.94,7.11,4.84,5.91,2.04,4.60,6.94,5.23,4.24,4.67,5.19,4.26,4.00,3.72,4.96,2.94,3.49,2.68,2.90,3.15,4.66,2.97,2.31,1.93,1.89,2.61,4.32,3.63,3.50,2.02,0.23,-1.09,1.66,2.40,1.40,0.90,1.68,1.89,1.20,2.17,2.50,2.38,1.64,4.59,4.14,3.26,3.08
 "01000","Alabama",5,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.23,-2.25,-3.07,-1.99,0.32,0.54,0.98,1.42,-0.94,1.02,0.98,2.24,1.50,0.65,0.35,0.66,0.96,0.68,-0.30,0.89,1.58,0.58,0.34,0.70,0.87,0.79,0.98,0.89,0.75,0.96,0.99,0.68,0.88,0.78,1.05,0.81,0.44,0.70,1.05,2.11,2.17,1.58,1.18,1.72,2.15,1.63,1.27,1.57,2.03,1.86,3.06,3.32,2.03,1.27,2.08,1.52,1.01,0.62,1.98,2.67,1.03,0.59,0.37,0.66,1.34,1.69,0.64,1.28,1.32,-0.20,1.28,0.32,-0.31,0.85,1.56,0.83,1.44,1.55,1.40,-1.83,0.34,0.73,1.03,-0.45,0.71,0.90,0.32,1.09,0.49,0.93,0.20,2.49,0.85,2.47,0.98
 "01000","Alabama",5,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.11,2.30,-1.50,-0.55,0.33,-0.41,2.97,-1.88,0.40,-0.35,0.44,-0.38,0.04,0.08,0.58,2.05,4.67,0.29,-0.07,0.77,1.53,-1.38,-0.21,-0.01,0.59,0.72,0.53,0.98,0.77,0.41,0.43,0.85,0.72,0.50,0.29,0.58,0.68,1.21,1.38,1.04,2.11,1.76,1.25,1.93,2.25,3.63,1.37,0.77,1.18,2.13,2.38,1.76,1.53,1.26,0.87,0.83,0.59,0.31,0.62,1.75,1.41,1.53,2.05,0.98,0.99,1.33,0.94,0.76,0.33,0.67,1.06,1.35,1.20,1.09,1.08,1.36,1.41,1.41,2.22,1.58,2.12,0.46,0.08,0.50,0.93,1.67,0.29,0.46,0.90,1.30,5.47,3.66,-2.35,0.76,1.70
 "01000","Alabama",5,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-145748,-113808,-161802,13725,120734,30604,96311,50446,-59907,31677,94575,300530,468016,382056,156791,106861,3819,164285,234592,-103546,297887,465869,209776,155792,-126262,463805,289607,268580,194344,244197,211231,171824,274026,349967,513511,554836,511425,427919,745684,1000261,890603,1071023,1299757,1639769,1602188,1859061,2223940,2070837,2945029,2810906,2893544,3409797,1930461,2594216,3859154,3247821,2691393,2737156,4012944,4823645,3883239,3748257,5021979,3341647,4440662,4607098,3824194,4633842,5921003,3431175,4798893,3891202,3113511,5233345,8365264,7481233,8631536,7223518,5837773,-2113408,6401917,5813355,4219264,1619222,5766429,7987635,3397076,7091949,7710421,9477602,15726568,24803911,6743523,17058808,16105883
 "01000","Alabama",5,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-136250,-114208,-135106,24437,117907,29917,73076,53600,-55911,27156,84567,285593,451120,370538,138564,49677,-120956,142807,243312,-147025,219686,488473,205327,131967,-179388,410598,229681,188705,125534,179179,140500,92568,188287,277867,433354,464725,432332,283711,551350,725516,473531,715564,1014740,1165583,957452,1004937,1745597,1595927,2225162,1801634,1363229,1833854,701402,1674217,2706833,2242192,1951786,2279659,2675293,2367305,2411279,2387670,3374025,2148408,2664844,2167477,2473651,2814186,4371825,2966130,2381627,2085760,2111193,2998183,5189943,4668317,4758295,2927713,341893,-1721042,2577159,3883850,2342775,1544298,2914328,3386147,2246819,4134296,4958678,4900608,3527277,10595025,10575777,8563633,8598790
 "01000","Alabama",5,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-10413,-15670,-17936,-8411,1394,2978,5777,9681,-6931,6902,6938,17955,16469,10236,6833,13909,21335,15079,-7092,23208,39739,16226,11297,24274,31708,27813,38953,38089,34023,45589,49095,35097,46991,44081,62838,52578,30920,52634,83667,184067,211691,168114,138353,223940,315455,264349,229728,318857,455588,470068,860215,1029539,700946,461526,812298,649424,467423,304205,1020002,1485064,619424,378896,252275,479145,1021996,1365894,544057,1142340,1239801,-200877,1320583,348294,-344888,976874,1880795,1068618,1960512,2248218,2128581,-2890387,523217,1187489,1735133,-778342,1234235,1612467,598115,2080694,976316,1903021,439173,5750933,2169868,6490665,2747573
 "01000","Alabama",5,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",915,16070,-8760,-2301,1433,-2291,17458,-12835,2935,-2381,3070,-3018,427,1282,11394,43275,103440,6399,-1628,20271,38462,-38830,-6848,-449,21418,25394,20973,41786,34787,19429,21636,44159,38748,28019,17319,37533,48173,91574,110667,90678,205381,187345,146664,250246,329281,589775,248615,156053,264279,539204,670100,546404,528113,458473,340023,356205,272184,153292,317649,971276,852536,981691,1395679,714094,753822,1073727,806486,677316,309377,665922,1096683,1457148,1347206,1258288,1294526,1744298,1912729,2047587,3367299,2498021,3301541,742016,141356,853266,1617866,2989021,552142,876959,1775427,2673973,11760118,8457953,-6002122,2004510,4759520
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
