GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "05000","Arkansas",5,SAINC12,1,"...","Percent change in personal income ","Percent change",-25.7,-8.3,-27.0,1.7,20.7,12.9,19.2,4.7,-8.8,9.1,4.8,34.7,44.0,8.0,17.6,7.1,3.6,-1.0,18.4,-6.1,7.4,13.8,4.0,0.6,-1.1,8.7,3.6,3.2,4.2,9.1,1.0,8.8,7.0,6.0,8.6,5.6,11.2,6.2,8.1,11.5,9.7,11.3,12.9,18.5,11.7,10.0,10.6,11.3,15.9,9.7,8.1,13.3,5.0,6.0,11.4,6.3,5.1,3.9,7.5,7.2,5.4,5.9,8.8,4.8,6.3,6.5,6.1,5.0,6.1,4.0,5.1,5.4,2.4,6.0,6.7,5.0,6.3,6.7,4.6,-1.6,3.4,6.7,6.5,0.2,5.6,3.1,2.7,3.4,4.2,1.9,8.1,13.7,1.4,6.0,5.6
 "05000","Arkansas",5,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-23.81,-8.35,-22.93,3.24,19.70,12.81,14.63,7.03,-8.53,7.52,4.49,33.70,41.86,7.72,16.24,3.94,-2.90,-1.22,17.79,-6.94,4.21,15.00,3.72,-0.42,-2.51,7.66,2.05,1.80,2.50,7.78,-0.46,6.50,4.83,4.13,6.83,2.80,8.81,3.12,7.46,7.80,5.73,7.55,10.04,13.55,6.25,4.27,7.61,8.38,12.17,5.36,1.59,6.76,0.87,3.76,8.30,3.48,3.38,3.87,5.10,3.42,2.99,3.93,6.42,3.05,4.24,3.62,3.69,2.98,4.28,3.59,3.08,3.12,1.35,4.57,4.33,2.05,2.30,2.47,-0.03,-1.55,1.74,3.09,2.89,1.50,1.38,0.56,0.65,2.17,1.38,1.84,1.67,5.30,3.52,2.83,3.52
 "05000","Arkansas",5,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.97,-3.33,-2.07,-0.64,1.47,0.40,0.87,0.62,0.07,1.35,-0.38,0.97,2.20,0.11,0.73,1.07,0.93,0.13,0.63,0.23,1.20,0.56,0.47,0.96,1.03,0.38,1.30,0.17,0.68,0.66,0.89,1.16,1.47,1.10,1.25,1.85,1.43,1.20,-0.66,2.39,2.04,1.67,1.40,2.21,2.65,1.98,1.40,1.91,2.18,2.19,3.71,4.31,2.72,0.87,2.25,1.83,0.82,-0.49,1.57,2.13,1.03,0.14,0.42,0.80,1.17,1.43,1.29,1.24,1.22,-0.12,0.97,0.35,-0.39,0.59,0.98,1.49,2.17,2.54,2.22,-1.89,-0.07,3.12,3.39,-1.70,2.79,1.43,1.13,0.67,1.94,-1.33,1.04,5.19,-0.30,3.22,0.92
 "05000","Arkansas",5,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.09,3.35,-2.05,-0.94,-0.45,-0.28,3.71,-2.99,-0.37,0.25,0.66,0.05,-0.07,0.14,0.63,2.08,5.55,0.07,-0.02,0.57,2.01,-1.81,-0.20,0.10,0.38,0.65,0.30,1.26,0.98,0.69,0.60,1.12,0.71,0.72,0.52,0.92,0.94,1.91,1.35,1.28,1.94,2.10,1.46,2.69,2.77,3.79,1.55,0.99,1.50,2.13,2.83,2.19,1.45,1.41,0.84,0.97,0.89,0.48,0.85,1.69,1.37,1.85,1.94,1.00,0.90,1.42,1.09,0.80,0.60,0.54,1.07,1.92,1.43,0.86,1.38,1.41,1.81,1.65,2.36,1.87,1.78,0.50,0.25,0.39,1.39,1.07,0.90,0.55,0.83,1.37,5.42,3.18,-1.86,-0.01,1.11
 "05000","Arkansas",5,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-143909,-34690,-103241,4630,58658,44205,74140,21437,-42507,40039,22833,174288,297474,77546,185087,87701,47550,-14083,249929,-98632,111906,222858,73600,12244,-21250,165767,75691,69269,92178,211188,25706,223637,193978,176557,270190,189778,402721,249446,346643,527599,497989,636588,808114,1304858,977468,938536,1086839,1282828,2007042,1420328,1307165,2306696,993503,1250357,2499687,1535764,1320667,1053891,2132922,2204977,1761450,2038074,3203260,1925311,2629388,2860015,2857280,2511069,3205745,2235724,2964105,3282385,1530260,3957553,4652306,3681676,4901298,5519003,4024983,-1443370,3134727,6322551,6557833,201906,5962265,3460885,3126408,4066579,5145405,2423927,10677416,19421781,2194682,9879682,9633497
 "05000","Arkansas",5,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-133403,-34769,-87522,9038,55780,43783,56460,32351,-41095,33022,21508,169157,283088,75175,170728,48709,-38364,-16796,241555,-111491,63508,243095,68531,-8044,-48520,146164,42448,38615,55399,179917,-11675,165496,133805,122481,214522,95383,317244,124850,317548,358665,293727,424537,629075,958152,523601,399356,782763,953065,1541210,786249,255369,1176592,171757,778009,1820571,850584,877324,1057357,1445582,1041771,976737,1353276,2342273,1210325,1766679,1600325,1740147,1490770,2247918,2001900,1781847,1900726,867043,3003332,3013255,1526328,1793566,2049508,-27581,-1429584,1586995,2908533,2905693,1605079,1476528,638021,762387,2600880,1714928,2371056,2195600,7532285,5677216,4626828,6101268
 "05000","Arkansas",5,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-11036,-13861,-7910,-1779,4154,1364,3377,2837,356,5938,-1839,4883,14845,1034,7726,13217,12378,1756,8619,3622,18049,9040,8664,18451,19888,7224,26966,3619,15080,15241,22365,29588,40625,32582,39252,63101,51517,48184,-28164,109985,104572,93968,87549,156615,222033,184949,144085,217316,275787,321838,596301,749385,535538,180112,494205,447225,212692,-134629,446205,648815,336924,48481,154768,317587,486143,632623,605936,619888,641552,-69138,562089,213094,-252211,388784,679915,1109998,1693057,2103246,1962130,-1743748,-67999,2939043,3402857,-1823086,2991155,1613963,1312321,805159,2396997,-1716206,1364618,7377542,-484046,5269611,1603743
 "05000","Arkansas",5,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",530,13940,-7809,-2629,-1276,-942,14303,-13751,-1768,1079,3164,248,-459,1337,6633,25775,73536,957,-245,9237,30349,-29277,-3595,1837,7382,12379,6277,27035,21699,16030,15016,28553,19548,21494,16416,31294,33960,76412,57259,58949,99690,118083,91490,190091,231834,354231,159991,112447,190045,312241,455495,380719,286208,292236,184911,237955,230651,131163,241135,514391,447789,636317,706219,397399,376566,627067,511197,400411,316275,302962,620169,1168565,915428,565437,959136,1045350,1414675,1366249,2090434,1729962,1615731,474975,249283,419913,1494582,1208901,1051700,660540,1033480,1769077,7117198,4511954,-2998488,-16757,1928486
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
