GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "04000","Arizona",6,SAINC12,1,"...","Percent change in personal income ","Percent change",-12.7,-17.9,-25.8,-3.8,17.5,16.5,13.5,11.8,-2.5,6.5,6.2,26.5,58.1,36.7,-3.7,2.2,2.9,11.8,19.6,2.6,11.0,23.7,13.7,6.2,3.6,9.8,12.7,9.4,6.3,10.4,9.1,8.9,7.7,5.1,7.3,6.0,8.9,8.7,14.7,16.4,14.1,14.4,14.6,15.5,12.8,8.0,11.2,12.4,17.5,17.5,15.2,14.1,6.4,10.2,12.8,11.4,9.4,7.3,8.4,7.3,5.0,5.4,6.5,7.4,9.5,9.0,8.3,8.4,9.3,6.0,8.5,4.8,3.8,6.1,9.0,10.1,10.7,5.7,1.8,-5.0,1.9,5.1,4.1,2.4,4.8,5.4,4.6,6.3,6.1,6.9,11.0,11.1,4.8,8.1,5.9
 "04000","Arizona",6,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-11.23,-18.50,-21.37,-1.62,17.05,15.27,9.91,11.58,-3.48,3.70,5.71,25.10,56.73,35.13,-4.71,-0.21,-1.11,10.01,14.45,0.24,7.44,22.83,12.97,3.33,1.14,7.70,10.11,7.63,3.40,7.48,6.48,5.76,6.00,3.30,5.30,4.07,7.49,5.71,10.11,10.81,8.49,9.89,10.82,10.69,7.68,1.54,8.32,9.02,12.42,12.49,8.29,7.12,2.30,5.78,8.86,7.10,6.25,5.43,5.31,2.14,2.97,3.83,4.69,4.96,6.07,5.96,5.76,5.74,7.06,4.62,6.16,2.76,2.28,3.65,6.24,6.64,7.25,2.76,-1.20,-4.65,0.27,3.39,2.69,1.92,2.47,3.00,2.83,3.61,3.91,3.88,3.21,5.40,4.80,4.70,3.82
 "04000","Arizona",6,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.64,-1.54,-3.47,-1.90,-0.32,0.93,1.98,2.04,-0.17,2.43,-0.02,1.36,1.28,1.66,0.59,0.84,1.06,0.97,5.04,1.66,2.03,1.95,0.54,2.20,1.98,1.51,2.17,0.95,2.09,2.14,2.09,2.16,1.14,1.26,1.43,1.07,0.83,1.34,3.38,4.51,3.98,2.88,2.54,3.07,3.26,2.59,1.65,2.68,3.61,3.50,4.76,5.01,2.77,3.32,3.06,3.28,2.03,0.88,1.96,3.29,0.64,0.01,-0.11,1.31,2.37,2.11,1.63,2.04,1.74,0.56,1.64,0.37,-0.06,1.09,1.26,1.91,2.01,1.65,0.44,-2.44,-0.24,1.71,1.36,-0.26,1.26,1.44,0.74,1.28,1.19,1.58,0.57,3.08,1.90,2.77,1.23
 "04000","Arizona",6,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.20,2.17,-0.92,-0.29,0.79,0.32,1.63,-1.82,1.13,0.37,0.55,0.00,0.11,-0.09,0.41,1.52,2.93,0.84,0.07,0.69,1.54,-1.06,0.22,0.64,0.50,0.60,0.45,0.86,0.79,0.76,0.50,0.97,0.58,0.57,0.53,0.86,0.57,1.66,1.23,1.04,1.58,1.63,1.29,1.77,1.87,3.83,1.26,0.67,1.47,1.53,2.19,1.96,1.34,1.15,0.87,0.98,1.08,1.03,1.11,1.84,1.35,1.54,1.94,1.17,1.02,0.96,0.93,0.61,0.51,0.84,0.73,1.69,1.55,1.33,1.47,1.59,1.41,1.28,2.54,2.08,1.83,-0.03,0.01,0.71,1.10,0.99,1.00,1.40,1.03,1.44,7.20,2.64,-1.93,0.64,0.86
 "04000","Arizona",6,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-32611,-40136,-47547,-5221,23092,25589,24403,24185,-5768,14517,14838,66844,185677,185385,-25546,14378,19576,82635,152978,24175,105632,252476,180745,92382,57717,161600,230280,192500,140146,246148,237453,254049,239928,171774,255549,226713,355894,379633,698006,889722,889062,1039433,1209083,1469562,1401883,981664,1495423,1833604,2912825,3427411,3502918,3733370,1938125,3293422,4533966,4540291,4168586,3572482,4382672,4123965,3020904,3431844,4378420,5325259,7272343,7601717,7642652,8347521,10037474,7087300,10651498,6524038,5357411,8953608,14034175,17281932,20037727,11816429,3916052,-11211557,3940075,10979654,9228121,5598897,11681308,13762439,12222690,17564757,18197455,21798241,37025169,41610767,19825599,35321447,27863414
 "04000","Arizona",6,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-28888,-41559,-39435,-2215,22466,23651,17877,23724,-7969,8272,13587,63413,181249,177445,-32494,-1370,-7536,69968,112967,2236,71345,242967,170827,49841,18174,126871,182953,155600,76001,177368,169724,164608,186572,110473,186471,153552,299743,249065,479313,587906,536860,713949,893218,1011414,840196,189845,1107740,1336591,2067117,2443641,1906308,1886258,695052,1857445,3142717,2839014,2781359,2642732,2775216,1215068,1806042,2442593,3152595,3548754,4668824,5018708,5292050,5707365,7606196,5444633,7695779,3740499,3239804,5387558,9761826,11310500,13614002,5729033,-2626266,-10398462,571174,7338432,6104305,4547829,5969981,7612297,7576142,10089740,11615156,12255167,10841129,20208272,19955136,20464546,18015959
 "04000","Arizona",6,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-4228,-3459,-6408,-2602,-421,1445,3577,4188,-387,5421,-45,3425,4084,8381,4107,5612,7201,6784,39430,15519,19475,20740,7068,33001,31539,24890,39236,19298,46575,50746,54608,61607,35455,42229,50369,40553,33407,58355,160407,245335,252050,207799,209621,290943,356904,319556,219897,397453,600783,683892,1093092,1327369,837009,1066401,1084542,1311209,904879,426308,1025525,1864621,391911,8992,-75320,935929,1822067,1772721,1497926,2032086,1878708,657093,2043440,498755,-83299,1604557,1972286,3259372,3778787,3435529,966130,-5463383,-506366,3704052,3094587,-621895,3047183,3649853,1971404,3571555,3531936,4998056,1907427,11530758,7904463,12058403,5785927
 "04000","Arizona",6,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",505,4882,-1704,-404,1047,493,2949,-3727,2588,824,1296,6,344,-441,2841,10136,19911,5883,581,6420,14812,-11231,2850,9540,8004,9839,8091,17602,17570,18034,13121,27834,17901,19072,18709,32608,22744,72213,58286,56481,100152,117685,106244,167205,204783,472263,167786,99560,244925,299878,503518,519743,406064,369576,306707,390068,482348,503442,581931,1044276,822951,980259,1301145,840576,781452,810288,852676,608070,552570,985574,912279,2284784,2200906,1961493,2300063,2712060,2644938,2651867,5576188,4650288,3875267,-62830,29229,1672963,2664144,2500289,2675144,3903462,3050363,4545018,24276613,9871737,-8034000,2798498,4061528
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
