GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "06000","California",8,SAINC12,1,"...","Percent change in personal income ","Percent change",-7.6,-13.6,-21.6,-4.8,11.9,12.0,19.9,6.3,-0.8,3.3,10.9,26.4,37.6,32.4,9.2,4.2,6.5,3.0,7.0,1.8,11.8,16.0,11.1,7.2,3.0,10.0,9.4,7.5,5.2,9.4,5.7,5.9,7.8,6.9,8.2,6.9,8.7,7.5,9.5,9.6,7.9,6.6,9.8,9.8,11.5,10.6,11.0,10.9,13.7,13.4,13.7,12.3,7.1,8.1,10.9,8.2,7.3,7.4,9.0,7.6,7.2,3.6,5.3,2.4,3.1,5.1,6.2,5.8,8.8,7.3,10.3,3.7,1.5,4.5,6.0,5.5,7.6,4.6,1.7,-3.1,4.6,6.4,5.9,1.4,6.2,7.2,4.5,4.7,5.1,5.3,9.1,9.0,0.1,5.3,6.8
 "06000","California",8,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-4.38,-11.83,-15.58,-1.39,11.79,10.48,12.87,7.13,-1.92,2.95,8.80,23.71,37.54,31.17,8.08,1.54,2.85,1.33,4.67,-0.24,8.15,15.41,9.71,5.37,0.63,7.89,8.27,4.85,3.16,7.92,3.61,4.23,6.00,5.03,6.12,4.69,6.79,4.93,7.52,6.57,4.16,3.80,7.48,6.75,7.20,6.11,8.35,8.36,10.28,9.73,8.16,6.20,3.93,5.28,7.58,5.78,5.63,6.66,6.32,4.07,4.84,2.19,3.45,1.23,1.95,2.98,4.33,5.01,6.47,6.09,8.23,1.98,1.23,3.04,4.68,3.39,4.31,2.20,-0.81,-2.47,3.18,4.37,3.75,1.56,3.47,4.26,2.85,3.52,3.22,3.43,1.94,6.31,1.33,2.66,3.88
 "06000","California",8,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-3.26,-3.14,-5.15,-3.17,-0.12,0.82,5.21,0.32,0.32,-0.22,1.34,2.88,0.28,1.34,0.65,1.31,1.36,1.09,2.66,1.01,2.31,1.63,1.19,1.60,1.99,1.61,0.80,1.87,0.98,1.34,1.33,0.78,1.38,1.22,1.58,1.52,1.28,1.06,0.87,1.92,1.88,1.40,1.52,2.00,2.48,1.79,1.34,1.82,2.50,2.58,3.80,4.18,2.12,2.05,2.84,1.53,0.92,0.24,1.94,2.58,1.34,0.20,0.08,0.48,0.89,1.53,1.27,0.76,1.64,0.58,1.55,0.53,-0.58,0.76,0.75,1.54,2.37,1.63,0.92,-2.03,-0.30,1.96,2.01,-0.72,1.72,1.70,1.02,1.39,1.10,0.89,0.24,1.32,1.63,2.60,0.91
 "06000","California",8,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.07,1.35,-0.83,-0.20,0.21,0.72,1.79,-1.18,0.76,0.62,0.78,-0.16,-0.25,-0.07,0.49,1.30,2.24,0.57,-0.37,1.02,1.29,-1.03,0.20,0.25,0.43,0.45,0.35,0.73,1.04,0.12,0.71,0.89,0.37,0.64,0.52,0.65,0.67,1.54,1.16,1.16,1.83,1.40,0.78,1.06,1.85,2.72,1.28,0.74,0.93,1.08,1.72,1.91,1.09,0.79,0.50,0.87,0.80,0.47,0.74,0.98,1.06,1.17,1.79,0.71,0.31,0.61,0.63,0.07,0.67,0.59,0.47,1.20,0.89,0.69,0.58,0.60,0.90,0.73,1.62,1.45,1.68,0.10,0.15,0.60,1.06,1.27,0.61,-0.16,0.74,1.02,6.90,1.35,-2.89,0.07,2.05
 "06000","California",8,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-416146,-691890,-946072,-164129,389181,440770,815939,308573,-43451,173660,585661,1572105,2824952,3355909,1263300,621076,1005494,495544,1188475,327235,2186416,3329088,2676847,1934040,875549,2946366,3065641,2653843,1982891,3778943,2489790,2745417,3818943,3654560,4664540,4212904,5738447,5375632,7324122,8104340,7257414,6569724,10363880,11426199,14730156,15132482,17284885,19108114,26607153,29541512,34235085,34940200,22787826,27781134,40395837,33566882,32595937,35128542,46005013,42575570,43430184,22983843,35415859,16991426,22636880,37952939,48542511,48293064,76920242,69322207,104867330,41816279,17914577,53323235,74568040,72711611,105333176,68090160,26987390,-48475886,70178810,103430534,101335030,26122217,114832755,141331569,94088436,103910642,116006483,128692263,230741380,248726945,2429777,161133794,217458022
 "06000","California",8,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-240752,-600918,-683495,-47988,386284,384150,528708,350830,-100351,152801,471918,1410097,2822704,3224944,1107246,230291,444372,220760,797075,-44430,1516912,3203599,2342221,1438588,181904,2335106,2693390,1728908,1208731,3188906,1590699,1968369,2957270,2670385,3474042,2878347,4456877,3520223,5769362,5519686,3836412,3781570,7928628,7856650,9195817,8706634,13157899,14632271,19949079,21469240,20425235,17623379,12537130,18072189,28056909,23708206,24970776,31749719,32331986,22703393,29042353,14124471,22964755,8626904,14017758,22121599,33756777,41479209,56674917,58102138,84217111,22309908,14381585,36141264,58089239,44638953,59874341,32841895,-12588721,-39163836,48971951,70346351,64329475,28234785,63812435,83289226,59783809,77031841,73802204,82666155,49369993,174809751,40241799,80303539,123498702
 "06000","California",8,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-179082,-159388,-226029,-109248,-3871,30083,213815,15811,16917,-11155,71759,171300,20735,138281,89331,195892,212703,180755,454285,185315,430397,339814,286108,427741,571223,477153,259628,664361,376527,540252,587603,362343,681716,646579,894754,934473,841148,753742,666098,1611748,1736505,1393308,1609249,2332728,3175119,2549223,2109637,3180802,4859188,5692078,9511353,11890017,6774113,7020816,10498323,6272105,4075000,1152668,9901447,14408604,8029283,1307346,540561,3395676,6399680,11311669,9864871,6252945,14345170,5559939,15858154,5999250,-6827422,8984680,9269367,20223792,32906227,24306524,14303996,-32296027,-4649163,31487471,34408813,-13014264,31588714,33256123,21481921,30348297,25171312,21506995,6207748,36548954,49298125,78592013,28863881
 "06000","California",8,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",3688,68416,-36548,-6893,6768,26537,73416,-58068,39983,32014,41984,-9292,-18487,-7316,66723,194893,348419,94029,-62885,186350,239107,-214325,48518,67711,122422,134107,112623,260574,397633,49785,311488,414705,179957,337596,295744,400084,440422,1101667,888662,972906,1684497,1394846,826003,1236821,2359220,3876625,2017349,1295041,1798886,2380194,4298497,5426804,3476583,2688129,1840605,3586571,3550161,2226155,3771580,5463573,6358548,7552026,11910543,4968846,2219442,4519671,4920863,560910,5900155,5660130,4792065,13507121,10360414,8197291,7209434,7848866,12552608,10941741,25272115,22983977,25856022,1596712,2596742,10901696,19431606,24786220,12822706,-3469496,17032967,24519113,175163639,37368240,-87110147,2238242,65095439
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
