GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "08000","Colorado",7,SAINC12,1,"...","Percent change in personal income ","Percent change",-6.1,-16.5,-23.7,-0.5,5.6,20.2,23.0,-0.2,-4.2,3.0,6.6,18.8,41.1,18.3,-0.6,10.5,9.0,15.2,10.9,1.8,9.6,18.8,8.0,1.2,3.0,8.9,10.3,9.6,2.4,7.4,7.0,7.6,5.5,4.7,5.8,6.7,7.4,7.8,10.9,12.5,13.1,12.8,13.2,14.3,12.1,10.5,10.0,11.6,15.3,14.6,14.6,14.9,9.8,8.0,8.9,6.0,3.9,3.4,6.1,7.7,6.0,6.1,8.4,8.2,7.5,8.7,7.9,7.5,10.7,7.5,11.3,5.1,0.3,1.9,3.9,6.5,8.0,6.6,4.7,-4.7,2.9,8.6,5.4,5.0,8.3,4.2,1.4,6.9,8.2,7.1,6.5,11.7,7.3,5.4,4.6
 "08000","Colorado",7,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-5.89,-16.50,-18.67,2.24,4.47,18.42,16.19,1.35,-3.49,1.45,5.29,16.48,38.95,18.05,-0.49,7.84,4.61,12.55,4.72,0.42,5.90,17.39,6.94,-0.13,0.34,7.42,8.62,7.81,0.96,5.14,5.58,5.83,3.51,3.27,4.57,5.06,5.76,5.09,8.83,8.57,8.65,9.48,10.39,10.30,8.07,6.15,7.62,8.81,11.60,10.92,9.41,9.33,5.96,4.63,6.31,3.73,2.46,2.56,4.08,3.86,4.38,4.38,6.66,5.90,4.72,5.02,5.64,5.85,8.70,7.11,8.63,3.46,-0.10,0.89,2.65,4.20,4.67,3.33,1.39,-3.78,1.79,4.85,3.65,4.64,5.28,1.43,0.23,5.04,5.26,4.38,1.85,6.94,6.60,3.15,2.52
 "08000","Colorado",7,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.33,-2.01,-3.95,-2.62,1.09,0.97,4.03,-0.07,-0.85,0.67,0.55,2.12,2.16,0.35,-0.53,1.17,1.53,1.14,6.06,1.15,2.12,2.41,0.92,0.89,2.26,0.85,1.26,1.26,1.29,1.25,1.03,1.16,1.63,1.03,1.14,1.05,1.15,1.46,1.13,3.15,2.92,2.05,1.91,2.69,2.78,2.26,1.54,2.18,2.92,2.64,3.86,4.17,2.75,2.41,2.11,1.88,0.79,0.15,1.52,2.81,0.93,0.66,0.55,1.55,2.17,2.44,1.85,1.51,1.81,-0.22,2.15,0.77,-0.59,0.51,0.85,1.53,2.58,2.56,1.66,-2.17,-0.58,3.34,1.72,-0.14,2.05,1.62,0.64,1.51,1.76,2.05,0.16,2.73,1.96,2.58,1.03
 "08000","Colorado",7,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.11,2.03,-1.09,-0.11,0.00,0.77,2.78,-1.43,0.12,0.87,0.74,0.17,-0.01,-0.13,0.46,1.54,2.90,1.49,0.12,0.24,1.60,-0.99,0.10,0.47,0.44,0.67,0.45,0.51,0.13,1.02,0.40,0.60,0.38,0.40,0.08,0.58,0.54,1.21,0.98,0.75,1.48,1.25,0.86,1.36,1.26,2.09,0.88,0.56,0.78,1.03,1.32,1.44,1.13,0.93,0.48,0.40,0.63,0.69,0.49,1.04,0.68,1.06,1.23,0.75,0.62,1.23,0.38,0.16,0.20,0.56,0.49,0.89,0.96,0.48,0.42,0.80,0.75,0.71,1.66,1.24,1.73,0.46,0.07,0.49,1.00,1.14,0.55,0.39,1.13,0.70,4.53,2.01,-1.27,-0.29,1.03
 "08000","Colorado",7,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-38820,-98316,-118177,-1847,21051,80514,110387,-940,-24910,16881,38262,116339,302455,189770,-6931,128845,122108,223527,184850,33929,184306,394879,198767,33254,82883,251077,316214,323118,88039,280874,285438,330483,258186,232310,299755,366491,435125,487690,739262,936107,1101356,1219476,1416417,1747030,1686059,1640555,1731532,2192981,3239288,3560396,4078656,4790412,3625909,3222754,3887089,2863653,1954653,1782227,3303667,4439144,3709554,4001260,5878907,6186967,6140116,7630108,7505939,7746601,11856390,9134828,14848013,7505961,425576,2913002,6163189,10679269,13949248,12414156,9454594,-9895732,5883360,17820477,12159098,11783767,20636345,11242927,3982686,19688036,24746006,23363286,22973281,43740909,30486575,24427845,21693991
 "08000","Colorado",7,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-37444,-98452,-93083,8508,16914,73588,77708,7953,-20595,8167,30754,102126,286674,187467,-6045,95752,62259,184821,79972,7949,113016,365094,173176,-3483,9349,208362,263880,263495,35625,194678,226912,253966,164212,161386,236621,277090,336343,319704,597099,643169,729652,904685,1118030,1253949,1123128,960218,1314372,1671816,2456581,2665944,2630991,2990904,2196601,1872860,2755161,1776282,1240535,1342173,2213103,2221114,2713593,2876731,4640854,4455338,3855009,4405186,5383410,6022983,9632268,8718854,11373288,5074633,-151861,1377718,4165404,6868152,8142650,6261230,2790120,-7939449,3580196,9989862,8169359,10943493,13076585,3831339,649613,14300106,15961885,14360853,6497394,25975142,27616744,14145436,11929928
 "08000","Colorado",7,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-2079,-11969,-19678,-9947,4129,3867,19327,-439,-5035,3800,3213,13166,15879,3670,-6517,14241,20688,16766,102780,21550,40616,50496,23041,24059,61501,23823,38441,42560,47622,47439,42098,50397,76384,50944,58808,57738,67234,91759,76165,236592,246719,195326,205442,328052,387284,353342,265712,414430,618247,643363,1079151,1338139,1014811,975269,921682,895398,398551,79951,822530,1617479,576895,429926,382082,1168746,1774670,2142584,1762864,1557486,2006168,-268906,2829480,1125335,-909196,793381,1339984,2503634,4502194,4813369,3333231,-4562672,-1159431,6872725,3839544,-323148,5086710,4359565,1787367,4283287,5346258,6716307,561808,10224331,8183564,11588374,4873050
 "08000","Colorado",7,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",703,12105,-5416,-408,8,3059,13352,-8454,720,4914,4295,1047,-98,-1367,5631,18852,39161,21940,2098,4430,30674,-20711,2550,12678,12033,18892,13893,17063,4792,38757,16428,26120,17590,19980,4326,31663,31548,76227,65998,56346,124985,119465,92945,165029,175647,326995,151448,106735,164460,251089,368514,461369,414497,374625,210246,191973,315567,360103,268034,600551,419066,694603,855971,562883,510437,1082338,359665,166132,217954,684880,645245,1305993,1486633,741903,657801,1307483,1304404,1339557,3331243,2606389,3462595,957890,150195,1163422,2473050,3052023,1545706,1104643,3437863,2286126,15914079,7541436,-5313733,-1305965,4891013
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
