GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "09000","Connecticut",1,SAINC12,1,"...","Percent change in personal income ","Percent change",-8.9,-12.1,-21.8,-5.5,12.5,9.1,14.4,7.1,-10.1,9.5,10.7,27.7,27.5,12.5,0.3,-2.9,7.8,10.8,3.6,-2.6,13.2,14.9,9.4,8.4,2.0,7.7,9.3,6.7,-3.1,6.9,4.1,5.8,6.8,5.6,7.4,7.5,9.8,9.6,6.1,14.5,6.7,5.4,7.8,8.9,9.1,7.4,8.0,10.2,11.3,12.4,13.9,12.1,8.0,7.2,11.6,7.5,7.6,8.7,10.7,8.5,3.2,1.2,7.2,3.2,2.8,5.5,4.8,6.1,8.0,5.5,9.4,5.7,-0.1,1.3,5.3,5.3,8.0,7.6,6.6,-1.1,3.6,3.0,1.2,-2.3,4.1,2.6,1.9,2.4,4.5,2.7,2.8,7.7,4.3,6.4,6.3
 "09000","Connecticut",1,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-7.98,-10.63,-16.81,-2.13,11.73,8.47,9.08,7.51,-7.96,7.24,10.22,24.99,24.32,13.44,0.68,-4.16,4.08,8.91,3.79,-3.76,9.01,14.81,6.99,7.81,-0.35,6.09,7.52,5.18,-4.58,5.58,2.85,3.40,5.12,3.70,5.30,5.47,7.76,5.87,5.42,12.24,3.75,2.46,5.97,6.60,5.54,3.36,6.08,7.90,8.89,8.96,8.39,6.36,4.54,5.24,8.18,6.06,5.77,7.68,7.30,3.71,1.66,0.71,4.99,1.94,1.75,3.60,3.64,5.13,6.55,5.18,7.02,4.61,0.33,0.73,3.45,3.41,4.18,4.40,3.97,0.05,2.79,1.59,-0.56,-1.72,1.87,1.36,0.84,1.70,1.78,2.01,-0.23,4.92,3.01,3.12,4.18
 "09000","Connecticut",1,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.94,-2.53,-4.46,-3.39,0.92,0.59,3.82,0.73,-2.93,2.65,0.41,2.79,3.19,-0.91,-0.72,-0.22,1.80,0.97,1.14,0.24,3.70,0.69,2.31,0.37,1.55,0.92,1.59,0.78,0.07,1.49,1.12,1.63,1.80,1.59,1.80,1.77,1.64,2.53,-0.54,1.56,1.58,1.14,1.35,1.63,2.07,1.09,1.15,1.77,2.06,2.37,4.04,4.27,2.31,1.09,2.97,0.83,1.29,0.70,2.67,3.69,0.51,-0.70,0.25,0.79,0.64,1.04,0.80,0.66,1.30,0.11,1.79,0.48,-1.15,0.33,1.13,1.50,3.09,2.55,1.05,-2.43,-0.08,1.33,1.65,-0.74,1.86,0.83,0.66,0.45,1.83,0.32,-1.23,1.58,2.89,2.89,1.09
 "09000","Connecticut",1,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.04,1.01,-0.52,0.00,-0.20,0.09,1.47,-1.11,0.79,-0.38,0.02,-0.09,0.00,0.00,0.36,1.50,1.89,0.91,-1.35,0.91,0.47,-0.60,0.07,0.24,0.77,0.69,0.14,0.70,1.45,-0.21,0.17,0.82,-0.10,0.35,0.30,0.30,0.41,1.25,1.26,0.73,1.35,1.77,0.49,0.70,1.49,2.97,0.74,0.50,0.32,1.10,1.45,1.49,1.12,0.82,0.47,0.59,0.55,0.32,0.71,1.06,1.07,1.17,1.91,0.51,0.43,0.85,0.33,0.33,0.15,0.26,0.56,0.63,0.74,0.22,0.67,0.35,0.73,0.66,1.54,1.25,0.86,0.04,0.15,0.14,0.40,0.43,0.38,0.21,0.85,0.34,4.25,1.22,-1.61,0.37,1.01
 "09000","Connecticut",1,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-145746,-181578,-286191,-56658,120910,99807,171232,97054,-147322,124681,153034,440244,558371,324081,9312,-84229,220492,329803,121126,-91535,450219,576602,416589,409093,103925,414087,535617,420844,-206357,448963,289186,425632,525500,463840,643714,703802,984884,1062926,742379,1863740,981283,840587,1290284,1588670,1763882,1568305,1810861,2496248,3048208,3735633,4695629,4667115,3441140,3336925,5806991,4169573,4564857,5611105,7492309,6559809,2721170,1024461,6293806,3056301,2734819,5491254,5032270,6769357,9381053,7023687,12526784,8368993,-133135,1985870,8218812,8671332,13884343,14237266,13207849,-2424472,7567508,6504491,2827320,-5298757,9249693,6100833,4513856,5752391,11131093,6982036,7465541,21261697,12719953,19718432,20647210
 "09000","Connecticut",1,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-130917,-158887,-220728,-21870,113845,92374,108199,102254,-116163,94954,146818,397293,493652,347757,19933,-121506,115787,272331,128257,-131915,307951,572938,310730,379698,-18357,327328,435358,327292,-308849,365081,198899,247092,394451,304639,460999,510946,779280,646735,655347,1569782,550960,384906,985742,1174330,1074609,710628,1382135,1939137,2403898,2694020,2837368,2447861,1959553,2443860,4085579,3378504,3458378,4956271,5121026,2878008,1397841,613566,4390795,1830575,1697786,3599977,3843611,5674106,7680635,6558966,9386403,6746619,504950,1134360,5395858,5611761,7250755,8233318,7994306,103902,5920722,3484503,-1263891,-3932944,4194295,3169765,2016604,4140627,4447250,5242960,-618352,13544238,8926069,9646766,13741453
 "09000","Connecticut",1,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-15439,-37803,-58627,-34801,8973,6462,45473,9985,-42702,34769,5929,44336,64721,-23562,-21092,-6425,51033,29694,38582,8313,126373,26811,102656,17799,81752,49466,92033,49106,4708,97621,78104,118809,138729,130528,156764,165038,164803,278626,-65262,200243,231667,178218,222863,290003,400597,229945,260879,434203,557131,712035,1367229,1643850,999327,510072,1486156,463504,774424,450939,1874231,2860660,425273,-609462,224114,742399,621297,1036365,839373,730021,1528260,134043,2391529,705596,-1781184,506143,1772224,2477450,5360873,4768378,2116783,-5209231,-175639,2933200,3744638,-1695821,4161368,1937829,1579271,1089481,4567757,844244,-3289708,4354997,8551795,8921649,3582143
 "09000","Connecticut",1,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",610,15112,-6836,13,-1908,971,17560,-15185,11543,-5042,287,-1385,-2,-114,10471,43702,53672,27778,-45713,32067,15895,-23147,3203,11596,40530,37293,8226,44446,97784,-13739,12183,59731,-7680,28673,25951,27818,40801,137565,152294,93715,198656,277463,81679,124337,288676,627732,167847,122908,87179,329578,491032,575404,482260,382993,235256,327565,332055,203895,497052,821141,898056,1020357,1678897,483327,415736,854912,349286,365230,172158,330678,748852,916778,1143099,345367,1050730,582121,1272715,1235570,3096760,2680857,1822425,86788,346573,330008,894030,993239,917981,522283,2116086,894832,11373601,3362462,-4757911,1150017,3323614
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
