GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "11000","District of Columbia",2,SAINC12,1,"...","Percent change in personal income ","Percent change",0.3,-1.5,-10.1,-11.9,9.4,14.5,14.7,3.7,-2.3,5.2,9.9,15.3,28.4,16.1,-0.6,5.4,7.5,0.5,8.6,3.6,6.1,5.2,5.3,-2.9,-1.5,-0.7,4.7,4.0,2.2,3.1,1.1,5.3,7.6,6.2,6.2,7.7,4.4,7.1,5.0,-2.6,10.9,11.3,8.5,5.4,8.5,8.8,6.0,7.4,6.5,5.2,5.6,7.4,6.6,5.3,8.9,6.0,5.2,5.1,9.8,5.9,4.5,4.6,4.9,4.0,2.3,0.7,4.1,4.6,6.3,5.2,9.7,3.7,0.5,1.1,8.6,5.3,5.8,7.9,3.1,1.1,7.5,8.2,3.0,1.5,6.7,7.8,4.9,3.8,4.1,2.0,5.9,7.9,3.9,7.4,6.5
 "11000","District of Columbia",2,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",0.76,-1.87,-8.01,-8.87,8.34,12.48,8.79,5.55,-2.53,4.84,9.36,14.84,26.56,16.48,-0.77,2.81,3.39,-0.73,8.06,3.26,2.25,7.13,4.90,-2.72,-4.67,-0.32,2.41,1.23,1.14,2.16,-0.36,4.23,6.46,5.05,5.16,6.15,3.72,5.74,3.60,-2.90,6.47,6.73,5.20,2.97,5.20,5.30,4.21,5.28,3.54,1.81,1.04,3.24,3.72,3.71,5.98,4.29,3.79,4.55,6.52,2.02,4.15,3.57,2.94,2.39,1.54,0.83,3.03,2.72,4.25,4.68,8.16,3.72,0.22,0.66,7.32,3.34,2.95,5.24,0.25,2.48,6.13,5.20,1.46,1.03,5.59,6.32,3.49,2.47,2.50,0.50,1.18,5.90,3.31,4.81,5.11
 "11000","District of Columbia",2,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.53,-1.19,-1.26,-2.92,0.55,1.92,4.12,-0.41,0.01,0.28,0.33,0.26,1.56,-0.34,-0.37,1.31,1.50,0.72,2.51,0.11,2.72,-0.52,0.53,-0.16,2.97,-0.91,2.09,2.29,0.59,0.84,1.37,0.62,1.02,0.85,0.82,1.24,0.42,0.47,0.36,0.13,2.66,2.84,1.78,1.14,1.76,0.95,1.27,1.79,2.69,2.18,2.97,2.91,1.41,1.02,2.11,1.69,0.99,0.22,2.39,3.84,-0.39,-0.22,0.52,0.38,0.52,0.26,-0.08,1.95,1.20,0.49,1.22,-0.43,-0.89,0.19,1.13,0.98,2.65,1.82,1.74,-2.77,-0.51,2.14,1.75,-0.29,1.36,0.96,0.54,1.13,1.41,0.79,-1.08,1.28,3.12,2.12,1.02
 "11000","District of Columbia",2,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.09,1.55,-0.83,-0.15,0.53,0.14,1.79,-1.42,0.20,0.07,0.25,0.20,0.28,-0.05,0.57,1.28,2.61,0.55,-1.96,0.23,1.09,-1.41,-0.11,-0.01,0.19,0.52,0.20,0.49,0.48,0.12,0.14,0.46,0.14,0.28,0.18,0.35,0.29,0.94,1.01,0.13,1.79,1.75,1.55,1.30,1.56,2.53,0.47,0.29,0.31,1.24,1.56,1.27,1.46,0.59,0.86,0.02,0.46,0.36,0.87,0.03,0.72,1.27,1.44,1.23,0.23,-0.38,1.12,-0.03,0.83,-0.01,0.36,0.40,1.14,0.21,0.12,0.96,0.18,0.81,1.16,1.34,1.90,0.90,-0.26,0.75,-0.22,0.57,0.88,0.17,0.22,0.69,5.75,0.71,-2.53,0.46,0.40
 "11000","District of Columbia",2,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",2060,-9662,-63773,-67780,47092,79585,92210,26702,-17327,37810,76136,128892,275785,200610,-8384,77667,113776,8783,141150,64127,111730,101669,109561,-62637,-31592,-14650,96923,86577,49440,71594,27055,127004,191741,167560,177468,236547,145605,245680,183289,-101823,410903,472598,396475,272625,452616,505958,373397,489460,466885,397014,445486,627251,598597,514408,911719,665080,616794,634512,1274027,842164,677453,731350,810416,693500,413471,131277,756925,897630,1271241,1110491,2202370,915251,120541,275160,2241097,1500756,1726132,2489112,1071860,372538,2672362,3148676,1221203,631490,2910205,3617754,2448865,1968069,2237043,1115510,3368750,4802891,2564170,5049192,4783297
 "11000","District of Columbia",2,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",4868,-11964,-50576,-50367,41718,68320,55128,39912,-18890,35243,71705,124984,257921,205487,-11198,40510,51430,-11943,132184,58122,41477,139452,100786,-58967,-98215,-6706,49683,26583,25541,49542,-8606,101075,162716,136939,148503,187931,122339,197163,132641,-111975,243404,280986,241690,149791,276241,305492,264057,351255,252653,137359,83190,274085,337906,359038,608995,476015,445834,563576,848600,289346,627233,564507,485583,414104,278181,154070,563298,525867,860442,1006935,1845524,924371,55947,171205,1913118,948957,880331,1656965,84058,872846,2177353,1987262,603499,437306,2415790,2914450,1738327,1290822,1353426,283726,679126,3593300,2176496,3282263,3746385
 "11000","District of Columbia",2,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-3391,-7617,-7968,-16573,2728,10507,25845,-2982,51,2036,2492,2183,15149,-4300,-5409,18785,22738,11724,41151,1983,50232,-10144,11008,-3503,62580,-18783,43077,49354,13215,19318,32328,14821,25594,22901,23665,37972,13851,16129,13407,5161,100167,118547,82916,57505,93337,54694,79785,118865,192052,165642,237288,245614,127945,98544,214617,187264,116826,26678,311675,548907,-59319,-34714,86063,65430,94653,47401,-13996,377556,242210,106348,276252,-107873,-228584,49252,295442,278510,792741,575429,592973,-972504,-180409,818140,724330,-123825,589817,441792,270506,588308,762799,443936,-620070,779651,2049246,1450037,745894
 "11000","District of Columbia",2,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",583,9919,-5229,-840,2646,758,11237,-10228,1512,531,1939,1725,2715,-577,8223,18372,39608,9002,-32185,4022,20021,-27639,-2233,-167,4043,10839,4163,10640,10684,2734,3333,11108,3431,7720,5300,10644,9415,32388,37241,4991,67332,73065,71869,65329,83038,145772,29555,19340,22180,94013,125008,107552,132746,56826,88107,1801,54134,44258,113752,3911,109539,201557,238770,213966,40637,-70194,207623,-5793,168589,-2792,80594,98753,293178,54703,32537,273289,53060,256718,394829,472196,675418,343274,-106626,318009,-95402,261512,440032,88939,120818,387848,3309694,429940,-1661572,316892,291018
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
