GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "10000","Delaware",2,SAINC12,1,"...","Percent change in personal income ","Percent change",-15.8,-8.5,-22.8,-3.1,15.3,9.9,24.0,10.0,-15.2,15.9,17.0,16.5,13.3,13.7,4.3,1.5,6.7,8.3,2.1,8.8,17.2,7.4,7.3,7.1,3.9,15.4,15.4,0.7,2.8,4.3,4.8,3.2,6.2,7.3,8.2,10.0,5.4,6.7,9.1,10.2,6.5,9.4,9.9,10.8,8.2,7.5,9.3,7.7,9.7,9.9,12.5,10.1,7.6,6.7,10.1,8.6,6.4,7.6,9.9,11.2,5.5,5.9,4.2,3.8,4.2,5.8,6.9,4.6,10.7,7.3,10.2,10.5,3.4,2.3,3.9,2.5,5.8,3.5,0.7,0.4,1.0,7.5,0.9,1.4,4.3,5.2,2.9,4.7,6.4,3.2,4.3,9.3,8.7,2.4,6.9
 "10000","Delaware",2,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-7.16,-6.94,-14.08,-2.46,9.82,5.05,10.99,7.45,-4.59,6.27,10.17,15.98,16.50,14.74,4.28,-0.12,1.92,6.58,4.09,4.26,10.17,11.18,7.43,5.46,-0.70,10.71,11.19,-0.12,3.13,3.43,3.36,1.87,4.52,5.24,6.43,8.47,5.37,4.77,7.50,8.43,4.31,7.36,8.14,8.43,4.93,4.69,6.90,5.02,7.70,6.67,6.84,5.08,5.16,5.09,6.90,6.30,4.26,6.32,6.57,6.30,3.66,3.23,3.21,2.22,2.95,2.96,3.81,3.34,7.90,7.29,7.08,9.32,2.20,1.16,1.78,1.10,2.74,1.23,-2.58,0.70,0.35,4.94,-0.36,0.31,1.92,3.29,1.10,2.06,4.07,1.01,-0.13,4.30,7.04,-0.63,4.29
 "10000","Delaware",2,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-8.64,-2.43,-8.47,-0.86,5.77,5.06,12.10,3.30,-10.63,9.28,6.81,0.54,-3.21,-1.00,-0.19,0.53,2.98,1.81,-1.61,4.27,5.88,-3.06,-0.31,1.42,4.06,4.13,3.83,0.24,-1.21,0.82,1.19,0.49,1.52,1.88,1.46,1.23,-0.49,0.90,0.69,1.23,1.11,0.91,1.00,1.30,1.71,0.04,1.64,1.75,1.53,1.86,3.54,3.66,1.74,0.90,2.44,1.74,1.33,0.88,2.37,4.06,1.11,1.03,-0.02,0.83,0.56,1.74,1.72,1.15,1.97,-0.50,2.10,0.05,0.26,0.30,1.12,0.37,1.96,1.05,1.04,-1.70,-0.78,1.72,0.83,0.10,1.23,0.61,0.98,1.43,1.29,0.98,-0.42,2.30,1.86,2.54,1.43
 "10000","Delaware",2,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.04,0.91,-0.27,0.25,-0.34,-0.19,0.90,-0.73,0.07,0.37,0.01,0.01,0.01,-0.06,0.23,1.13,1.83,-0.09,-0.36,0.27,1.17,-0.71,0.18,0.25,0.52,0.54,0.40,0.55,0.88,0.03,0.20,0.82,0.15,0.18,0.32,0.32,0.49,1.05,0.90,0.54,1.07,1.12,0.74,1.06,1.58,2.80,0.76,0.88,0.48,1.41,2.14,1.35,0.69,0.72,0.78,0.54,0.84,0.44,1.01,0.85,0.73,1.62,0.97,0.79,0.74,1.12,1.35,0.14,0.81,0.51,1.06,1.12,0.89,0.88,0.96,1.02,1.13,1.17,2.24,1.41,1.44,0.85,0.44,0.97,1.13,1.29,0.84,1.19,1.03,1.19,4.91,2.67,-0.25,0.47,1.22
 "10000","Delaware",2,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-38344,-17360,-42837,-4451,21414,16045,42677,22106,-36774,32765,40544,46168,43253,50425,18119,6698,29844,39334,10890,46114,98133,49552,52418,54871,32013,131838,152401,7691,32091,50528,58511,41095,82325,103227,124480,164449,96905,128019,184618,225993,158738,244157,280860,337352,284767,282158,374757,337139,460469,516700,715731,649785,537372,510860,822901,768753,625764,790418,1107613,1373549,749141,846230,633377,608617,699240,999424,1249030,900360,2169271,1640924,2470250,2787885,985477,711519,1199512,802046,1929808,1208297,251480,147788,370096,2779796,361951,555216,1745120,2203366,1302144,2148733,3073229,1624022,2295400,5106077,5211016,1556915,4650421
 "10000","Delaware",2,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-17421,-14225,-26432,-3570,13786,8173,19545,16431,-11149,12900,24271,44621,53681,54333,17933,-537,8522,31176,20995,22303,57952,74732,53291,42017,-5774,91789,110641,-1342,35963,40468,41421,24180,60161,74037,97492,139061,96998,90774,152229,186807,105304,191340,231569,263571,170692,175652,277959,221183,365161,346741,390988,327154,365249,387623,560935,564542,414280,654182,731828,771233,498532,464507,487728,351459,485032,508296,691101,648920,1604856,1638700,1708118,2478500,647176,352414,552094,356375,906525,430619,-933676,253803,127528,1828049,-142932,126119,782091,1396431,491256,946175,1957847,515322,-70536,2369594,4239342,-412311,2874750
 "10000","Delaware",2,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-21022,-4992,-15889,-1242,8101,8182,21528,7286,-25786,19105,16246,1521,-10456,-3669,-795,2315,13221,8580,-8265,22378,33532,-20429,-2200,10932,33464,35409,37839,2778,-13956,9650,14686,6334,20171,26606,22196,20127,-8877,17185,14058,27247,27205,23612,28337,40527,59229,1656,66042,77242,72739,96812,202530,235763,123426,68629,198310,155537,129761,91027,263764,497687,151196,148518,-2522,131463,92331,299060,312645,223871,399707,-112641,506002,12229,77512,91876,349016,117886,648912,366518,374950,-619920,-284357,637457,329625,39453,501521,258337,436930,657107,622212,499085,-223946,1268033,1120663,1662171,956134
 "10000","Delaware",2,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",99,1857,-516,361,-473,-310,1604,-1611,161,760,27,26,28,-239,981,4920,8101,-422,-1840,1433,6649,-4751,1327,1922,4323,4640,3921,6255,10084,410,2404,10581,1993,2584,4792,5261,8784,20060,18331,11939,26229,29205,20954,33254,54846,104850,30756,38714,22569,73147,122213,86868,48697,54608,63656,48674,81723,45209,112021,104629,99413,233205,148171,125695,121877,192068,245284,27569,164708,114865,256130,297156,260789,267229,298402,327785,374371,411160,810206,513905,526925,314290,175258,389644,461508,548598,373958,545451,493170,609615,2589882,1468450,-148989,307055,819537
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
