GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "12000","Florida",5,SAINC12,1,"...","Percent change in personal income ","Percent change",-8.3,-13.9,-18.6,-7.0,23.0,10.6,22.6,12.1,-1.7,11.6,10.5,26.3,42.6,44.0,11.2,4.1,-2.9,2.3,5.4,4.0,14.2,13.1,13.2,11.5,5.4,14.4,15.9,10.7,8.7,10.4,4.8,6.0,8.0,7.3,9.4,9.3,9.7,10.6,15.0,15.9,13.1,12.3,15.1,16.5,12.5,8.9,9.3,12.0,15.3,15.0,18.0,15.7,8.1,10.6,11.2,9.5,8.2,7.7,10.4,11.3,7.0,4.4,5.7,6.0,5.4,7.5,6.4,6.2,8.0,4.6,8.2,5.5,3.4,5.1,8.6,8.6,8.3,4.2,0.9,-5.5,6.5,5.4,3.2,0.1,6.8,6.7,3.7,7.7,6.6,6.3,6.6,11.9,7.1,9.6,6.3
 "12000","Florida",5,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-4.39,-12.43,-15.10,-4.04,21.19,8.36,13.30,8.82,-2.02,7.68,8.86,26.04,41.14,41.56,9.78,2.33,-6.83,0.07,3.05,3.87,9.03,12.85,10.90,7.63,3.10,10.23,11.45,7.66,5.14,7.57,2.48,3.18,5.32,4.98,7.41,6.47,7.08,6.54,9.39,10.52,7.31,7.36,10.40,10.54,6.32,3.05,5.42,7.29,9.65,8.50,9.09,6.87,3.95,6.46,6.28,5.44,4.92,5.86,5.79,3.92,3.67,2.38,4.02,3.90,3.08,3.73,3.79,3.42,5.10,4.14,4.99,3.39,2.91,3.31,4.95,5.01,3.73,0.85,-1.92,-3.23,2.62,2.17,1.75,0.85,3.24,3.39,2.52,3.24,3.08,2.74,0.99,6.51,4.56,4.28,3.07
 "12000","Florida",5,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-3.92,-3.30,-2.26,-2.62,1.58,2.33,6.72,4.85,0.05,3.25,1.12,0.07,1.36,2.61,0.86,0.37,1.61,1.15,2.49,-0.34,3.21,0.97,2.15,3.31,1.71,3.09,3.69,1.85,2.64,2.00,1.68,1.76,1.76,1.66,1.65,2.02,1.76,2.14,3.93,4.15,3.97,3.03,2.91,3.75,3.93,2.38,2.34,3.38,4.16,4.41,6.36,6.54,2.32,2.85,3.96,3.02,2.28,1.00,3.41,5.75,2.04,0.33,-0.48,1.00,1.27,2.47,1.71,2.21,2.60,-0.11,2.23,0.77,-0.66,0.71,2.49,2.45,3.54,2.40,0.68,-3.87,1.97,2.35,1.62,-1.38,2.48,2.19,0.50,3.49,2.61,2.30,0.56,2.16,4.38,4.30,1.66
 "12000","Florida",5,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.06,1.87,-1.24,-0.38,0.28,-0.05,2.62,-1.60,0.32,0.68,0.53,0.20,0.07,-0.14,0.53,1.40,2.36,1.05,-0.17,0.43,1.91,-0.71,0.11,0.56,0.56,1.08,0.73,1.18,0.96,0.83,0.60,1.08,0.89,0.68,0.34,0.82,0.87,1.90,1.64,1.20,1.80,1.92,1.79,2.21,2.20,3.52,1.52,1.32,1.52,2.09,2.53,2.25,1.78,1.32,0.91,1.06,1.02,0.79,1.23,1.65,1.25,1.65,2.12,1.10,1.04,1.28,0.93,0.59,0.35,0.58,0.97,1.30,1.15,1.05,1.19,1.15,1.03,0.97,2.11,1.58,1.92,0.83,-0.21,0.60,1.07,1.13,0.68,0.94,0.93,1.26,5.09,3.20,-1.83,1.01,1.60
 "12000","Florida",5,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-61899,-95376,-110212,-33964,103353,58665,138143,90319,-13851,95812,96856,267869,547154,806956,294993,120155,-87473,67462,162925,126797,470658,497450,565064,558816,291096,822257,1036235,808366,731603,947078,478408,633807,890529,883012,1216458,1317988,1502239,1796133,2808830,3424360,3271269,3480150,4793612,6028379,5304790,4284797,4844422,6831910,9789021,11046155,15227078,15647970,9307625,13278165,15405113,14609815,13828260,13934616,20432578,24484288,16766111,11247999,15241257,17061690,16230633,23740502,21941623,22614411,31042365,19208859,35657686,25747322,16953406,26077523,46636682,50599738,52903381,29228024,6260850,-40012164,44707301,39108290,24272621,533017,53931263,56915122,33535179,72016536,67008413,67928201,76114585,145008491,97189149,140399313,101655408
 "12000","Florida",5,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-32884,-85524,-89477,-19495,94996,46103,81165,66005,-16974,63388,81605,265052,528845,761627,258199,68304,-208750,2125,92473,123830,300232,487570,468047,370688,168166,583899,747470,579426,430260,689405,249741,335018,593859,600499,959059,916074,1094945,1110344,1763035,2270187,1827180,2081817,3302567,3852504,2692658,1459618,2827575,4154906,6163484,6259242,7697992,6866716,4568665,8071150,8674413,8350374,8277259,10673060,11336189,8488365,8845996,6142153,10808684,11078791,9266531,11845411,12945388,12424439,19663094,17256702,21742124,15982711,14481880,17043113,26734543,29420697,23765614,5893394,-13787675,-23426850,17966484,15871858,13455887,6729969,25727159,28734077,22855142,30441617,31136490,29528781,11315306,79530397,62386512,62615213,49326399
 "12000","Florida",5,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-29432,-22727,-13375,-12616,7080,12841,41013,36269,446,26774,10338,752,17468,47879,22718,10833,49216,34045,75593,-10942,106850,36908,92445,160792,92586,176524,240995,139958,221003,181902,168607,185524,196752,200075,213734,285498,272526,363678,738170,895090,993188,856246,924016,1369798,1675386,1139717,1221674,1925116,2657137,3248305,5387072,6530784,2679832,3554377,5475018,4632645,3829394,1820393,6677637,12431181,4908245,852443,-1277286,2846227,3827331,7841159,5822126,8031156,10015760,-475636,9702628,3635812,-3257682,3636795,13455161,14404992,22546719,16605463,4866154,-28079716,13537993,17164765,12461606,-10984707,19699910,18575229,4505070,32758255,26425219,24804512,6450583,26412847,59863301,62962017,26708712
 "12000","Florida",5,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",417,12875,-7360,-1853,1277,-279,15965,-11955,2677,5650,4913,2065,841,-2550,14076,41018,72061,31292,-5141,13909,63576,-27028,4572,27336,30344,61834,47770,88982,80340,75771,60060,113265,99918,82438,43665,116416,134768,322111,307625,259083,450901,542087,567029,806077,936746,1685462,795173,751888,968400,1538608,2142014,2250470,2059128,1652638,1255682,1626796,1721607,1441163,2418752,3564742,3011870,4253403,5709859,3136672,3136771,4053932,3174109,2158816,1363511,2427793,4212934,6128799,5729208,5397615,6446978,6774049,6591048,6729167,15182371,11494402,13202824,6071667,-1644872,4787755,8504194,9605816,6174967,8816664,9446704,13594908,58348696,39065247,-25060664,14822083,25620297
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
