GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "98000","Far West",8,SAINC12,1,"...","Percent change in personal income ","Percent change",-8.0,-14.5,-22.2,-5.0,13.8,11.7,19.8,6.0,-1.1,4.4,10.4,28.4,40.4,31.8,8.4,2.6,5.8,3.7,8.2,1.4,16.6,15.2,10.1,6.5,2.6,9.0,8.4,6.6,4.5,8.9,5.6,5.7,7.8,6.4,7.8,7.2,9.1,7.7,9.9,9.9,8.1,6.9,9.8,10.5,12.1,11.4,11.2,10.9,13.9,13.5,13.5,11.8,6.9,7.9,10.0,7.7,7.0,6.8,9.1,8.4,7.8,4.4,5.9,3.3,3.9,5.4,6.4,6.1,8.5,6.8,9.5,3.7,1.7,4.5,6.4,5.6,7.8,5.1,2.4,-3.2,4.1,6.1,5.8,1.4,6.4,7.0,4.5,5.1,5.4,5.6,8.7,9.3,0.9,5.8,6.6
 "98000","Far West",8,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-5.35,-12.91,-16.55,-1.92,13.54,10.36,13.39,6.79,-1.84,3.65,8.38,25.47,39.86,30.57,7.31,0.23,2.11,2.15,5.74,-0.64,12.26,14.90,8.72,4.66,0.51,7.08,7.28,4.25,2.60,7.41,3.60,4.00,6.12,4.67,5.89,5.08,7.17,5.07,7.75,6.83,4.17,4.00,7.44,7.22,7.74,6.78,8.56,8.24,10.41,9.76,8.00,5.82,3.50,5.01,6.84,5.31,5.33,6.09,6.41,4.61,5.29,2.73,4.01,1.83,2.34,3.04,4.42,5.06,6.35,5.82,7.37,2.04,1.34,2.98,4.62,3.69,4.50,2.51,-0.42,-2.57,2.79,4.13,3.66,1.53,3.33,4.11,2.83,3.60,3.53,3.49,1.78,6.27,1.93,2.99,3.84
 "98000","Far West",8,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-2.73,-3.09,-4.70,-2.93,0.13,0.70,4.44,0.56,0.07,0.21,1.35,2.95,0.70,1.30,0.63,1.03,1.24,1.10,2.85,1.03,2.66,1.46,1.07,1.64,1.66,1.48,0.79,1.61,0.91,1.33,1.38,0.82,1.35,1.12,1.48,1.48,1.27,1.15,1.02,2.03,2.06,1.46,1.51,2.08,2.54,1.90,1.39,1.90,2.61,2.62,3.74,4.08,2.20,2.08,2.67,1.56,0.93,0.24,1.94,2.71,1.40,0.39,0.25,0.71,1.13,1.64,1.35,0.85,1.57,0.30,1.57,0.39,-0.51,0.85,1.20,1.26,2.40,1.77,1.08,-2.12,-0.33,1.90,2.08,-0.67,1.83,1.75,1.04,1.43,1.06,1.09,0.25,1.43,1.77,2.65,1.00
 "98000","Far West",8,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.05,1.45,-0.92,-0.17,0.14,0.65,2.00,-1.32,0.66,0.58,0.71,-0.04,-0.18,-0.06,0.47,1.33,2.43,0.46,-0.40,1.01,1.66,-1.17,0.35,0.20,0.43,0.46,0.37,0.74,1.00,0.14,0.63,0.87,0.31,0.56,0.47,0.60,0.61,1.47,1.12,1.08,1.87,1.43,0.80,1.22,1.81,2.68,1.22,0.73,0.92,1.10,1.78,1.86,1.24,0.78,0.52,0.88,0.76,0.49,0.78,1.03,1.08,1.25,1.68,0.76,0.39,0.73,0.65,0.18,0.63,0.65,0.56,1.24,0.91,0.65,0.54,0.66,0.91,0.83,1.78,1.51,1.68,0.12,0.11,0.55,1.21,1.13,0.65,0.05,0.77,1.02,6.63,1.57,-2.79,0.18,1.79
 "98000","Far West",8,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-589943,-984110,-1281994,-225731,590508,569614,1077559,393044,-76667,302944,743765,2234952,4082687,4514535,1573973,525524,1202656,817705,1870231,346927,4149852,4432511,3409502,2405233,1026786,3649264,3721975,3156799,2297109,4730339,3255978,3491372,5037969,4434398,5825294,5731602,7765757,7190218,9960325,11009499,9850437,9061614,13715724,16236200,20605378,21704516,23775985,25726228,36584470,40300858,45877533,45288700,29898732,36270459,49805222,42296383,41282296,42942390,61402539,61376834,61812947,37484718,53234525,31203330,37889092,55070176,68876410,69512570,103521267,88907653,133349184,56318934,27637594,72580440,107652451,101073893,148528198,104791944,52601804,-70287313,88647240,136792659,138174761,35049880,161352976,188591530,130326598,153317912,170165533,186850825,305625821,355132549,38318710,245730153,296403135
 "98000","Far West",8,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-393263,-873561,-956789,-86171,578719,503796,727655,442110,-126964,249089,597507,2005774,4029975,4337854,1368089,46370,439004,473769,1310534,-157187,3069802,4348621,2931853,1724560,200459,2863755,3212735,2030951,1323923,3950207,2091283,2450819,3963396,3262581,4375645,4064267,6154930,4739549,7807814,7565960,5071850,5257894,10462509,11146873,13199008,12958603,18217984,19492894,27306248,29181374,27141183,22403884,15086233,23075189,33966004,28999860,31354435,38347793,43106702,33888545,42087612,23374915,35935055,17314925,22967141,30913476,47400546,57786151,76868995,76471111,103422143,31285190,21356243,48294043,78268923,66486171,85567876,51365186,-9002282,-56811957,59672450,92016400,86422485,38151785,84355804,110916249,81598307,108592981,111985301,116591361,62827682,240233351,80781394,126268800,171751846
 "98000","Far West",8,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-200598,-208732,-271773,-131943,5608,34120,241097,36759,4497,14273,95971,232067,70964,184917,118516,209297,257669,243041,650364,255141,665307,426591,359770,606896,655556,599860,347163,770915,465530,707461,799762,504542,874153,781192,1097949,1185720,1088769,1076285,1026926,2246429,2504602,1926446,2123834,3210848,4325029,3624950,2968368,4499981,6854288,7834092,12691414,15729477,9471012,9595909,13275284,8510293,5459966,1534533,13026504,19913496,11164603,3380674,2246036,6694952,11077913,16690001,14498308,9676885,18970459,3945183,22074370,5971029,-8148891,13732824,20316276,22776100,45569085,36349534,23230017,-46740592,-6959067,42212806,49215755,-16755936,46425003,47189921,29964540,43244524,33714427,36313254,8805119,54743349,74289475,112061133,44649633
 "98000","Far West",8,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",3918,98183,-53432,-7617,6181,31698,108807,-85825,45800,39582,50287,-2889,-18252,-8236,87368,269857,505983,100895,-90667,248973,414743,-342701,117879,73777,170771,185649,162077,354933,507656,72671,364933,536011,200420,390625,351700,481615,522058,1374384,1125585,1197110,2273985,1877274,1129381,1878479,3081341,5120963,2589633,1733353,2423934,3285392,6044936,7155339,5341487,3599361,2563934,4786230,4467895,3060064,5269333,7574793,8560732,10729129,15053434,7193453,3844038,7466699,6977556,2049534,7681813,8491359,7852671,19062715,14430242,10553573,9067252,11811622,17391237,17077224,38374069,33265236,35933857,2563453,2536521,13654031,30572169,30485360,18763751,1480407,24465805,33946210,233993020,60155849,-116752159,7400220,80001656
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
