GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "13000","Georgia",5,SAINC12,1,"...","Percent change in personal income ","Percent change",-11.4,-15.9,-22.0,2.9,20.1,10.4,13.2,6.1,-6.0,7.8,9.6,30.7,38.4,27.6,10.8,3.1,0.6,5.0,10.9,0.6,15.0,16.5,8.2,2.8,-0.1,10.2,7.1,3.6,4.2,6.6,4.6,4.4,7.6,8.7,8.3,10.4,10.3,8.8,10.4,11.9,8.9,10.4,12.2,13.1,9.7,8.0,11.3,10.6,13.5,11.9,11.5,13.2,8.3,9.6,13.3,9.5,9.1,7.4,9.3,7.7,7.0,5.0,8.1,6.2,7.7,7.9,8.0,6.5,9.7,6.5,8.2,5.1,2.9,3.8,5.6,5.9,6.6,4.7,1.2,-1.8,2.5,6.8,2.4,1.4,6.5,6.2,4.2,6.0,5.0,5.2,7.0,9.9,3.3,5.8,6.1
 "13000","Georgia",5,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-10.96,-16.38,-18.41,5.02,19.04,9.82,8.27,7.65,-5.98,6.83,8.98,28.87,35.69,26.68,9.94,1.07,-4.03,3.59,10.36,-0.60,11.21,16.96,7.20,2.27,-1.72,8.89,5.63,2.42,2.88,5.09,3.04,2.57,6.15,7.08,6.66,8.34,8.52,6.42,8.85,9.11,5.29,7.42,9.68,9.77,5.48,3.58,9.22,8.58,10.48,8.54,6.23,8.17,4.86,6.68,10.04,7.07,6.92,6.02,6.31,4.15,4.56,2.75,6.35,4.31,5.06,5.18,5.68,4.79,7.78,6.07,5.64,3.42,1.55,2.69,4.05,3.52,3.84,1.86,-1.54,-1.81,1.16,3.63,1.85,1.31,4.01,4.22,2.82,3.62,3.06,3.16,0.41,5.60,4.39,2.65,3.63
 "13000","Georgia",5,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.66,-1.69,-2.19,-1.54,0.58,0.98,2.28,0.67,-0.16,0.69,0.27,1.72,2.49,0.96,0.38,0.37,1.21,0.80,0.99,0.58,1.88,0.66,1.01,0.45,1.13,0.84,1.15,0.44,0.63,1.12,1.34,1.02,1.22,1.20,1.33,1.51,1.27,1.23,0.32,1.84,2.02,1.49,1.43,1.97,2.04,1.21,1.22,1.55,2.02,1.89,3.15,3.39,2.32,1.92,2.43,1.69,1.48,0.88,2.15,2.46,1.27,0.56,0.39,1.02,1.64,1.74,1.53,1.39,1.63,-0.14,1.62,0.62,-0.15,0.85,0.58,1.26,1.75,1.82,0.67,-1.53,-0.31,2.33,0.70,-0.56,1.65,1.19,0.75,1.81,1.09,1.03,0.27,1.91,1.48,2.55,1.06
 "13000","Georgia",5,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.18,2.21,-1.39,-0.59,0.47,-0.37,2.61,-2.22,0.17,0.29,0.33,0.09,0.19,-0.01,0.45,1.64,3.38,0.57,-0.42,0.61,1.92,-1.13,-0.03,0.06,0.52,0.48,0.31,0.75,0.74,0.35,0.26,0.81,0.20,0.44,0.30,0.58,0.55,1.12,1.23,0.99,1.58,1.51,1.08,1.34,2.19,3.25,0.87,0.44,0.96,1.47,2.15,1.61,1.07,1.00,0.79,0.80,0.70,0.51,0.81,1.13,1.18,1.72,1.39,0.86,0.97,1.01,0.81,0.29,0.27,0.61,0.92,1.09,1.51,0.23,0.96,1.15,0.96,1.00,2.04,1.52,1.65,0.87,-0.17,0.63,0.87,0.78,0.64,0.59,0.88,0.99,6.33,2.35,-2.53,0.61,1.42
 "13000","Georgia",5,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-113867,-139897,-163110,16789,119651,74556,103889,54532,-56569,69678,92146,323133,528267,526296,261906,82834,15418,138536,320363,19098,490892,619854,358023,131592,-3477,496603,380462,207858,252763,407068,306596,303823,546896,677079,699926,954104,1044238,976805,1261048,1598608,1330344,1699257,2196475,2642056,2219634,2016498,3062275,3185542,4486825,4501387,4881725,6223070,4412737,5553477,8406276,6856054,7161354,6361364,8554342,7798122,7599063,5842854,9923633,8162116,10746098,11960931,13041014,11371206,18118231,13424575,17898172,12125729,7234684,9645630,14839594,16622543,19463888,14814835,3893845,-6098624,8261664,23035699,8583994,5084323,24461148,24656301,17797043,26553417,23495480,25416216,36195758,54484383,20254644,36491936,40533008
 "13000","Georgia",5,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-109083,-144425,-136594,29071,113408,70203,65279,68360,-56704,60939,86321,304101,491258,508167,241579,28935,-111992,100203,303530,-19539,366415,637595,315421,107702,-83843,432641,302063,139217,171369,315839,201213,177541,443878,550074,562597,762713,860788,715012,1072930,1219038,791946,1209518,1743786,1973641,1252223,896470,2498067,2586890,3494790,3230755,2638368,3858639,2598026,3862239,6364404,5074707,5439307,5166621,5820050,4183504,4946918,3199017,7748255,5685084,7083024,7816076,9237628,8423919,14568370,12457848,12335169,8080886,3855210,6890704,10746538,9873031,11419715,5882378,-5111180,-6056805,3828661,12244221,6666541,4832779,15017328,16815743,11937359,15970124,14312096,15500249,2094526,30941386,26665471,16620296,24074101
 "13000","Georgia",5,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-6599,-14942,-16235,-8889,3443,6995,17991,5984,-1512,6121,2630,18094,34339,18285,9329,9853,33631,22468,29053,18714,61547,24899,44125,21207,55255,40716,61658,25434,37233,69335,88467,70587,88256,93001,112122,138003,128127,136719,39059,246798,301859,242818,258404,398471,466464,304285,329741,465953,672921,713024,1333509,1602280,1240858,1110251,1539014,1210439,1167655,753736,1983177,2478614,1375627,648747,477918,1340065,2300678,2623901,2491980,2444432,3046364,-280461,3547810,1469773,-372215,2164046,1541369,3520397,5185921,5758748,2232366,-5145750,-1011675,7852758,2540407,-2081748,6182079,4726555,3172039,7976847,5080509,5041256,1416074,10536220,8966222,16013667,7035916
 "13000","Georgia",5,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",1815,19470,-10281,-3393,2800,-2642,20619,-19812,1647,2618,3195,938,2670,-156,10998,44046,93779,15865,-12220,19923,62930,-42640,-1523,2683,25111,23246,16741,43207,44161,21894,16916,55695,14762,34004,25207,53388,55323,125074,149059,132772,236539,246921,194285,269944,500947,815743,234467,132699,319114,557608,909848,762151,573853,580987,502858,570908,554392,441007,751115,1136004,1276518,1995090,1697460,1136967,1362396,1520954,1311406,502855,503497,1247188,2015193,2575070,3751689,590880,2551687,3229115,2858252,3173709,6772659,5103931,5444678,2938720,-622954,2333292,3261741,3114003,2687645,2606446,4102875,4874711,32685158,13006777,-15377049,3857973,9422991
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
