GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "93000","Great Lakes",3,SAINC12,1,"...","Percent change in personal income ","Percent change",-14.4,-16.4,-27.0,-7.6,19.4,15.9,15.2,11.2,-12.2,9.3,8.3,24.2,23.7,21.2,5.9,2.1,8.0,10.3,11.6,-3.7,11.3,13.6,6.0,9.0,-1.0,8.2,7.2,4.2,-0.1,6.6,3.9,2.5,6.1,4.7,7.4,9.1,8.8,5.2,9.1,9.3,5.4,7.6,9.3,11.8,8.6,8.0,10.0,11.0,10.9,10.2,8.4,9.1,4.7,5.3,10.2,6.2,5.4,4.8,7.5,7.6,5.7,2.6,7.1,4.5,6.1,5.4,5.5,5.5,6.3,4.1,6.6,3.2,1.2,2.4,3.8,3.0,5.1,4.4,3.5,-3.6,3.3,5.8,4.1,1.4,4.0,4.4,2.0,3.5,4.7,3.4,7.1,8.6,1.7,5.8,4.7
 "93000","Great Lakes",3,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-11.93,-13.98,-20.75,-3.36,18.33,14.02,10.54,11.64,-10.96,7.09,7.17,21.88,22.52,20.82,5.12,0.05,4.42,9.05,10.97,-4.20,8.71,13.69,5.32,7.46,-2.17,6.88,5.70,2.67,-1.82,5.75,2.46,0.74,4.90,3.53,6.12,7.54,7.27,3.29,7.07,7.62,2.59,5.03,7.17,8.68,4.90,3.72,8.13,8.90,8.51,6.97,2.55,4.13,0.56,3.00,7.62,4.57,3.95,4.39,5.31,4.57,3.51,1.38,5.30,3.14,4.23,3.12,3.67,3.97,4.71,4.04,4.50,2.01,1.13,1.63,2.79,1.49,2.70,1.93,0.48,-3.52,2.11,4.26,2.60,1.39,1.91,2.43,1.21,2.16,2.81,1.98,0.61,4.83,3.15,2.82,2.76
 "93000","Great Lakes",3,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-2.44,-3.84,-5.34,-4.26,1.15,1.40,3.03,1.11,-1.66,1.99,0.89,2.38,0.97,0.63,0.42,0.53,1.26,0.88,0.71,0.67,1.79,0.50,0.43,1.28,0.55,0.92,1.09,0.75,0.37,0.99,1.07,0.76,1.16,0.97,1.20,1.17,0.99,0.79,1.03,1.04,1.41,1.08,1.08,1.66,1.94,1.36,1.05,1.55,1.59,1.78,3.05,3.50,2.58,1.35,2.28,1.00,0.80,0.04,1.65,2.17,1.04,0.10,0.35,0.64,1.43,1.54,1.21,1.10,1.42,-0.49,1.33,-0.06,-0.73,0.20,0.44,0.48,1.60,1.28,1.09,-1.93,-0.21,1.74,1.49,-0.44,1.32,1.03,0.46,0.86,1.24,0.46,0.14,1.69,1.24,2.33,0.82
 "93000","Great Lakes",3,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.01,1.39,-0.91,-0.03,-0.03,0.51,1.59,-1.55,0.46,0.26,0.23,-0.05,0.20,-0.24,0.34,1.55,2.29,0.35,-0.09,-0.15,0.84,-0.64,0.29,0.31,0.65,0.35,0.39,0.74,1.34,-0.14,0.37,0.98,0.03,0.20,0.13,0.42,0.50,1.15,1.03,0.62,1.37,1.50,1.02,1.48,1.78,2.91,0.84,0.53,0.83,1.41,2.84,1.43,1.60,0.96,0.34,0.66,0.61,0.36,0.56,0.90,1.14,1.14,1.41,0.71,0.44,0.74,0.63,0.45,0.21,0.50,0.75,1.22,0.84,0.61,0.60,1.08,0.76,1.22,1.94,1.90,1.37,-0.17,0.01,0.43,0.75,0.91,0.33,0.44,0.67,0.92,6.37,2.05,-2.74,0.62,1.16
 "93000","Great Lakes",3,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-2880760,-2821418,-3876340,-801432,1881358,1840933,2031073,1728696,-2088465,1406931,1365399,4319045,5251799,5816073,1951869,751534,2866021,3992647,4958288,-1754485,5216694,6942194,3509546,5574908,-654791,5429043,5166942,3210417,-87424,5289859,3339767,2204940,5546702,4545366,7539002,9936031,10389980,6751710,12410747,13758440,8688893,12989334,17013267,23721193,19336414,19487504,26375196,31805548,35143776,36211829,33128645,38592078,21994577,25827131,52472732,35194581,32186951,30235481,49834583,54368949,43635523,21231691,58697556,39983696,56682257,53312221,57283344,60534170,73463687,49894746,84276050,43264907,17315162,34921973,55973282,46198128,79092864,72684310,60327777,-63033550,56081263,103025002,76637277,26946783,78476841,89690644,42765631,75798676,106754546,79571585,174509743,224658602,47150798,167034872,145185218
 "93000","Great Lakes",3,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-2393016,-2401032,-2978539,-352463,1773625,1620413,1412848,1796618,-1881178,1068714,1182221,3903569,4991956,5708711,1699863,18829,1589746,3511666,4696236,-2003195,4008428,7013357,3092290,4598342,-1461439,4583965,4105045,2062831,-1459656,4614014,2107350,654816,4467548,3417191,6193237,8202159,8626260,4245588,9602509,11302118,4195479,8588221,13166440,17419100,10998604,9078106,21394626,25782646,27368553,24847840,10007328,17571890,2591391,14591294,39017268,25816170,23709751,27752298,35161927,32514993,26944315,11178817,44051066,27936984,39319058,30784936,38157298,43541515,54573885,49800161,57646836,27389903,15881162,23316897,40806504,22555012,42193627,31635081,8307864,-62422156,36127347,75379804,48616060,27048893,37683922,49834320,25857955,47293587,63518018,46977121,14960451,126676164,89751941,81645848,84630659
 "93000","Great Lakes",3,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-489535,-658915,-766519,-445955,110821,161765,405352,170839,-285478,299730,145853,423916,215381,172684,140057,188148,452689,343321,302569,319373,822918,257865,251309,787900,366619,610762,781766,575825,295045,792119,917769,677338,1055340,938707,1214786,1273416,1169399,1026051,1404662,1535350,2279300,1846612,1976882,3336720,4343646,3310230,2763362,4501889,5102920,6341099,11982534,14920645,11992731,6579855,11692472,5657286,4796280,234163,10942129,15456374,7944572,844391,2916551,5730336,13312628,15234855,12600203,12089193,16435592,-6025334,17059039,-771127,-10341448,2912049,6373934,7262782,24954270,21067606,18672375,-34302595,-3559243,30692547,27917946,-8514436,26076390,21207923,9863415,18855265,28142091,10832993,3529059,44210869,35437022,67492670,25140610
 "93000","Great Lakes",3,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",1791,238529,-131282,-3014,-3088,58755,212873,-238761,78191,38487,37325,-8440,44462,-65322,111949,544557,823586,137660,-40517,-70663,385348,-329028,165947,188666,440029,234316,280131,571761,1077187,-116274,314648,872786,23814,189468,130979,460456,594321,1480071,1403576,920972,2214114,2554501,1869945,2965373,3994164,7099168,2217208,1521013,2672303,5022890,11138783,6099543,7410455,4655982,1762992,3721125,3680920,2249020,3730527,6397582,8746636,9208483,11729939,6316376,4050571,7292430,6525843,4903462,2454210,6119919,9570175,16646131,11775448,8693027,8792844,16380334,11944967,19981623,33347538,33691201,23513159,-3047349,103271,8412326,14716529,18648401,7044261,9649824,15094437,21761471,156020233,53771569,-78038165,17896354,35413949
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
