GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "19000","Iowa",4,SAINC12,1,"...","Percent change in personal income ","Percent change",-11.7,-20.6,-25.9,-13.6,8.1,54.9,-7.0,30.7,-12.4,5.0,6.2,19.9,34.6,18.0,-3.5,9.5,21.1,-0.5,35.7,-14.8,15.0,6.7,6.1,-3.7,8.2,-4.7,6.1,10.9,2.2,2.5,2.5,5.9,4.3,6.3,4.7,10.8,8.9,1.9,7.8,11.0,6.9,4.9,12.0,20.1,3.6,11.8,6.3,10.3,15.3,7.2,6.5,13.1,2.7,1.9,11.3,3.5,3.3,4.4,3.6,8.8,5.4,2.4,7.1,0.5,9.0,4.0,8.9,4.8,4.6,2.5,6.8,3.0,2.4,2.1,8.2,2.9,6.2,6.9,6.5,-2.7,3.2,7.7,4.5,1.8,3.2,3.5,0.9,2.8,4.6,2.2,6.3,10.8,5.2,2.9,4.8
 "19000","Iowa",4,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-10.62,-19.56,-21.00,-9.58,6.54,54.17,-11.25,32.87,-12.49,2.74,5.39,18.82,32.28,17.27,-4.34,6.06,16.74,-0.94,31.76,-16.41,14.32,6.64,4.92,-4.28,6.47,-5.19,4.94,9.53,0.45,0.59,1.53,4.08,3.29,4.93,3.37,9.13,7.43,0.72,4.22,8.38,3.72,2.21,9.53,15.99,-0.02,7.22,3.67,7.21,12.11,3.51,0.49,6.66,-2.39,0.04,8.81,2.34,2.62,4.95,2.19,5.96,3.41,1.22,6.00,-0.51,7.66,1.33,6.73,2.80,3.12,2.75,4.58,1.53,1.50,2.34,7.11,1.95,3.10,4.09,2.96,-2.82,2.15,5.45,2.87,2.11,1.30,1.62,-0.37,1.89,2.61,0.60,0.84,7.05,6.36,0.59,1.69
 "19000","Iowa",4,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.08,-2.83,-3.23,-3.40,1.88,0.37,1.33,0.37,-0.16,1.92,0.71,1.02,2.45,0.81,0.38,1.69,1.86,0.63,4.20,0.30,0.85,0.73,1.05,0.35,1.37,-0.03,0.68,0.44,0.92,1.38,0.61,1.14,0.66,1.06,1.08,1.01,0.89,-0.14,2.32,1.83,1.92,1.50,1.72,2.62,2.25,2.14,1.54,2.48,2.10,2.41,4.04,4.78,3.39,0.93,2.12,0.37,0.17,-0.80,0.85,1.97,0.86,0.19,-0.07,0.29,0.79,1.93,1.47,1.58,1.17,-0.72,1.24,0.40,-0.52,-0.13,0.51,-0.04,1.53,1.85,1.36,-1.03,-0.17,1.95,1.69,-0.72,1.04,0.93,0.88,0.92,0.48,0.57,0.26,1.83,0.69,2.20,0.81
 "19000","Iowa",4,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",-0.05,1.76,-1.64,-0.64,-0.29,0.36,2.97,-2.52,0.29,0.35,0.11,0.01,-0.12,-0.04,0.45,1.71,2.49,-0.14,-0.31,1.27,-0.12,-0.63,0.18,0.22,0.31,0.54,0.51,0.96,0.80,0.57,0.40,0.68,0.33,0.31,0.22,0.61,0.57,1.28,1.24,0.78,1.32,1.21,0.77,1.44,1.42,2.41,1.11,0.65,1.12,1.27,1.97,1.68,1.72,0.97,0.35,0.81,0.51,0.29,0.60,0.91,1.14,1.01,1.14,0.67,0.59,0.76,0.73,0.39,0.34,0.50,0.96,1.12,1.44,-0.07,0.54,0.98,1.53,0.99,2.13,1.15,1.18,0.29,-0.06,0.37,0.89,0.92,0.42,0.03,1.49,1.07,5.19,1.96,-1.83,0.12,2.29
 "19000","Iowa",4,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-164947,-255653,-254459,-99294,51132,373790,-73378,301377,-158557,56274,73308,248910,520044,364794,-83811,217986,531638,-13949,1083525,-611993,528360,272247,264863,-169932,359279,-223103,278567,526596,115696,138998,142820,338706,260622,399756,315149,759032,694706,158427,675548,1026965,720916,546654,1398535,2614635,570217,1908703,1146564,1994990,3261962,1762818,1710052,3673445,861433,631102,3739880,1296621,1261867,1750635,1501661,3777491,2515969,1190689,3552349,242404,4883268,2367498,5468319,3183525,3239263,1851160,5083936,2437138,1998429,1812450,7047253,2702113,5918581,7070479,7043777,-3149396,3572303,8964106,5637132,2298170,4298348,4787665,1318702,4071602,6774595,3470215,9941508,18221111,9721228,5715742,9669514
 "19000","Iowa",4,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-149045,-242359,-206523,-69869,41149,368791,-118687,322541,-160235,30793,63628,235950,485007,349254,-103611,139532,421994,-28845,965203,-676714,502872,268307,212213,-195824,285212,-247515,224451,459321,23805,32263,85795,234307,200408,312494,227235,644432,580850,61487,366368,783156,385611,245416,1109005,2085120,-3810,1170844,665113,1390883,2575682,860107,129572,1865071,-757122,12168,2921578,863345,1000146,1952811,904329,2547600,1586595,599716,3013976,-271814,4137279,783946,4123603,1866244,2181048,2012942,3437877,1221657,1237963,1977472,6140134,1822426,2979633,4173849,3232161,-3280029,2428952,6351385,3596817,2761911,1728007,2236354,-532198,2714902,3857476,926649,1332453,11852909,11846100,1159015,3409535
 "19000","Iowa",4,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-15200,-35078,-31789,-24755,11823,2523,14026,3611,-2077,21530,8412,12794,36816,16336,9073,39018,46818,19154,127623,12271,29739,29388,45084,15948,60222,-1282,31106,21153,49334,75605,34395,65313,39971,67359,73043,71532,69649,-11826,201564,170695,198787,166613,200256,341200,352067,347123,279426,478061,447471,591391,1063456,1338244,1074853,301817,702651,135954,66490,-316414,349218,842333,400300,94249,-32724,154389,428440,1135208,900096,1055391,819336,-525549,926601,322251,-425798,-109702,442548,-33293,1473468,1890478,1483507,-1199018,-193621,2273557,2116537,-950113,1383057,1285492,1257794,1318254,708164,887113,407624,3080867,1286210,4312887,1635629
 "19000","Iowa",4,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",-702,21784,-16147,-4670,-1840,2476,31283,-24775,3755,3951,1268,166,-1779,-796,10727,39436,62826,-4258,-9301,52450,-4251,-25448,7566,9944,13845,25694,23010,46122,42557,31130,22630,39086,20243,19903,14871,43068,44207,108766,107616,73114,136518,134625,89274,188315,221960,390736,202025,126046,238809,311320,517024,470130,543702,317117,115651,297322,195231,114238,248114,387558,529074,496724,571097,359829,317549,448344,444620,261890,238879,363767,719458,893230,1186264,-55320,464571,912980,1465480,1006152,2328109,1329651,1336972,339164,-76222,486372,1187284,1265819,593106,38446,2208955,1656453,8201431,3287335,-3411082,243840,4624350
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
