GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "16000","Idaho",7,SAINC12,1,"...","Percent change in personal income ","Percent change",-2.3,-23.8,-26.1,-13.9,73.8,3.0,21.8,-7.4,1.2,3.9,6.6,24.5,48.4,17.4,9.9,-1.7,9.2,8.5,12.1,-0.8,7.9,13.1,10.1,-4.3,1.7,5.5,10.3,6.0,2.0,5.8,2.3,5.8,6.9,2.4,3.4,13.9,1.3,6.3,6.9,15.8,10.7,9.3,14.2,15.6,17.7,8.2,11.7,9.3,14.9,9.3,12.4,10.0,5.0,9.3,6.4,5.7,2.0,4.2,8.5,10.0,8.1,5.2,9.8,9.6,7.0,7.5,6.2,4.4,8.1,5.9,8.2,4.3,3.4,3.5,8.0,5.9,10.0,6.5,2.7,-3.3,3.5,5.7,5.0,3.7,5.4,6.0,4.2,6.2,7.1,8.4,10.8,15.2,4.7,5.2,6.9
 "16000","Idaho",7,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-0.50,-23.52,-23.62,-12.98,73.67,1.83,18.39,-5.75,1.17,2.02,4.81,22.79,45.01,18.27,9.11,-3.58,5.49,6.95,8.33,-2.07,4.74,12.19,9.76,-4.42,-0.92,3.91,8.02,3.11,1.81,4.32,1.26,4.03,5.57,1.27,2.50,12.42,0.18,4.25,4.74,11.75,6.69,5.44,11.22,11.45,13.11,2.96,8.93,6.18,11.69,5.51,6.96,4.55,-0.29,6.62,4.01,2.59,1.22,4.38,6.19,6.50,5.89,2.97,7.16,6.71,4.32,3.77,3.82,2.47,6.04,5.51,5.89,2.02,2.45,1.08,5.08,3.41,6.09,3.57,-0.49,-2.62,1.59,3.29,2.16,3.41,2.93,3.20,2.28,3.85,4.62,4.97,4.65,6.06,4.25,2.26,3.84
 "16000","Idaho",7,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.78,-2.05,-1.01,-0.76,0.49,0.27,0.59,0.30,0.05,1.12,1.51,1.64,3.54,-0.72,0.45,0.50,1.16,0.75,3.91,0.91,1.84,1.76,0.32,-0.12,2.18,0.99,2.01,1.95,-0.71,0.98,0.59,0.85,1.05,0.87,0.70,0.97,0.64,0.64,1.16,3.09,2.58,2.34,1.67,2.82,2.76,2.98,1.36,2.47,2.54,2.19,3.40,3.80,3.56,1.99,1.98,2.26,0.14,-0.57,1.36,2.43,1.21,0.83,1.09,1.86,1.87,2.41,1.48,1.41,1.49,-0.39,1.28,0.75,-0.22,1.56,1.91,1.35,2.62,1.63,0.71,-2.37,0.01,2.35,2.57,-0.31,1.46,1.70,1.12,1.42,1.26,1.98,1.20,5.62,1.44,2.99,1.50
 "16000","Idaho",7,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.02,1.78,-1.44,-0.20,-0.39,0.94,2.78,-1.98,0.02,0.76,0.24,0.05,-0.20,-0.13,0.34,1.34,2.59,0.79,-0.12,0.37,1.33,-0.82,0.04,0.24,0.47,0.56,0.28,0.90,0.85,0.55,0.41,0.89,0.28,0.22,0.20,0.52,0.50,1.42,1.00,0.94,1.47,1.53,1.28,1.34,1.85,2.27,1.41,0.66,0.71,1.64,2.07,1.63,1.72,0.73,0.43,0.85,0.67,0.37,0.92,1.08,0.95,1.44,1.53,1.00,0.78,1.29,0.91,0.50,0.54,0.79,1.07,1.49,1.16,0.88,1.04,1.17,1.27,1.25,2.45,1.69,1.91,0.09,0.26,0.62,0.98,1.12,0.84,0.94,1.20,1.47,4.99,3.50,-1.00,-0.01,1.57
 "16000","Idaho",7,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-5043,-51916,-43347,-17130,78043,5589,41224,-17123,2655,8424,14746,58600,144084,77038,51428,-9894,51785,52046,80595,-5886,58375,104774,91355,-42726,16540,52819,105210,67005,23270,71108,29176,75865,96006,35046,51861,218923,23512,114567,133239,325908,256668,246492,410189,516175,676845,369354,569528,506095,887556,637615,928425,837999,460214,905513,680738,643031,242206,508755,1073605,1376505,1218759,855913,1682697,1807656,1444714,1654368,1475199,1106212,2128073,1682038,2486874,1392365,1154492,1241073,2931756,2337981,4163018,2965822,1303854,-1658558,1703084,2874657,2643272,2070825,3106346,3667318,2729760,4178549,5056956,6438090,8992395,13955973,4975033,5801371,8054236
 "16000","Idaho",7,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-1120,-51322,-39270,-15960,77942,3362,34842,-13259,2505,4363,10804,54549,134120,80780,47308,-20415,30789,42559,55364,-15388,35006,97208,88094,-43954,-8714,37795,81843,34970,21594,52528,16257,52988,77477,18852,38137,195517,3155,77147,91488,242706,159917,144080,324596,378453,500726,133260,434700,335994,694586,376118,519577,381954,-26738,641723,425497,292064,145595,532751,784676,894183,891576,484681,1232176,1267833,894589,835237,907537,623304,1593143,1569731,1779047,661239,834949,381446,1853351,1344779,2539495,1640212,-238876,-1314049,773018,1651270,1143942,1898058,1692318,1949049,1469375,2590801,3303354,3803345,3857288,5570124,4504983,2505976,4475194
 "16000","Idaho",7,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-3974,-4475,-1683,-929,514,503,1110,694,109,2420,3395,3923,10548,-3168,2341,2856,6500,4623,26006,6770,13572,14071,2865,-1155,20767,9563,20480,21910,-8476,11865,7609,11184,14625,12962,10635,15295,11406,11614,22396,63813,61709,61901,48456,93328,105379,133892,65989,134209,151028,149253,254028,319449,328369,192888,209555,254833,17089,-68940,172705,334240,182801,135319,186985,351027,387800,534107,352181,357219,391715,-112374,386282,244919,-75187,548345,697482,532980,1095078,750070,347402,-1190889,4369,1178788,1362902,-172977,844958,1034408,720930,957706,898284,1512804,998348,5169351,1530073,3310481,1751459
 "16000","Idaho",7,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",51,3881,-2394,-241,-413,1724,5272,-4558,41,1641,547,128,-584,-574,1779,7665,14496,4864,-775,2732,9797,-6505,396,2383,4487,5461,2887,10125,10152,6715,5310,11693,3904,3232,3089,8111,8951,25806,19355,19389,35042,40511,37137,44394,70740,102202,68839,35892,41942,112244,154820,136596,158583,70902,45686,96134,79522,44944,116224,148082,144382,235913,263536,188796,162325,285024,215481,125689,143215,224681,321545,486207,394730,311282,380923,460222,528445,575540,1195328,846380,925697,44599,136428,345744,569070,683861,539455,630042,855318,1121941,4136759,3216498,-1060023,-15086,1827583
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
"Last updated: September 26, 2025-- revised statistics for 2020-2024."
"U.S. Bureau of Economic Analysis"
