GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "17000","Illinois",3,SAINC12,1,"...","Percent change in personal income ","Percent change",-14.4,-16.5,-26.9,-9.5,15.4,13.8,14.1,12.4,-11.0,9.1,7.0,20.2,17.3,17.5,9.3,4.5,11.7,8.9,12.8,-5.7,9.8,11.4,5.1,6.8,0.7,6.4,9.2,4.3,1.0,6.2,3.3,3.9,5.7,4.1,6.9,8.5,8.4,6.4,7.2,8.8,6.3,7.4,8.5,11.6,9.3,9.1,8.7,9.9,10.4,9.7,8.4,10.8,5.9,4.2,10.1,5.1,5.2,5.4,8.2,6.7,6.2,2.2,7.9,3.6,5.3,6.1,6.4,5.7,6.1,4.4,7.5,3.9,1.2,1.9,3.9,3.9,6.4,5.7,3.0,-4.6,2.9,5.1,4.5,2.0,3.9,4.4,1.2,3.2,5.4,2.7,6.2,7.8,1.1,5.6,4.4
 "17000","Illinois",3,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-11.60,-13.32,-20.06,-5.41,14.65,12.42,9.04,12.91,-9.06,6.08,5.54,17.74,17.77,17.42,8.17,2.37,7.76,7.05,12.53,-5.07,7.06,11.69,4.84,5.25,-0.51,5.56,7.43,2.91,-0.41,4.88,1.88,2.13,4.04,2.67,5.36,6.61,6.98,4.49,5.31,7.61,3.67,4.95,6.31,8.05,6.02,5.11,6.52,7.89,8.00,6.89,2.93,5.27,1.25,2.12,7.33,3.92,4.05,5.17,6.00,4.25,4.25,1.05,5.74,2.52,3.68,3.29,4.27,4.16,4.29,4.45,5.02,3.05,1.23,1.28,2.83,1.80,3.94,2.91,0.65,-3.88,1.81,3.92,2.85,1.92,1.91,2.32,0.78,1.63,3.16,1.94,0.03,5.08,2.78,2.38,2.69
 "17000","Illinois",3,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-2.79,-4.43,-5.97,-4.24,0.71,1.06,3.50,0.95,-1.98,2.63,0.92,2.49,-0.76,0.31,0.75,0.69,1.69,1.46,0.12,-0.01,1.97,0.46,0.17,1.39,0.58,0.45,1.48,0.71,0.34,1.04,1.14,0.98,1.40,1.21,1.43,1.49,0.96,0.87,0.79,0.60,1.36,0.95,1.16,1.87,2.03,1.27,1.02,1.52,1.66,1.88,3.22,3.79,3.43,1.19,2.52,0.67,0.72,0.01,1.78,1.76,0.98,0.32,0.49,0.47,1.19,1.97,1.45,1.29,1.57,-0.26,1.76,-0.03,-0.87,0.09,0.66,0.89,2.22,1.55,1.05,-2.43,-0.37,1.87,1.63,-0.56,1.76,1.06,0.27,1.04,1.80,0.11,0.26,0.66,1.24,2.42,0.86
 "17000","Illinois",3,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.02,1.29,-0.82,0.13,0.02,0.33,1.54,-1.43,0.04,0.41,0.55,-0.03,0.26,-0.23,0.34,1.41,2.25,0.37,0.16,-0.62,0.82,-0.71,0.13,0.20,0.64,0.36,0.26,0.67,1.07,0.23,0.25,0.83,0.23,0.17,0.10,0.40,0.45,1.05,1.05,0.54,1.24,1.46,1.04,1.63,1.29,2.70,1.18,0.53,0.70,0.93,2.23,1.73,1.19,0.88,0.24,0.52,0.43,0.24,0.40,0.67,0.99,0.86,1.68,0.60,0.46,0.82,0.64,0.23,0.23,0.18,0.70,0.86,0.86,0.51,0.45,1.20,0.22,1.29,1.30,1.71,1.44,-0.74,0.02,0.65,0.26,1.01,0.10,0.49,0.45,0.61,5.94,2.01,-2.89,0.83,0.86
 "17000","Illinois",3,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-1038831,-1019172,-1388750,-360266,526428,545758,632696,637083,-634006,468324,391860,1210063,1244139,1478402,919011,485198,1325419,1123072,1764127,-885725,1442420,1841593,921043,1290084,143224,1291833,1979269,1011982,246649,1527579,859308,1072520,1603085,1210438,2145584,2826949,3030398,2507578,2975656,3902744,3039747,3793099,4712552,6937735,6248697,6649904,6966014,8627395,9882001,10232433,9684117,13512318,8137889,6164325,15429982,8614272,9206020,10084498,16077322,14215048,14091768,5354026,19474273,9527892,14649942,17643988,19556115,18584254,21011932,16011187,28615588,15961514,5199277,8098470,17354156,17811946,30375427,29080916,16057169,-25365793,15086994,27349415,25583845,11867376,23783392,27615282,7606564,20945919,37053848,19218171,46248543,61089765,9601339,48381355,39957047
 "17000","Illinois",3,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-838453,-824574,-1037293,-204832,501353,490677,406158,661779,-522085,312035,309992,1062664,1279703,1471349,810760,256998,879003,891830,1726225,-788655,1033974,1881459,867873,990047,-103492,1128415,1603895,685805,-101244,1211493,494322,578588,1142566,797936,1668172,2197459,2518846,1756324,2208260,3390918,1780609,2548254,3493078,4835178,4028938,3741272,5211218,6850613,7633320,7262834,3381507,6598922,1733184,3111103,11213513,6606919,7171778,9624062,11793789,9034975,9641290,2532387,14130098,6690491,10126991,9547465,13118513,13616341,14810488,16310058,19191782,12546285,5233410,5523621,12476450,8221314,18762877,14708084,3480285,-21384298,9498675,21219015,16194246,11379150,11556364,14580636,5126858,10804995,21650861,13991461,242882,40034370,23638843,20445381,24374022
 "17000","Illinois",3,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-201715,-274481,-308847,-160357,24306,41911,157287,48771,-114114,135084,51242,149179,-54513,26204,74578,75112,191797,184237,15975,-1085,288876,74576,30510,261761,116753,91101,319724,168385,84530,259094,300318,266795,396351,360392,445710,495871,347586,340894,329114,269023,658071,491818,642602,1122809,1358172,933121,811596,1319648,1585149,1985105,3725145,4741677,4760121,1754476,3850029,1133809,1271905,12431,3505522,3748240,2213138,760025,1204327,1237341,3270538,5718648,4467656,4224310,5410632,-950422,6744430,-131668,-3696951,376114,2916896,4082334,10567374,7834045,5642393,-13402686,-1959097,10114604,9289091,-3341949,10677409,6698863,1794399,6898696,12312972,803695,1955953,5212901,10500514,20804053,7798775
 "17000","Illinois",3,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",1337,79883,-42610,4923,769,13170,69251,-73467,2193,21205,30626,-1780,18949,-19151,33673,153088,254619,47005,21927,-95985,119570,-114442,22660,38276,129963,72317,55650,157792,263363,56992,64668,227137,64168,52110,31702,133619,163966,410360,438282,242803,601067,753027,576872,979748,861587,1975511,943200,457134,663532,984494,2577465,2171719,1644584,1298746,366440,873544,762337,448005,778011,1431833,2237340,2061614,4139848,1600060,1252413,2377875,1969946,743603,790812,651551,2679376,3546897,3662818,2198735,1960810,5508298,1045176,6538787,6934491,9421191,7547416,-3984204,100508,3830175,1549619,6335783,685307,3242228,3090015,4423015,44049708,15842494,-24538018,7131921,7784250
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
