GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "18000","Indiana",3,SAINC12,1,"...","Percent change in personal income ","Percent change",-14.9,-14.7,-28.5,-4.1,22.2,17.8,15.3,14.4,-13.3,10.4,7.5,33.3,27.8,22.7,4.8,4.3,3.6,10.9,12.9,-4.3,12.6,16.4,5.2,10.2,-5.5,7.9,7.7,3.4,0.1,6.5,5.2,3.0,7.1,5.0,6.4,10.5,7.9,4.8,8.7,10.5,4.1,8.8,9.4,14.8,7.0,8.0,11.1,10.7,11.6,10.2,7.6,9.6,3.6,4.9,10.9,5.6,5.3,5.8,7.3,8.9,5.6,3.2,8.1,5.4,6.2,4.5,5.6,5.3,7.8,3.8,6.6,2.5,1.5,2.6,4.7,3.1,5.8,3.6,4.9,-2.5,4.6,6.4,4.3,1.3,3.7,3.8,2.8,3.7,5.1,4.2,7.7,11.2,2.7,5.2,5.1
 "18000","Indiana",3,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-13.62,-13.82,-24.00,-0.66,21.92,16.72,10.46,15.01,-13.87,9.07,6.18,31.00,26.82,21.73,3.83,2.26,0.94,10.14,12.18,-5.47,10.23,15.89,4.01,8.51,-5.37,6.83,6.00,2.56,-1.63,5.52,3.65,1.54,6.01,3.83,5.26,9.12,6.67,3.04,6.76,8.08,1.45,5.99,7.53,11.34,3.39,3.66,9.43,8.42,8.99,6.97,1.78,4.50,0.03,2.79,8.31,3.80,3.83,5.51,4.92,5.41,3.40,2.05,5.88,3.90,4.42,2.68,3.82,3.78,5.63,3.94,4.29,1.09,1.26,1.91,3.64,1.79,3.17,1.73,1.30,-2.96,3.38,5.01,2.54,1.34,1.52,2.21,2.05,2.39,3.32,2.59,1.89,6.08,4.12,3.03,3.07
 "18000","Indiana",3,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.20,-2.62,-3.17,-2.92,0.69,0.78,2.56,1.10,-0.42,1.35,1.28,2.24,0.88,1.12,0.69,0.54,0.52,0.96,1.05,0.76,1.46,0.75,0.76,0.74,0.16,0.80,1.21,-0.05,0.65,0.97,1.23,0.67,1.02,0.98,0.96,0.93,0.85,0.79,0.90,1.84,1.51,1.38,1.06,1.90,2.03,1.73,1.21,1.78,1.59,1.73,3.25,3.73,2.17,1.16,1.90,1.19,0.79,0.05,1.69,2.43,1.17,-0.13,0.32,0.72,1.22,1.60,1.09,1.18,1.69,-0.67,1.34,0.02,-0.56,0.08,0.23,0.00,1.37,1.12,1.13,-1.41,-0.19,1.34,1.15,-0.22,0.89,0.84,0.28,0.80,0.94,0.46,0.19,1.88,0.79,2.00,0.68
 "18000","Indiana",3,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",-0.04,1.71,-1.35,-0.48,-0.43,0.31,2.24,-1.73,1.03,-0.03,0.05,0.03,0.08,-0.21,0.29,1.47,2.15,-0.24,-0.29,0.38,0.92,-0.22,0.43,0.93,-0.25,0.23,0.50,0.84,1.05,0.01,0.34,0.85,0.04,0.23,0.21,0.45,0.43,0.95,1.06,0.57,1.15,1.45,0.82,1.53,1.54,2.58,0.51,0.52,0.99,1.45,2.57,1.39,1.38,0.99,0.65,0.66,0.71,0.24,0.73,1.05,1.04,1.24,1.87,0.77,0.60,0.25,0.74,0.35,0.50,0.58,0.96,1.34,0.84,0.57,0.86,1.31,1.23,0.78,2.51,1.86,1.39,0.02,0.61,0.15,1.30,0.75,0.49,0.54,0.82,1.19,5.63,3.27,-2.22,0.15,1.31
 "18000","Indiana",3,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-289769,-244737,-403838,-41065,215327,211322,213206,231699,-244365,165938,132431,631029,702275,731595,190427,177359,156022,487057,643418,-243517,677152,993381,366321,753812,-446055,606977,641358,300445,6541,602465,515720,316780,757138,578546,774105,1345247,1125486,729596,1395247,1825877,790388,1765017,2052783,3521876,1905921,2333213,3524023,3769362,4497513,4405845,3630336,4950437,2020928,2886844,6651590,3837349,3821158,4391184,5861127,7628499,5240911,3120145,8217684,5933845,7238029,5582355,7274201,7229157,11201777,5943957,10566268,4197697,2689075,4539124,8630377,5910691,11374681,7546193,10682392,-5693626,10116907,14705630,10553480,3250085,9624349,10226624,7889422,10715332,15136731,13264168,25184928,39482694,10514572,20771722,21343498
 "18000","Indiana",3,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-265595,-229479,-339831,-6680,212814,198404,146133,241805,-255561,144899,108956,587972,677993,701964,151585,93705,40600,454717,605744,-307445,549343,961303,282148,630341,-438235,527048,499242,229856,-150738,511860,360901,159615,643192,439611,632861,1168558,944764,464137,1082497,1406323,278544,1199030,1641534,2704538,928301,1070969,2980337,2959511,3495949,3023039,851589,2316896,18975,1627936,5092996,2580790,2747407,4166939,3932014,4646752,3179068,2024310,5983511,4290539,5121980,3301261,4917292,5139921,8065289,6088623,6882399,1865185,2203042,3389438,6645821,3422224,6252638,3599507,2810870,-6704876,7475312,11565072,6240825,3443234,3932590,5945140,5740147,6860526,9895356,8111590,6168877,21383470,16093782,12161580,12959316
 "18000","Indiana",3,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-23489,-43581,-44839,-29534,6653,9220,35773,17780,-7819,21592,22585,42456,22202,36278,27268,22512,22305,43198,52219,42653,78616,45286,53699,54840,12700,61855,100307,-4820,59841,89608,121383,69108,109342,112438,116035,119588,120472,120220,143720,320449,290654,276352,231547,452497,555711,507481,381356,626950,616691,752288,1551838,1919340,1223688,678361,1161537,807136,567475,40298,1348253,2083341,1092073,-124704,326059,792064,1417109,1967100,1399175,1607191,2422141,-1042328,2150771,39795,-988547,139415,424421,-6292,2693571,2331062,2441828,-3197915,-422356,3096509,2813944,-572561,2319467,2257517,775821,2304037,2812642,1439436,625202,6601813,3102292,8023037,2851615
 "18000","Indiana",3,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",-685,28323,-19168,-4851,-4140,3698,31300,-27886,19015,-553,890,601,2080,-6647,11574,61142,93117,-10858,-14545,21275,49193,-13208,30474,68631,-20520,18074,41809,75409,97438,997,33436,88057,4604,26497,25209,57101,60250,145239,169030,99105,221190,289635,179702,364841,421909,754763,162330,182901,384873,630518,1226909,714201,778265,580547,397057,449423,506276,183947,580860,898406,969770,1220539,1908114,851242,698940,313994,957734,482045,714347,897662,1533098,2292717,1474580,1010271,1560135,2494759,2428472,1615624,5429694,4209165,3063951,44049,1498711,379412,3372292,2023967,1373454,1550769,2428733,3713142,18390849,11497411,-8681502,587105,5532567
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
