GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "20000","Kansas",4,SAINC12,1,"...","Percent change in personal income ","Percent change",-11.8,-14.4,-32.2,-6.4,14.2,25.4,7.2,9.7,-11.0,-1.2,9.0,29.4,54.8,25.7,8.9,-2.7,1.5,17.2,5.8,-1.0,12.2,11.4,16.5,-3.7,5.9,0.4,5.2,5.6,9.8,1.1,4.0,4.4,4.1,2.3,5.3,6.6,7.1,4.7,8.9,11.3,8.5,8.6,11.5,14.0,8.1,9.2,8.7,9.1,10.7,14.2,10.0,13.2,8.4,4.2,9.6,5.3,4.8,4.2,5.6,5.9,6.2,3.5,7.5,4.6,4.5,4.3,6.5,6.3,6.1,3.2,5.4,3.5,1.0,3.1,2.8,5.6,10.2,7.4,9.7,-3.2,2.0,8.2,5.4,2.1,1.7,1.1,0.4,3.3,4.3,3.8,6.1,7.2,4.5,3.1,4.4
 "20000","Kansas",4,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-9.14,-14.12,-27.72,-1.99,13.66,23.91,2.26,10.69,-10.14,-1.79,7.74,26.98,52.68,24.50,8.00,-4.51,-2.07,16.59,3.12,-1.40,8.98,11.44,13.52,-3.83,4.06,-0.86,3.84,3.86,6.72,-0.28,2.65,3.19,3.23,1.49,4.19,5.02,6.23,3.13,6.76,7.89,5.18,5.82,9.21,10.39,4.09,4.98,6.28,6.26,7.50,10.71,3.88,6.80,3.06,2.43,6.97,3.12,3.69,4.05,3.28,3.43,4.22,1.70,5.88,3.18,2.99,2.23,4.78,4.16,4.31,3.17,2.90,2.38,0.87,2.23,2.04,3.60,6.04,4.17,5.12,-1.81,1.80,5.51,3.90,2.74,-0.55,0.74,-0.15,1.93,2.40,2.42,1.53,2.93,5.60,0.56,2.42
 "20000","Kansas",4,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-2.59,-2.03,-2.74,-3.45,1.17,1.09,1.83,1.53,-1.00,0.01,1.01,2.28,2.06,1.34,0.58,0.43,0.99,0.82,3.28,0.23,1.74,0.79,2.73,-0.21,1.37,0.65,0.95,0.81,2.29,0.87,0.86,0.54,0.62,0.41,0.89,1.01,0.37,0.21,0.94,2.46,1.94,1.48,1.56,2.03,2.62,2.07,1.24,1.93,2.14,2.36,4.06,4.67,3.92,1.00,2.25,1.49,0.56,-0.16,1.76,1.32,0.98,0.79,0.21,0.67,1.11,1.32,1.25,1.48,1.58,-0.45,1.49,-0.11,-0.69,0.27,0.38,1.21,3.09,2.17,2.83,-2.71,-0.80,2.33,1.72,-0.91,1.69,-0.21,0.01,0.87,1.11,0.46,-0.09,2.24,0.63,2.13,0.64
 "20000","Kansas",4,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",-0.11,1.75,-1.72,-0.97,-0.61,0.44,3.07,-2.50,0.17,0.55,0.25,0.13,0.05,-0.10,0.32,1.38,2.62,-0.18,-0.55,0.21,1.46,-0.82,0.27,0.32,0.42,0.56,0.40,0.89,0.76,0.48,0.48,0.67,0.21,0.40,0.24,0.60,0.51,1.36,1.25,0.99,1.39,1.27,0.71,1.55,1.41,2.18,1.17,0.93,1.02,1.14,2.03,1.76,1.44,0.80,0.39,0.64,0.58,0.33,0.57,1.13,1.02,1.05,1.39,0.78,0.44,0.71,0.45,0.64,0.20,0.51,1.04,1.18,0.84,0.63,0.41,0.78,1.07,1.07,1.78,1.28,1.04,0.38,-0.22,0.22,0.56,0.52,0.55,0.53,0.80,0.92,4.62,2.03,-1.77,0.45,1.30
 "20000","Kansas",4,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-116351,-124684,-238750,-32213,66933,136759,48302,70240,-87094,-8649,62699,223312,538677,391750,170185,-56243,31173,354818,141157,-24521,308202,324038,522264,-137029,207636,13145,195828,220439,408726,48827,184858,212327,204582,120442,285296,374242,428392,303359,604576,834502,697918,761543,1109100,1502996,995639,1225571,1258623,1435947,1832200,2701282,2163962,3158835,2275084,1241145,2934576,1758207,1702505,1559697,2161707,2391852,2681923,1622190,3545805,2355050,2416056,2372084,3764726,3882517,4007630,2257410,3902222,2620026,794555,2482815,2308758,4707053,9054947,7243656,10215722,-3739419,2284065,9355945,6650788,2669268,2254923,1415241,564427,4558245,6095622,5604483,9265245,11699810,7770023,5710273,8175774
 "20000","Kansas",4,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-89785,-122290,-205608,-9983,64295,128547,15243,77254,-80436,-12664,53938,204978,517941,372867,153039,-93885,-41952,341587,75217,-35859,227293,324711,427485,-141129,144132,-32286,144820,153195,281173,-13049,122929,153829,162809,78142,224594,283347,375178,202084,456864,580424,424386,517596,889450,1117918,501296,660890,909317,985860,1289112,2035718,841541,1624281,826682,711211,2129158,1044113,1301522,1494808,1263577,1395137,1817898,778744,2785158,1616761,1590756,1240858,2776992,2571180,2832518,2209846,2084759,1806608,679139,1765965,1666088,3030820,5362815,4076316,5377916,-2082701,2009390,6267519,4809060,3560982,-729562,1000945,-204916,2639005,3393959,3573027,2335061,4760844,9747089,1023182,4537974
 "20000","Kansas",4,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-25456,-17556,-20356,-17350,5489,5856,12345,11053,-7968,98,7033,17359,20277,20356,11059,8884,20043,16934,79165,5901,43923,22527,86271,-7652,48713,24356,35886,31920,95658,39875,39853,26048,31281,21411,47788,56932,22289,13231,63194,181366,159245,131322,150968,218216,321991,275135,179154,304076,368174,449098,882218,1114711,1060312,294534,687776,500595,196694,-57311,678404,536954,423646,361597,101498,339524,590265,735537,725663,915905,1040777,-310370,1068789,-84871,-544457,216798,311267,1019950,2746080,2123306,2972167,-3129861,-889471,2652405,2113040,-1177107,2239321,-286453,15092,1195640,1565698,681672,-133733,3638540,1101446,3867116,1196965
 "20000","Kansas",4,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",-1110,15162,-12786,-4880,-2851,2356,20714,-18067,1310,3917,1728,975,459,-1473,6087,28758,53082,-3703,-13225,5437,36986,-23200,8508,11752,14791,21075,15122,35324,31895,22001,22076,32450,10492,20889,12914,33963,30925,88044,84518,72712,114287,112625,68682,166862,172352,289546,170152,146011,174914,216466,440203,419843,388090,235400,117642,213499,204289,122200,219726,459761,440379,481849,659149,398765,235035,395689,262071,395432,134335,357934,748674,898289,659873,500052,331403,656283,946052,1044034,1865639,1473143,1164146,436021,-271312,285393,745164,700749,754251,723600,1135965,1349784,7063917,3300426,-3078512,819975,2440835
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
