GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "22000","Louisiana",5,SAINC12,1,"...","Percent change in personal income ","Percent change",-12.9,-9.8,-23.4,-4.2,17.9,11.1,14.5,7.8,-0.2,5.6,3.1,34.5,34.9,32.4,7.0,-1.4,-2.0,6.9,15.8,7.3,7.1,11.9,8.9,5.8,-0.1,6.3,11.1,10.7,2.5,4.5,1.6,4.1,5.8,6.6,6.9,8.3,10.6,9.7,9.5,6.5,8.3,9.0,9.4,11.6,13.7,12.6,12.8,11.7,14.4,13.4,15.1,15.2,7.6,4.5,6.3,4.2,0.1,0.2,5.7,6.0,7.6,5.5,7.0,4.9,6.5,4.9,4.4,5.1,4.9,2.3,5.7,7.4,3.0,3.2,4.4,7.7,5.5,9.5,7.3,-2.8,4.7,3.1,5.0,1.4,4.2,0.4,-0.5,3.1,4.4,3.3,6.4,9.3,-0.3,6.4,5.1
 "22000","Louisiana",5,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-12.34,-10.26,-18.60,-0.48,16.33,10.77,9.66,8.25,-1.03,4.39,3.28,32.13,34.40,31.36,5.99,-3.60,-6.38,5.89,12.68,2.20,4.99,12.83,8.05,5.53,-1.00,4.75,8.69,8.09,0.90,2.91,0.44,2.64,4.43,5.11,5.99,6.70,9.22,7.47,7.79,3.67,4.77,6.24,7.12,8.31,9.08,8.10,10.39,9.19,11.17,9.97,9.40,10.07,3.16,0.96,3.93,1.49,-1.10,0.70,3.94,3.01,5.20,3.17,4.25,2.54,3.66,3.08,3.14,3.74,3.41,2.35,3.90,4.67,2.34,2.67,2.10,3.04,4.54,3.49,4.59,-1.21,3.33,1.65,2.41,1.56,3.56,-1.42,-1.85,1.58,2.79,1.72,-0.61,4.09,1.73,3.63,2.99
 "22000","Louisiana",5,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.57,-1.86,-3.29,-3.28,1.59,0.46,1.62,1.91,0.43,0.87,-0.65,1.83,0.70,1.06,0.59,0.62,0.79,0.76,2.14,0.58,1.96,0.58,1.14,0.62,0.59,0.82,1.96,1.71,0.76,0.96,0.70,0.53,1.08,0.98,0.62,1.02,0.84,0.90,0.69,1.76,1.78,1.37,1.25,1.62,2.73,1.86,1.10,1.57,2.19,1.93,3.53,3.81,2.78,1.88,1.79,1.71,-0.08,-0.70,1.04,1.67,0.91,0.17,0.26,0.57,0.89,1.62,0.92,1.07,1.30,-0.47,1.35,0.26,-0.31,0.51,0.48,1.44,2.52,5.30,0.38,-2.63,-0.11,1.18,2.12,-0.86,0.84,-0.16,0.19,0.72,0.66,0.49,-0.09,2.21,0.82,2.05,1.22
 "22000","Louisiana",5,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.05,2.28,-1.52,-0.40,0.00,-0.14,3.22,-2.33,0.42,0.37,0.47,0.51,-0.23,-0.04,0.42,1.60,3.60,0.21,0.97,4.49,0.19,-1.50,-0.28,-0.35,0.33,0.73,0.41,0.87,0.80,0.63,0.46,0.89,0.31,0.50,0.29,0.63,0.57,1.32,1.06,1.10,1.79,1.41,1.04,1.69,1.86,2.64,1.30,0.91,1.02,1.52,2.16,1.33,1.71,1.64,0.54,0.98,1.29,0.18,0.72,1.35,1.52,2.19,2.44,1.79,1.98,0.22,0.33,0.33,0.24,0.44,0.43,2.43,0.95,0.04,1.83,3.19,-1.57,0.71,2.33,1.07,1.44,0.26,0.43,0.67,-0.18,1.93,1.15,0.76,0.90,1.08,7.15,2.97,-2.81,0.71,0.92
 "22000","Louisiana",5,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-109673,-73118,-156864,-21370,88087,64302,93416,57728,-1387,44713,25960,297973,405347,507854,145284,-30535,-43691,147345,362230,193418,203521,363423,304441,215792,-3288,247958,462515,495624,126677,236958,87843,227335,339245,405822,452692,585500,808425,815017,880340,660260,897158,1052195,1196850,1616397,2123331,2223334,2540386,2615876,3599401,3844227,4899060,5686979,3290354,2074740,3030220,2148485,60087,96218,3065541,3429237,4599049,3585393,4761013,3590696,5008485,4027774,3775616,4597489,4662080,2294179,5749971,7859687,3426885,3815598,5376992,9775583,7521923,13748586,11575691,-4703026,7701726,5343573,8839765,2550655,7988467,696098,-1013968,6042936,8865887,6984201,14144571,21642000,-676052,16261934,13909741
 "22000","Louisiana",5,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-105225,-76242,-124627,-2486,80312,62460,62199,60858,-8174,34844,27475,277758,399910,491729,124298,-79912,-139830,126461,290955,58572,142147,391700,275121,205704,-39521,186862,363315,375670,46342,153148,24156,147871,257878,314513,393044,470268,701058,628590,718480,371280,512998,728297,905757,1156058,1409526,1430000,2064827,2060185,2796863,2855772,3052149,3765176,1359275,443872,1902681,766756,-588339,374957,2117575,1712117,3135220,2057906,2911939,1861109,2807897,2520990,2696426,3346892,3210481,2321241,3941902,4990550,2689294,3159015,2565641,3868916,6227849,5047357,7275721,-2057983,5497775,2848358,4297936,2924475,6747840,-2802734,-3674171,3124803,5685950,3662202,-1344415,9554022,4407791,9232523,8101602
 "22000","Louisiana",5,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-4894,-13824,-22042,-16843,7796,2653,10459,14089,3451,6902,-5456,15823,8162,16682,12230,13862,17291,16360,49100,15485,55846,17606,38898,23217,23209,32343,81941,79589,39136,50665,38573,29488,63070,60393,40558,71285,63754,75830,63902,177914,191576,159527,159115,224783,424620,328182,217783,351003,548265,553034,1147028,1423827,1196092,870941,868322,878068,-40691,-375934,561435,947229,549215,108116,178539,417577,683677,1326216,791801,955389,1225987,-464903,1370599,273815,-351413,607636,583061,1836987,3453333,7667802,606285,-4468523,-175223,2038802,3775111,-1618819,1590217,-322516,386557,1411935,1351332,1037370,-189567,5159798,2095221,5224951,3309062
 "22000","Louisiana",5,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",446,16948,-10195,-2041,-21,-811,20758,-17219,3336,2967,3941,4392,-2725,-557,8756,35515,78848,4524,22175,119361,5528,-45883,-9578,-13129,13024,28753,17259,40365,41199,33145,25114,49976,18297,30916,19090,43947,43613,110597,97958,111066,192584,164371,131978,235556,289185,465152,257776,204688,254273,435421,699883,497976,734987,759927,259217,503661,689117,97195,386531,769891,914614,1419371,1670535,1312010,1516911,180568,287389,295208,225612,437841,437470,2595322,1089004,48947,2228290,4069680,-2159259,1033427,3693685,1823480,2379174,456413,766718,1244999,-349590,3821348,2273646,1506198,1828605,2284629,15678553,6928180,-7179064,1804460,2499077
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
