GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "25000","Massachusetts",1,SAINC12,1,"...","Percent change in personal income ","Percent change",-7.1,-9.1,-18.6,-8.2,9.4,6.6,11.3,2.5,-7.9,7.3,7.0,18.4,19.2,14.7,4.6,2.7,8.3,3.7,7.0,-0.8,11.2,9.5,4.6,6.0,1.1,6.6,6.1,5.7,2.2,6.7,4.1,5.1,5.7,4.2,6.8,6.7,7.7,8.6,9.2,8.7,8.0,6.9,8.1,8.7,8.0,7.4,7.6,8.9,10.5,11.3,12.7,11.4,9.6,8.6,12.7,8.2,7.9,7.9,10.4,5.8,3.1,1.6,4.9,3.9,5.0,5.9,6.3,6.0,6.4,6.9,11.2,4.1,-0.4,2.0,5.0,4.2,7.5,5.3,4.4,-0.8,4.7,4.9,3.7,0.7,4.5,6.6,3.8,4.8,5.3,4.9,6.7,8.6,1.9,5.9,5.1
 "25000","Massachusetts",1,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-6.70,-8.61,-15.08,-4.03,9.24,7.07,7.11,4.03,-5.60,5.30,5.56,18.91,19.81,14.16,3.53,0.70,2.84,3.52,7.65,-0.69,7.11,10.32,2.45,4.92,-0.39,4.44,5.87,3.71,1.00,5.61,2.87,3.52,4.02,2.31,4.57,4.81,5.95,5.57,6.63,6.91,5.25,4.12,6.05,5.90,4.22,3.08,6.00,6.91,8.21,8.11,7.52,6.02,4.82,6.60,8.95,6.41,5.82,6.83,6.97,2.86,0.89,-0.27,4.11,2.70,3.38,3.56,4.55,4.53,4.77,6.21,8.50,2.39,-0.38,1.06,4.23,2.03,4.04,3.32,1.56,-0.25,4.07,2.98,1.86,0.82,2.49,4.00,2.20,3.36,3.34,3.51,1.00,5.65,2.86,2.70,3.34
 "25000","Massachusetts",1,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.50,-1.90,-2.95,-4.41,0.61,-0.57,2.38,-0.12,-3.20,2.06,1.03,-0.23,-0.50,0.74,0.66,0.18,1.02,1.00,0.33,-0.99,3.19,-0.02,1.76,0.70,0.90,1.77,-0.06,0.99,0.10,1.10,0.85,0.74,1.47,1.44,1.93,1.51,1.22,1.43,0.94,0.75,1.10,0.93,0.95,1.42,1.68,0.59,1.07,1.56,1.43,1.81,3.32,3.57,3.72,1.21,3.06,1.19,1.43,0.79,2.59,1.61,0.80,0.09,0.15,0.84,0.86,1.48,1.27,0.99,1.55,0.22,2.01,0.61,-1.07,0.17,0.24,1.13,2.78,1.44,0.95,-1.95,-0.24,1.80,1.77,-0.26,1.58,1.41,1.01,1.29,1.19,1.01,-0.61,2.24,1.38,2.79,1.00
 "25000","Massachusetts",1,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.07,1.45,-0.57,0.19,-0.45,0.15,1.80,-1.38,0.89,-0.08,0.45,-0.23,-0.11,-0.16,0.45,1.82,4.44,-0.86,-0.94,0.89,0.87,-0.85,0.40,0.38,0.59,0.40,0.28,0.99,1.09,0.00,0.37,0.81,0.18,0.40,0.27,0.38,0.51,1.63,1.63,1.00,1.64,1.81,1.06,1.34,2.11,3.77,0.57,0.40,0.83,1.42,1.87,1.82,1.10,0.80,0.67,0.56,0.61,0.32,0.85,1.37,1.38,1.82,0.61,0.40,0.80,0.83,0.43,0.47,0.06,0.44,0.65,1.06,1.02,0.74,0.55,1.00,0.66,0.56,1.89,1.39,0.85,0.08,0.10,0.15,0.47,1.16,0.59,0.18,0.73,0.43,6.34,0.72,-2.31,0.45,0.75
 "25000","Massachusetts",1,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-274807,-324203,-605539,-218461,228437,176758,320002,80084,-255538,217121,225138,631319,778002,712267,257093,156432,494737,236290,470897,-56875,793853,746371,398325,541787,105266,641053,630411,623324,252962,794522,516756,666597,782827,606834,1029705,1086591,1330401,1610365,1865962,1915419,1919523,1780564,2235980,2596125,2608170,2619597,2887003,3609051,4640827,5547657,6925547,7000299,6589879,6457277,10329906,7485822,7816675,8510573,12031405,7441821,4137014,2282809,6888115,5848382,7775877,9508087,10727888,10925130,12340296,14124170,24514023,9910697,-1098551,4958480,12947471,11272622,21127348,16141560,14043509,-2677088,15496514,16806395,13514851,2659181,17238308,26058883,16050929,21180269,24175691,23930254,34147875,46618472,11358519,35610246,32373214
 "25000","Massachusetts",1,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-258146,-308128,-490777,-106769,224613,187874,201480,127144,-181041,158078,177763,647022,802887,684223,195468,40693,169104,227089,511601,-49191,505337,815263,211625,444685,-36975,430607,606766,406710,115804,664493,362957,463055,555828,337431,694950,780047,1030299,1039469,1343383,1528216,1261009,1069485,1677915,1768961,1373602,1085121,2268412,2811967,3637084,3967020,4098954,3694423,3294106,4952973,7287548,5879747,5782599,7316540,8052128,3644735,1203635,-375125,5814948,4003814,5216147,5769117,7807480,8263143,9217077,12766084,18678042,5824308,-977573,2670338,10912306,5509209,11408160,10069967,4978840,-818003,13464650,10307953,6740358,3072887,9449177,15859751,9290607,14723725,15366642,16965350,5080298,30597958,16856428,16204257,21234447
 "25000","Massachusetts",1,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-19449,-68031,-96070,-116806,14778,-15185,67365,-3629,-103411,61521,33051,-7701,-20448,35776,36841,10156,60927,64786,22006,-71147,226565,-1481,152330,63184,85820,171305,-5792,108368,11347,129845,107578,97634,202647,210495,294031,245183,211590,266786,191391,166213,264743,241529,264150,424872,545933,207793,404024,635049,635603,887929,1807195,2190050,2543847,905416,2493349,1087766,1424193,847686,2997286,2051851,1075403,126178,211095,1245931,1329939,2400698,2178206,1800130,2999779,452137,4409595,1487596,-2720233,422480,618920,3067649,7846429,4377051,3020476,-6505156,-795312,6237032,6409904,-988351,6004452,5592950,4251557,5646768,5469458,4893917,-3122599,12123402,8124335,16726257,6384172
 "25000","Massachusetts",1,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",2788,51956,-18692,5114,-10954,4069,51157,-43431,28914,-2478,14324,-8002,-4437,-7732,24784,105583,264706,-55585,-62710,63463,61951,-67411,34370,33918,56421,39141,29437,108246,125811,184,46221,105908,24352,58908,40724,61361,88512,304110,331188,220990,393771,469550,293915,402292,688635,1326683,214567,162035,368140,692708,1019398,1115826,751926,598888,549009,518309,609883,346347,981991,1745235,1857976,2531756,862072,598637,1229791,1338272,742202,861857,123440,905949,1426386,2598793,2599255,1865662,1416245,2695764,1872759,1694542,6044193,4646071,2827176,261410,364589,574645,1784679,4606182,2508765,809776,3339591,2070987,32190176,3897112,-13622244,2679732,4754595
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
