GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "24000","Maryland",2,SAINC12,1,"...","Percent change in personal income ","Percent change",-6.2,-9.2,-18.2,-8.2,13.0,6.2,13.3,8.2,-3.9,6.2,10.1,29.2,35.6,19.3,5.5,-1.2,4.0,3.7,12.5,2.1,11.7,15.4,10.2,6.5,0.5,7.6,9.2,6.5,2.0,5.7,5.1,6.4,8.1,7.1,9.0,9.0,10.3,8.8,10.5,14.9,11.2,10.2,9.7,10.3,9.2,8.2,8.9,8.4,11.0,9.9,11.4,11.3,8.4,7.3,10.8,8.4,8.0,7.6,10.2,8.1,6.1,3.7,4.8,4.0,4.7,4.4,4.7,5.5,8.0,5.9,8.8,5.6,3.9,4.5,6.6,5.2,5.2,4.3,4.8,-0.4,3.5,5.5,2.4,-0.4,3.1,4.4,3.4,3.5,3.3,3.4,5.3,6.8,2.5,7.1,5.8
 "24000","Maryland",2,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-5.86,-7.41,-14.84,-2.76,10.75,6.26,10.48,7.74,-4.26,7.28,8.83,28.17,34.60,18.74,4.73,-2.75,1.12,2.74,10.72,0.60,8.58,14.72,9.39,5.04,-0.68,6.79,7.46,4.42,0.02,4.33,3.83,4.76,6.27,5.46,7.22,7.02,8.72,6.46,8.64,12.64,8.20,7.20,7.43,7.38,6.06,5.21,6.93,6.27,8.09,6.88,6.57,6.47,3.98,5.41,7.65,6.36,5.84,6.46,7.35,4.90,3.98,1.77,3.35,2.55,3.03,2.40,2.88,3.88,6.20,5.08,6.52,4.17,3.40,3.42,5.00,3.76,2.62,1.89,2.13,0.33,2.61,3.68,1.39,-0.34,1.30,2.85,2.50,1.99,1.86,1.94,0.70,3.46,3.30,4.13,3.82
 "24000","Maryland",2,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.36,-3.09,-2.58,-5.37,1.54,-0.06,1.37,1.86,-0.49,-0.81,1.07,1.00,0.93,0.61,0.40,0.29,0.60,1.30,2.79,0.80,1.94,1.70,0.71,1.30,0.54,0.58,1.58,1.48,1.07,1.12,1.07,0.97,1.48,1.46,1.49,1.52,1.07,1.30,0.81,1.47,1.95,1.73,1.33,1.86,1.97,1.10,1.33,1.57,2.09,1.90,3.17,3.45,3.36,0.96,2.62,1.55,1.55,0.81,2.27,2.43,1.29,0.81,0.32,1.00,1.21,1.50,1.07,1.44,1.32,0.20,1.75,0.53,-0.23,0.27,1.16,0.55,2.18,1.52,1.16,-1.65,-0.25,1.45,0.83,-0.48,1.00,0.93,0.17,1.18,0.77,0.83,-0.32,1.48,1.36,2.23,0.88
 "24000","Maryland",2,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.04,1.32,-0.80,-0.07,0.74,-0.01,1.45,-1.42,0.84,-0.25,0.18,0.03,0.03,-0.01,0.36,1.28,2.28,-0.30,-0.99,0.66,1.21,-1.04,0.11,0.14,0.64,0.26,0.18,0.62,0.94,0.23,0.19,0.66,0.30,0.22,0.26,0.42,0.47,1.08,0.99,0.79,1.06,1.29,0.95,1.05,1.13,1.94,0.69,0.57,0.87,1.14,1.68,1.36,1.09,0.89,0.54,0.54,0.62,0.35,0.60,0.77,0.83,1.13,1.18,0.45,0.47,0.50,0.72,0.22,0.45,0.60,0.57,0.87,0.74,0.79,0.47,0.86,0.43,0.91,1.53,0.93,1.14,0.40,0.14,0.47,0.82,0.60,0.71,0.29,0.68,0.66,4.95,1.81,-2.20,0.70,1.09
 "24000","Maryland",2,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-77660,-108160,-195127,-71873,104770,56268,128371,89454,-46300,70627,121638,388055,610733,450041,152285,-34459,115873,112848,391174,72411,421060,616474,472707,330582,27046,416064,540801,417791,138421,395062,374871,495081,663054,634677,854775,930472,1160339,1102965,1419598,2236148,1931311,1958596,2050570,2384142,2342258,2301330,2702813,2768815,3941410,3931798,4970375,5476173,4551679,4251951,6787361,5879193,6048363,6209251,8961544,7837390,6370138,4117646,5571682,4818985,5900055,5785872,6408675,7937459,12076269,9616740,15311391,10489726,7780462,9266104,14305779,11934740,12669096,11012008,12813279,-1084715,9735732,15910728,7150282,-1090902,9653616,13973156,11238845,11883879,11752319,12615902,20302785,27053199,10503214,30933217,27174301
 "24000","Maryland",2,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-73715,-87391,-158941,-24221,86481,56854,101117,84639,-50423,82749,106559,374335,594153,436148,131264,-80638,32400,82660,334986,20934,307946,589954,434461,256956,-36721,370431,437777,283638,1299,301509,282286,368653,516504,485412,688441,728678,986593,805807,1173957,1896708,1413401,1379647,1569161,1711524,1549501,1452478,2092234,2064642,2884899,2726269,2860342,3139857,2148317,3166650,4802795,4424466,4406733,5263140,6448217,4742319,4158375,1964204,3849498,3071025,3798968,3153607,3944412,5563418,9394715,8311917,11292588,7859622,6764363,7070415,10788147,8668006,6346884,4817940,5650712,926690,7243180,10572849,4227937,-1040630,4019887,9084856,8314015,6846275,6612347,7125160,2655666,13863954,14111756,18090537,17928598
 "24000","Maryland",2,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-4469,-36391,-27622,-47025,12369,-517,13269,20289,-5819,-9261,12896,13275,16036,14165,10985,8554,17427,39086,87198,28162,69628,68321,32943,66340,29205,31643,92514,94627,72970,77718,78717,75425,122090,129692,141975,157939,120879,162604,110642,221172,336025,332144,280734,430059,504160,306724,402276,517440,744433,754360,1380068,1676341,1816109,564431,1644451,1075730,1170107,660517,1988559,2354007,1347668,901194,369878,1206100,1515076,1972281,1470642,2060025,2003450,330309,3035101,999502,-457028,562918,2505266,1277738,5268747,3877284,3084862,-4595438,-685523,4177039,2508999,-1503137,3096622,2963963,571552,4044366,2735436,3061019,-1202493,5919950,5823869,9792374,4137324
 "24000","Maryland",2,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",524,15622,-8564,-627,5920,-69,13985,-15474,9942,-2861,2183,445,544,-272,10036,37625,66046,-8898,-31010,23315,43486,-41801,5303,7286,34562,13990,10510,39526,64152,15835,13868,51003,24460,19573,24359,43855,52867,134554,134999,118268,181885,246805,200675,242559,288597,542128,208303,186733,312078,451169,729965,659975,587253,520870,340115,378997,471523,285594,524768,741064,864095,1252248,1352306,541860,586011,659984,993621,314016,678104,974514,983702,1630602,1473127,1632771,1012366,1988996,1053465,2316784,4077705,2584033,3178075,1160840,413346,1452865,2537107,1924337,2353278,993238,2404536,2429723,18849612,7269295,-9432411,3050306,5108379
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
