GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "92000","Mideast",2,SAINC12,1,"...","Percent change in personal income ","Percent change",-6.8,-13.1,-21.7,-7.6,11.1,7.8,13.9,4.9,-6.7,5.7,7.1,16.6,19.6,17.9,7.6,3.5,8.1,6.3,6.3,0.1,9.4,10.1,5.9,6.6,1.2,6.3,7.4,5.9,2.1,5.8,4.3,4.1,5.8,4.6,7.1,7.0,7.8,7.7,9.7,7.7,8.1,7.3,8.2,8.1,8.6,8.3,7.6,8.7,9.8,10.0,11.1,11.1,8.0,7.1,9.8,7.0,6.6,6.5,9.8,8.0,6.3,2.0,5.7,3.3,3.5,5.2,5.2,5.6,6.2,5.2,8.1,4.2,1.1,2.4,5.1,4.0,6.5,6.5,3.2,-1.7,3.9,5.3,3.7,0.8,3.8,4.3,3.2,4.8,4.1,3.8,5.6,7.1,1.5,5.9,5.1
 "92000","Mideast",2,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-5.35,-10.80,-16.70,-3.94,10.73,7.01,10.44,5.46,-4.99,4.46,7.02,16.13,19.89,17.61,6.68,1.29,4.08,5.37,7.32,-0.96,6.12,11.01,4.98,5.36,-0.51,4.95,6.01,4.25,0.62,4.57,3.11,2.52,4.21,2.89,5.37,5.21,6.06,5.16,6.97,5.92,5.24,4.45,5.89,5.37,4.90,4.06,5.45,6.37,7.39,6.82,5.90,5.72,3.77,4.62,6.54,5.05,4.90,5.88,6.76,4.22,4.15,0.19,4.32,2.15,2.14,2.80,3.43,4.22,4.53,4.80,5.85,3.11,0.97,1.62,3.66,2.43,3.59,3.57,0.72,-1.26,2.89,3.49,2.23,0.92,2.03,2.52,1.89,2.76,2.79,2.15,-0.07,4.44,2.94,2.65,3.36
 "92000","Mideast",2,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.45,-3.40,-4.45,-3.72,0.01,0.16,2.37,0.81,-2.53,1.23,0.13,0.61,-0.17,0.56,0.57,0.71,1.16,1.22,-0.81,0.78,1.65,0.49,0.78,1.02,0.96,0.89,1.05,0.93,0.26,1.04,1.03,0.77,1.46,1.35,1.49,1.36,0.98,1.03,1.30,0.94,1.37,1.07,1.02,1.51,1.89,1.09,1.01,1.57,1.60,1.88,3.25,3.63,2.75,1.31,2.70,1.29,0.92,0.24,2.22,2.76,0.96,0.20,-0.11,0.32,0.79,1.50,1.05,1.22,1.20,-0.10,1.51,0.04,-0.92,0.25,0.61,1.02,2.07,2.11,0.88,-1.97,-0.27,1.58,1.58,-0.33,1.18,0.98,0.67,1.30,1.03,0.72,-0.45,1.28,1.57,2.44,1.00
 "92000","Mideast",2,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.04,1.13,-0.59,0.10,0.38,0.61,1.07,-1.36,0.77,0.06,-0.01,-0.09,-0.10,-0.24,0.34,1.48,2.87,-0.27,-0.23,0.30,1.60,-1.42,0.10,0.24,0.76,0.43,0.32,0.72,1.18,0.24,0.19,0.86,0.15,0.39,0.23,0.43,0.74,1.51,1.45,0.81,1.54,1.82,1.25,1.24,1.80,3.18,1.11,0.73,0.81,1.26,1.95,1.70,1.49,1.13,0.57,0.68,0.74,0.35,0.78,0.99,1.16,1.65,1.51,0.81,0.53,0.85,0.74,0.16,0.49,0.53,0.76,1.01,1.09,0.58,0.79,0.52,0.86,0.83,1.61,1.50,1.26,0.27,-0.08,0.24,0.55,0.79,0.63,0.71,0.28,0.91,6.16,1.42,-3.03,0.77,0.77
 "92000","Mideast",2,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-1854001,-3344934,-4833944,-1315687,1788779,1389246,2672905,1078347,-1552316,1233029,1620398,4047032,5563996,6082874,3037438,1497705,3613535,3041630,3215427,65013,5098844,6007354,3844892,4591029,895020,4701795,5874792,5042294,1862040,5403009,4233321,4231761,6175035,5216796,8346335,8825210,10491188,11207275,15223058,13170220,15058069,14676276,17501638,18853649,21554731,22710802,22359622,27539077,33806926,37741528,46235477,51187145,41163042,39204394,58341494,45810185,45849963,48253452,77363471,69387839,58980028,20371116,58296071,35380580,38560989,59285347,63265742,71367205,83565673,74734702,122025037,67608840,19156895,41908506,88782384,73124844,124790952,132798735,69814970,-38782275,85659652,122192986,89992241,20933437,94979459,112217591,87071747,134431925,120968884,116083620,179864641,240838824,53319635,214681903,198917206
 "92000","Mideast",2,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-1467923,-2762616,-3713495,-686138,1725709,1252870,2009865,1197428,-1148014,957780,1593665,3920457,5640072,5973944,2671809,554850,1819144,2584573,3748308,-522410,3332098,6561558,3266104,3718042,-378352,3706629,4783255,3634792,558639,4221038,3037785,2574333,4470244,3252308,6321804,6569953,8172960,7503450,10913850,10174454,9681775,8898344,12634578,12470052,12310664,11078209,16099040,20229241,25499016,25858579,24568709,26486898,19358960,25665510,38894844,32955183,34206211,43809884,53615730,36707475,39033180,1868210,44008115,23187309,23799110,32201833,41535045,53786551,60872424,68613613,87969684,50513256,16398209,27668209,64223084,44783422,68798774,72789039,15608274,-28160798,63809985,79836473,53845389,23088181,51239298,65909572,51583000,77696309,82475182,65941956,-2125655,149717918,105987112,97191390,130398842
 "92000","Mideast",2,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-397048,-870269,-988895,-646990,1354,27831,456948,178532,-582241,262984,28644,148910,-46798,188757,227877,304119,517568,588551,-415936,423411,897103,290979,514279,708392,708455,670290,834556,792278,237770,962322,1011064,782723,1548555,1521864,1756113,1711602,1322056,1502814,2039453,1610066,2528508,2144868,2186118,3501329,4737370,2973640,2979581,4978389,5524145,7123192,13545386,16823458,14119037,7270472,16056599,8425704,6459093,1808268,17593346,24051589,9060189,2006045,-1134609,3447435,8820117,17243814,12743086,15480225,16114130,-1478381,22697996,606107,-15619083,4260876,10716228,18724882,39600730,43017358,19179777,-44198558,-5846513,36117010,38031328,-8240563,29820945,25544032,18293816,36627464,30371020,22149765,-14505347,43207701,56678625,89215208,38726000
 "92000","Mideast",2,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",10970,287951,-131554,17441,61716,108545,206092,-297613,177939,12265,-1911,-22335,-29278,-79827,137752,638736,1276823,-131494,-116945,164012,869643,-845183,64509,164595,564917,324876,256981,615224,1065631,219649,184472,874705,156236,442624,268418,543655,996172,2201011,2269755,1385700,2847786,3633064,2680942,2882268,4506697,8658953,3281001,2331447,2783765,4759757,8121382,7876789,7685045,6268412,3390051,4429298,5184659,2635300,6154395,8628775,10886659,16496861,15422565,8745836,5941762,9839700,8987611,2100429,6579119,7599470,11357357,16489477,18377769,9979421,13843072,9616540,16391448,16992338,35026919,33577081,27696180,6239503,-1884476,6085819,13919216,20763987,17194931,20108152,8122682,27991899,196495643,47913205,-109346102,28275305,29792364
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
