GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "23000","Maine",1,SAINC12,1,"...","Percent change in personal income ","Percent change",-4.0,-13.4,-22.0,-1.1,13.2,4.8,17.6,1.1,-7.2,5.3,6.9,20.9,33.8,24.1,-0.4,-2.3,8.6,5.3,10.5,-1.6,2.6,10.8,9.4,0.8,1.7,9.9,5.9,4.0,4.2,4.5,6.1,1.3,3.9,3.3,8.0,7.9,6.3,5.0,6.5,10.1,9.9,7.5,9.5,12.4,11.1,8.1,14.1,8.7,10.5,11.0,12.4,10.2,8.7,7.8,10.3,8.1,8.3,8.1,10.6,9.0,4.2,1.8,4.6,3.3,4.1,4.3,5.6,5.8,7.1,4.5,7.4,5.6,3.3,4.9,5.0,2.2,4.9,3.9,4.7,0.3,2.3,4.1,1.3,0.0,3.3,4.3,3.4,4.1,4.4,5.3,9.3,10.5,4.7,6.9,5.7
 "23000","Maine",1,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-4.09,-14.18,-17.00,1.49,12.93,4.06,12.73,3.14,-6.32,4.85,5.22,20.03,32.32,22.69,-0.30,-3.90,4.48,4.85,7.08,-2.99,0.64,11.80,7.55,0.19,0.15,8.45,5.09,1.12,2.18,3.45,5.25,0.05,2.70,1.69,6.22,5.90,4.81,2.70,5.59,6.56,6.01,4.00,6.62,8.48,6.34,2.56,11.37,5.64,7.43,7.19,6.71,4.59,3.66,5.15,6.82,5.63,5.88,6.63,7.17,5.18,1.93,-0.35,2.88,2.00,2.50,1.75,3.05,3.59,5.13,4.84,4.87,3.79,2.65,2.58,3.34,1.10,3.20,1.16,0.77,-0.49,2.01,1.51,0.88,-0.13,1.92,2.36,1.59,2.32,2.54,2.80,2.48,5.84,3.93,3.81,3.21
 "23000","Maine",1,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",0.14,-0.69,-3.98,-2.39,0.60,0.58,2.37,-0.12,-1.98,0.66,1.37,1.18,1.59,1.47,-0.55,-0.06,0.84,0.33,4.09,0.69,0.87,-0.32,1.70,0.06,0.81,0.58,0.56,1.86,0.72,0.72,0.57,0.46,0.92,1.20,1.66,1.65,0.76,0.82,-0.19,2.38,2.10,1.56,1.57,1.68,2.23,1.79,1.30,2.06,1.95,1.89,3.22,3.46,3.51,1.41,2.65,1.60,1.83,1.15,2.56,2.78,0.75,0.10,0.13,0.37,0.79,1.67,1.32,1.44,1.48,-0.81,1.51,0.57,-0.41,0.82,0.49,-0.43,1.27,1.37,0.97,-0.98,0.07,1.59,0.55,-0.30,0.71,1.03,1.17,1.00,0.61,1.27,0.45,2.25,1.60,2.53,1.24
 "23000","Maine",1,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",-0.04,1.45,-1.03,-0.18,-0.37,0.20,2.48,-1.88,1.08,-0.17,0.35,-0.34,-0.06,-0.07,0.43,1.63,3.25,0.12,-0.71,0.66,1.07,-0.69,0.19,0.50,0.79,0.84,0.20,1.01,1.27,0.36,0.23,0.76,0.28,0.41,0.15,0.37,0.72,1.45,1.10,1.13,1.82,1.91,1.36,2.23,2.54,3.75,1.38,0.99,1.08,1.88,2.48,2.13,1.52,1.29,0.87,0.88,0.56,0.33,0.84,1.01,1.49,2.09,1.63,0.90,0.78,0.93,1.19,0.80,0.51,0.48,1.01,1.24,1.09,1.48,1.15,1.55,0.45,1.35,2.93,1.80,0.25,0.96,-0.12,0.46,0.65,0.92,0.61,0.82,1.26,1.20,6.34,2.36,-0.87,0.54,1.27
 "23000","Maine",1,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-19052,-61578,-87429,-3320,40361,16772,63940,4908,-31256,21425,29324,94346,184940,176177,-3806,-21049,75649,50760,105588,-18251,28247,121257,117557,10386,23947,138067,89988,64927,70527,79699,111401,24971,77030,67832,170447,181635,155521,130865,179326,295931,321111,265616,365039,518968,522567,423051,794665,560635,732906,848611,1066209,983162,924437,907584,1290334,1116486,1230734,1306563,1842213,1727316,876643,401015,1033241,761290,980249,1087163,1453856,1607800,2078974,1410997,2416019,1963584,1235701,1872157,2001675,938961,2122534,1753272,2196544,161198,1149932,2052819,687512,12878,1744375,2371909,1930323,2453339,2723058,3389663,6284179,7750033,3817184,5898107,5247916
 "23000","Maine",1,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-19526,-65066,-67529,4630,39654,14072,46288,13431,-27358,19471,22058,90551,176597,165930,-2723,-35229,39554,46452,71469,-33277,6989,132711,94099,2654,1998,118146,78225,18144,36896,60682,96599,1039,53434,34622,131998,135186,119026,71098,154312,192995,194334,142374,253017,355303,298207,133702,642881,363907,520493,556737,575984,442869,389171,595347,850661,774716,874599,1067583,1249157,997346,405779,-76355,641391,465977,601786,437909,797046,990609,1498524,1512889,1591540,1330239,982018,988130,1342973,464596,1377580,525813,363874,-242592,993455,764054,461687,-71035,1020654,1299013,914118,1373371,1568103,1803402,1679583,4331811,3214067,3269328,2944525
 "23000","Maine",1,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",684,-3176,-15796,-7397,1850,2012,8630,-501,-8572,2648,5798,5320,8679,10726,-4990,-561,7409,3131,41259,7668,9548,-3646,21145,862,11102,8128,8665,30290,12108,12661,10516,9070,18124,24710,35292,37907,18738,21559,-5338,69831,67946,55414,60175,70431,104769,93372,73596,133093,136800,146456,276973,334511,373586,162823,330588,220401,272235,185763,446214,536107,157329,20904,29762,86241,190732,417396,345588,396162,432962,-252434,493907,199469,-151505,315790,198787,-179731,549063,618054,457200,-481543,34419,803012,290022,-159603,379574,568178,668417,594792,378892,815741,302941,1667654,1314125,2167656,1135498
 "23000","Maine",1,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",-210,6664,-4104,-553,-1143,688,9022,-8022,4674,-694,1468,-1525,-336,-479,3907,14741,28686,1177,-7140,7358,11710,-7808,2313,6870,10847,11793,3098,16493,21523,6356,4286,14862,5472,8500,3157,8542,17757,38208,30352,33105,58831,67828,51847,93234,119591,195977,78188,63635,75613,145418,213252,205782,161680,149414,109085,121369,83900,53217,146842,193863,313535,456466,362088,209072,187731,231858,311222,221029,147488,150542,330572,433876,405188,568237,459915,654096,195891,609405,1375470,885333,122058,485753,-64197,243516,344147,504718,347788,485176,776063,770520,4301655,1750568,-711008,461123,1167893
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
