GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "26000","Michigan",3,SAINC12,1,"...","Percent change in personal income ","Percent change",-16.3,-18.4,-27.3,-11.9,31.2,18.0,18.0,12.5,-15.0,11.5,12.1,25.5,28.8,26.0,3.5,-4.2,7.2,13.9,8.3,-0.6,14.1,12.0,7.1,13.7,-2.5,11.1,4.4,2.9,-1.8,5.9,4.2,0.4,7.2,6.8,9.6,10.9,9.1,4.3,10.6,8.8,3.6,8.8,11.0,11.6,7.0,7.1,11.6,12.4,11.5,9.5,7.0,6.8,3.5,6.5,10.2,8.5,6.3,3.6,7.0,7.7,4.7,2.4,5.8,5.3,7.5,5.7,5.1,4.7,6.2,5.0,6.7,1.9,-0.1,2.5,2.8,2.0,2.3,2.9,2.8,-4.8,3.8,5.9,3.9,0.9,4.2,5.4,2.9,3.0,4.2,3.2,8.7,7.8,1.7,5.8,4.6
 "26000","Michigan",3,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-11.98,-15.40,-18.85,-6.17,27.46,15.40,13.05,13.08,-14.08,9.61,11.49,24.15,26.28,25.16,3.01,-6.51,4.13,11.30,9.22,-2.07,11.04,12.29,6.38,11.72,-3.81,9.67,2.65,1.51,-3.57,5.60,2.95,-1.41,6.21,5.74,8.04,9.34,7.35,2.08,8.74,7.42,0.50,6.17,8.83,9.00,2.82,2.19,10.18,10.61,9.26,6.24,0.83,3.16,-0.64,4.19,7.72,6.72,4.73,3.01,4.99,4.39,2.58,0.95,4.68,3.62,4.96,3.85,3.41,3.41,5.08,4.50,4.94,0.71,0.06,1.18,1.62,0.70,0.49,0.35,-0.85,-4.90,2.23,4.12,2.49,0.70,2.07,3.10,1.82,2.68,2.29,1.70,0.03,4.74,3.88,2.67,2.33
 "26000","Michigan",3,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-4.30,-4.37,-7.57,-5.82,4.03,2.21,3.45,0.96,-2.24,2.19,0.79,1.47,2.06,1.29,0.13,0.23,0.78,1.24,0.96,1.00,2.30,0.24,0.36,1.89,0.40,0.98,1.17,0.83,-0.03,0.92,1.01,0.63,1.12,0.90,1.38,1.13,1.17,0.85,0.79,0.60,1.27,0.95,1.04,1.29,1.75,1.35,1.02,1.47,1.46,1.57,2.42,2.82,2.49,1.43,2.35,1.35,0.94,0.19,1.49,2.22,1.00,-0.10,0.26,0.65,2.44,1.12,1.01,0.48,1.20,-0.44,1.32,-0.32,-0.65,0.55,0.52,0.35,0.74,1.02,1.18,-2.10,0.04,1.85,1.48,-0.11,1.34,1.13,0.59,0.34,1.07,0.39,0.11,2.26,1.45,2.47,0.84
 "26000","Michigan",3,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.01,1.35,-0.85,0.09,-0.31,0.39,1.53,-1.52,1.37,-0.25,-0.17,-0.07,0.49,-0.48,0.34,2.06,2.26,1.33,-1.84,0.50,0.77,-0.56,0.34,0.05,0.93,0.42,0.57,0.56,1.76,-0.65,0.21,1.17,-0.15,0.11,0.18,0.46,0.54,1.34,1.04,0.74,1.82,1.67,1.18,1.35,2.44,3.57,0.43,0.34,0.74,1.72,3.79,0.87,1.68,0.91,0.17,0.45,0.66,0.38,0.57,1.06,1.08,1.51,0.86,1.01,0.15,0.77,0.70,0.80,-0.09,0.94,0.45,1.47,0.52,0.73,0.64,0.97,1.08,1.56,2.44,2.16,1.55,-0.04,-0.11,0.33,0.78,1.18,0.46,0.00,0.89,1.15,8.53,0.75,-3.62,0.71,1.47
 "26000","Michigan",3,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-617894,-585598,-707408,-224418,518125,392256,463481,380058,-510830,335406,392491,927924,1315098,1525814,257837,-323694,526407,1090139,745770,-55359,1360266,1316454,871471,1801004,-373176,1617657,712858,491969,-321348,1006525,757969,72983,1362346,1372198,2082635,2600987,2388934,1227727,3168835,2907299,1293717,3282293,4488070,5250839,3530333,3831917,6712675,8007828,8307286,7700343,6228544,6481804,3570312,6833472,11434800,10489454,8448742,5068452,10360998,12067983,7900390,4186160,10545863,10140540,15251282,12496707,11776315,11320651,15636225,13416934,18931556,5609954,-243286,7533904,8737374,6536900,7607328,9889255,9624293,-17256161,12974317,20879932,14384963,3518650,16409193,22017851,12272310,13337608,19313195,15361561,42450365,41235801,9816377,34091061,28683584
 "26000","Michigan",3,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-454991,-489431,-488925,-116345,456227,335711,335590,397132,-481049,279059,372374,877228,1198599,1477986,222960,-498944,303315,888134,825184,-200474,1064280,1351848,785783,1545607,-571563,1413247,430484,255341,-623057,959453,535590,-266937,1176744,1166410,1744409,2221288,1937667,599142,2622425,2461297,180003,2304235,3587671,4060369,1422725,1179839,5878417,6840550,6708804,5042798,729948,2988263,-649341,4385308,8616664,8268009,6320432,4266127,7330011,6912689,4376272,1679984,8496525,6958711,10027361,8377586,7849206,8233930,12845214,12079675,13946930,2152312,176528,3607344,5092204,2268720,1629477,1195190,-2940815,-17478042,7568658,14500814,9290842,2692086,8101013,12606792,7792693,11836594,10419257,8063192,141413,25198953,22243333,15559715,14387485
 "26000","Michigan",3,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-163127,-139071,-196379,-109733,66989,48136,88668,29059,-76660,63680,25546,53290,93969,75824,9978,17757,57090,97678,85622,96655,221828,25992,44386,248798,59265,143586,189942,141044,-5233,157641,183553,119567,213204,182836,299973,269598,309658,244358,235904,199327,456815,355380,420930,582833,880319,729454,586833,944911,1060847,1267027,2145438,2674351,2516350,1497378,2626842,1661796,1249505,268231,2192259,3491532,1687207,-171776,479764,1250352,4929717,2440239,2325713,1157702,3029866,-1187668,3712956,-974055,-2007690,1688642,1628932,1136204,2433809,3445313,4094774,-7487562,142285,6522466,5506948,-435031,5240635,4592480,2519799,1516813,4864766,1864155,535382,12046215,8329100,14374469,5200372
 "26000","Michigan",3,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",224,42904,-22104,1660,-5091,8409,39223,-46133,46879,-7333,-5429,-2594,22530,-27996,24899,157493,166002,104327,-165036,48460,74158,-61386,41302,6599,139122,60824,92432,95584,306942,-110569,38826,220353,-27602,22952,38253,110101,141609,384227,310506,246675,656899,622678,479469,607637,1227289,1922624,247425,222367,537635,1390518,3353158,819190,1703303,950786,191294,559649,878805,534094,838728,1663762,1836911,2677952,1569574,1931477,294204,1678882,1601396,1929019,-238855,2524927,1271670,4431697,1587876,2237918,2016238,3131976,3544042,5248752,8470334,7709443,5263374,-143348,-412827,1261595,3067545,4818579,1959818,-15799,4029172,5434214,41773570,3990633,-20756056,4156877,9095727
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
