GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "27000","Minnesota",4,SAINC12,1,"...","Percent change in personal income ","Percent change",-7.8,-15.3,-19.9,-13.3,16.7,26.0,6.2,14.1,-8.1,5.5,2.0,14.7,26.9,15.4,4.0,11.0,15.2,8.9,17.1,-5.9,10.7,10.7,4.2,5.6,3.1,5.9,4.8,6.1,5.6,3.9,6.2,5.1,5.4,6.1,4.0,10.5,8.4,7.5,10.1,11.2,9.2,6.7,8.7,17.2,7.7,8.2,8.1,12.6,12.2,11.2,11.2,10.7,7.1,5.5,13.3,6.3,5.8,6.3,5.8,9.2,6.3,3.2,7.3,3.0,7.1,5.7,7.8,5.7,8.8,5.1,8.3,4.3,2.1,4.6,6.1,2.6,5.0,5.9,4.8,-4.1,4.5,6.9,5.7,0.8,4.9,4.7,2.1,4.5,5.2,3.7,6.4,10.4,2.8,5.1,4.8
 "27000","Minnesota",4,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-6.75,-15.95,-15.29,-10.35,14.69,25.41,1.01,15.98,-7.73,4.12,0.59,14.13,25.97,14.92,2.88,7.98,10.51,8.15,15.13,-6.90,6.82,11.85,3.01,3.99,1.64,3.55,4.20,4.25,3.26,2.30,4.94,3.49,4.23,4.54,2.61,8.47,6.94,4.92,7.62,8.69,6.12,3.98,6.60,13.59,3.79,4.12,5.72,10.04,9.58,7.96,5.54,5.17,2.24,3.00,10.24,4.24,4.23,5.83,3.74,5.87,4.14,2.00,5.97,1.77,5.08,3.09,5.92,3.79,6.68,4.24,5.91,2.68,1.84,3.09,4.98,1.68,1.98,3.30,1.94,-3.75,3.11,4.94,3.90,0.63,2.47,2.83,0.94,2.99,2.85,1.98,1.18,5.27,3.80,2.41,2.60
 "27000","Minnesota",4,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.13,-1.25,-3.38,-2.73,1.33,0.36,2.45,-0.04,-0.91,1.21,1.11,0.77,1.14,0.70,0.67,1.18,1.54,0.85,2.29,0.45,2.02,0.64,0.88,1.26,0.77,1.81,0.20,0.94,1.08,1.21,1.00,0.75,0.93,1.09,1.11,1.39,0.91,1.05,1.32,1.75,1.59,1.35,1.12,1.98,2.22,1.87,1.21,1.92,1.81,1.97,3.48,3.84,3.41,1.54,2.46,1.26,1.00,0.13,1.41,2.33,1.32,0.36,0.32,0.59,1.42,1.93,1.28,1.74,1.71,0.27,1.61,0.34,-0.68,0.89,0.47,0.34,1.75,1.33,1.06,-1.76,0.03,1.84,1.82,-0.36,1.49,1.37,0.64,0.78,1.36,1.08,-0.20,3.02,1.01,2.37,0.77
 "27000","Minnesota",4,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.07,1.91,-1.23,-0.23,0.73,0.19,2.71,-1.83,0.51,0.22,0.27,-0.16,-0.22,-0.17,0.46,1.83,3.15,-0.14,-0.34,0.59,1.82,-1.80,0.28,0.30,0.69,0.59,0.36,0.96,1.29,0.36,0.26,0.86,0.24,0.43,0.30,0.62,0.53,1.50,1.13,0.80,1.47,1.40,1.01,1.66,1.67,2.17,1.17,0.62,0.82,1.26,2.14,1.71,1.49,0.98,0.63,0.74,0.54,0.37,0.65,1.01,0.85,0.86,1.04,0.67,0.64,0.73,0.57,0.19,0.40,0.56,0.77,1.31,0.99,0.60,0.63,0.58,1.26,1.24,1.80,1.43,1.31,0.14,0.01,0.55,0.96,0.54,0.50,0.69,1.03,0.63,5.45,2.14,-2.00,0.30,1.38
 "27000","Minnesota",4,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-119385,-215476,-237570,-127261,138875,251270,75278,182740,-120111,75258,28277,215252,450693,328397,98513,280689,431000,289366,607190,-243747,418027,463908,200284,277996,163837,323299,274749,371235,361273,261956,436985,381701,424320,501683,352171,956077,845845,816878,1183635,1454072,1320802,1057174,1463234,3140981,1641557,1879307,2016019,3385605,3696201,3802906,4218629,4505190,3321909,2752700,7008615,3725164,3652138,4239728,4132623,6941784,5196665,2824693,6621032,2939942,7139268,6150999,8795628,6974251,11336344,7107095,12219192,6913593,3576150,7777087,10812657,4908905,9665669,11935934,10348037,-9198022,9636169,15627912,13828218,2080048,12682426,12797844,5878582,12882359,15815794,11726821,21178364,36545831,10861572,20213630,19890869
 "27000","Minnesota",4,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-103226,-224842,-182562,-99004,121780,245941,12310,206916,-114191,55957,8512,206411,435222,317199,70814,203764,298025,266079,537730,-287215,267376,513927,144406,199728,86714,192998,242160,256451,209318,156016,347806,260910,332308,375954,229082,773063,700386,538258,895633,1124121,880157,625567,1106214,2476865,809174,948007,1424480,2702550,2902029,2706335,2091898,2173192,1043314,1496513,5386404,2529810,2679381,3906273,2666120,4420194,3408985,1753708,5393082,1718550,5075406,3304759,6695066,4622370,8613875,5942446,8705698,4273589,3065460,5251490,8850504,3160528,3829024,6711396,4175380,-8454077,6727183,11151974,9416204,1600250,6359280,7648809,2671432,8640533,8586040,6292214,3884917,18482857,14705947,9573239,10883524
 "27000","Minnesota",4,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-17255,-17600,-40371,-26084,11034,3526,29866,-536,-13475,16373,15918,11204,19123,14899,16480,30184,43711,27912,81380,18834,79330,27907,42259,63081,40558,98329,11714,56768,69113,81858,70606,56395,73036,90448,97028,126546,92294,114463,155078,226388,228958,211291,188199,360747,474650,431048,300967,517095,546957,668509,1316130,1614958,1584846,766978,1291734,751796,633832,84160,1007140,1758620,1087613,316895,284702,574452,1421749,2066383,1453361,2124474,2208241,382963,2372771,546049,-1136786,1511821,837158,644823,3395249,2699733,2291002,-3967045,65115,4162702,4396154,-932235,3846003,3688323,1799719,2247787,4114241,3422510,-667209,10572022,3908013,9449138,3225024
 "27000","Minnesota",4,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",1096,26966,-14637,-2173,6061,1803,33102,-23640,7555,2928,3847,-2363,-3652,-3701,11219,46741,89264,-4625,-11920,24634,71321,-77926,13619,15187,36565,31972,20875,58016,82842,24082,18573,64396,18976,35281,26061,56468,53165,164157,132924,103563,211687,220316,168821,303369,357733,500252,290572,165960,247215,428062,810601,717040,693749,489209,330477,443558,338925,249295,459363,762970,700067,754090,943248,646940,642113,779857,647201,227407,514228,781686,1140723,2093955,1647476,1013776,1124995,1103554,2441396,2524805,3881655,3223100,2843871,313236,15860,1412033,2477143,1460712,1407431,1994039,3115513,2012097,17960656,7490952,-7752388,1191253,5782321
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
"Last updated: September 26, 2025-- revised statistics for 2020-2024."
"U.S. Bureau of Economic Analysis"
