GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "29000","Missouri",4,SAINC12,1,"...","Percent change in personal income ","Percent change",-8.9,-11.1,-24.7,-7.7,10.4,14.7,11.1,8.5,-6.6,6.0,3.3,25.2,27.1,15.5,6.4,4.7,11.9,4.9,11.9,-2.3,10.2,10.9,5.7,6.1,0.7,7.1,5.5,2.9,6.4,5.9,3.0,3.4,5.4,4.9,5.6,8.7,7.1,6.4,10.7,6.0,9.3,7.9,8.7,11.1,7.0,9.5,9.6,10.8,11.3,11.5,8.5,11.6,6.9,6.8,10.8,7.1,5.3,5.0,6.5,7.2,4.5,4.5,6.2,4.6,6.1,5.4,5.9,6.1,5.0,3.8,6.9,3.4,2.4,3.8,5.2,3.5,5.9,4.8,6.0,-1.6,2.5,4.1,4.4,0.6,3.4,3.4,3.0,2.5,4.5,4.0,8.0,9.3,3.0,7.2,4.6
 "29000","Missouri",4,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-8.53,-9.92,-20.34,-3.70,9.17,14.04,6.30,9.68,-6.23,4.48,2.61,24.07,24.71,14.89,5.30,2.54,6.98,3.12,11.71,-2.95,7.48,11.03,4.82,4.02,-0.09,5.76,4.03,1.86,4.33,4.33,1.79,2.05,4.23,3.60,4.36,7.17,5.46,4.48,7.76,4.26,5.87,5.25,6.69,7.76,2.92,4.84,7.42,8.38,8.40,7.84,2.28,5.78,2.07,4.16,7.51,5.01,3.65,4.56,4.20,4.24,2.36,1.72,4.56,2.55,4.22,3.41,4.27,4.13,3.42,3.82,4.46,1.96,2.00,2.24,3.90,1.89,3.06,2.15,2.38,-1.07,1.24,2.60,1.77,1.60,1.29,1.50,1.49,2.06,1.87,2.49,1.73,4.09,3.99,3.22,2.74
 "29000","Missouri",4,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.33,-2.86,-3.16,-3.58,1.29,0.14,2.73,0.73,-0.39,1.08,0.42,0.85,2.36,0.57,0.64,0.48,1.20,1.67,0.47,0.26,1.58,0.64,0.88,1.70,0.25,0.80,1.10,0.13,1.24,1.18,0.79,0.56,0.87,0.94,1.05,1.08,1.10,0.77,1.61,1.05,1.83,1.24,1.24,1.78,2.24,1.65,1.27,1.87,1.89,2.14,3.68,4.16,3.66,1.62,2.66,1.35,0.95,0.03,1.63,1.88,1.09,0.65,0.71,0.93,1.18,1.04,0.92,1.42,1.13,-0.70,1.42,-0.02,-0.63,0.81,0.39,0.50,1.82,1.55,1.56,-2.04,-0.05,1.13,2.39,-1.35,1.50,0.93,0.94,-0.07,1.87,0.58,1.20,2.50,1.01,2.78,0.78
 "29000","Missouri",4,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",-0.02,1.66,-1.22,-0.40,-0.08,0.54,2.11,-1.91,0.03,0.43,0.22,0.29,0.03,0.04,0.43,1.67,3.70,0.15,-0.28,0.35,1.15,-0.80,0.01,0.37,0.59,0.52,0.36,0.88,0.85,0.39,0.40,0.77,0.26,0.36,0.20,0.50,0.57,1.18,1.34,0.72,1.56,1.40,0.81,1.56,1.83,2.96,0.88,0.55,1.03,1.52,2.56,1.63,1.20,1.00,0.60,0.70,0.67,0.38,0.69,1.05,1.04,2.18,0.98,1.07,0.72,0.97,0.67,0.56,0.47,0.67,0.97,1.47,1.03,0.70,0.88,1.11,1.04,1.14,2.10,1.52,1.28,0.37,0.22,0.38,0.62,0.98,0.54,0.53,0.75,0.92,5.08,2.71,-2.02,1.18,1.08
 "29000","Missouri",4,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-199132,-227225,-448511,-104901,130894,204976,177957,150873,-127000,107786,62038,496366,668298,485808,230285,180681,478733,222917,563410,-124213,528156,619963,360618,406585,52919,505711,419386,231034,532710,521478,279448,325598,533462,513574,617306,1015195,900947,871683,1542427,962611,1566997,1459431,1743311,2407426,1685075,2437990,2699309,3340377,3877334,4384527,3624277,5341226,3564064,3733064,6328088,4599059,3675092,3646320,5031685,5884598,3954809,4178481,6003041,4645339,6533211,6143195,6994346,7723640,6721893,5332763,10029676,5329062,3858610,6203377,8860589,6317155,11063203,9577215,12510659,-3497549,5335757,9098071,10109476,1525255,8290739,8566236,7698586,6725625,12310110,11408256,23824119,29875218,10460162,25949244,17855922
 "29000","Missouri",4,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-191306,-202645,-369140,-50521,115654,195487,100653,171941,-119989,80542,49739,473949,609276,466688,191788,97919,281162,140822,554332,-156275,386967,628945,304560,268687,-6651,411551,308199,149987,359112,382644,167744,197608,420841,377528,479460,832575,690394,606989,1117623,679612,992916,970515,1334414,1683139,704337,1248023,2092237,2591469,2875816,2990494,968322,2667657,1063582,2288340,4414538,3260672,2541834,3347666,3238230,3480665,2075808,1576188,4378657,2605794,4502278,3866501,5099119,5221895,4582641,5376185,6524663,3061100,3224027,3699851,6688983,3415823,5723579,4262360,4929309,-2348253,2673573,5762895,4084349,3859155,3138980,3767863,3854209,5507004,5126326,7109822,5150714,13140150,14017628,11629912,10634051
 "29000","Missouri",4,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-7420,-58389,-57273,-48942,16251,1978,43603,12894,-7523,19496,8043,16788,58284,17810,23069,18561,48446,75516,22397,13646,81568,36389,55469,113501,17766,57056,83833,10340,103029,104314,73886,53461,86755,98642,115886,124914,138680,104406,232003,167796,310067,230042,248125,386308,538993,426329,358119,578399,647811,814108,1565685,1919877,1882797,892911,1563451,880439,665049,22792,1258537,1540971,960367,597925,682772,947953,1257989,1174426,1093561,1798628,1510028,-980878,2082037,-32364,-1024117,1344736,662697,899812,3393007,3062052,3227543,-4482321,-97400,2504567,5506527,-3256125,3641416,2330357,2441773,-196863,5126510,1657718,3567841,8041432,3537581,10049693,3018998
 "29000","Missouri",4,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",-406,33809,-22098,-5438,-1011,7511,33701,-33962,512,7748,4256,5629,738,1310,15428,64201,149125,6579,-13319,18416,59621,-45371,589,24397,41804,37104,27354,70707,70569,34520,37818,74529,25866,37404,21960,57706,71873,160288,192801,115203,264014,258874,160772,337979,441745,763638,248953,170509,353707,579925,1090270,753692,617685,551813,350099,457948,468209,275862,534918,862962,918634,2004368,941612,1091592,772944,1102268,801666,703117,629224,937456,1422976,2300326,1658700,1158790,1508909,2001520,1946617,2252803,4353807,3333025,2759584,830609,518600,922225,1510343,2468016,1402604,1415484,2057274,2640716,15105564,8693636,-7095047,4269639,4202873
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
