GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "28000","Mississippi",5,SAINC12,1,"...","Percent change in personal income ","Percent change",-28.4,-14.7,-27.4,5.0,33.2,4.8,28.4,-0.6,-9.0,4.7,5.7,49.7,45.8,23.8,9.2,-2.2,-3.7,10.1,17.4,-10.5,14.5,10.3,5.8,1.4,-2.8,12.8,1.9,1.2,8.4,10.7,1.4,8.4,4.5,9.9,3.5,8.6,9.0,8.2,9.4,11.0,9.7,10.9,14.0,14.3,9.9,8.4,13.5,11.3,11.3,13.0,8.8,12.3,5.6,4.6,9.2,5.3,3.7,5.5,7.2,8.0,5.3,5.4,7.5,6.5,8.2,5.8,6.1,5.8,6.0,3.4,5.3,5.6,1.9,4.0,5.9,6.3,4.1,6.6,5.1,-1.3,3.7,4.2,3.2,1.7,1.9,1.3,1.5,2.6,2.6,3.8,8.1,10.4,-0.3,5.7,4.9
 "28000","Mississippi",5,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-26.87,-15.75,-24.30,7.14,32.20,4.75,23.81,1.95,-8.92,3.79,5.11,47.90,44.33,22.98,8.17,-5.05,-9.39,9.30,15.83,-12.51,11.34,11.64,6.77,0.46,-4.11,11.22,0.69,0.03,6.49,8.69,0.11,5.80,3.02,8.31,2.88,7.35,7.65,5.53,7.47,7.02,5.27,7.46,10.97,10.48,4.94,3.64,10.93,8.76,7.93,9.07,2.63,6.46,2.11,1.95,6.77,3.16,2.14,4.67,4.63,3.80,3.46,3.00,5.13,4.47,5.72,2.78,3.65,3.66,4.39,2.83,2.77,2.83,0.71,3.21,4.17,2.74,2.06,2.44,2.00,-2.00,1.99,2.16,2.41,1.73,0.74,-0.29,0.46,1.81,1.55,1.82,1.03,5.55,2.39,2.18,2.51
 "28000","Mississippi",5,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.66,-2.14,-1.17,-1.18,0.73,0.60,1.06,0.33,-0.33,0.64,0.46,1.33,1.40,0.92,0.40,0.73,0.78,0.07,1.71,1.13,0.88,0.79,-0.47,1.04,0.77,1.03,0.97,0.05,0.77,1.43,0.77,1.56,1.15,1.03,0.27,0.52,0.52,0.99,0.70,2.68,1.93,1.34,1.44,1.96,2.14,1.50,1.11,1.52,1.97,1.92,3.28,3.72,1.87,1.00,1.78,1.35,0.60,0.16,1.46,2.67,0.39,0.28,0.17,0.72,1.29,1.24,1.02,1.38,1.47,0.00,1.19,0.61,-0.23,-0.11,0.12,0.88,1.91,3.21,0.31,-0.89,-0.38,1.17,0.80,-0.54,0.47,0.52,0.19,0.58,0.11,0.71,0.21,1.86,0.78,2.01,0.80
 "28000","Mississippi",5,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.14,3.15,-1.96,-1.00,0.32,-0.59,3.55,-2.83,0.23,0.24,0.09,0.47,0.03,-0.06,0.60,2.09,4.94,0.72,-0.17,0.88,2.32,-2.10,-0.49,-0.08,0.54,0.56,0.27,1.09,1.11,0.61,0.49,1.06,0.36,0.55,0.37,0.70,0.84,1.69,1.26,1.26,2.48,2.06,1.55,1.91,2.82,3.30,1.48,1.04,1.44,2.01,2.90,2.12,1.60,1.69,0.60,0.79,0.99,0.70,1.09,1.54,1.43,2.17,2.22,1.27,1.17,1.76,1.40,0.74,0.16,0.55,1.36,2.18,1.46,0.94,1.57,2.65,0.16,0.97,2.81,1.59,2.08,0.91,-0.02,0.55,0.74,1.06,0.87,0.22,0.89,1.31,6.86,2.96,-3.46,1.55,1.55
 "28000","Mississippi",5,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-156993,-58374,-92632,12145,85483,16314,102013,-2592,-41341,19456,24726,229168,315915,239947,114181,-30363,-48819,129271,245044,-173783,215426,175290,108634,28171,-56305,250158,42649,26378,190031,264257,37446,233068,135539,309908,120971,305266,348749,346030,429934,547361,536327,660071,940331,1101635,869052,814751,1414769,1344596,1499404,1915092,1465998,2226159,1132958,996153,2055905,1301108,961363,1479721,2029987,2424682,1725723,1874350,2731748,2526062,3400857,2595675,2890193,2915213,3210506,1913368,3110427,3459193,1262141,2685750,4042976,4580048,3200715,5351275,4415555,-1188499,3300348,3929083,3089403,1739238,1970647,1329436,1583320,2777325,2785031,4295649,9411398,13015277,-416489,7937251,7095486
 "28000","Mississippi",5,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-148598,-62368,-82046,17497,82784,16274,85469,8967,-40874,15813,22321,220886,306021,231262,101753,-68745,-124879,119102,223299,-207044,168055,197614,126756,9171,-82545,219088,15279,754,147364,213847,3026,160427,90377,260414,99225,261887,295914,233020,340780,350500,292213,453462,739382,804342,433740,351601,1143851,1040299,1048794,1335975,437922,1168713,428089,418246,1520715,775837,552037,1250892,1308681,1150387,1131962,1032388,1863877,1746614,2378343,1248963,1736114,1844184,2340626,1603136,1618536,1742201,462127,2131036,2875524,2001682,1597758,1971024,1722594,-1815632,1775146,2001253,2332479,1722594,746924,-303464,480418,1922465,1693048,2037565,1199461,6969894,3307482,3007690,3669152
 "28000","Mississippi",5,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-9164,-8478,-3959,-2894,1889,2063,3787,1506,-1521,2663,1997,6119,9665,9293,5009,9995,10337,887,24131,18760,12979,13362,-8893,20617,15394,20129,21333,1145,17429,35320,21020,43232,34386,32194,9174,18485,20250,41705,31749,134059,106815,81563,96802,150465,187941,144456,116225,180402,260535,282477,545154,673533,379937,215444,400290,330854,154589,42596,413385,808005,126599,96379,60821,282652,534640,555412,486155,695592,784936,-1839,697170,375969,-147887,-70686,84712,641851,1479141,2595688,269573,-809456,-336733,1083024,776712,-535502,476267,537914,196012,620865,119620,789529,244431,2331108,1077640,2785201,1166157
 "28000","Mississippi",5,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",769,12472,-6627,-2458,810,-2023,12757,-13065,1054,980,408,2163,229,-608,7419,28387,65723,9282,-2386,14501,34392,-35686,-9229,-1617,10846,10941,6037,24479,25238,15090,13400,29409,10776,17300,12572,24894,32585,71305,57405,62802,137299,125046,104147,146828,247371,318694,154693,123895,190075,296640,482922,383913,324932,362463,134900,194417,254737,186233,307921,466290,467162,745583,807050,496796,487874,791300,667924,375437,84944,312071,794721,1341023,947901,625400,1082740,1936515,123816,784563,2423388,1436589,1861935,844806,-19788,552146,747456,1094986,906890,233995,972363,1468555,7967506,3714275,-4801611,2144360,2260177
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
"Last updated: September 26, 2025-- revised statistics for 2020-2024."
"U.S. Bureau of Economic Analysis"
