GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "30000","Montana",7,SAINC12,1,"...","Percent change in personal income ","Percent change",-13.0,-22.7,-13.5,-10.4,22.9,31.3,1.4,7.4,-0.1,3.6,7.2,21.7,22.2,18.8,0.0,3.6,16.4,16.5,13.2,-8.1,22.1,9.8,2.2,1.6,-0.6,9.1,5.1,4.9,4.2,-1.6,4.2,0.2,17.0,-0.6,2.1,7.5,7.2,2.0,4.9,10.4,10.8,7.0,15.9,15.9,8.7,10.0,7.3,8.1,17.2,7.5,10.2,13.6,5.3,5.2,5.6,1.5,4.0,2.3,3.1,10.1,5.2,6.8,6.0,8.2,2.8,5.3,4.7,4.3,6.8,1.9,6.5,4.4,3.1,7.4,8.6,7.6,8.2,7.5,6.4,-2.3,5.1,6.8,6.2,0.9,5.2,3.9,1.6,6.0,4.9,6.1,9.1,12.5,6.3,7.5,5.2
 "30000","Montana",7,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-10.90,-22.10,-8.94,-10.04,21.47,28.66,-2.15,9.05,0.86,3.13,5.40,21.40,20.81,18.64,-0.74,1.37,10.81,14.83,11.40,-10.16,20.29,9.78,-0.09,2.24,-1.88,7.28,4.17,2.32,1.26,-3.35,3.18,-0.31,15.68,-1.27,0.47,5.59,5.39,-0.29,3.63,7.59,6.87,4.22,12.98,11.56,4.17,5.40,4.34,4.61,13.27,3.28,4.05,6.68,0.71,2.74,2.29,-0.30,3.14,2.37,1.27,6.13,2.73,5.18,4.19,6.13,0.80,1.99,2.82,2.19,4.56,2.36,3.03,2.18,2.66,4.49,5.62,5.04,3.79,3.98,1.95,-1.29,2.97,4.68,3.57,1.13,1.67,1.97,0.01,2.00,2.50,3.28,2.80,5.78,5.48,3.88,2.67
 "30000","Montana",7,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-2.17,-2.80,-3.34,-0.52,1.45,1.94,2.17,-0.27,-1.11,0.42,1.18,0.39,1.68,0.31,0.33,0.74,2.42,1.74,2.00,1.60,0.24,0.65,0.90,0.04,1.02,1.26,0.61,1.49,1.73,1.24,1.01,-0.09,1.15,0.56,1.38,1.40,1.33,0.96,0.17,1.98,2.58,1.30,1.86,2.84,2.81,2.40,1.73,2.60,2.76,2.86,4.06,4.95,3.13,1.19,2.41,0.98,-0.16,-0.79,0.98,2.49,1.00,0.71,0.44,0.82,1.34,2.12,1.25,1.75,1.61,-0.31,1.66,0.87,-0.22,2.19,1.85,1.41,3.11,2.46,2.24,-2.46,0.42,2.27,2.10,-0.73,2.57,1.09,0.09,2.23,1.68,1.47,0.80,4.56,2.65,3.10,1.28
 "30000","Montana",7,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.09,2.21,-1.21,0.18,-0.01,0.71,1.42,-1.40,0.11,0.04,0.66,-0.07,-0.28,-0.17,0.44,1.51,3.18,-0.04,-0.23,0.41,1.55,-0.63,1.40,-0.68,0.21,0.56,0.33,1.13,1.25,0.56,0.05,0.62,0.13,0.14,0.28,0.47,0.46,1.32,1.09,0.87,1.34,1.51,1.06,1.55,1.68,2.25,1.24,0.93,1.15,1.40,2.06,1.93,1.50,1.28,0.93,0.81,1.00,0.72,0.89,1.53,1.50,0.87,1.37,1.23,0.63,1.19,0.65,0.35,0.62,-0.11,1.84,1.35,0.63,0.77,1.09,1.14,1.34,1.09,2.20,1.44,1.75,-0.19,0.52,0.46,0.94,0.86,1.47,1.78,0.71,1.31,5.46,2.19,-1.84,0.48,1.22
 "30000","Montana",7,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-40291,-61243,-28169,-18750,37090,62284,3753,19584,-406,10230,21309,68572,85346,88249,153,20154,94903,111237,103314,-72325,180004,97529,24132,17907,-7288,102625,62803,63724,57589,-21959,58976,3268,246744,-9796,35949,128834,133186,39607,99221,222142,253699,183107,442959,514965,324696,408800,327760,391400,892669,458853,666291,978692,438179,449749,511651,141980,386908,232209,324708,1083830,615616,837413,792650,1144772,420322,825661,773614,736583,1215496,371157,1273664,914682,665070,1664879,2056992,1979874,2310667,2284131,2083702,-803917,1744247,2411834,2354181,349107,2115450,1681877,699980,2720046,2348674,3050285,4839166,7298108,4126894,5203926,3871154
 "30000","Montana",7,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-33828,-59663,-18665,-18134,34753,57024,-5621,23992,2438,8899,15907,67553,79956,87554,-4125,7618,62522,99825,89444,-90140,165405,97384,-1002,25068,-21319,82082,51261,29935,17105,-47431,44251,-4470,228135,-21667,7889,96600,99974,-5765,73573,161591,161534,109911,361653,373263,156340,219675,194361,221688,689515,199518,265104,481950,58165,236257,208032,-29083,305725,239421,131021,654329,321072,641693,553643,858438,121980,310010,462658,375760,816067,452134,591326,453208,576036,1003000,1349209,1314213,1064420,1207330,635302,-449623,1008286,1670516,1359679,458889,681261,844684,6161,903436,1200376,1650578,1497662,3369061,3594324,2705397,2001002
 "30000","Montana",7,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-6749,-7549,-6977,-946,2348,3856,5674,-711,-3147,1207,3462,1242,6464,1479,1846,4115,13997,11710,15659,14193,1965,6423,9794,469,11631,14249,7523,19216,23530,17588,14085,-1302,16765,9509,23295,24146,24728,19178,3485,42071,60558,33936,51854,91706,105427,97708,77652,124956,143314,174041,266131,357210,256838,102723,218951,93584,-15973,-80372,101630,266380,118033,88293,58119,114313,202687,330517,204743,300420,287540,-59486,323540,180323,-48365,489164,445243,367320,871353,746373,730037,-854070,141960,810423,797927,-294585,1050231,468939,38919,1009165,805287,741931,427114,2654171,1739267,2161139,957734
 "30000","Montana",7,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",286,5969,-2527,330,-11,1404,3700,-3697,303,124,1940,-223,-1074,-784,2432,8421,18384,-298,-1789,3622,12634,-6278,15340,-7630,2400,6294,4019,14573,16954,7884,640,9040,1844,2362,4765,8088,8484,26194,22163,18480,31607,39260,29452,49996,62929,91417,55747,44756,59840,85294,135056,139532,123176,110769,84668,77479,97156,73160,92057,163121,176511,107427,180888,172021,95655,185134,106213,60403,111889,-21491,358798,281151,137399,172715,262540,298341,374894,330428,718363,499776,594001,-69105,196575,184803,383958,368254,654900,807445,343011,657776,2914390,1274876,-1206697,337390,912418
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
