GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "37000","North Carolina",5,SAINC12,1,"...","Percent change in personal income ","Percent change",-11.2,-14.6,-23.9,12.2,23.0,8.9,10.6,10.6,-7.8,9.5,5.3,33.8,36.6,23.0,8.8,4.1,10.9,4.7,13.3,-1.1,16.4,12.6,3.0,4.0,2.3,8.4,6.6,0.7,5.5,7.1,5.5,5.9,7.4,5.2,8.3,8.1,11.1,8.1,10.3,12.2,9.2,8.9,13.1,13.4,10.3,8.6,11.0,9.6,12.9,10.5,12.2,12.6,7.1,8.9,13.0,8.1,7.8,7.6,9.8,9.0,6.3,4.7,8.7,6.6,6.4,7.2,7.0,7.4,7.0,4.9,6.5,3.0,1.7,4.3,8.2,7.2,8.7,7.5,7.2,-3.5,1.1,3.5,6.4,-1.3,5.6,5.3,3.4,4.8,5.2,6.0,7.9,11.7,4.7,7.0,7.1
 "37000","North Carolina",5,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-10.34,-15.10,-19.88,14.38,21.95,8.75,6.48,12.06,-8.26,8.54,4.85,32.51,35.67,22.09,7.77,1.59,6.59,3.17,11.52,-2.06,13.48,13.09,2.61,3.55,0.49,7.04,5.37,-0.79,3.90,5.82,4.12,3.99,5.75,3.84,6.81,6.58,9.53,6.23,8.39,9.39,5.67,6.38,10.60,10.18,6.10,3.48,8.78,7.19,10.01,7.14,6.67,7.18,3.34,6.23,9.42,5.61,5.51,6.37,6.38,5.17,3.77,2.39,6.52,4.18,4.47,3.99,4.09,5.11,4.82,4.10,4.48,1.34,0.79,2.72,5.59,4.55,5.77,4.39,3.79,-3.92,0.27,1.43,4.92,-1.28,3.22,2.87,2.30,3.03,3.09,3.74,2.24,5.81,5.18,3.45,3.75
 "37000","North Carolina",5,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.93,-1.63,-2.54,-1.91,1.20,0.26,1.62,0.66,-0.34,1.18,0.27,1.28,0.98,0.93,0.57,0.83,1.03,0.81,2.04,0.43,1.18,0.77,0.52,0.39,1.25,0.99,0.88,0.62,0.75,0.84,1.07,0.99,1.30,0.85,1.20,0.99,1.01,0.87,0.94,1.91,2.10,1.15,1.47,1.89,2.11,1.40,1.29,1.74,1.98,1.80,3.32,3.57,2.35,1.67,2.85,1.66,1.56,0.72,2.44,2.58,1.34,0.54,0.80,1.12,1.41,1.64,1.69,1.55,1.67,-0.03,1.11,0.06,-0.32,0.73,1.37,1.29,1.53,1.95,1.28,-1.55,-0.41,1.53,1.07,-0.34,1.54,1.31,0.57,1.04,1.06,1.13,0.33,2.31,1.70,2.47,1.13
 "37000","North Carolina",5,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.08,2.15,-1.46,-0.24,-0.16,-0.10,2.45,-2.16,0.77,-0.19,0.16,0.04,0.00,0.02,0.47,1.66,3.26,0.69,-0.27,0.54,1.73,-1.29,-0.14,0.11,0.52,0.36,0.33,0.82,0.85,0.45,0.36,0.88,0.35,0.49,0.31,0.57,0.55,1.02,0.95,0.89,1.45,1.34,0.99,1.32,2.05,3.71,0.95,0.65,0.87,1.56,2.20,1.83,1.39,0.99,0.71,0.85,0.75,0.46,0.94,1.28,1.19,1.76,1.38,1.30,0.55,1.59,1.18,0.70,0.54,0.83,0.94,1.57,1.21,0.81,1.23,1.34,1.44,1.21,2.17,2.00,1.22,0.51,0.45,0.37,0.80,1.11,0.57,0.77,1.02,1.16,5.38,3.54,-2.20,1.07,2.18
 "37000","North Carolina",5,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-114632,-132608,-185534,72277,152525,72723,93767,103705,-85051,95454,57904,390620,566252,486284,228871,115377,320112,152249,453836,-41997,626856,559612,149837,209022,121650,460725,391660,41503,351288,478796,400471,446842,596772,448563,758557,802819,1183949,962137,1318471,1722468,1462281,1536369,2462224,2855489,2479351,2288907,3189559,3075777,4528065,4170646,5349366,6192223,3926308,5277070,8390699,5933102,6173729,6429322,8933409,9079450,6903740,5473277,10609854,8748856,9092295,10859005,11237261,12693596,13022646,9711029,13573193,6574653,3839992,9874194,19798345,18788413,24480818,23013830,23751034,-12196065,3662851,11897327,22865610,-4726656,20745465,20874354,14294524,20762742,23275595,28524860,39844343,63168243,28295833,44243844,47824184
 "37000","North Carolina",5,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-105853,-137348,-154449,85022,145632,71425,57627,118458,-89695,85500,53186,375291,551170,466338,201918,44877,193895,103263,393457,-79587,515665,583001,130797,183413,26406,386652,319683,-50243,249013,392374,297044,304244,463970,332257,620265,649155,1016895,738710,1075468,1326881,899033,1105794,1997950,2170846,1475004,927307,2540625,2309137,3522790,2837656,2927057,3534561,1853833,3698709,6088511,4101284,4348590,5420500,5842544,5195354,4126291,2789504,7951403,5543815,6320337,6002188,6595940,8819260,8920886,8125976,9306056,2969887,1801182,6308823,13506659,11910130,16165201,13389017,12434891,-13782696,918275,4921502,17462842,-4829658,12007502,11310911,9536951,12997143,13918750,17715470,11213039,31478733,31328097,21834150,25385566
 "37000","North Carolina",5,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-9561,-14848,-19742,-11318,7937,2137,14362,6438,-3679,11850,2935,14823,15098,19566,14804,23597,30323,26476,69723,16523,44958,34152,26125,19934,67100,54186,52140,39538,47895,56378,77123,75312,104514,73755,109661,97846,108155,102736,120808,269293,333030,198939,276945,402756,509549,372329,373020,557686,697953,714767,1457428,1757384,1302564,991665,1841886,1210009,1234847,615591,2234464,2593601,1470935,633167,973585,1480063,1997894,2460453,2730402,2671655,3095172,-51977,2302686,127265,-720996,1690361,3313113,3364953,4287461,5939900,4209499,-5461322,-1401482,5242236,3803598,-1298819,5757437,5178180,2384079,4441264,4754145,5326523,1640014,12504675,10266260,15663163,7665591
 "37000","North Carolina",5,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",782,19588,-11343,-1427,-1044,-839,21778,-21191,8323,-1896,1783,506,-16,380,12149,46903,95894,22510,-9344,21067,66233,-57541,-7085,5675,28144,19887,19837,52208,54380,30044,26304,67286,28288,42551,28631,55818,58899,120691,122195,126294,230218,231636,187329,281887,494798,989271,275914,208954,307322,618223,964881,900278,769911,586696,460302,621809,590292,393231,856401,1290495,1306514,2050606,1684866,1724978,774064,2396364,1910919,1202681,1006588,1637030,1964451,3477501,2759806,1875010,2978573,3513330,4028156,3684913,7106644,7047953,4146058,1733589,1599170,1401821,2980526,4385263,2373494,3324335,4602700,5482867,26991290,19184835,-13298524,6746531,14773027
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
