GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "38000","North Dakota",4,SAINC12,1,"...","Percent change in personal income ","Percent change",-17.3,-37.0,-9.1,-15.5,21.9,46.3,-12.8,34.3,-13.9,11.5,10.5,42.4,19.8,36.5,4.0,3.5,9.1,37.8,0.0,-13.3,17.0,4.1,-8.2,1.7,2.9,10.4,4.3,2.8,15.0,-7.2,11.5,-8.3,40.2,-6.9,-0.5,16.4,1.2,0.1,4.7,11.9,5.6,15.3,19.1,39.8,-1.0,4.6,-1.9,3.9,25.7,2.8,-4.2,30.9,8.0,5.1,7.9,3.4,1.5,2.6,-7.1,12.0,8.3,1.4,9.5,1.3,8.6,0.2,11.8,-1.9,9.5,1.2,8.7,2.0,2.5,9.2,2.0,6.1,4.9,10.8,13.1,-0.8,11.4,12.9,17.7,0.0,6.7,-4.2,-2.9,1.3,7.1,3.4,7.1,9.2,7.8,1.8,1.2
 "38000","North Dakota",4,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-17.01,-38.51,-2.33,-14.19,19.56,44.58,-16.15,35.02,-12.60,12.11,8.93,41.58,20.44,35.08,2.62,1.16,5.22,36.67,-6.03,-14.43,14.74,3.04,-6.36,1.44,0.84,8.96,2.36,0.51,12.18,-7.23,9.87,-8.05,35.10,-6.84,-1.75,13.92,0.55,-1.46,2.24,8.88,2.37,11.64,16.18,35.68,-4.18,0.54,-4.42,0.30,22.18,-0.66,-11.12,21.62,2.23,3.76,5.18,1.82,0.37,3.30,-7.41,8.28,6.24,1.08,7.88,-0.42,7.21,-2.21,10.23,-4.22,8.26,1.28,6.17,1.13,1.68,8.17,1.06,4.19,2.36,7.54,7.56,-0.48,8.27,8.18,13.65,-1.50,3.33,-2.74,-2.31,0.46,3.73,2.51,2.19,4.66,6.75,0.09,-0.28
 "38000","North Dakota",4,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.31,-0.91,-4.59,-0.90,-1.60,1.99,0.59,0.25,-0.79,0.18,2.11,1.39,-0.58,1.31,0.93,0.96,1.47,0.79,6.16,-0.67,2.22,2.06,-1.87,0.13,1.78,1.02,1.62,0.90,1.91,-0.52,1.20,-0.91,4.73,-0.26,0.80,1.80,0.11,0.17,1.41,2.03,1.79,1.94,1.78,2.93,2.11,2.42,1.46,2.56,2.46,2.34,4.85,7.28,4.28,-0.02,1.76,0.75,-0.13,-1.31,0.25,2.24,0.93,0.08,-0.03,0.92,1.11,1.51,0.95,1.68,1.04,-0.72,1.47,0.53,-0.06,0.44,0.11,1.04,1.54,2.14,3.55,-1.01,1.80,4.33,3.94,1.07,2.57,-1.92,-1.03,0.53,2.34,0.13,-0.08,3.14,2.41,1.81,0.71
 "38000","North Dakota",4,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.04,2.40,-2.16,-0.38,3.92,-0.32,2.74,-1.02,-0.55,-0.77,-0.55,-0.58,-0.08,0.07,0.47,1.39,2.38,0.37,-0.14,1.77,0.01,-1.04,0.08,0.17,0.25,0.47,0.29,1.38,0.94,0.50,0.41,0.62,0.34,0.25,0.43,0.69,0.53,1.41,1.02,1.02,1.46,1.73,1.15,1.20,1.12,1.62,1.06,1.03,1.10,1.12,2.02,2.02,1.46,1.40,0.95,0.82,1.22,0.67,0.08,1.43,1.10,0.26,1.60,0.83,0.30,0.87,0.66,0.64,0.20,0.63,1.10,0.39,0.90,0.57,0.84,0.83,1.01,1.11,1.95,0.68,1.29,0.36,0.13,0.43,0.79,0.46,0.43,0.31,1.03,0.72,5.00,1.43,-1.40,-0.12,0.82
 "38000","North Dakota",4,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-43882,-77813,-12003,-18608,22252,57327,-23239,54135,-29565,21052,21380,95394,63393,139911,21049,19131,51152,232685,-73,-112975,124665,34847,-72891,14283,23977,89766,40533,27538,152950,-84770,124657,-101011,445662,-106673,-7500,236478,19910,1972,79246,212233,111802,321832,463203,1149423,-38660,183294,-79581,159223,1096762,149890,-233790,1630372,550510,383337,618293,286521,128037,234826,-645022,1011972,783456,145613,983085,151437,995332,20574,1485327,-267568,1308638,179171,1333198,339663,425375,1593375,381425,1170454,1007167,2320262,3113788,-220483,3036706,3829174,5950612,136,2642533,-1773107,-1176139,511674,2822208,1431314,3125306,4345857,3994922,989162,700892
 "38000","North Dakota",4,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-43204,-80925,-3077,-17070,19888,55255,-29279,55345,-26731,22120,18192,93570,65501,134632,13705,6328,29436,225562,-51095,-122288,108267,26125,-56850,11804,7025,76995,22427,5017,123877,-84616,107123,-97482,389325,-106396,-25346,200621,9159,-24806,38016,157928,47106,244615,392322,1030287,-168938,21767,-185007,12179,945313,-35230,-612240,1139975,154217,280319,405753,153829,32436,292466,-674962,700953,591056,110635,819247,-47719,832306,-277171,1283718,-592723,1137830,192853,941015,186673,284488,1418607,200584,810807,483786,1620849,1801772,-129907,2211115,2435008,4586315,-593084,1315710,-1155094,-934347,179029,1484374,1069295,961739,2193920,3473610,50053,-159831
 "38000","North Dakota",4,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-789,-1921,-6068,-1082,-1624,2467,1075,398,-1666,333,4306,3125,-1847,5014,4889,5218,8294,4873,52239,-5652,16323,17680,-16718,1064,14857,8733,15353,8899,19471,-6039,13037,-11058,52512,-4087,11635,25866,1809,2920,23944,36138,35546,40879,43074,84547,85101,96929,61087,104948,104645,125251,267096,383928,295629,-1334,137922,63402,-11192,-116636,22643,189828,88283,7964,-2627,104292,128585,188771,119324,235892,143252,-108629,224210,88287,-10692,75614,21002,200148,316422,461174,846486,-272723,482163,1287870,1321996,424923,1015601,-810957,-415621,209684,930255,56129,-36077,1479791,1240723,1005707,398136
 "38000","North Dakota",4,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",111,5033,-2858,-456,3988,-395,4965,-1608,-1168,-1401,-1118,-1301,-261,265,2455,7585,13422,2250,-1217,14965,75,-8958,677,1415,2095,4038,2753,13622,9602,5885,4497,7529,3825,3810,6211,9991,8942,23858,17286,18167,29150,36338,27807,34589,45177,64598,44339,42096,46804,59869,111354,106469,100664,104352,74618,69290,106793,58996,7297,121191,104117,27014,166465,94864,34441,108974,82285,89263,27556,94947,167973,64703,151579,99154,159839,159499,206959,238239,465530,182147,343428,106296,42301,168297,311222,192944,173829,122961,407579,305890,2199644,672146,-719411,-66598,462587
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
