GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "91000","New England",1,SAINC12,1,"...","Percent change in personal income ","Percent change",-7.5,-10.6,-19.9,-6.4,10.5,7.2,12.3,3.8,-8.2,7.7,7.8,22.0,23.3,14.8,2.9,0.9,7.6,6.0,5.9,-1.4,10.6,11.3,6.3,6.4,1.5,7.1,6.9,5.6,1.0,6.6,4.2,5.0,6.0,4.5,7.1,7.3,8.6,8.7,8.2,10.4,7.8,6.5,8.4,9.1,8.4,7.7,8.8,9.5,11.1,11.8,13.1,11.7,8.9,8.2,11.9,8.1,8.0,8.3,10.5,7.2,3.0,1.6,5.5,3.7,4.3,5.6,5.5,6.1,7.3,6.1,10.2,4.9,0.5,2.2,5.2,4.0,7.2,5.7,4.8,-1.0,4.1,4.2,2.8,-0.3,4.2,4.8,3.0,4.0,4.8,4.6,5.9,8.4,2.9,6.1,5.5
 "91000","New England",1,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-6.96,-10.00,-15.99,-2.69,10.27,7.24,7.87,4.92,-6.21,5.79,6.53,21.40,22.74,14.65,2.29,-0.99,2.94,5.07,6.04,-2.16,7.11,11.78,4.40,5.29,-0.33,5.28,6.12,3.70,-0.33,5.49,3.01,3.12,4.38,2.67,5.02,5.29,6.74,5.51,6.30,8.22,4.79,3.62,6.24,6.30,4.60,3.21,6.88,7.25,8.62,8.41,7.65,6.02,4.56,6.07,8.34,6.32,5.94,7.15,7.05,3.45,1.13,0.03,4.31,2.43,2.81,3.35,4.01,4.64,5.60,5.69,7.65,3.37,0.51,1.33,3.89,2.38,3.93,3.13,1.95,-0.40,3.47,2.44,1.08,-0.11,2.10,2.84,1.70,2.67,2.79,3.13,0.85,5.57,2.97,2.89,3.48
 "91000","New England",1,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.62,-1.93,-3.29,-3.78,0.54,-0.21,2.63,0.23,-2.89,2.13,0.92,0.88,0.58,0.26,0.13,0.22,1.21,0.95,0.88,-0.18,2.70,0.29,1.62,0.74,1.11,1.33,0.50,0.98,0.19,1.14,0.87,1.02,1.56,1.45,1.79,1.59,1.31,1.69,0.51,1.25,1.44,1.11,1.20,1.54,1.86,0.96,1.17,1.76,1.75,2.04,3.61,3.86,3.20,1.24,2.97,1.17,1.46,0.80,2.65,2.60,0.64,-0.21,0.12,0.73,0.78,1.39,1.12,1.00,1.48,-0.01,1.87,0.54,-0.96,0.31,0.60,0.86,2.55,1.78,1.02,-1.92,-0.20,1.67,1.60,-0.41,1.53,1.12,0.77,1.02,1.24,0.92,-0.62,1.80,1.88,2.73,1.03
 "91000","New England",1,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.04,1.31,-0.63,0.05,-0.33,0.15,1.83,-1.38,0.92,-0.19,0.33,-0.24,-0.05,-0.08,0.45,1.71,3.46,-0.05,-1.07,0.95,0.77,-0.79,0.26,0.33,0.70,0.51,0.26,0.93,1.16,-0.02,0.29,0.81,0.11,0.40,0.26,0.37,0.51,1.48,1.43,0.95,1.58,1.80,0.93,1.27,1.96,3.54,0.70,0.51,0.73,1.39,1.84,1.78,1.18,0.86,0.60,0.61,0.57,0.31,0.80,1.20,1.27,1.82,1.12,0.49,0.69,0.87,0.41,0.50,0.17,0.40,0.67,0.99,0.92,0.59,0.70,0.80,0.71,0.78,1.86,1.37,0.86,0.12,0.10,0.22,0.58,0.87,0.52,0.29,0.79,0.51,5.67,1.06,-1.98,0.46,0.95
 "91000","New England",1,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-536821,-698874,-1171990,-302537,462503,350118,643993,220881,-498239,431919,468907,1430662,1843881,1448992,321732,108076,886549,748623,777811,-195399,1465289,1728624,1070926,1151906,285759,1392806,1442970,1256628,242096,1581036,1061608,1315179,1684876,1338184,2182251,2398505,3038904,3341278,3449119,4718146,3905879,3523195,4805292,5672526,5722959,5677379,6940455,8212961,10485759,12426670,15379141,15491003,13244469,13196515,20815543,15842149,16853582,18862127,25921736,19790981,8906475,4952792,16992876,11824468,14357821,19626792,20448308,23950291,30006697,26990487,47970993,25480777,2550982,12159406,29012563,23742343,44001558,37385469,33515942,-6949287,29694583,31642324,21703969,-2448317,33657702,40284291,26159057,35894722,45094159,44811292,60541937,91548413,33861546,73784378,70286480
 "91000","New England",1,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-495585,-658335,-941244,-126707,453280,353129,411421,288598,-378326,323589,393129,1389435,1801498,1431216,256951,-113725,342734,635723,802307,-303442,984977,1805555,750777,959475,-63458,1033362,1283139,829123,-76999,1312308,765770,828596,1221123,789783,1549036,1748394,2391039,2120315,2636555,3725036,2394062,1950858,3582427,3923099,3127199,2366799,5458213,6257509,8144428,8823886,8985490,7996106,6753552,9806435,14576123,12361364,12551153,16319503,17413220,9409279,3320409,97200,13202705,7877844,9436965,11703855,14823096,18078026,23164472,25258347,36014783,17505506,2774285,7281428,21743184,13967295,24019093,20556550,13545259,-2895130,24950131,18255818,8403001,-913746,16804319,23718725,14857499,24073559,26103513,30717866,8738231,60507000,34955097,35085238,44784173
 "91000","New England",1,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-44318,-126944,-193592,-178398,23787,-10379,137174,13361,-176139,119055,55656,57050,46205,25528,14503,25037,140582,118939,116976,-25143,374224,44318,275993,133375,213519,260381,105811,219122,44068,272584,220715,270951,433278,429413,552588,527181,465703,651013,212629,564130,719361,599648,690969,960679,1261668,705291,928075,1514392,1651288,2144479,4233733,5130098,4743272,1998053,5190827,2287283,3092400,1827012,6535511,7104030,1879464,-633519,368332,2371496,2609810,4868894,4119680,3917373,6127174,-59961,8797382,2815418,-5206915,1676146,3329090,5069853,15622842,11697761,7065679,-13988032,-1448747,12481883,12512543,-3280161,12208745,9309034,6719215,9165925,11605845,9071088,-6342172,19565556,22192270,33103320,13260272
 "91000","New England",1,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",3082,86405,-37154,2568,-14564,7368,95398,-81078,56226,-10725,20122,-15823,-3822,-7752,50278,196764,403233,-6039,-141472,133186,106088,-121249,44156,59056,135698,99063,54020,208383,275027,-3856,75123,215632,30475,118988,80627,122930,182162,569950,599935,428980,792456,972689,531896,788748,1334092,2605289,554167,441060,690043,1458305,2159918,2364799,1747645,1392027,1048593,1193502,1210029,715612,1973005,3277672,3706602,5489111,3421839,1575128,2311046,3054043,1505532,1954892,715051,1792101,3158828,5159853,4983612,3201832,3940289,4705195,4359623,5131158,12905004,9933875,6193199,904623,788425,1745590,4644638,7256532,4582343,2655238,7384801,5022338,58145878,11475857,-23285821,5595820,12242035
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
