GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "31000","Nebraska",4,SAINC12,1,"...","Percent change in personal income ","Percent change",-12.3,-19.6,-25.9,-9.7,-3.7,52.5,-3.7,3.4,-3.8,-1.3,10.1,20.6,46.9,24.0,5.2,8.3,3.0,7.8,21.7,-9.4,18.6,4.4,7.4,-4.6,6.9,-3.2,3.2,16.0,4.8,1.2,6.4,2.4,8.7,2.8,2.8,10.0,7.4,3.5,6.7,11.7,7.8,9.8,10.7,16.6,4.1,14.0,4.6,8.4,15.7,8.0,6.7,16.1,7.5,3.5,11.2,5.4,2.9,4.3,7.2,6.1,7.2,3.8,6.1,3.3,6.4,5.6,8.9,3.1,6.6,4.6,5.9,4.7,1.7,6.2,4.4,3.4,4.5,7.6,6.3,-1.3,5.2,11.8,2.5,-0.2,5.9,3.9,-1.2,2.4,4.4,4.5,6.8,11.9,4.7,8.6,2.6
 "31000","Nebraska",4,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-10.53,-19.81,-20.48,-6.73,-3.71,51.01,-7.09,5.43,-2.78,-2.24,8.14,19.48,44.31,23.27,3.97,6.26,-0.63,6.28,17.72,-10.04,15.21,4.62,5.80,-3.96,4.88,-4.53,3.11,12.60,2.61,-0.63,4.93,1.07,7.31,0.82,1.65,8.08,6.15,2.16,5.10,8.61,4.31,7.38,7.93,12.45,0.64,9.74,2.60,5.44,12.48,4.45,0.78,9.38,1.86,1.73,8.43,4.09,2.02,4.48,5.23,3.22,5.19,2.07,4.64,1.82,4.62,2.74,6.88,1.15,4.07,3.73,3.35,3.49,1.24,4.94,3.86,1.99,1.79,4.50,2.70,0.13,3.91,9.79,0.53,0.82,3.86,2.14,-1.84,0.71,2.51,1.95,1.77,5.85,5.88,5.62,0.66
 "31000","Nebraska",4,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.74,-1.40,-3.97,-2.45,-0.02,1.20,0.49,0.09,-0.77,0.72,1.47,1.13,2.69,0.85,0.84,0.74,1.30,1.33,4.51,0.57,2.12,0.41,1.53,-0.76,1.57,0.75,-0.53,2.52,1.53,1.34,1.14,0.66,1.04,1.59,0.94,1.35,0.67,-0.06,0.44,2.36,2.21,1.34,1.91,2.46,2.20,2.08,1.31,2.24,2.05,2.39,4.19,4.93,4.43,0.81,2.20,0.59,0.36,-0.47,1.48,2.01,1.03,0.84,0.42,0.66,1.24,2.09,1.21,1.48,1.76,0.21,1.91,0.00,-0.34,0.72,-0.05,0.64,1.60,2.29,1.88,-2.05,0.17,1.75,1.91,-1.25,1.35,1.06,0.14,0.93,0.98,1.70,0.75,3.46,0.36,2.66,1.01
 "31000","Nebraska",4,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",-0.05,1.62,-1.46,-0.57,0.06,0.32,2.93,-2.13,-0.27,0.18,0.45,-0.05,-0.08,-0.08,0.35,1.32,2.29,0.19,-0.58,0.09,1.25,-0.61,0.07,0.10,0.49,0.58,0.57,0.85,0.62,0.50,0.38,0.62,0.33,0.38,0.20,0.58,0.55,1.39,1.17,0.74,1.27,1.12,0.90,1.72,1.29,2.21,0.71,0.70,1.16,1.16,1.76,1.75,1.16,0.96,0.60,0.72,0.53,0.27,0.50,0.87,0.97,0.88,1.03,0.83,0.55,0.81,0.80,0.45,0.81,0.70,0.61,1.23,0.82,0.58,0.63,0.78,1.10,0.77,1.70,0.65,1.14,0.30,0.11,0.17,0.68,0.75,0.51,0.77,0.94,0.89,4.28,2.62,-1.58,0.33,0.88
 "31000","Nebraska",4,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-98912,-137970,-146673,-40878,-13897,191574,-20446,18193,-21182,-7108,52915,118947,327278,246387,65682,111141,42800,116198,347987,-183401,329104,92765,162268,-108799,156046,-76851,73355,383050,132262,35195,190257,74070,279139,97558,100350,369533,299351,152462,302590,563951,419098,570414,683677,1173276,339356,1201345,450984,855661,1737759,1024145,931427,2372689,1276921,643876,2139090,1146018,650287,984351,1728793,1568683,1960780,1106136,1847174,1067592,2130807,1993661,3323505,1251430,2788770,2077420,2745859,2341526,892480,3297910,2495025,2000904,2719053,4781476,4278700,-917648,3734369,8902085,2139707,-213701,5062317,3597255,-1122026,2264004,4244050,4548183,7118119,13323749,5830791,11277876,3632020
 "31000","Nebraska",4,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-84570,-139463,-115964,-28228,-14043,186028,-39464,29103,-15422,-11912,42785,112718,309076,238504,50524,83712,-9168,93584,284727,-196291,269416,97010,127132,-93184,109750,-108806,72333,302296,72503,-18391,145536,33567,235018,28755,59376,298228,249601,94400,230064,414730,231790,428185,504823,878185,52264,833947,253865,555772,1382227,569611,108191,1385595,319387,318207,1606871,867814,451054,1031003,1253949,828841,1416893,603814,1407159,586541,1537373,968209,2572143,467546,1708406,1667738,1568611,1730487,642640,2608207,2168247,1165223,1086223,2846143,1837272,92198,2794358,7359802,445269,709385,3319361,1948744,-1738573,666072,2404445,1954122,1852452,6535115,7359098,7356322,936455
 "31000","Nebraska",4,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-13967,-9890,-22452,-10280,-84,4393,2737,493,-4289,3823,7750,6544,18761,8706,10661,9847,18832,19760,72524,11088,37610,8516,33613,-18005,35386,17950,-12312,60414,42629,38980,33550,20881,33536,55555,33771,49719,27386,-2719,19759,113542,119023,77428,121700,173607,181250,177850,128133,228677,227442,305970,579079,728697,758876,149337,418737,126092,80783,-108331,355314,516693,280021,245579,127983,213377,411512,738793,451956,600645,740126,94240,893495,1085,-176041,381974,-29177,377307,967711,1447610,1280584,-1481277,124794,1318169,1603130,-1073840,1159260,966824,130819,874233,939509,1703291,783458,3864966,453825,3485283,1441594
 "31000","Nebraska",4,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",-375,11383,-8257,-2370,230,1153,16281,-11403,-1471,981,2380,-315,-559,-823,4497,17582,33136,2854,-9264,1802,22078,-12761,1523,2390,10910,14005,13334,20340,17130,14606,11171,19622,10585,13248,7203,21586,22364,60781,52767,35679,68285,64801,57154,121484,105842,189548,68986,71212,128090,148564,244157,258397,198658,176332,113482,152112,118450,61679,119530,223149,263866,256743,312032,267674,181922,286659,299406,183239,340238,315442,283753,609954,425881,307729,355955,458374,665119,487723,1160844,471431,815217,224114,91308,150754,583696,681687,485728,723699,900096,890770,4482209,2923668,-1982132,436271,1253971
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
