GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "33000","New Hampshire",1,SAINC12,1,"...","Percent change in personal income ","Percent change",-6.0,-12.8,-22.6,-1.6,14.9,5.2,7.6,5.3,-5.0,6.5,3.9,22.6,18.8,10.1,7.7,6.2,9.5,8.6,8.7,1.3,5.7,11.4,6.0,7.3,4.5,7.6,6.0,7.0,1.9,8.9,5.6,5.3,6.9,4.3,7.5,7.8,9.6,9.2,10.5,11.7,6.6,8.6,10.6,12.7,10.1,8.7,13.2,13.1,15.4,14.4,14.4,13.2,10.0,10.0,12.9,10.3,10.5,10.2,10.5,7.1,0.8,3.5,4.8,3.3,6.7,6.1,5.9,7.7,9.9,6.4,12.5,5.4,1.7,1.8,6.1,3.4,6.9,4.0,3.2,-1.3,4.2,4.9,3.7,-0.3,3.7,4.5,3.4,4.6,4.7,6.5,6.2,10.2,2.5,5.6,5.5
 "33000","New Hampshire",1,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-4.81,-12.36,-20.19,0.57,14.01,4.82,3.84,5.52,-3.22,4.39,3.38,21.98,18.95,9.57,7.00,2.64,4.47,7.06,8.08,-2.20,3.98,11.72,5.30,4.57,2.44,7.12,5.11,5.00,0.73,7.52,3.96,3.67,5.08,2.70,5.64,5.95,7.74,6.98,7.87,8.67,3.49,5.07,7.84,9.14,5.95,4.32,10.50,9.99,12.03,10.58,8.89,7.34,5.38,8.10,9.23,8.08,7.96,8.85,7.13,3.16,-0.56,0.47,4.49,3.14,4.25,3.52,4.74,5.90,7.88,6.55,9.76,4.28,1.53,1.75,4.12,2.91,4.54,1.38,0.21,-1.22,3.96,2.66,1.50,-0.42,1.83,2.65,2.58,2.66,3.30,4.38,1.88,8.19,1.46,2.92,3.09
 "33000","New Hampshire",1,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.23,-1.67,-1.60,-2.02,0.80,-0.13,1.95,1.38,-2.71,2.34,0.13,0.97,0.00,0.40,0.04,1.63,2.01,1.38,1.38,2.34,0.84,0.56,0.45,2.29,1.35,-0.06,0.58,1.18,0.26,1.09,1.28,0.79,1.62,1.15,1.69,1.46,1.36,1.16,1.51,2.04,1.77,1.79,1.84,1.91,2.24,1.44,1.86,2.43,2.31,2.36,3.76,4.05,3.62,1.14,3.05,1.76,2.12,1.16,2.68,3.00,0.33,-0.12,-0.52,0.51,0.92,1.59,1.29,1.39,1.65,-0.39,1.97,0.27,-0.71,-0.19,0.93,0.02,1.59,1.62,1.11,-1.10,-0.70,2.31,2.03,-0.14,0.98,0.78,-0.11,1.34,0.47,1.55,-0.25,0.85,2.29,2.28,0.99
 "33000","New Hampshire",1,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.00,1.26,-0.81,-0.19,0.08,0.47,1.82,-1.65,0.92,-0.28,0.37,-0.31,-0.16,0.12,0.65,1.89,2.98,0.14,-0.79,1.17,0.86,-0.87,0.23,0.45,0.75,0.56,0.37,0.81,0.86,0.25,0.33,0.84,0.22,0.50,0.20,0.43,0.47,1.10,1.10,0.95,1.37,1.72,0.93,1.62,1.88,2.96,0.83,0.65,1.03,1.47,1.76,1.79,1.05,0.73,0.61,0.46,0.45,0.19,0.68,0.97,1.01,3.18,0.79,-0.39,1.57,0.96,-0.15,0.46,0.42,0.21,0.78,0.90,0.90,0.27,1.02,0.48,0.77,0.96,1.86,1.03,0.95,-0.10,0.22,0.27,0.93,1.09,0.90,0.57,0.93,0.60,4.56,1.17,-1.27,0.44,1.38
 "33000","New Hampshire",1,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-19398,-38572,-59502,-3344,29863,11872,18447,13687,-13754,16819,10766,65258,66384,42335,35514,30645,49998,49556,54380,8940,39264,83316,48709,63042,42018,73715,62991,77132,21909,106620,72978,73267,100812,67724,122282,136893,180198,190782,236148,290374,184340,254443,341842,451361,403835,385145,633689,710453,944277,1021731,1169387,1223948,1055783,1152865,1638501,1478094,1668684,1785046,2022701,1517875,179649,813187,1133712,813280,1737966,1672818,1716642,2393554,3311310,2332734,4865932,2383807,792374,860649,2900036,1731315,3620551,2220673,1848236,-772232,2499344,3008073,2429107,-196287,2508684,3149117,2449407,3431984,3692770,5370409,5429681,9509506,2547506,5937800,6071627
 "33000","New Hampshire",1,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-15451,-37324,-53154,1162,28093,11093,9304,14394,-8829,11448,9365,63340,66958,40160,32339,13128,23625,40799,50735,-14980,27539,85606,43146,39422,22545,68930,53178,55180,8629,90472,51864,50795,74015,41989,91690,103899,145762,144015,177407,215852,97033,150395,252352,325521,238746,190996,504245,542975,739467,750356,721409,681726,565032,936830,1173485,1159516,1260697,1549035,1374683,672782,-127211,108878,1069184,784172,1096238,969288,1381932,1822905,2623335,2398867,3797777,1873558,707336,821671,1970887,1478487,2382356,774260,120617,-735004,2350919,1643940,970830,-284808,1228120,1845142,1878322,1998713,2596565,3604938,1648082,7625224,1502034,3072114,3437127
 "33000","New Hampshire",1,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-3954,-5053,-4209,-4112,1604,-308,4725,3592,-7442,6105,365,2804,-6,1671,178,8111,10616,7973,8633,15970,5794,4093,3671,19761,12531,-601,6006,12979,3102,13087,16761,10893,23523,17956,27394,25438,25608,24016,34004,50934,49304,53156,59390,67988,89762,63616,89540,131982,141711,167265,304836,376078,380623,131286,387895,252456,335974,203109,516140,638747,75634,-27150,-123379,126041,238155,438523,377150,429118,548469,-144261,765130,117940,-328672,-89352,442475,8039,836388,905823,644343,-659047,-413223,1426582,1316308,-94112,654740,544699,-83155,1005994,367998,1274380,-215913,796063,2349342,2403729,1096456
 "33000","New Hampshire",1,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",7,3805,-2139,-394,166,1087,4418,-4299,2517,-734,1036,-886,-568,504,2997,9406,15757,784,-4988,7950,5931,-6383,1892,3859,6942,5386,3807,8973,10178,3061,4353,11579,3274,7779,3198,7556,8828,22751,24737,23588,38003,50892,30100,57852,75327,130533,39904,35496,63099,104110,143142,166144,110128,84749,77121,66122,72013,32902,131878,206346,231226,731459,187907,-96933,403573,265007,-42440,141531,139506,78128,303025,392309,413710,128330,486674,244789,401807,540590,1083276,621819,561648,-62449,141969,182633,625824,759276,654240,427277,728207,491091,3997512,1088219,-1303870,461957,1538044
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
