GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "35000","New Mexico",6,SAINC12,1,"...","Percent change in personal income ","Percent change",-16.5,-12.0,-26.5,3.0,20.1,22.7,20.2,8.7,-4.9,7.6,7.5,20.0,38.8,28.3,11.7,7.7,3.4,12.3,16.8,9.6,13.4,16.4,9.5,4.9,2.3,8.4,7.9,12.2,10.9,7.5,2.8,4.6,3.9,3.4,5.7,6.1,5.1,3.4,8.3,10.8,11.3,10.6,12.4,12.1,12.4,14.2,11.5,11.9,14.4,12.7,12.3,12.9,9.5,7.7,9.0,8.3,3.9,3.9,5.9,7.1,6.7,7.1,7.3,7.5,6.7,7.4,5.0,5.0,5.0,1.8,7.7,7.2,4.1,4.7,6.3,6.6,7.5,5.9,6.7,-0.7,3.7,5.1,2.2,-2.1,5.7,2.4,2.1,1.9,4.6,5.8,8.1,9.2,4.3,4.8,5.5
 "35000","New Mexico",6,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-17.22,-11.84,-22.52,4.98,18.05,19.66,16.04,9.91,-5.07,5.40,6.77,17.91,34.46,27.86,11.19,5.08,-1.76,10.27,14.47,7.31,9.05,16.26,8.07,2.96,1.60,6.50,7.45,9.76,8.69,5.69,1.24,2.77,3.21,2.22,4.10,4.59,3.70,1.64,5.77,7.31,6.60,7.03,9.13,8.15,7.56,9.14,8.32,9.15,10.48,8.73,6.66,7.33,4.22,4.16,5.90,4.86,1.91,3.03,3.75,4.11,4.48,4.53,5.13,5.18,3.91,3.98,2.17,3.53,3.17,2.02,5.68,4.28,2.98,3.26,4.31,3.74,4.14,2.70,2.33,-1.37,2.23,3.10,0.60,-1.43,2.04,0.50,0.84,1.37,2.49,3.47,0.23,4.00,4.61,3.76,3.43
 "35000","New Mexico",6,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",0.49,-2.92,-2.77,-1.43,1.26,2.59,2.34,0.87,0.17,1.47,0.44,2.13,4.33,0.30,-0.05,0.84,1.84,1.15,2.33,1.98,2.19,1.52,1.31,1.56,0.11,1.79,0.24,1.81,1.51,1.28,1.08,1.03,0.63,0.80,1.33,1.06,0.94,0.17,1.25,2.36,2.67,2.12,2.15,2.21,2.77,2.58,1.72,2.14,2.88,2.36,3.51,3.95,4.16,2.43,2.33,2.58,1.13,0.19,1.31,1.64,1.08,1.01,0.65,1.15,1.73,2.01,1.48,1.14,1.09,-1.11,1.09,1.18,-0.40,0.24,0.83,1.49,1.78,1.65,1.61,-1.40,-0.33,1.69,1.65,-0.84,1.54,0.06,0.63,0.53,0.76,1.25,0.10,0.93,1.34,2.09,0.98
 "35000","New Mexico",6,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.20,2.79,-1.25,-0.56,0.80,0.43,1.85,-2.09,0.01,0.68,0.26,-0.06,-0.02,0.15,0.52,1.79,3.33,0.85,0.03,0.35,2.21,-1.33,0.14,0.35,0.62,0.14,0.22,0.64,0.67,0.49,0.53,0.84,0.10,0.41,0.29,0.46,0.44,1.55,1.25,1.14,2.06,1.50,1.14,1.78,2.07,2.50,1.44,0.63,1.07,1.64,2.10,1.65,1.17,1.09,0.82,0.83,0.89,0.69,0.88,1.35,1.16,1.58,1.53,1.19,1.08,1.46,1.35,0.33,0.77,0.87,0.96,1.78,1.57,1.19,1.15,1.37,1.59,1.57,2.73,2.11,1.81,0.26,-0.06,0.22,2.14,1.85,0.62,0.04,1.40,1.12,7.81,4.23,-1.67,-1.08,1.07
 "35000","New Mexico",6,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-28128,-16996,-33176,2752,19025,25769,28199,14567,-8912,13085,13931,40018,93167,94389,49883,36827,17563,65295,100526,67311,102856,142761,96166,53965,27004,100171,101956,169715,169634,129148,52852,88811,78681,71323,122988,138780,122593,85322,216896,306796,356111,372642,480928,528460,605464,780671,719449,832411,1127990,1139552,1237375,1465041,1220826,1076072,1364462,1360922,700007,723710,1144313,1447260,1464882,1661314,1824739,2015037,1934891,2288657,1647890,1734717,1833672,681928,3007193,3036578,1862890,2198029,3079920,3441113,4172965,3529880,4218754,-450568,2488005,3517915,1593076,-1530988,4186175,1864792,1651506,1571818,3825361,5029416,7425369,9040028,4606004,5354019,6451927
 "35000","New Mexico",6,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-29300,-16812,-28155,4578,17074,22344,22362,16610,-9240,9358,12623,35877,82799,92884,47880,24248,-9032,54665,86418,51020,69252,141167,81570,32789,18570,77254,96022,135697,135544,98482,22995,52994,64141,46252,88189,104278,89287,41565,151263,207480,207464,246069,353375,354750,369057,501596,521482,639062,819352,781489,671328,830630,539324,582185,889466,798950,340822,560591,721156,837185,977790,1056229,1280780,1387306,1124411,1221864,715540,1225374,1154334,774053,2209396,1795550,1339968,1526291,2112523,1950748,2301320,1609751,1473850,-925683,1495442,2156638,435451,-1067440,1492512,386759,662108,1109911,2047448,2988050,211192,3946290,4964325,4226359,4037643
 "35000","New Mexico",6,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",833,-4144,-3459,-1316,1195,2942,3263,1456,301,2545,819,4268,10415,1011,-231,4007,9465,6095,13909,13848,16726,13169,13199,17297,1223,21313,3063,25158,23611,22201,20051,19775,12546,16613,28534,24142,22685,4369,32795,66859,83960,74108,83322,96055,135462,141675,107949,149201,224952,211012,354077,447631,532064,341135,351776,424994,200895,35362,252923,334507,234985,236054,162239,308379,498838,618440,488096,394435,397647,-423715,425488,495245,-181116,114227,405774,778292,990251,984942,1020646,-946944,-219326,1177108,1202899,-626224,1128588,46287,497393,431821,626963,1078518,88918,919024,1441497,2344985,1150411
 "35000","New Mexico",6,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",339,3960,-1562,-510,756,483,2574,-3499,27,1182,489,-127,-47,494,2234,8572,17130,4535,199,2443,16878,-11575,1397,3879,7211,1604,2871,8860,10479,8465,9806,16042,1994,8458,6265,10360,10621,39388,32838,32457,64687,52465,44231,77655,100945,137400,90018,44148,83686,147051,211970,186780,149438,152752,123220,136978,158290,127757,170234,275568,252107,369031,381720,319352,311642,448353,444254,114908,281691,331590,372309,745783,704038,557511,561623,712073,881394,935187,1724258,1422059,1211889,184169,-45274,162676,1565075,1431746,492005,30086,1150950,962848,7125259,4174714,-1799818,-1217325,1263873
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
