GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "32000","Nevada",8,SAINC12,1,"...","Percent change in personal income ","Percent change",-2.4,-18.5,-14.5,-10.4,14.5,21.5,28.0,-6.5,3.3,12.2,10.2,19.9,81.1,6.5,0.4,3.0,6.3,3.0,5.9,3.8,15.4,14.9,16.9,10.4,7.9,16.3,4.6,7.4,5.8,9.4,9.5,10.8,19.4,12.2,8.5,7.1,5.5,6.2,16.3,13.2,12.4,11.7,11.8,13.6,10.9,12.9,13.8,15.6,20.9,15.9,15.6,13.6,6.9,6.6,8.8,8.5,8.0,8.9,13.9,12.6,12.1,10.0,10.6,8.1,10.7,10.0,10.6,9.3,11.9,8.1,9.7,5.8,2.8,6.5,10.7,11.7,7.9,4.2,-1.1,-5.4,3.9,3.8,3.9,0.2,6.1,8.3,3.8,6.9,6.9,7.4,6.9,12.7,3.7,7.6,6.4
 "32000","Nevada",8,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-4.24,-19.04,-10.07,-7.03,10.70,19.43,19.56,-5.28,4.13,9.48,6.92,18.82,81.44,6.86,-2.05,1.79,2.65,0.34,7.01,1.89,10.35,14.19,15.51,9.31,5.54,13.92,2.69,5.51,3.55,7.89,6.90,7.88,17.52,10.77,6.46,4.76,4.35,3.91,11.85,10.24,8.55,8.18,8.51,9.92,6.50,7.87,10.34,12.28,15.60,11.08,10.14,7.89,2.44,3.65,5.68,5.13,5.23,7.21,10.07,7.53,7.89,5.50,7.19,5.64,7.01,6.38,7.34,6.70,8.77,6.87,6.74,3.96,1.62,3.83,7.54,7.58,5.20,1.71,-3.17,-4.41,2.60,1.93,0.71,1.10,2.13,4.00,1.76,4.28,4.10,4.18,-1.16,7.82,5.52,3.86,3.90
 "32000","Nevada",8,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",1.84,-1.09,-3.48,-3.09,3.78,1.88,6.16,0.27,-1.12,1.56,2.98,1.21,0.01,-0.37,2.22,0.29,1.65,2.11,-0.63,1.48,3.69,1.31,0.92,0.76,1.63,1.88,1.32,1.35,1.19,1.41,2.30,2.02,1.66,0.85,1.49,1.85,0.80,1.27,3.36,2.33,2.81,2.12,2.06,2.53,2.70,1.98,2.29,2.47,4.12,3.28,3.67,3.75,3.33,2.03,2.40,2.36,1.62,1.02,2.81,3.55,2.78,2.06,1.86,1.81,3.07,2.65,2.45,1.88,2.46,0.83,2.25,0.59,-0.05,1.89,2.32,3.29,1.87,1.56,0.06,-2.87,-0.32,1.66,3.07,-1.25,2.37,2.72,1.10,1.75,1.71,1.98,0.20,2.60,2.37,3.10,1.21
 "32000","Nevada",8,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",-0.01,1.61,-0.93,-0.24,-0.02,0.22,2.29,-1.44,0.26,1.11,0.35,-0.17,-0.32,-0.04,0.25,0.93,1.98,0.59,-0.50,0.40,1.38,-0.59,0.51,0.30,0.69,0.52,0.57,0.49,1.02,0.11,0.35,0.92,0.22,0.54,0.56,0.46,0.38,1.04,1.07,0.59,1.01,1.42,1.19,1.11,1.70,3.04,1.16,0.87,1.15,1.50,1.83,1.96,1.09,0.94,0.73,0.99,1.17,0.71,1.01,1.54,1.47,2.44,1.54,0.67,0.57,0.94,0.84,0.70,0.67,0.43,0.71,1.23,1.27,0.81,0.88,0.85,0.84,0.97,1.97,1.86,1.61,0.22,0.14,0.35,1.56,1.57,0.97,0.87,1.08,1.24,7.90,2.31,-4.20,0.66,1.28
 "32000","Nevada",8,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-1894,-14208,-9049,-5536,6927,11804,18672,-5506,2612,10019,9469,20248,99120,14276,1017,7116,15303,7868,15690,10648,45216,50459,65885,47185,39449,88345,28811,48419,40729,70331,78043,97048,192718,144128,113141,101880,85374,101425,281822,264988,281806,299968,336383,433294,395180,518733,626490,807474,1247796,1146286,1309421,1316735,754521,778056,1103543,1156987,1187864,1427850,2419297,2502623,2710317,2504341,2916287,2473053,3509394,3633145,4261283,4113432,5767072,4406381,5688979,3714143,1926001,4565686,8006255,9669460,7290986,4220841,-1170095,-5553124,3767650,3845999,4099740,218222,6599744,9574485,4790555,8967830,9561154,10984845,11054561,21685371,7093648,15166108,13693945
 "32000","Nevada",8,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-3332,-14607,-6295,-3759,5126,10657,13039,-4507,3294,7817,6399,19183,99495,15181,-4818,4225,6450,891,18707,5328,30340,48037,60324,42352,27807,75342,16913,36317,25085,58990,56418,70647,174039,127674,85870,68648,67167,63724,205262,206270,194829,209375,243338,317133,235803,316929,469849,634866,932538,800930,849164,763382,268150,429241,711849,699445,773954,1152324,1753002,1493205,1761715,1376889,1979214,1718003,2309446,2324820,2943004,2970021,4247470,3723858,3953578,2547787,1101212,2678463,5618302,6256594,4795408,1703656,-3284797,-4517976,2520434,1946737,743113,1200684,2321383,4615245,2203465,5562430,5690054,6201894,-1856282,13320663,10608855,7690945,8365740
 "32000","Nevada",8,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",1449,-835,-2175,-1651,1810,1029,4107,233,-892,1288,2751,1234,14,-810,5240,684,4017,5459,-1688,4183,10828,4418,3591,3452,8186,10184,8295,8873,8440,10548,18784,18133,16512,10078,19823,26628,12364,20668,58109,46890,63961,54291,58896,80754,97837,79508,104090,127630,246225,237098,307172,363506,366748,238654,300505,322297,240126,162613,489889,704188,619887,515507,513005,550341,1012686,965906,982950,832651,1193226,451443,1317073,378163,-37322,1319623,1730748,2711605,1723593,1552508,67149,-2938965,-313924,1674667,3212672,-1358762,2579451,3141013,1371432,2275878,2368163,2937570,321390,4426207,4560528,6169362,2586236
 "32000","Nevada",8,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",-11,1234,-579,-126,-9,118,1526,-1232,210,914,319,-169,-389,-95,595,2207,4836,1518,-1329,1137,4048,-1996,1970,1381,3456,2819,3603,3229,7204,793,2841,8268,2167,6376,7448,6604,5843,17033,18451,11828,23016,36302,34149,35407,61540,122296,52551,44978,69033,108258,153085,189847,119623,110161,91189,135245,173784,112913,176406,305230,328715,611945,424068,204709,187262,342419,335329,310760,326376,231080,418328,788193,862111,567600,657205,701261,771985,964677,2047553,1903817,1561140,224595,143955,376300,1698910,1818227,1215658,1129522,1502937,1845381,12589453,3938501,-8075735,1305801,2741969
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
