GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "39000","Ohio",3,SAINC12,1,"...","Percent change in personal income ","Percent change",-13.5,-14.7,-28.3,-3.5,18.2,14.2,15.4,9.2,-12.8,10.4,7.8,25.2,24.9,21.6,5.4,2.2,5.7,9.3,11.6,-4.3,10.7,15.4,7.2,9.7,0.4,8.0,6.8,5.2,-0.8,7.0,4.1,1.9,5.4,4.2,6.7,8.1,9.1,4.8,10.3,9.4,5.6,6.4,8.5,11.0,9.5,6.8,9.7,10.7,10.5,10.4,9.3,8.7,4.7,5.9,10.3,6.2,4.7,4.5,7.6,7.5,6.0,2.4,6.4,4.1,5.6,4.8,4.7,5.8,5.8,3.0,5.3,2.9,1.6,2.9,3.8,2.7,5.0,4.3,3.8,-2.8,2.9,6.6,3.6,1.5,4.1,3.8,2.0,3.8,3.9,3.5,7.1,8.5,1.4,6.4,4.9
 "39000","Ohio",3,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-12.26,-12.85,-22.61,0.42,17.15,12.37,11.23,8.97,-11.23,7.98,6.71,22.53,22.92,21.09,4.75,0.22,1.90,9.39,9.56,-4.72,8.58,15.59,6.32,8.30,-1.39,6.56,5.91,3.23,-2.84,6.46,2.40,0.16,4.44,3.14,5.70,6.86,7.69,3.04,8.09,7.73,3.10,3.93,6.63,7.98,5.82,2.89,7.86,8.65,8.14,7.14,3.21,3.77,0.58,3.36,7.74,4.36,3.11,3.91,5.25,4.29,3.36,1.28,4.71,2.80,4.04,2.63,3.02,4.14,4.37,3.22,3.71,1.57,1.27,2.07,2.95,1.37,2.62,1.88,0.64,-2.84,1.98,4.39,2.54,1.61,1.94,2.14,0.93,2.31,2.41,1.80,0.75,4.17,2.53,3.53,2.99
 "39000","Ohio",3,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.28,-3.20,-4.83,-3.82,0.87,0.95,2.80,1.83,-1.69,1.82,0.88,2.76,1.90,0.56,0.29,0.59,1.31,-0.11,0.83,0.91,1.28,0.74,0.59,1.05,0.91,1.12,0.52,1.03,0.54,0.92,1.02,0.71,1.11,0.86,0.98,0.88,0.93,0.69,1.34,1.13,1.32,1.10,0.95,1.55,1.85,1.16,1.01,1.50,1.55,1.78,3.14,3.53,1.96,1.49,2.11,0.94,0.74,0.00,1.68,2.34,1.09,0.03,0.18,0.71,0.97,1.35,1.08,1.23,1.14,-0.68,0.73,0.05,-0.72,0.11,0.14,0.40,1.45,1.32,0.93,-1.61,-0.25,1.60,1.48,-0.52,1.13,0.96,0.61,0.98,1.01,0.73,-0.08,2.14,1.36,2.25,0.77
 "39000","Ohio",3,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.01,1.35,-0.87,-0.15,0.18,0.85,1.33,-1.59,0.08,0.65,0.19,-0.11,0.04,-0.09,0.36,1.37,2.50,-0.03,1.23,-0.53,0.86,-0.90,0.32,0.31,0.84,0.31,0.33,0.89,1.50,-0.37,0.64,1.06,-0.12,0.20,0.03,0.37,0.48,1.03,0.90,0.55,1.18,1.40,0.90,1.43,1.83,2.79,0.86,0.59,0.83,1.53,2.91,1.43,2.11,1.01,0.47,0.91,0.82,0.55,0.71,0.90,1.52,1.11,1.47,0.61,0.59,0.84,0.56,0.46,0.27,0.45,0.89,1.28,1.02,0.76,0.73,0.96,0.89,1.09,2.18,1.67,1.16,0.58,-0.41,0.43,1.00,0.73,0.47,0.48,0.50,0.99,6.42,2.21,-2.53,0.65,1.17
 "39000","Ohio",3,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-692138,-649776,-1067755,-95763,474614,436885,540583,373799,-569422,403379,332180,1158567,1431399,1550044,472094,201978,538028,920902,1264003,-527032,1244629,1982837,1073803,1538228,63241,1400481,1277472,1040769,-168940,1477178,915228,454525,1296870,1058592,1762485,2273894,2755132,1572982,3576957,3594218,2340891,2838434,3987538,5584484,5372816,4236976,6435323,7799703,8457503,9285232,9084459,9360035,5425972,7154769,13330766,8848869,7073597,7065490,12652881,13400345,11430989,4900332,13206405,9108796,12891558,11703097,11891881,15528784,16292390,8915680,16405467,9396745,5253283,9966205,13324260,9880837,18456199,16696459,15299254,-11735321,11854001,27719396,16238248,7056706,19256847,18864187,10282738,19666894,21233517,19776986,41275056,53143301,9173833,44121049,36032593
 "39000","Ohio",3,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-627037,-568317,-852739,11450,447266,381379,395187,364127,-497930,308266,286571,1036568,1319800,1516314,415405,20662,179336,934681,1039852,-572830,996104,2003722,938031,1320602,-242094,1149241,1116932,652532,-602695,1360250,540494,38549,1060645,792167,1497291,1922343,2328799,1005670,2802511,2951862,1295137,1733984,3116092,4064795,3290040,1788100,5198625,6280069,6547823,6343881,3146739,4041191,679641,4096433,9997725,6211238,4706046,6193816,8690284,7635184,6426672,2596201,9794944,6189933,9294549,6392885,7705014,11047442,12325170,9619313,11402417,5097316,4248341,7018762,10268083,4943535,9751824,7314869,2610846,-11966661,8117444,18524544,11434574,7503298,9180089,10562884,4761401,12054285,13041877,10112358,4345181,26022325,17097183,24204562,21811424
 "39000","Ohio",3,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-65630,-141294,-182175,-103211,22744,29194,98531,74277,-75023,70150,37557,126936,109375,39997,25587,54728,123441,-10912,90654,110363,148573,94619,87595,167625,158876,196786,98574,207592,114689,194689,230683,167410,265643,215538,258425,246716,281274,227293,463365,431656,550583,486337,446848,792291,1045602,719083,667391,1091947,1244799,1582671,3079847,3782377,2283532,1823257,2729277,1342478,1127240,4488,2781525,4167436,2095278,55618,365527,1564084,2241773,3280135,2751549,3267521,3208003,-2042222,2257021,159451,-2408428,388083,501649,1447306,5379951,5132692,3800912,-6810590,-1028893,6762651,6651106,-2432426,5333854,4724976,3114972,5096094,5461823,4080491,-468636,13360667,9216711,15424503,5646761
 "39000","Ohio",3,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",529,59835,-32841,-4002,4604,26312,46865,-64605,3531,24963,8052,-4937,2224,-6267,31102,126588,235251,-2867,133497,-64565,99952,-115504,48177,50001,146459,54454,61966,180645,319066,-77761,144051,248566,-29418,50887,6769,104835,145059,340019,311081,210700,495171,618113,424598,727398,1037174,1729793,569307,427687,664881,1358680,2857873,1536467,2462799,1235079,603764,1295153,1240311,867186,1181072,1597725,2909039,2248513,3045934,1354779,1355236,2030077,1435318,1213821,759217,1338589,2746029,4139978,3413370,2559360,2554528,3489996,3324424,4248898,8887496,7041930,4765450,2432201,-1847432,1985834,4742904,3576327,2406365,2516515,2729817,5584137,37398511,13760309,-17140061,4491984,8574408
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
