GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "40000","Oklahoma",6,SAINC12,1,"...","Percent change in personal income ","Percent change",-17.8,-19.4,-27.6,2.8,14.0,18.1,7.7,14.8,-8.2,1.1,7.1,13.5,44.3,24.1,12.3,1.0,2.2,7.5,8.7,3.9,4.4,12.4,9.5,3.8,0.3,5.6,6.3,4.6,7.8,4.4,5.0,3.5,4.4,3.3,7.1,7.1,7.3,9.2,9.5,11.4,10.3,9.0,9.7,13.4,11.3,11.8,10.3,11.2,13.5,16.1,15.2,16.7,11.6,2.4,7.2,4.1,0.6,-0.6,4.5,6.3,5.4,3.2,6.2,3.9,4.4,4.3,5.9,5.9,5.4,2.7,8.3,6.3,2.4,5.0,8.0,9.3,10.7,3.6,11.4,-7.3,4.9,7.6,6.4,5.0,5.9,-2.8,-4.6,4.4,5.1,5.1,4.3,9.9,7.0,6.1,5.5
 "40000","Oklahoma",6,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-15.72,-16.72,-21.03,4.25,12.32,17.83,0.13,15.21,-7.60,0.43,7.00,13.32,41.28,22.98,11.13,-1.73,-4.28,6.21,9.01,2.29,2.22,13.23,7.83,1.54,-0.66,4.60,4.49,3.11,5.47,2.43,3.20,2.01,3.20,2.24,5.58,5.42,5.41,6.69,6.97,8.13,6.53,5.46,7.67,9.50,6.75,7.18,7.42,8.40,9.93,11.84,9.35,10.54,6.63,-0.28,4.64,1.81,0.35,-0.20,2.75,3.64,3.60,1.79,4.23,2.85,2.37,1.57,3.96,4.55,3.54,1.74,5.07,4.08,1.60,3.36,5.94,6.43,6.92,0.26,7.54,-6.52,3.10,5.15,4.39,4.88,3.96,-2.80,-4.79,2.68,3.21,2.94,-0.55,5.21,6.96,3.57,3.00
 "40000","Oklahoma",6,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-2.14,-4.92,-4.72,-0.77,2.16,0.27,3.41,1.73,-0.45,0.04,-0.22,-0.05,2.74,1.27,0.48,0.54,1.64,0.71,0.05,1.23,1.09,0.42,1.34,1.62,0.90,0.23,1.36,0.72,1.58,1.28,1.36,0.69,0.70,0.48,1.17,1.11,0.87,0.71,1.28,2.39,2.28,1.92,1.00,2.46,2.49,1.82,1.57,2.00,2.60,2.49,4.06,4.63,3.53,1.60,2.09,1.43,-0.49,-0.89,0.96,1.82,0.80,0.06,0.23,0.27,1.05,1.42,1.14,0.89,1.58,0.25,2.32,0.65,-0.32,0.58,1.13,1.65,2.25,2.16,1.80,-2.06,0.45,2.20,1.57,-0.31,1.35,-0.57,-0.46,0.95,1.23,0.78,-0.18,1.34,1.57,1.80,0.92
 "40000","Oklahoma",6,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.08,2.26,-1.84,-0.72,-0.53,0.03,4.16,-2.18,-0.14,0.67,0.27,0.21,0.29,-0.15,0.66,2.15,4.83,0.57,-0.36,0.42,1.08,-1.26,0.30,0.60,0.07,0.82,0.48,0.80,0.72,0.66,0.44,0.82,0.52,0.61,0.39,0.62,0.98,1.84,1.28,0.88,1.49,1.60,1.07,1.49,2.04,2.76,1.26,0.82,0.94,1.74,1.82,1.58,1.45,1.11,0.46,0.81,0.77,0.52,0.79,0.87,1.04,1.31,1.76,0.80,0.98,1.28,0.82,0.45,0.32,0.69,0.90,1.60,1.09,1.10,0.95,1.23,1.55,1.16,2.02,1.31,1.31,0.24,0.41,0.39,0.55,0.61,0.60,0.79,0.69,1.35,5.07,3.37,-1.52,0.68,1.58
 "40000","Oklahoma",6,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-189576,-169745,-194895,14140,73325,108555,54495,112546,-71633,9110,57251,117208,437042,343144,216680,18994,43975,153133,191254,94154,109131,321698,276416,120305,10161,187614,222274,172895,302974,184074,219459,162442,210994,165967,367778,394397,429640,586433,660004,865391,870751,838036,989783,1499537,1426648,1656165,1612940,1947257,2600097,3517760,3873160,4905500,3966973,929540,2807978,1698293,272449,-247554,1964525,2887727,2639713,1611616,3277685,2199588,2561966,2594596,3753897,3959941,3872205,2012881,6375642,5277415,2102094,4564039,7641601,9570319,12048911,4457835,14660521,-10436535,6476743,10606890,9573410,7921538,9838839,-4909450,-8017245,7286394,8828522,9172812,8237568,19667748,15280260,14118173,13609669
 "40000","Oklahoma",6,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-167536,-146464,-148560,21749,64766,106788,937,115920,-66455,3475,56816,115743,407149,327117,196550,-34238,-85709,127030,198129,54763,55173,343297,228436,49265,-21935,152710,157637,116118,213432,102342,140465,92860,152832,111844,287374,298878,320173,424660,482669,617070,551940,509298,779239,1059174,853804,1011523,1166904,1457233,1916165,2592183,2376423,3087001,2265351,-106159,1812340,759188,150436,-87709,1201500,1659302,1745304,912503,2232168,1597579,1379513,954348,2507424,3055738,2518812,1306711,3899250,3402498,1418630,3047887,5656467,6613175,7780067,327139,9728198,-9369819,4135634,7201079,6602495,7800564,6649273,-4982604,-8268719,4410931,5528193,5312674,-1050594,10331002,15171511,8316787,7419918
 "40000","Oklahoma",6,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-22853,-43113,-33360,-3931,11357,1590,24113,13210,-3932,288,-1746,-392,27065,18125,8437,10649,32875,14450,999,29461,27150,11014,39156,51847,29666,7663,47847,26877,61534,53897,59725,31682,33566,23876,60157,61188,51584,45136,88858,181432,192898,179428,101296,274390,315193,256414,247307,347598,502203,545110,1033017,1355287,1207333,610684,815375,598979,-213690,-388452,417969,830830,389900,28240,119429,151865,610121,860052,724809,600208,1123305,189780,1784607,539543,-282319,522827,1077449,1695665,2525764,2687337,2320899,-2953112,598331,3069993,2352440,-496398,2271599,-1004705,-791558,1570378,2111944,1411093,-337058,2650457,3430129,4205464,2283106
 "40000","Oklahoma",6,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",813,19832,-12975,-3678,-2798,177,29445,-16584,-1246,5347,2181,1857,2828,-2098,11693,42583,96809,11653,-7874,9930,26808,-32613,8824,19193,2430,27241,16790,29900,28008,27835,19269,37900,24596,30247,20247,34331,57883,116637,88477,66889,125913,149310,109248,165973,257651,388228,198729,142426,181729,380467,463720,463212,494289,425015,180263,340126,335703,228607,345056,397595,504509,670873,926088,450144,572332,780196,521664,303995,230088,516390,691785,1335374,965783,993325,907685,1261479,1743080,1443359,2611424,1886396,1742778,335818,618475,617372,917967,1077859,1043032,1305085,1188385,2449045,9625220,6686289,-3321380,1595922,3906645
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
