GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "41000","Oregon",8,SAINC12,1,"...","Percent change in personal income ","Percent change",-8.3,-15.9,-24.6,-4.8,23.1,6.9,21.8,4.0,-2.8,8.8,7.6,32.6,45.1,34.9,1.6,-1.3,7.9,10.8,14.0,-0.3,10.6,12.4,6.3,1.8,-0.7,8.3,7.3,0.2,2.6,8.1,3.4,3.8,6.2,5.3,7.6,8.5,7.7,6.0,8.9,10.9,9.0,9.9,12.0,12.7,13.4,11.1,12.7,11.8,14.6,13.1,10.9,7.8,2.9,6.4,8.2,5.1,5.2,4.8,9.2,9.8,8.1,5.4,6.8,7.0,7.1,7.6,7.8,5.9,5.6,3.5,7.8,3.0,1.3,3.6,5.6,5.0,9.1,4.7,4.7,-3.2,2.6,5.4,5.0,1.5,6.7,7.5,4.9,6.0,6.5,4.8,9.3,10.9,1.5,6.1,5.4
 "41000","Oregon",8,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-7.55,-15.12,-19.87,-3.59,22.42,6.44,17.48,5.43,-3.69,7.57,6.05,30.04,43.16,33.50,0.73,-3.01,3.77,9.20,10.96,-3.07,8.58,12.19,3.87,0.63,-1.24,6.36,5.65,-1.16,0.84,6.71,2.12,1.68,4.93,4.21,6.29,7.06,6.13,3.31,6.68,7.22,4.68,6.59,9.41,8.73,8.21,5.72,9.99,8.53,10.65,8.96,5.04,1.82,-0.80,3.44,5.62,3.24,4.05,4.33,6.51,5.38,5.72,3.29,4.85,4.55,4.74,3.86,5.28,4.81,4.10,3.52,5.59,1.32,0.75,2.34,3.96,3.44,5.19,2.15,0.52,-3.51,1.27,3.39,3.42,1.15,3.17,4.42,3.20,3.60,4.01,3.09,2.35,5.72,2.88,2.54,2.74
 "41000","Oregon",8,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.75,-2.71,-3.36,-1.02,0.67,0.46,1.26,0.70,-0.05,1.26,1.28,2.71,2.01,1.41,0.48,0.29,1.19,1.34,3.34,2.00,0.74,1.08,0.63,1.83,0.11,1.45,1.10,0.27,0.89,1.35,0.84,0.97,1.11,0.84,1.03,0.86,0.99,1.32,1.15,2.81,2.50,1.82,1.65,2.15,2.79,2.34,1.62,2.31,2.88,2.78,3.70,4.12,2.02,1.92,2.15,1.22,0.93,0.00,1.90,3.20,1.27,0.73,0.40,1.51,1.80,2.32,1.64,0.72,0.96,-1.17,1.46,-0.01,-0.66,0.87,1.18,0.68,2.73,1.47,1.75,-2.16,-0.28,1.70,1.59,-0.39,1.62,1.67,1.04,1.77,1.31,0.50,0.50,2.58,0.89,2.64,1.21
 "41000","Oregon",8,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.03,1.93,-1.36,-0.16,0.06,0.01,3.07,-2.11,0.99,0.02,0.29,-0.11,-0.08,0.00,0.42,1.42,2.98,0.22,-0.33,0.78,1.26,-0.88,1.78,-0.61,0.41,0.50,0.51,1.11,0.92,0.08,0.44,1.14,0.18,0.25,0.27,0.58,0.58,1.40,1.04,0.87,1.82,1.49,0.96,1.81,2.39,3.02,1.14,1.00,1.09,1.37,2.12,1.89,1.64,1.06,0.47,0.63,0.24,0.46,0.83,1.26,1.11,1.37,1.51,0.95,0.53,1.46,0.89,0.40,0.53,1.16,0.72,1.65,1.17,0.43,0.45,0.85,1.15,1.12,2.48,2.43,1.64,0.29,-0.02,0.72,1.87,1.36,0.62,0.63,1.16,1.16,6.43,2.55,-2.32,0.93,1.49
 "41000","Oregon",8,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-52100,-91942,-119630,-17471,80852,29764,100278,22525,-16054,50150,46950,216609,396979,445944,27948,-22607,137187,200829,288804,-6776,248248,321681,183420,57329,-22830,260778,246597,7991,96733,305101,138083,159003,270729,245128,369646,444611,437446,368789,575419,769599,704926,845702,1128615,1334011,1586348,1487877,1902049,1990724,2751004,2826472,2647724,2116186,836368,1922731,2626942,1758490,1897193,1833286,3701071,4304465,3890614,2796680,3700416,4093745,4417380,5110597,5624712,4608126,4601163,3053589,6982355,2871989,1256410,3687475,5851076,5492662,10526753,6005480,6294329,-4508102,3534448,7418857,7256377,2249747,10320669,12306138,8626898,11157383,12782551,9984553,20420946,26094251,3883230,16552047,15602369
 "41000","Oregon",8,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-47574,-87453,-96658,-13160,78298,27708,80395,30431,-21528,42914,37289,199398,379959,427951,12553,-52654,65099,171748,226600,-72342,201477,316582,112829,19549,-39079,199391,191944,-42265,30555,251378,86105,70620,214624,194798,306339,369477,348182,202252,433032,509791,366370,562926,883244,918148,972207,768858,1490430,1434174,2004054,1931914,1229029,492172,-233126,1031355,1792574,1120461,1470386,1655260,2607409,2352364,2749109,1709013,2654385,2655687,2962803,2584270,3805269,3737707,3375032,3062102,5027192,1281550,746642,2367014,4142755,3805926,6026529,2725210,690441,-4878725,1711573,4670943,4974808,1752985,4916165,7302477,5684292,6691141,7905584,6498463,5168068,13755628,7678575,6879489,7862149
 "41000","Oregon",8,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-4720,-15648,-16364,-3729,2329,2000,5782,3910,-310,7132,7895,17968,17730,18052,8209,5142,20557,25033,68952,47150,17295,27995,18529,56839,3334,45608,37360,9668,32578,50668,34019,40551,48475,38902,50011,44803,56332,80979,74821,198191,195989,155288,155070,225671,330944,313953,241381,388516,541873,598550,902825,1112833,590138,574394,684813,420019,338015,874,759695,1399854,610038,377399,220615,884490,1122212,1551736,1178477,559616,790241,-1016000,1311979,-12578,-658663,882261,1237698,747408,3164772,1863892,2314193,-2999962,-377765,2343069,2309020,-595597,2513026,2760711,1848196,3291725,2586301,1060070,1110443,6200504,2378459,7146814,3465997
 "41000","Oregon",8,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",194,11159,-6608,-582,225,56,14101,-11816,5784,104,1766,-757,-710,-59,7186,24905,51531,4048,-6748,18416,29476,-22896,52062,-19059,12915,15779,17293,40588,33600,3055,17959,47832,7630,11428,13296,30331,32932,85558,67566,61617,142567,127488,90301,190192,283197,405066,170238,168034,205077,296008,515870,511181,479356,316982,149555,218010,88792,177152,333967,552247,531467,710268,825416,553568,332365,974591,640966,310803,435890,1007487,643184,1603017,1168431,438200,470623,939328,1335452,1416378,3289695,3370585,2200640,404845,-27451,1092359,2891478,2242950,1094410,1174517,2290666,2426020,14142435,6138119,-6173804,2525744,4274223
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
