GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "94000","Plains",4,SAINC12,1,"...","Percent change in personal income ","Percent change",-10.4,-16.6,-24.5,-10.9,11.5,30.8,2.6,14.6,-8.5,4.4,5.0,22.5,34.4,18.8,4.3,6.2,11.4,8.3,17.2,-7.6,13.0,9.4,5.8,1.5,4.1,2.2,5.2,7.1,5.9,2.6,5.0,3.7,6.7,4.0,4.3,9.7,7.6,4.9,9.1,9.6,8.5,7.7,10.5,16.6,5.8,9.7,7.2,10.5,13.2,10.3,8.1,13.0,6.5,4.8,11.4,5.6,4.6,5.0,5.3,7.8,5.9,3.6,7.0,3.3,6.8,4.9,7.5,5.2,6.5,3.9,7.0,3.7,2.0,4.3,5.5,3.6,6.1,6.4,6.6,-2.7,3.7,7.2,5.2,0.9,4.0,3.2,1.4,3.2,4.8,3.8,7.0,10.0,3.9,5.4,4.2
 "94000","Plains",4,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-9.35,-16.29,-19.83,-7.26,10.17,29.90,-2.04,16.19,-8.08,3.04,3.97,21.39,32.54,18.03,3.33,3.76,7.06,7.19,14.83,-8.53,10.25,9.66,4.58,0.47,2.60,0.89,4.09,5.45,3.69,1.09,3.75,2.33,5.51,2.72,3.01,7.95,6.19,3.11,6.47,7.11,5.18,4.94,8.16,12.95,1.96,5.39,4.84,7.77,10.18,6.80,2.09,6.85,1.43,2.64,8.43,3.78,3.35,4.85,3.29,4.83,3.80,1.76,5.51,1.83,4.97,2.44,5.70,3.18,4.66,3.58,4.60,2.24,1.57,3.10,4.39,2.20,2.96,3.58,2.97,-2.05,2.56,5.11,3.08,1.37,1.71,1.66,0.29,2.07,2.54,2.06,1.59,4.95,4.79,2.42,2.08
 "94000","Plains",4,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.05,-2.15,-3.26,-3.13,1.17,0.52,1.91,0.50,-0.57,1.07,0.87,1.09,1.96,0.84,0.59,0.87,1.42,1.08,2.72,0.26,1.66,0.76,1.11,0.76,0.96,0.77,0.70,0.70,1.35,1.09,0.92,0.65,0.96,0.92,1.01,1.19,0.82,0.49,1.41,1.73,1.84,1.38,1.44,2.13,2.30,1.94,1.32,2.08,2.00,2.22,3.87,4.48,3.67,1.22,2.37,1.08,0.69,-0.20,1.40,1.97,1.10,0.53,0.36,0.68,1.17,1.60,1.20,1.55,1.44,-0.26,1.52,0.20,-0.60,0.62,0.40,0.53,1.92,1.76,1.67,-1.88,-0.04,1.79,2.04,-0.81,1.51,0.80,0.56,0.61,1.30,0.84,0.37,2.74,0.94,2.44,0.80
 "94000","Plains",4,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",-0.02,1.79,-1.45,-0.50,0.12,0.36,2.75,-2.08,0.16,0.27,0.18,0.02,-0.07,-0.05,0.41,1.61,2.95,0.00,-0.37,0.65,1.06,-0.99,0.15,0.27,0.50,0.57,0.41,0.93,0.90,0.45,0.38,0.74,0.28,0.37,0.24,0.58,0.55,1.34,1.23,0.80,1.44,1.34,0.87,1.57,1.57,2.41,1.03,0.67,1.01,1.31,2.17,1.71,1.41,0.98,0.56,0.73,0.60,0.36,0.61,1.03,0.99,1.27,1.11,0.82,0.62,0.82,0.64,0.43,0.41,0.59,0.89,1.27,1.02,0.53,0.67,0.85,1.19,1.10,1.93,1.27,1.23,0.29,0.04,0.39,0.77,0.74,0.51,0.53,0.97,0.85,5.03,2.30,-1.84,0.51,1.35
 "94000","Plains",4,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-781474,-1118377,-1374830,-460129,431517,1292060,143727,823198,-548280,258797,309622,1457216,2731175,2007184,549566,825659,1604953,1294959,2911061,-1513326,2379069,1953254,1325216,360431,991042,566116,1347566,1929367,1734730,814579,1602948,1239556,2333670,1480586,1634816,3891235,3321257,2332871,4516222,5216507,5018465,4932742,7243446,12738584,5199912,9196239,7452688,11701549,16182121,14348491,12465704,21618613,12208309,9650593,23759705,13024498,11435747,12872038,14348361,22317269,18096137,11565925,23505608,11986832,25151683,19338850,31382558,23130064,30707700,19651055,36566320,20672005,11551940,25091232,33636188,23258782,40816361,45878424,49844941,-21572254,29455190,58749407,45130583,8729771,36998168,30944105,13553541,32451303,50217070,41059149,79347627,121323721,51872435,74498238,61824220
 "94000","Plains",4,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-701137,-1094723,-1110815,-306608,382995,1254911,-111861,911730,-521500,179385,244789,1385381,2581330,1923158,422224,497728,991355,1125497,2513472,-1694179,1879634,2000896,1038929,111891,634268,225682,1060778,1486205,1078470,336478,1191052,776487,1906609,1003569,1154695,3181874,2718886,1471101,3206262,3845394,3072941,3181036,5648952,9910265,1749212,5087800,5015959,8637529,12497353,9447474,3205008,11354565,2681906,5262789,17634669,8805527,8250755,12477350,8907362,13750379,11663926,5720159,18549602,6574272,18485031,9711961,23743055,14254669,21977691,17991649,23998595,12480174,9103015,18298432,27032241,14280757,19926555,25526375,22536445,-16612005,20120321,41761986,26955989,12589457,15859463,16060624,2894357,20961701,26479690,22561294,18083417,60143418,63923526,33586156,30389385
 "94000","Plains",4,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-78894,-144233,-182837,-132370,44072,21965,104659,28444,-37119,63196,53433,70500,155188,89374,74939,115653,199064,169812,460247,52277,304411,156774,252710,182867,234105,195981,181420,190216,392737,337658,291093,216798,331727,340568,387654,476680,360627,230691,699024,935721,1093922,890774,994843,1630696,2050692,1836360,1365220,2315012,2450157,3082640,5935596,7427584,6886737,2440107,4963469,2515880,1704554,-527481,3794027,5622133,3381163,1708422,1218484,2458257,4372860,6367740,4982225,6955687,6778030,-1286350,7909784,1115439,-3472313,3669179,2485423,3449958,12909924,12518779,12679447,-15216371,-328306,14645701,17848629,-7414312,13993192,7773334,5563619,6173247,13573643,9207229,4167682,33256837,12486221,33881088,11672793
 "94000","Plains",4,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",-1443,120579,-81178,-21151,4450,15184,150929,-116976,10339,16216,11400,1335,-5343,-5348,52403,212278,414534,-350,-62658,128576,195024,-204416,33577,65673,122669,144453,105368,252946,263523,140443,120803,246271,95334,136449,92467,232681,241744,631079,610936,435392,851602,860932,599651,1197623,1400008,2272079,1071509,749008,1234611,1818377,3325100,2836464,2639666,1947697,1161567,1703091,1480438,922169,1646972,2944757,3051048,4137344,3737522,2954303,2293792,3259149,2657278,1919708,1951979,2945756,4657941,7076392,5921238,3123621,4118524,5528067,7979882,7833270,14629049,10256122,9663175,2341720,325965,3554626,7145513,7110147,5095565,5316355,10163737,9290626,57096528,27923466,-24537312,7030994,19762042
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
