GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "44000","Rhode Island",1,SAINC12,1,"...","Percent change in personal income ","Percent change",-9.5,-10.3,-19.2,-2.8,7.1,8.0,11.4,4.1,-7.9,8.2,7.5,29.3,29.8,16.9,2.6,0.0,0.1,5.1,-1.0,-2.0,11.1,10.8,5.5,6.9,0.2,6.5,4.1,2.7,5.0,5.3,1.5,4.6,7.5,4.5,6.5,8.0,9.2,8.4,9.3,6.2,9.4,6.0,8.9,6.8,4.8,8.6,9.2,9.4,9.7,11.0,12.3,11.3,7.7,8.2,9.6,7.8,7.2,6.7,10.6,8.8,3.0,1.1,4.5,4.2,2.5,5.3,3.4,5.7,6.8,4.3,7.8,5.4,4.0,5.0,5.0,1.8,4.9,4.3,1.9,-2.3,5.2,3.8,3.2,0.0,3.9,3.5,1.4,4.2,4.0,6.0,7.7,6.5,2.4,5.5,5.0
 "44000","Rhode Island",1,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-8.72,-10.29,-15.74,0.28,7.98,8.43,7.22,4.81,-6.43,6.10,5.96,28.57,30.61,16.85,1.63,-2.44,-3.37,2.08,1.21,-4.04,9.93,10.84,5.62,4.87,-1.48,4.34,3.89,0.31,3.59,4.87,1.33,2.71,5.48,2.26,5.34,6.01,7.61,5.59,6.81,3.31,5.43,3.19,6.63,3.64,1.19,2.80,7.65,6.80,7.06,7.42,6.08,4.83,3.56,5.48,6.57,5.79,5.40,5.70,6.79,3.99,1.30,-1.19,3.70,2.25,2.22,2.93,2.11,3.50,5.31,4.31,5.50,3.10,3.34,3.49,3.75,1.30,2.99,1.20,-0.85,-2.34,3.66,2.57,2.51,0.37,1.47,2.30,0.92,2.39,2.69,3.87,1.09,4.16,4.07,2.30,2.98
 "44000","Rhode Island",1,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-0.83,-1.18,-2.72,-2.89,-0.84,-0.49,2.07,0.71,-3.00,2.47,0.97,1.45,-1.06,0.12,0.38,0.82,0.56,1.26,-0.44,0.43,0.59,0.98,-0.13,2.00,0.64,2.11,-0.29,1.02,0.68,0.60,-0.02,1.08,1.95,1.75,0.96,1.41,0.84,1.24,1.15,1.80,1.93,0.96,1.13,1.52,1.49,1.27,1.19,1.89,1.61,1.98,3.92,4.29,2.59,1.70,2.64,1.10,1.23,0.62,2.79,3.65,0.34,-0.79,0.05,0.53,0.40,1.44,0.98,1.19,1.26,-0.60,1.66,0.52,-0.03,1.01,0.20,-0.14,1.30,1.52,0.87,-1.55,0.17,1.05,0.98,-0.66,0.86,0.78,0.47,1.15,0.88,1.15,0.02,0.63,1.61,2.29,0.97
 "44000","Rhode Island",1,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.01,1.18,-0.77,-0.24,-0.06,0.11,2.13,-1.46,1.55,-0.40,0.53,-0.70,0.24,-0.06,0.58,1.59,2.87,1.74,-1.76,1.63,0.63,-1.00,0.01,0.06,1.02,0.09,0.52,1.35,0.74,-0.14,0.20,0.79,0.12,0.45,0.20,0.56,0.75,1.58,1.32,1.12,2.03,1.80,1.13,1.67,2.16,4.51,0.39,0.75,1.03,1.64,2.33,2.19,1.53,1.05,0.43,0.91,0.58,0.42,0.98,1.18,1.39,3.04,0.73,1.45,-0.10,0.95,0.34,1.05,0.19,0.63,0.60,1.83,0.71,0.46,1.07,0.65,0.60,1.58,1.92,1.60,1.33,0.19,-0.27,0.30,1.52,0.38,0.04,0.62,0.48,0.99,6.61,1.75,-3.32,0.91,1.09
 "44000","Rhode Island",1,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-57526,-56131,-94062,-11253,27168,33070,50721,20104,-40561,38751,38289,161591,212405,156501,28087,-434,752,56435,-11465,-22878,126230,136087,76643,101977,2823,103041,69222,46927,89894,100434,30080,92257,158992,101169,153686,201011,250346,250065,298930,219696,351126,243625,385371,322587,244360,453523,530006,592494,666225,831583,1030696,1061675,803428,926998,1175501,1041342,1038967,1040346,1741297,1606199,601170,217914,924307,911099,566991,1228321,834203,1441102,1795417,1231353,2294213,1736474,1353919,1734528,1841309,699804,1920714,1773180,833393,-1003680,2208949,1711495,1501082,564,1858133,1730044,739262,2189811,2214665,3418038,4659827,4248749,1634592,3897705,3775889
 "44000","Rhode Island",1,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-52546,-56118,-76978,1104,30637,34636,32057,23776,-33094,28927,30594,157495,218234,155943,17651,-27104,-37396,23121,14154,-46706,112411,136414,78346,71704,-23292,68427,65378,5442,64427,91764,26409,54558,115419,51337,126347,151509,207125,166098,219359,116726,203280,130668,287586,171896,60061,148105,439231,426675,484763,558639,508129,453566,372392,617126,800765,773555,778274,879959,1119598,726890,257492,-242628,763801,485041,498679,676369,512746,878917,1411271,1222486,1626253,986620,1124044,1220302,1375975,502734,1174785,495579,-366490,-1025189,1563559,1156343,1171566,176084,710751,1149680,477709,1256838,1472766,2203548,656645,2700765,2820591,1631135,2231071
 "44000","Rhode Island",1,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-5024,-6438,-13323,-11427,-3221,-2021,9192,3536,-15451,11699,4981,7976,-7540,1076,4163,9048,6268,14008,-5083,5012,6671,12309,-1831,29418,10075,33192,-4931,17881,12259,11314,-321,21802,41025,39595,22717,35504,22801,36922,36985,63571,72037,39311,48819,71644,75380,67082,68168,118846,110617,149364,327670,402803,271260,191417,322179,146375,176594,95705,460598,664299,67147,-160739,10635,114013,90325,332946,238520,298744,334920,-171053,491212,167166,-9441,353685,71885,-53537,508714,627328,374636,-680367,74579,471523,457705,-317685,415524,392085,240843,606074,481012,652599,14304,411116,1115419,1623055,728723
 "44000","Rhode Island",1,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",44,6425,-3761,-930,-248,455,9472,-7208,7984,-1875,2714,-3880,1711,-518,6273,17622,31880,19306,-20536,18816,7148,-12636,128,855,16040,1422,8775,23604,13208,-2644,3992,15897,2548,10237,4622,13998,20420,47045,42586,39399,75809,73646,48966,79047,108919,238336,22607,46973,70845,123580,194897,205306,159776,118455,52557,121412,84099,64682,161101,215010,276531,621281,149871,312045,-22013,219006,82937,263441,49226,179920,176748,582688,239316,160541,393449,250607,237215,650273,825247,701876,570811,83629,-128189,142165,731858,188279,20710,326899,260887,561891,3988878,1136868,-2301418,643515,816095
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
