GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "97000","Rocky Mountain",7,SAINC12,1,"...","Percent change in personal income ","Percent change",-8.1,-20.1,-21.0,-4.5,17.7,20.3,16.6,0.6,-2.0,3.8,6.5,22.2,39.8,22.2,-0.3,5.1,9.7,12.4,11.7,0.3,11.8,15.4,6.1,0.6,1.1,8.7,9.0,7.8,2.7,5.6,5.7,6.0,7.8,3.2,4.6,7.3,6.0,6.2,8.5,12.0,11.9,11.3,13.3,14.3,12.7,10.5,10.6,11.5,15.7,12.9,13.5,13.7,8.1,7.0,8.2,5.6,3.6,3.1,5.9,8.2,6.8,6.2,8.1,8.1,7.0,8.0,7.4,6.9,9.0,6.3,9.5,4.9,1.6,3.2,5.6,7.2,9.3,7.1,5.1,-4.3,3.3,8.0,5.8,3.7,7.0,4.9,2.3,6.5,7.4,7.2,7.8,12.8,6.6,6.2,5.3
 "97000","Rocky Mountain",7,SAINC12,2,"..."," Net earnings by place of residence contribution ","Percentage points",-6.99,-19.81,-16.94,-2.75,16.76,18.49,11.73,2.08,-1.58,2.51,5.06,20.49,37.81,21.78,-0.70,2.92,5.14,10.61,7.42,-1.50,8.54,14.95,5.03,-0.27,-0.76,6.94,7.22,5.72,1.30,3.69,4.32,4.38,6.13,2.15,3.27,5.68,4.48,4.02,6.79,8.48,7.83,7.88,10.51,10.40,8.58,6.10,7.96,8.57,12.04,9.18,8.30,8.08,3.89,3.98,5.55,3.30,2.26,2.44,3.97,4.67,4.84,4.35,6.21,5.87,4.38,4.49,5.06,5.11,6.93,5.88,6.75,3.14,0.90,1.59,3.73,4.48,5.78,3.89,1.53,-3.18,1.86,4.68,3.60,3.49,4.18,2.29,0.97,4.26,4.87,4.30,2.78,6.41,5.76,3.47,2.92
 "97000","Rocky Mountain",7,SAINC12,3,"..."," Dividends, interest, and rent contribution ","Percentage points",-1.17,-2.27,-2.82,-1.63,0.93,1.09,2.39,0.15,-0.70,0.70,0.88,1.62,2.12,0.53,-0.07,0.72,1.55,1.05,4.29,1.55,1.83,1.35,0.75,0.72,1.46,1.21,1.36,1.41,0.88,1.18,1.09,0.93,1.37,0.77,1.19,1.14,1.06,1.01,0.73,2.68,2.67,2.06,1.82,2.54,2.74,2.27,1.61,2.26,2.83,2.53,3.68,4.04,2.89,2.01,2.16,1.70,0.59,0.00,1.40,2.48,1.08,0.77,0.60,1.38,1.98,2.40,1.79,1.53,1.72,-0.08,1.97,0.78,-0.29,0.96,1.24,1.84,2.64,2.39,1.68,-2.46,-0.25,2.98,2.08,-0.29,1.99,1.58,0.69,1.65,1.53,1.93,0.57,3.90,2.17,2.86,1.21
 "97000","Rocky Mountain",7,SAINC12,4,"..."," Personal current transfer receipts contribution ","Percentage points",0.08,2.01,-1.21,-0.08,-0.04,0.73,2.46,-1.62,0.23,0.56,0.54,0.14,-0.16,-0.14,0.43,1.49,2.98,0.74,-0.05,0.28,1.48,-0.91,0.31,0.16,0.45,0.60,0.37,0.69,0.57,0.71,0.32,0.67,0.30,0.33,0.17,0.52,0.48,1.21,0.99,0.82,1.44,1.35,0.99,1.40,1.38,2.14,1.00,0.67,0.88,1.20,1.56,1.55,1.31,0.99,0.45,0.60,0.73,0.63,0.58,1.10,0.88,1.12,1.28,0.89,0.60,1.15,0.54,0.29,0.34,0.53,0.74,1.02,0.96,0.63,0.62,0.91,0.91,0.87,1.86,1.31,1.68,0.34,0.08,0.50,0.86,1.03,0.67,0.59,1.02,0.95,4.47,2.47,-1.31,-0.09,1.16
 "97000","Rocky Mountain",7,SAINC12,5,"...","Personal income dollar change (thousands) ","Thousands of dollars",-129118,-294452,-246132,-41339,156415,211729,207995,8931,-30105,54156,96870,354248,773965,603038,-11317,169596,336809,473719,501062,16311,569825,827814,377479,40428,75657,585939,652180,621032,235272,491772,532188,587384,811819,364529,536805,889835,782640,861113,1248083,1904349,2125648,2250361,2954831,3603783,3649182,3403513,3784888,4552597,6948777,6597407,7813205,8954018,6021108,5613605,7023701,5215330,3523034,3129767,6243397,9170425,8176699,8015874,11054205,12024578,11108622,13731284,13642949,13728330,19048529,14621118,23237648,13266597,4429578,9112733,16526660,22580979,31213343,26144260,19875648,-17821079,12949205,32562609,25347510,17153232,33872148,25273077,12626094,35990061,43788195,45477999,53102262,93620077,54683930,54938988,49521364
 "97000","Rocky Mountain",7,SAINC12,6,"..."," Net earnings by place of residence dollar change (thousands) ","Thousands of dollars",-111635,-290774,-198778,-25498,148514,192735,147131,30472,-23190,36109,75671,326196,735858,592414,-23233,96632,178800,405305,318692,-71690,410741,803971,311986,-17926,-50536,464717,526384,454402,110976,324838,400881,430312,637923,241699,378943,688765,582405,554432,995453,1348419,1394580,1570652,2330644,2613550,2467140,1975198,2850291,3392335,5312268,4688187,4788027,5291836,2896492,3200068,4778217,3071588,2225372,2485956,4163805,5190739,5826019,5591056,8480365,8661852,6992245,7668151,9334134,10125537,14690945,13580275,16563947,8439893,2534259,4545732,11022794,13985729,19339874,14216877,6016100,-13104202,7322813,19031696,15835205,16205447,20155234,11792590,5265392,23591602,28708312,27265764,18895827,46947837,47576760,30535916,27325832
 "97000","Rocky Mountain",7,SAINC12,7,"..."," Dividends, interest, and rent dollar change (thousands) ","Thousands of dollars",-18749,-33255,-33103,-15142,8218,11361,30000,2211,-10239,10043,13146,25810,41215,14317,-2359,23732,54113,40045,184340,74477,87939,72802,46267,47629,96513,81047,98807,111606,75485,104221,101356,91022,143058,86133,138414,138125,138411,139288,106853,425820,474729,410560,404565,638584,786306,736330,575559,894359,1249152,1294424,2125356,2644368,2151110,1616172,1859242,1586004,578796,4672,1472133,2757779,1294920,987081,823027,2044291,3163197,4094093,3306477,3034230,3639507,-180925,4848073,2088225,-824661,2752043,3667071,5740680,8819504,8733317,6568829,-10120794,-978506,12128497,9142193,-1359950,9585209,8173218,3710217,9121319,9047509,12217168,3850269,28553338,17895456,25201124,11361292
 "97000","Rocky Mountain",7,SAINC12,8,"..."," Personal current transfer receipts dollar change (thousands) ","Thousands of dollars",1266,29577,-14251,-699,-317,7633,30864,-23752,3324,8004,8053,2242,-3108,-3693,14275,49232,103896,28369,-1970,13524,71145,-48959,19226,10725,29680,40175,26989,55024,48811,62713,29951,66050,30838,36697,19448,62945,61824,167393,145777,130110,256339,269149,219622,351649,395736,691985,359038,265903,387357,614796,899822,1017814,973506,797365,386242,557738,718866,639139,607459,1221907,1055760,1437737,1750813,1318435,953180,1969040,1002338,568563,718077,1221768,1825628,2738479,2719980,1814958,1836795,2854570,3053965,3194066,7290719,5403917,6604898,1402416,370112,2307735,4131705,5307269,3650485,3277140,6032374,5995067,30356166,18118902,-10788286,-798052,10834240
"Note: See the included footnote file."
"SAINC12: Personal income change by component 1."
